word,rating
suit,2
performance,1
cognition,1
hat,2
disappointment,1
city,2
independence,1
hotel,2
guilt,1
bubble,3
marriage,2
neighborhood,2
adversity,1
crown,4
fisherman,2
peach,7
lion,4
vapor,2
fantasy,2
advice,1
metaphor,1
blade,2
arc,2
lamp,3
square,2
accident,2
attitude,1
material,2
outcome,1
error,2
puddle,3
comparison,1
regulation,1
cowardice,2
engagement,1
site,1
professor,1
mosquito,2
mold,4
irony,1
contempt,1
purpose,1
knife,2
opportunity,1
curfew,1
despair,2
anxiety,1
cloth,3
truck,3
stride,1
three,1
mind,1
sword,2
spider,3
baby,2
inn,2
bullet,2
trumpet,4
costume,5
leopard,5
diversity,3
river,4
duty,1
math,1
bell,3
ceiling,2
blood,7
landscape,5
photograph,4
consideration,1
chief,1
witness,1
insight,1
fear,1
bird,5
butter,5
equality,1
perception,1
availability,1
weather,3
hierarchy,1
toilet,2
principle,1
propeller,2
future,1
riddle,1
promotion,1
annoyance,1
advantage,1
spelling,1
key,2
typewriter,2
sight,2
occasion,1
gun,2
odor,1
ambulance,4
past,1
lane,2
decision,1
volt,1
band,2
ocean,6
sedative,2
rabbit,3
opposition,1
clean,2
boy,1
riot,2
nerve,1
confidence,1
frustration,1
specialist,1
recognition,1
kitten,3
pawn,2
selection,1
mile,1
genuine,1
beetle,4
job,1
towel,3
issue,1
dynasty,1
sandal,2
establishment,1
dagger,2
neck,2
stapler,2
fight,1
lightning,4
lunch,2
second,1
child,1
exclusion,1
description,1
art,6
suggestion,1
development,1
magnitude,1
institute,1
sow,2
alley,2
time,1
honesty,1
produce,5
arrangement,2
bag,2
intention,1
group,1
body,2
rebel,1
midnight,5
drama,1
distraction,1
bracelet,4
proportion,1
horse,3
crime,1
core,1
personality,1
park,5
disaster,1
cocktail,4
suspect,1
philosophy,1
literature,1
limitation,1
magic,2
conscience,1
teacher,1
destiny,1
murder,3
assistance,1
escape,1
affection,2
ability,1
cake,4
football,3
brain,3
psalm,1
fountain,3
imagination,2
state,1
majority,1
tool,2
incentive,1
stranger,1
interaction,1
enemy,1
stick,3
leader,1
competence,1
bedroom,2
cottage,2
pest,1
subtraction,1
lake,5
jacket,3
volume,1
spirit,2
orchestra,2
improvement,1
darkness,6
chicken,3
mileage,1
steam,2
thought,1
criticism,1
reality,1
segment,1
robin,5
student,1
dozen,1
diet,2
rent,1
charity,1
security,1
helplessness,1
sadness,2
sole,1
apple,7
file,2
proof,1
island,4
reflex,1
intelligence,1
accomplishment,1
lettuce,6
physics,1
vocabulary,1
saloon,2
disagreement,1
revenge,1
protection,1
visitor,1
alphabet,3
brevity,1
synagogue,1
wolf,3
shrimp,5
duration,1
lamb,3
circuit,2
cup,2
conclusion,1
want,1
preference,1
grammar,1
reinforcement,1
idiom,1
forest,6
worry,1
branch,4
orchid,6
oven,2
effect,1
salary,2
atom,1
variety,3
beauty,2
assumption,1
republic,1
object,1
belief,1
combination,2
guide,1
factory,2
real,1
effort,1
chocolate,6
flavor,3
composer,1
cucumber,6
hobby,1
empire,1
topic,1
pool,5
ally,1
mercy,1
scent,1
beaver,3
theory,1
drum,2
opinion,1
border,1
nose,2
safety,3
appeal,1
correspondent,1
number,1
tree,6
traveler,1
television,4
refrigerator,2
disgust,2
crisis,1
cause,1
lobster,6
shark,3
temperature,3
satisfaction,1
ditch,2
shame,2
flask,2
supply,1
menu,1
calculation,1
outfit,4
deputy,1
miracle,1
increase,1
lemon,7
attention,1
month,1
rule,1
snow,7
coupon,2
tension,1
phenomenon,1
truth,1
station,1
diamond,4
property,1
aspect,1
kite,5
construction,3
distribution,1
photo,4
paradigm,1
reduction,1
myth,1
punishment,1
brute,1
industry,2
necessity,1
faith,1
loan,1
income,2
summer,5
bed,2
ignorance,1
bolt,2
helmet,3
ceremony,2
paragraph,2
music,1
reason,1
heap,1
addition,1
adventurer,1
hazard,3
justification,1
rhyme,1
betrayal,1
chipmunk,4
sky,7
hurt,2
animal,3
corn,6
mud,6
candy,6
street,2
desk,2
rocket,3
gender,2
possibility,1
foundation,1
woman,1
entrance,1
attempt,1
idea,1
verse,1
grief,2
entree,3
wave,5
permission,1
fallacy,1
wisdom,1
expression,1
territory,2
abundance,1
infection,3
method,1
charter,1
volcano,5
deceit,1
grass,7
moment,1
ignition,2
thief,2
holiday,4
peace,2
introduction,1
fat,2
economy,1
roof,3
palace,3
scene,3
hurricane,2
camera,2
regret,1
boat,3
identification,1
preparation,1
starch,2
definition,1
evidence,1
distance,1
tennis,3
benefactor,1
nation,3
grandmother,1
resort,3
occupation,1
immortality,1
bridge,2
burner,3
claim,1
friendship,1
announcement,1
payment,1
form,1
mankind,1
soul,2
butterfly,7
boredom,2
youth,1
pillow,2
memory,1
weight,1
injury,3
legality,1
owner,1
uncle,1
member,1
hatred,2
category,1
shock,1
amplitude,1
march,1
frog,6
skill,1
uniform,4
design,4
anger,4
information,1
speech,1
tune,1
boundary,1
silence,1
girl,2
calendar,2
margin,1
temple,2
envy,4
snake,4
jerk,1
clothing,5
shape,2
wallet,2
ballot,1
fog,4
talent,1
underworld,2
originality,1
sneeze,1
peacemaker,1
dilemma,1
convergence,1
heresy,1
retention,1
impossibility,1
route,2
chlorine,3
damage,1
lizard,5
ball,4
drug,3
explanation,1
dove,4
context,1
church,3
trust,1
vision,2
sugar,4
pile,1
law,1
salad,6
skunk,5
danger,4
manner,1
laundry,3
character,1
accumulation,1
identity,1
misery,2
pimple,4
tallness,1
requirement,1
jewel,6
arrow,2
obstruction,1
electricity,3
mother,1
university,2
unit,1
apology,1
opponent,1
significance,1
wish,1
line,1
situation,1
fact,1
pill,4
autumn,6
play,1
crocodile,5
impairment,1
parish,1
message,1
gorilla,4
tendency,1
wage,2
complication,1
sister,1
comprehension,1
inch,1
itch,2
car,4
willingness,1
radio,2
integrity,1
money,5
smell,1
pond,5
grasshopper,6
hospital,3
unity,1
christmas,6
reputation,1
coffee,6
love,4
admiration,1
acre,4
banana,7
clearance,1
artist,6
ring,3
cow,4
self,1
debt,2
lip,4
thing,1
conference,1
iron,3
thorn,3
exception,1
tragedy,2
season,4
door,2
specimen,1
instructor,1
figure,1
location,1
prediction,1
replacement,1
pretense,1
freedom,3
macaroni,4
water,6
master,1
pigeon,4
event,1
presence,1
mattress,2
responsibility,1
bandit,2
ownership,1
doctor,2
stupidity,1
squeak,1
denial,1
show,3
loafer,2
stimulus,1
origin,1
interruption,1
risk,2
amount,1
handkerchief,3
tomato,7
instinct,1
importance,1
fifteen,1
bank,2
gesture,1
dad,1
cliff,3
tradition,1
acquisition,1
mastery,1
response,1
pie,3
length,1
item,1
dimension,1
sanctuary,1
fabric,4
dentist,2
tax,1
raspberry,7
winter,5
meeting,1
division,1
corporation,1
example,1
story,1
uncertainty,1
bottle,3
caterpillar,5
name,1
heart,5
relief,1
onion,4
kindness,1
duel,1
brawl,1
hope,2
capacity,1
justice,1
interior,3
behavior,1
laughter,1
victim,1
liar,1
necklace,4
edge,1
pyramid,4
alligator,5
tide,4
pig,5
lisp,1
brother,1
robbery,1
record,2
size,1
knowledge,1
consequence,1
empty,2
eyeball,4
contract,2
newspaper,3
measure,1
rainbow,7
chair,2
latch,2
view,4
window,2
incident,1
tongue,4
coffin,3
ankle,1
skull,4
cranberry,7
translation,1
result,1
zoo,4
ambition,1
fireplace,4
microscope,2
boulder,3
production,1
leadership,1
difference,1
mystery,2
malice,1
puppy,3
sofa,3
value,1
democracy,1
road,3
standard,1
missile,2
elephant,5
waste,3
atrocity,2
recital,1
fate,1
emergence,1
hog,4
corpse,3
eagle,4
mansion,2
germ,3
writing,2
candidate,1
shortness,1
nurse,3
poetry,1
coincidence,1
moral,1
lily,6
quality,1
father,1
cat,4
lens,2
instance,1
poll,1
bet,1
moonlight,4
logic,1
guess,1
appointment,1
determination,1
scholar,1
mustard,7
separation,1
extent,1
episode,1
eight,1
article,2
circumstance,1
prop,1
opera,2
potato,4
lock,2
assault,1
beast,3
medicine,3
skin,4
tip,1
mountain,5
irrigation,3
donor,2
queen,3
wood,5
awareness,1
linen,3
deduction,1
degree,1
shirt,4
chance,1
food,5
beverage,3
lesson,1
duck,5
twig,4
individual,1
consistency,1
policeman,3
