word,rating
suit,3
performance,4
cognition,1
hat,3
disappointment,1
city,1
independence,1
hotel,1
guilt,1
bubble,2
marriage,1
neighborhood,1
adversity,1
crown,2
fisherman,2
peach,2
lion,1
vapor,1
fantasy,1
advice,2
metaphor,1
blade,3
arc,2
lamp,2
square,1
accident,2
attitude,1
material,1
outcome,1
error,2
puddle,3
comparison,1
regulation,1
cowardice,1
engagement,1
site,1
professor,1
mosquito,2
mold,1
irony,1
contempt,1
purpose,1
knife,4
opportunity,1
curfew,1
despair,1
anxiety,1
cloth,2
truck,3
stride,7
three,1
mind,1
sword,4
spider,1
baby,2
inn,1
bullet,1
trumpet,4
costume,3
leopard,1
diversity,1
river,2
duty,1
math,1
bell,3
ceiling,1
blood,1
landscape,1
photograph,2
consideration,1
chief,1
witness,2
insight,1
fear,1
bird,1
butter,2
equality,1
perception,1
availability,1
weather,1
hierarchy,1
toilet,2
principle,1
propeller,1
future,1
riddle,1
promotion,1
annoyance,1
advantage,1
spelling,3
key,4
typewriter,5
sight,2
occasion,1
gun,4
odor,1
ambulance,1
past,1
lane,2
decision,1
volt,1
band,1
ocean,2
sedative,1
rabbit,1
opposition,1
clean,4
boy,1
riot,3
nerve,1
confidence,1
frustration,1
specialist,1
recognition,1
kitten,2
pawn,3
selection,2
mile,3
genuine,1
beetle,1
job,2
towel,4
issue,1
dynasty,1
sandal,4
establishment,1
dagger,4
neck,3
stapler,4
fight,6
lightning,1
lunch,3
second,1
child,1
exclusion,1
description,2
art,2
suggestion,2
development,1
magnitude,1
institute,1
sow,4
alley,2
time,1
honesty,1
produce,2
arrangement,2
bag,3
intention,1
group,1
body,5
rebel,2
midnight,1
drama,1
distraction,1
bracelet,2
proportion,1
horse,4
crime,2
core,1
personality,1
park,2
disaster,1
cocktail,3
suspect,1
philosophy,1
literature,1
limitation,1
magic,2
conscience,1
teacher,1
destiny,1
murder,3
assistance,2
escape,6
affection,2
ability,2
cake,2
football,6
brain,1
psalm,2
fountain,1
imagination,1
state,1
majority,1
tool,5
incentive,1
stranger,1
interaction,3
enemy,1
stick,3
leader,1
competence,1
bedroom,1
cottage,1
pest,1
subtraction,2
lake,2
jacket,4
volume,1
spirit,1
orchestra,2
improvement,1
darkness,1
chicken,1
mileage,1
steam,1
thought,1
criticism,2
reality,1
segment,1
robin,1
student,1
dozen,1
diet,2
rent,1
charity,1
security,1
helplessness,1
sadness,1
sole,3
apple,3
file,3
proof,1
island,1
reflex,5
intelligence,1
accomplishment,1
lettuce,2
physics,1
vocabulary,1
saloon,1
disagreement,2
revenge,2
protection,2
visitor,1
alphabet,1
brevity,1
synagogue,1
wolf,1
shrimp,2
duration,1
lamb,1
circuit,1
cup,4
conclusion,1
want,1
preference,1
grammar,1
reinforcement,1
idiom,1
forest,2
worry,1
branch,2
orchid,1
oven,3
effect,1
salary,1
atom,1
variety,1
beauty,1
assumption,1
republic,1
object,1
belief,1
combination,1
guide,2
factory,1
real,1
effort,4
chocolate,2
flavor,1
composer,1
cucumber,2
hobby,3
empire,1
topic,1
pool,4
ally,1
mercy,1
scent,1
beaver,1
theory,1
drum,5
opinion,1
border,1
nose,2
safety,1
appeal,1
correspondent,1
number,1
tree,2
traveler,2
television,2
refrigerator,3
disgust,1
crisis,1
cause,1
lobster,2
shark,1
temperature,1
satisfaction,1
ditch,3
shame,1
flask,3
supply,1
menu,2
calculation,2
outfit,3
deputy,1
miracle,1
increase,1
lemon,2
attention,1
month,1
rule,1
snow,3
coupon,2
tension,2
phenomenon,1
truth,1
station,1
diamond,1
property,1
aspect,1
kite,4
construction,4
distribution,2
photo,2
paradigm,1
reduction,1
myth,1
punishment,2
brute,1
industry,1
necessity,1
faith,1
loan,1
income,1
summer,1
bed,2
ignorance,1
bolt,3
helmet,3
ceremony,1
paragraph,2
music,2
reason,1
heap,2
addition,1
adventurer,2
hazard,1
justification,1
rhyme,2
betrayal,1
chipmunk,1
sky,1
hurt,2
animal,1
corn,2
mud,3
candy,2
street,2
desk,2
