word,rating
lake,4
ambition,5
chance,4
individual,2
apology,5
opponent,4
boredom,6
cowardice,6
beetle,3
silence,5
bet,4
animal,4
coupon,2
faith,6
liar,6
lip,2
tongue,2
originality,4
ankle,1
potato,2
accumulation,2
outfit,3
chair,1
cognition,2
station,1
disaster,7
real,3
dilemma,5
scene,2
ally,5
ownership,3
theory,2
reinforcement,3
puppy,6
guide,3
damage,5
circumstance,2
state,1
response,2
key,2
boat,3
degree,2
crown,3
myth,3
blood,5
deduction,2
forest,4
latch,1
tune,4
show,3
interior,1
starch,1
mankind,4
infection,6
fabric,1
wood,1
tragedy,7
germ,5
iron,1
spider,5
calendar,1
affection,7
photograph,4
territory,2
incident,3
vapor,1
dentist,5
sword,4
flavor,4
clean,4
consistency,2
appeal,4
identification,2
fact,2
route,1
linen,1
macaroni,3
skin,2
stride,2
writing,3
roof,1
menu,2
division,1
value,3
suit,2
lamp,1
personality,4
contract,2
cloth,1
amount,1
intention,3
magic,5
confidence,6
duration,1
sandal,2
thing,1
mattress,2
addition,1
newspaper,2
opposition,4
leopard,4
pigeon,2
clearance,2
opinion,3
play,5
heart,6
irrigation,1
clothing,2
distance,2
fate,5
calculation,1
number,1
wisdom,5
vocabulary,2
talent,5
character,4
nose,1
salad,3
tree,3
risk,5
definition,1
ditch,2
hobby,5
adversity,6
inn,3
butter,3
pyramid,2
tomato,2
riot,6
independence,6
itch,4
temple,3
teacher,4
brain,2
occupation,3
ignition,1
suspect,4
costume,3
door,1
necessity,3
equality,5
orchid,4
bag,1
dove,4
chlorine,2
reflex,1
conference,2
result,2
helmet,2
beauty,6
shortness,2
verse,3
exception,2
bird,3
circuit,1
queen,3
charter,1
principle,3
music,6
want,5
relief,6
moral,4
jerk,5
metaphor,2
scent,4
girl,3
tradition,3
development,3
crisis,7
bubble,3
camera,2
pond,3
decision,4
job,4
frustration,7
error,4
student,3
reputation,4
fear,7
tool,1
shrimp,2
refrigerator,1
empty,4
kindness,7
impairment,5
wish,5
alligator,4
moment,3
injury,6
master,3
file,1
factory,2
body,3
weight,4
tide,2
lemon,2
television,3
coffin,6
admiration,6
tip,2
complication,4
shock,6
past,4
park,3
line,1
nerve,4
income,4
specialist,2
lesson,3
cause,2
squeak,2
insight,4
hotel,3
peacemaker,5
law,3
conscience,5
misery,7
dimension,1
pill,2
alley,3
banana,2
pest,4
debt,6
march,2
justice,6
sanctuary,5
meeting,2
cucumber,1
expression,3
opera,3
significance,3
intelligence,4
object,1
tallness,1
grasshopper,2
purpose,4
mosquito,5
assault,7
pillow,3
anxiety,7
hope,7
fountain,3
benefactor,5
love,7
drum,2
stimulus,2
beverage,2
mountain,4
capacity,2
awareness,4
danger,6
raspberry,3
reality,4
acquisition,2
snow,4
appointment,3
ocean,5
wave,3
composer,3
guilt,7
payment,3
jacket,2
city,3
lamb,3
retention,1
requirement,2
miracle,6
segment,1
oven,1
kitten,6
trust,6
flask,1
preparation,2
imagination,5
bridge,2
towel,1
coincidence,3
context,1
hospital,5
article,1
mercy,6
rabbit,4
spirit,5
rebel,4
interruption,4
design,2
criticism,6
duty,4
fog,3
peach,3
professor,3
friendship,7
cup,1
length,1
form,1
lunch,3
square,1
empire,2
pimple,4
shirt,1
pile,1
abundance,4
visitor,3
responsibility,5
location,1
corporation,2
literature,3
laundry,2
landscape,4
eagle,3
presence,3
tendency,2
construction,1
regulation,2
rocket,2
church,4
doctor,4
topic,1
midnight,3
conclusion,2
neck,1
car,2
fat,4
volume,1
story,3
physics,2
security,6
hog,2
name,2
lens,1
cow,2
chipmunk,3
christmas,6
possibility,4
suggestion,2
fallacy,3
robbery,6
assistance,4
distribution,1
skill,4
stranger,3
record,1
instructor,2
mold,3
occasion,2
hurricane,6
medicine,3
cocktail,3
institute,1
pig,2
guess,2
uncle,4
owner,2
hazard,5
desk,1
apple,2
pie,3
convergence,1
ability,4
democracy,5
grief,7
bed,4
fantasy,5
bolt,1
material,1
issue,3
rent,4
belief,5
rhyme,2
hat,1
variety,3
consideration,4
wage,3
arrow,2
identity,4
advice,3
corpse,6
contempt,6
message,2
math,3
paradigm,1
lightning,4
necklace,2
idea,3
assumption,2
future,5
bracelet,2
despair,7
stupidity,5
skunk,4
cat,4
size,1
method,1
pawn,2
laughter,7
cottage,3
ambulance,5
puddle,2
industry,2
effect,2
crocodile,4
proof,2
waste,4
immortality,4
economy,3
property,3
chocolate,5
scholar,3
incentive,4
coffee,4
tension,6
consequence,4
lobster,2
opportunity,5
uncertainty,6
volt,1
cake,4
justification,3
self,5
safety,6
fireplace,4
grammar,2
leader,3
establishment,2
irony,3
poll,1
fisherman,2
season,3
lane,1
odor,3
event,2
thief,5
saloon,2
extent,1
introduction,1
caterpillar,2
grandmother,6
entree,2
category,1
idiom,1
arc,1
winter,4
explanation,2
moonlight,4
figure,1
shark,5
hurt,7
member,2
riddle,3
adventurer,4
worry,7
accident,6
rainbow,5
emergence,2
mud,2
comprehension,3
lily,3
edge,2
behavior,3
stick,1
mustard,2
helplessness,7
zoo,3
loafer,3
perception,3
protection,5
hatred,7
typewriter,1
effort,4
soul,5
boulder,1
candidate,2
window,1
snake,5
art,5
promotion,6
cliff,3
item,1
sedative,3
lettuce,1
supply,2
spelling,2
logic,2
majority,2
denial,5
weather,3
malice,6
street,1
month,1
betrayal,7
exclusion,5
advantage,4
holiday,6
twig,1
competence,4
duck,2
mystery,4
temperature,2
water,2
impossibility,4
truck,1
toilet,2
reduction,2
foundation,2
handkerchief,1
time,3
wallet,3
steam,1
gender,3
bottle,1
dagger,4
university,3
orchestra,3
eight,1
onion,2
disagreement,5
ignorance,5
witness,3
cranberry,2
produce,2
kite,3
grass,2
preference,3
radio,2
leadership,4
microscope,1
prediction,2
donor,3
sofa,2
sister,5
entrance,1
deputy,2
woman,3
trumpet,2
acre,1
heap,1
magnitude,2
republic,2
manner,2
poetry,4
mastery,4
willingness,4
memory,5
tennis,3
hierarchy,2
group,2
second,1
salary,5
baby,6
fight,6
rule,2
regret,7
increase,2
volcano,4
outcome,3
duel,4
example,1
combination,1
pool,3
uniform,2
island,4
atrocity,7
freedom,7
policeman,3
peace,7
branch,1
victim,6
escape,5
resort,4
road,2
mind,4
replacement,2
missile,5
border,2
lion,4
dad,6
core,2
chicken,2
drug,4
father,6
translation,1
thought,3
disappointment,7
candy,5
performance,4
vision,4
nation,3
distraction,4
bandit,4
horse,3
knife,4
beast,4
neighborhood,3
sky,4
amplitude,1
crime,6
improvement,5
diamond,4
youth,5
beaver,2
instinct,3
pretense,4
lizard,2
claim,2
electricity,2
anger,7
comparison,2
three,1
charity,5
instance,1
prop,1
artist,4
loan,3
sneeze,2
attention,3
brother,6
bullet,5
destiny,5
underworld,4
wolf,4
limitation,4
episode,2
measure,1
quality,3
site,1
knowledge,5
difference,2
sugar,3
lock,2
lisp,2
child,6
importance,3
stapler,1
view,2
sight,2
truth,5
river,3
genuine,4
bedroom,3
accomplishment,6
integrity,6
murder,7
announcement,2
fifteen,1
skull,4
reason,3
correspondent,2
boundary,2
obstruction,3
boy,3
availability,2
phenomenon,2
brute,5
atom,1
deceit,6
honesty,6
description,1
attempt,2
unit,1
summer,5
propeller,1
sadness,7
sow,1
subtraction,1
bell,2
specimen,1
proportion,1
mileage,1
recognition,4
interaction,3
alphabet,1
food,4
ballot,2
annoyance,5
arrangement,2
attitude,4
sole,1
paragraph,1
synagogue,3
margin,1
frog,2
separation,5
palace,3
mansion,3
philosophy,3
money,6
smell,3
brawl,5
nurse,4
chief,2
gesture,2
disgust,7
drama,4
butterfly,4
photo,3
inch,1
football,3
darkness,5
aspect,1
gorilla,3
marriage,6
origin,2
recital,2
information,2
dynasty,2
legality,2
punishment,6
diversity,4
envy,6
heresy,4
speech,3
traveler,3
eyeball,2
unity,5
evidence,2
elephant,3
jewel,4
situation,2
blade,3
permission,3
gun,5
shape,1
engagement,5
selection,2
corn,2
thorn,3
tax,5
autumn,4
burner,2
satisfaction,6
revenge,6
diet,4
band,3
robin,3
brevity,2
psalm,3
bank,3
dozen,1
production,2
mile,1
mother,7
ceiling,1
determination,5
ceremony,3
enemy,6
shame,7
parish,2
standard,2
curfew,3
ball,2
ring,2
