word,rating
admiration,1
robbery,1
peach,1
property,2
liar,1
figure,4
pie,1
lily,1
marriage,1
banana,1
tongue,1
steam,1
form,1
visitor,1
impossibility,1
situation,1
interaction,1
hog,1
vapor,1
acquisition,1
brawl,1
establishment,1
instructor,1
bird,1
opera,1
logic,1
fate,1
grammar,1
laughter,1
ignition,1
location,1
magnitude,7
soul,1
empty,5
rabbit,1
stimulus,1
rule,1
advice,1
queen,1
girl,1
decision,1
safety,1
hatred,1
confidence,1
boy,1
rent,3
crisis,1
extent,7
orchid,1
stranger,1
lock,1
betrayal,1
photo,1
macaroni,1
majority,6
electricity,1
fat,3
inn,1
road,1
capacity,7
view,2
personality,1
dove,1
brute,1
ambulance,1
pig,1
boundary,6
idea,1
baby,2
weather,1
vocabulary,2
flavor,1
toilet,1
show,1
murder,1
teacher,1
genuine,1
rainbow,1
foundation,1
fifteen,7
pond,2
acre,7
intention,1
skull,1
assistance,1
adversity,1
evidence,1
bag,2
square,2
menu,1
individual,2
punishment,1
reality,1
production,2
witness,1
dimension,7
advantage,1
hierarchy,2
crocodile,1
volume,7
degree,6
damage,1
rhyme,1
idiom,1
bottle,2
fisherman,1
mustard,1
behavior,1
body,1
faith,1
winter,1
purpose,1
determination,1
cloth,1
meeting,1
dagger,1
frustration,1
fog,1
philosophy,1
standard,2
eyeball,1
annoyance,1
democracy,1
cranberry,1
sword,1
loan,3
chicken,1
tide,2
law,1
cup,4
sofa,1
originality,1
weight,7
roof,1
candidate,1
job,1
subtraction,5
robin,1
necklace,1
ballot,1
memory,2
station,1
chair,1
refrigerator,1
result,1
thief,1
pimple,1
skunk,1
reputation,1
accident,1
method,1
parish,2
eight,7
justification,1
animal,1
sole,1
play,1
tendency,1
chipmunk,1
shirt,1
reinforcement,1
corporation,1
pawn,1
volt,5
money,4
cognition,1
talent,1
alligator,1
republic,1
orchestra,1
dad,1
door,1
beverage,1
suit,1
grief,1
misery,1
margin,5
response,1
site,1
ball,1
car,1
mile,7
season,2
disagreement,1
ability,1
tradition,1
speech,1
recital,1
requirement,1
theory,1
opinion,1
sadness,1
security,1
month,4
lake,2
band,1
stick,1
retention,2
revenge,1
atom,4
permission,1
frog,1
sneeze,1
ownership,1
trust,1
reduction,6
cow,1
character,1
accomplishment,1
policeman,1
increase,6
sandal,1
independence,1
window,1
wood,1
duel,1
christmas,1
bridge,1
deduction,4
territory,5
comprehension,2
equality,3
irrigation,1
bolt,1
moment,3
beast,1
bell,1
division,4
information,1
palace,3
crime,1
chlorine,1
river,2
paradigm,2
separation,1
state,1
cake,1
potato,1
lemon,1
mercy,1
suggestion,1
writing,1
bedroom,1
literature,1
heap,6
city,2
duration,6
fight,1
time,4
gun,1
smell,1
appeal,1
clean,1
perception,1
diet,2
stupidity,1
envy,1
owner,1
sky,4
ceremony,1
sow,1
helplessness,1
article,1
necessity,1
key,1
length,7
drug,1
belief,1
lamp,1
gorilla,2
onion,1
intelligence,1
bubble,1
effort,2
produce,1
rocket,1
lunch,1
topic,2
uncertainty,1
twig,2
puppy,1
ring,1
germ,3
file,1
conscience,1
economy,2
past,2
street,1
lettuce,1
translation,1
spirit,1
regret,1
story,1
mattress,1
preparation,1
traveler,1
gesture,1
comparison,2
newspaper,1
mileage,6
object,1
mosquito,2
heart,1
identity,1
nerve,1
consistency,1
sight,2
candy,1
radio,1
stride,3
protection,1
fallacy,1
linen,1
instinct,1
expression,1
raspberry,1
pretense,1
victim,1
father,1
opponent,1
beaver,1
lamb,1
arrangement,1
desk,1
ally,1
danger,1
message,1
preference,1
appointment,1
camera,1
music,1
brevity,5
destiny,1
propeller,1
anxiety,1
wolf,1
microscope,4
lobster,1
significance,2
improvement,1
occasion,1
freedom,2
kitten,1
shrimp,2
water,1
contempt,1
convergence,1
uniform,1
unity,2
hotel,1
peacemaker,1
wish,1
grandmother,1
possibility,1
episode,1
duty,1
horse,1
wave,2
metaphor,1
institute,1
contract,1
photograph,1
deputy,1
eagle,1
boulder,4
hurt,1
description,1
hurricane,3
reflex,1
flask,3
thorn,1
elephant,4
skin,1
doctor,1
specimen,1
professor,1
selection,1
bracelet,1
member,1
size,7
verse,1
core,1
friendship,1
honesty,1
proportion,7
correspondent,1
dozen,7
truck,2
fireplace,1
bank,1
autumn,1
iron,1
guilt,1
self,1
mansion,4
salad,1
nation,2
coupon,2
distribution,3
principle,1
mud,1
coffee,1
scholar,1
boredom,1
amount,7
cocktail,1
knife,1
injury,1
attitude,1
jewel,1
miracle,1
riddle,1
scene,2
puddle,2
mastery,2
skill,1
odor,1
truth,1
edge,3
woman,1
bullet,1
conclusion,1
name,1
abundance,7
entree,1
food,1
ambition,2
charity,1
sugar,1
fantasy,1
integrity,1
diversity,3
stapler,1
magic,1
announcement,1
wisdom,1
calculation,4
butter,1
ditch,2
coincidence,1
prop,1
tragedy,1
latch,1
artist,1
charter,1
diamond,1
drum,1
origin,1
material,1
crown,1
mold,1
mother,1
lizard,1
alphabet,1
apology,1
hat,1
cat,1
paragraph,2
instance,1
border,5
neighborhood,2
outfit,1
tallness,7
fact,1
introduction,1
anger,1
beetle,1
wallet,2
opposition,1
claim,1
complication,1
empire,4
pill,1
second,4
costume,1
relief,1
effect,1
poetry,1
construction,1
measure,7
competence,1
infection,1
emergence,1
handkerchief,1
hazard,1
hospital,1
duck,1
silence,1
darkness,1
master,1
cliff,2
corn,1
resort,1
error,1
grasshopper,1
lip,1
variety,4
incident,1
incentive,1
brain,1
number,7
summer,1
tool,1
supply,5
risk,1
consideration,1
disgust,1
branch,1
blood,1
tension,1
chocolate,1
corpse,1
unit,6
exception,1
guess,1
brother,1
moral,1
circumstance,1
quality,1
accumulation,6
lane,1
nose,1
assumption,1
snake,1
peace,1
ocean,5
blade,1
university,1
psalm,1
moonlight,1
route,2
interruption,1
thing,1
cucumber,1
pest,1
clothing,1
ceiling,2
future,2
shame,1
leopard,1
outcome,1
oven,1
three,7
satisfaction,1
kindness,1
laundry,1
neck,1
value,4
student,1
coffin,1
love,1
design,1
physics,1
group,4
shock,1
clearance,3
factory,1
tennis,1
lisp,1
midnight,1
cause,1
income,5
pyramid,3
volcano,2
tree,1
waste,2
medicine,1
chance,2
conference,1
entrance,1
combination,1
loafer,1
exclusion,1
television,1
jerk,1
example,1
attention,1
