word,rating
scholar,3
deputy,4
produce,1
woman,4
scent,1
ambulance,2
doctor,5
obstruction,2
three,1
flavor,1
volcano,1
cow,1
ankle,1
clearance,1
nerve,1
helmet,1
chief,5
cake,2
manner,5
pill,1
robbery,4
marriage,7
spirit,2
speech,5
scene,2
math,1
freedom,3
atom,1
kindness,6
cat,1
ballot,3
abundance,1
incentive,3
guess,2
effort,2
pond,1
impairment,1
grass,1
belief,3
door,1
conclusion,2
photograph,2
photo,2
explanation,4
chocolate,1
candy,1
sword,1
presence,4
admiration,6
lobster,1
jerk,6
knife,1
crime,4
betrayal,7
microscope,1
bracelet,1
emergence,1
mansion,1
escape,2
heresy,3
stimulus,1
deduction,1
reduction,1
pig,1
sugar,1
lamb,1
loan,4
frog,1
lane,1
gorilla,1
flask,1
music,2
willingness,4
hurt,5
combination,2
lightning,1
foundation,1
confidence,4
contempt,6
contract,5
skin,1
magic,1
conscience,3
evidence,2
response,5
addition,1
ceiling,1
brawl,6
pimple,1
temple,1
saloon,3
integrity,5
suit,1
industry,2
fountain,1
occasion,3
file,1
comparison,3
border,2
sandal,1
future,1
money,2
accomplishment,2
composer,2
correspondent,5
month,1
pie,1
conference,6
burner,1
fog,1
disappointment,4
forest,1
linen,1
student,4
kitten,1
thorn,1
zoo,1
enemy,7
hurricane,1
route,1
fabric,1
boredom,1
ignorance,2
sow,1
character,3
cranberry,1
cup,1
episode,1
assistance,6
duration,1
squeak,1
paradigm,1
circuit,1
disagreement,6
hazard,1
arc,1
toilet,1
bottle,1
tool,1
snow,1
permission,5
awareness,2
heart,2
poetry,2
importance,2
pool,1
stick,1
beauty,2
subtraction,1
translation,2
pile,1
performance,3
hospital,2
criticism,6
apology,7
park,2
medicine,1
mile,1
inn,2
grandmother,7
circumstance,1
trust,7
engagement,7
location,1
lettuce,1
tradition,3
cloth,1
alphabet,1
diamond,2
moment,1
child,5
arrangement,3
island,1
variety,1
information,2
latch,1
chicken,1
artist,2
beaver,1
refrigerator,1
destiny,1
tip,3
grammar,1
hotel,1
brevity,1
shortness,1
capacity,1
worry,3
owner,3
view,1
denial,3
issue,2
personality,4
boy,3
entrance,1
orchid,1
radio,1
hatred,6
opera,1
steam,1
phenomenon,1
lizard,1
visitor,5
ambition,2
mankind,4
brother,7
crocodile,1
error,1
miracle,1
bell,1
germ,1
property,2
bet,4
hog,1
bed,1
deceit,6
member,5
intention,3
hope,2
specialist,3
attitude,4
poll,2
salary,2
fireplace,1
rocket,1
past,1
misery,2
thought,1
entree,1
want,2
skull,1
margin,1
ceremony,4
extent,1
potato,1
reputation,6
determination,2
increase,1
independence,4
genuine,4
story,2
rule,3
eyeball,1
landscape,1
factory,1
injury,2
dad,7
advantage,2
electricity,1
bedroom,1
gesture,4
bridge,1
fact,1
unity,5
lisp,1
coupon,1
stranger,5
dove,1
material,1
prop,1
event,2
result,1
handkerchief,1
institute,2
announcement,3
assault,6
helplessness,2
robin,1
grasshopper,1
justification,3
thing,1
duel,6
adventurer,2
mosquito,1
revenge,6
elephant,1
segment,1
suspect,4
degree,1
anxiety,2
record,1
reflex,1
dilemma,2
replacement,2
tree,1
clean,1
lock,1
stride,1
wish,1
apple,1
reality,1
self,2
consequence,2
form,1
laughter,4
opponent,6
lily,1
lunch,2
sedative,1
menu,1
benefactor,6
duty,4
drama,4
equality,5
trumpet,1
art,1
alligator,1
lake,1
idiom,1
vocabulary,1
instance,1
cucumber,1
chance,1
nose,1
charter,2
branch,1
interruption,4
logic,1
comprehension,2
boundary,3
camera,1
tomato,1
volt,1
nation,3
volume,1
waste,1
key,1
significance,1
hat,1
figure,1
football,2
fear,2
separation,6
measure,1
puddle,1
sight,1
philosophy,1
irony,1
charity,5
advice,6
beast,1
moonlight,1
appeal,3
instructor,5
paragraph,1
economy,2
traveler,2
disaster,1
butter,1
law,3
convergence,2
state,2
instinct,1
season,1
vapor,1
diversity,4
definition,1
lesson,3
spider,1
impossibility,1
window,1
cliff,1
mountain,1
disgust,4
onion,1
republic,3
chipmunk,1
pest,2
safety,2
skunk,1
shame,4
beetle,1
possibility,1
crown,1
retention,1
immortality,1
proportion,1
raspberry,1
beverage,1
metaphor,1
effect,1
weight,1
physics,1
curfew,3
teacher,5
salad,1
bullet,1
lemon,1
second,1
fisherman,2
uncertainty,2
shock,2
leadership,6
winter,1
ring,2
food,1
payment,3
recital,2
bag,1
sadness,2
behavior,4
lip,1
guilt,4
incident,2
annoyance,4
wood,1
mastery,2
victim,5
autumn,1
gender,3
leader,6
peacemaker,6
ownership,2
distance,2
cowardice,2
ally,7
jewel,1
truck,1
intelligence,2
palace,1
job,3
situation,2
summer,1
mileage,1
shrimp,1
parish,4
perception,2
ditch,1
fantasy,1
uncle,7
regret,2
bank,1
midnight,1
policeman,4
calculation,1
outfit,1
witness,4
verse,1
dentist,4
satisfaction,2
preference,2
originality,1
resort,1
fat,1
attention,3
writing,2
legality,2
size,1
smell,1
thief,4
heap,1
dagger,1
underworld,2
fifteen,1
mold,1
frustration,3
shirt,1
brain,1
expression,3
edge,1
ignition,1
name,2
darkness,1
message,5
square,1
site,1
snake,1
consideration,5
occupation,2
claim,2
pretense,4
silence,2
mystery,1
wallet,1
corn,1
caterpillar,1
calendar,1
opposition,5
chlorine,1
candidate,4
road,1
method,1
leopard,1
shark,1
neighborhood,4
cognition,1
promotion,3
holiday,2
necklace,1
tendency,1
lion,1
car,1
bandit,4
oven,1
atrocity,4
pyramid,1
interaction,7
talent,1
master,5
eight,1
clothing,1
duck,1
donor,4
protection,4
guide,4
peach,1
description,2
bubble,1
production,1
risk,1
university,2
tide,1
limitation,1
amplitude,1
principle,2
magnitude,1
bird,1
value,2
consistency,2
corpse,1
show,2
irrigation,1
jacket,1
church,3
truth,3
girl,3
wage,2
uniform,1
tragedy,2
selection,1
lamp,1
literature,1
development,1
temperature,1
drug,1
memory,2
riot,4
difference,2
knowledge,1
identification,2
affection,7
chair,1
boulder,1
typewriter,1
eagle,1
availability,2
acre,1
roof,1
competence,2
context,1
ocean,1
rent,2
twig,1
alley,1
exception,1
regulation,2
kite,1
fallacy,1
drum,1
group,5
outcome,1
baby,4
sole,1
distribution,1
responsibility,4
play,3
meeting,6
dynasty,4
prediction,1
preparation,1
debt,4
empty,1
professor,5
empire,3
relief,2
shape,1
youth,2
reinforcement,2
construction,1
security,2
blood,2
odor,1
towel,1
punishment,5
insight,2
arrow,1
tax,2
mother,7
appointment,5
diet,1
ball,1
tension,4
acquisition,1
identity,3
missile,1
individual,3
inch,1
territory,1
loafer,2
hobby,1
despair,2
cocktail,2
boat,1
sofa,1
decision,1
hierarchy,5
ability,1
river,1
wisdom,2
sanctuary,1
gun,1
recognition,4
item,1
banana,1
newspaper,1
lens,1
propeller,1
origin,1
mustard,1
malice,6
city,2
fate,1
grief,3
rebel,4
specimen,1
vision,1
myth,1
synagogue,3
nurse,5
accumulation,1
soul,2
peace,4
itch,1
democracy,4
animal,1
desk,1
purpose,1
tennis,2
tune,1
liar,6
coffin,1
mud,1
damage,1
division,3
accident,1
pawn,2
costume,1
weather,1
wave,1
street,1
bolt,1
fight,6
honesty,6
tongue,1
love,7
stupidity,2
spelling,1
psalm,1
line,1
corporation,3
body,1
blade,1
idea,1
pillow,1
theory,1
improvement,1
example,1
band,4
stapler,1
television,1
danger,1
cause,1
butterfly,1
coffee,1
aspect,1
topic,1
exclusion,6
opportunity,1
envy,6
establishment,2
sneeze,1
station,1
mind,1
justice,4
neck,1
rabbit,1
complication,2
christmas,3
dimension,1
wolf,1
core,1
cottage,1
supply,1
real,1
attempt,1
quality,1
suggestion,4
puppy,1
interior,1
anger,5
riddle,2
macaroni,1
pigeon,1
proof,2
introduction,6
starch,1
rainbow,1
imagination,1
water,1
length,1
tallness,1
design,1
crisis,2
murder,6
rhyme,1
necessity,1
moral,4
horse,1
assumption,2
dozen,1
majority,3
brute,4
queen,4
adversity,2
object,1
iron,1
orchestra,4
time,1
opinion,3
distraction,2
mercy,6
father,7
skill,1
coincidence,1
requirement,2
laundry,1
sky,1
friendship,7
number,1
standard,1
mattress,1
infection,1
march,1
sister,7
reason,1
article,1
category,1
amount,1
faith,3
unit,1
income,1
