word,rating
lake,6
ambition,1
chance,1
individual,1
apology,1
opponent,1
boredom,1
cowardice,1
beetle,1
silence,1
bet,1
animal,1
coupon,1
faith,1
liar,1
lip,2
tongue,2
originality,1
ankle,2
potato,1
accumulation,1
outfit,1
chair,2
cognition,1
station,6
disaster,1
real,1
dilemma,1
scene,5
ally,1
ownership,1
theory,1
reinforcement,1
puppy,1
guide,4
damage,1
circumstance,2
state,4
response,1
key,1
boat,2
degree,3
crown,2
myth,1
blood,1
deduction,1
forest,6
latch,2
tune,1
show,1
interior,5
starch,1
mankind,1
infection,1
fabric,1
wood,1
tragedy,1
germ,1
iron,1
spider,1
calendar,1
affection,1
photograph,1
territory,6
incident,1
vapor,1
dentist,1
sword,1
flavor,1
clean,1
consistency,1
appeal,1
identification,1
fact,1
route,7
linen,1
macaroni,1
skin,2
stride,3
writing,1
roof,4
menu,1
division,2
value,1
suit,1
lamp,1
personality,1
contract,1
cloth,1
amount,1
intention,1
magic,1
confidence,1
duration,1
sandal,1
thing,1
mattress,1
addition,1
newspaper,1
opposition,2
leopard,1
pigeon,1
clearance,3
opinion,1
play,1
heart,2
irrigation,1
clothing,1
distance,6
fate,1
calculation,1
number,1
wisdom,1
vocabulary,1
talent,1
character,1
nose,2
salad,1
tree,1
risk,1
definition,1
ditch,5
hobby,1
adversity,1
inn,6
butter,1
pyramid,5
tomato,1
riot,1
independence,1
itch,1
temple,6
teacher,1
brain,2
occupation,1
ignition,1
suspect,1
costume,1
door,4
necessity,1
equality,1
orchid,1
bag,1
dove,1
chlorine,1
reflex,1
conference,1
result,1
helmet,1
beauty,1
shortness,2
verse,1
exception,1
bird,1
circuit,3
queen,1
charter,1
principle,1
music,1
want,1
relief,1
moral,1
jerk,2
metaphor,1
scent,1
girl,1
tradition,1
development,1
crisis,1
bubble,1
camera,1
pond,6
decision,1
job,1
frustration,1
error,1
student,1
reputation,1
fear,1
tool,1
shrimp,1
refrigerator,1
empty,1
kindness,1
impairment,1
wish,1
alligator,1
moment,1
injury,1
master,1
file,1
factory,5
body,1
weight,1
tide,2
lemon,1
television,1
coffin,2
admiration,1
tip,4
complication,1
shock,1
past,2
park,6
line,4
nerve,1
income,1
specialist,1
lesson,1
cause,1
squeak,1
insight,1
hotel,6
peacemaker,1
law,1
conscience,1
misery,1
dimension,4
pill,1
alley,6
banana,1
pest,1
debt,1
march,2
justice,1
sanctuary,5
meeting,1
cucumber,1
expression,1
opera,1
significance,1
intelligence,1
object,1
tallness,3
grasshopper,1
purpose,1
mosquito,1
assault,1
pillow,1
anxiety,1
hope,1
fountain,3
benefactor,1
love,1
drum,1
stimulus,1
beverage,1
mountain,6
capacity,2
awareness,1
danger,1
raspberry,1
reality,1
acquisition,1
snow,1
appointment,1
ocean,6
wave,2
composer,1
guilt,1
payment,1
jacket,1
city,6
lamb,1
retention,1
requirement,1
miracle,1
segment,3
oven,2
kitten,1
trust,1
flask,1
preparation,1
imagination,1
bridge,5
towel,1
coincidence,1
context,2
hospital,6
article,1
mercy,1
rabbit,1
spirit,1
rebel,1
interruption,1
design,1
criticism,1
duty,1
fog,1
peach,1
professor,1
friendship,1
cup,1
length,4
form,1
lunch,1
square,4
empire,4
pimple,1
shirt,1
pile,2
abundance,1
visitor,1
responsibility,1
location,7
corporation,1
literature,1
laundry,1
landscape,5
eagle,1
presence,2
tendency,2
construction,1
regulation,1
rocket,2
church,6
doctor,1
topic,1
midnight,1
conclusion,2
neck,2
car,1
fat,1
volume,2
story,1
physics,1
security,1
hog,1
name,1
lens,1
cow,1
chipmunk,1
christmas,1
possibility,1
suggestion,1
fallacy,1
robbery,1
assistance,1
distribution,2
skill,1
stranger,1
record,1
instructor,1
mold,1
occasion,1
hurricane,1
medicine,1
cocktail,1
institute,4
pig,1
guess,1
uncle,1
owner,1
hazard,1
desk,2
apple,1
pie,1
convergence,4
ability,1
democracy,1
grief,1
bed,3
fantasy,1
bolt,1
material,1
issue,1
rent,1
belief,1
rhyme,1
hat,1
variety,1
consideration,1
wage,1
arrow,7
identity,1
advice,1
corpse,1
contempt,1
message,1
math,1
paradigm,1
lightning,1
necklace,1
idea,1
assumption,1
future,1
bracelet,1
despair,1
stupidity,1
skunk,1
cat,1
size,2
method,1
pawn,1
laughter,1
cottage,6
ambulance,1
puddle,4
industry,1
effect,1
crocodile,1
proof,1
waste,1
immortality,1
economy,1
property,5
chocolate,1
scholar,1
incentive,1
coffee,1
tension,1
consequence,1
lobster,1
opportunity,1
uncertainty,1
volt,1
cake,1
justification,1
self,1
safety,1
fireplace,4
grammar,1
leader,1
establishment,5
irony,1
poll,1
fisherman,1
season,1
lane,6
odor,1
event,1
thief,1
saloon,6
extent,4
introduction,2
caterpillar,1
grandmother,1
entree,1
category,1
idiom,1
arc,4
winter,1
explanation,1
moonlight,1
figure,1
shark,1
hurt,1
member,1
riddle,1
adventurer,1
worry,1
