word,rating
candidate,1
irrigation,2
democracy,1
snow,7
announcement,1
neighborhood,2
music,2
crown,6
identity,1
midnight,1
hurt,6
adventurer,2
comparison,1
arrow,6
method,1
segment,2
disappointment,1
specialist,1
majority,1
lily,6
rainbow,1
iron,7
relief,3
bolt,6
riot,3
stride,4
hope,1
shortness,2
ally,1
economy,1
ditch,5
stimulus,3
justification,1
pie,6
clearance,1
sight,1
ambulance,4
blood,7
pile,5
limitation,1
abundance,1
outcome,1
regulation,1
cake,6
macaroni,6
twig,7
cognition,1
beast,5
grammar,1
duty,1
standard,1
talent,1
roof,5
lens,6
student,2
worry,2
instinct,1
guess,1
second,1
nation,1
uniform,6
cranberry,6
route,1
ignition,4
occupation,1
separation,1
linen,7
view,1
speech,1
obstruction,4
soul,1
grandmother,4
dove,5
sofa,7
regret,1
suit,6
frustration,2
disaster,1
skin,7
football,6
appeal,1
integrity,1
adversity,1
memory,1
skull,6
station,3
fate,1
consequence,1
attempt,1
raspberry,6
university,2
cloth,7
cup,6
context,1
poetry,1
candy,6
mileage,1
liar,1
trust,1
oven,6
key,6
traveler,2
mustard,6
admiration,1
sadness,2
accumulation,1
conscience,1
rabbit,6
fireplace,6
bridge,4
measure,1
costume,6
intention,1
menu,5
deduction,1
window,6
loafer,6
butter,7
convergence,1
fight,5
winter,6
verse,1
advice,1
form,3
immortality,1
engagement,1
mind,1
trumpet,6
margin,1
puddle,6
amplitude,1
orchid,6
scene,1
reflex,4
interior,2
empire,1
insight,1
aspect,1
denial,1
grasshopper,5
stapler,6
tallness,2
cause,1
article,4
opposition,1
introduction,1
retention,1
pretense,1
capacity,1
pigeon,5
silence,1
boy,4
mastery,1
definition,1
grief,2
replacement,1
quality,1
skill,1
affection,4
thorn,7
reality,1
banana,6
leader,2
danger,2
self,2
edge,6
lunch,5
laughter,3
myth,1
pawn,6
reputation,1
dozen,1
dagger,6
donor,2
duel,3
arc,2
temple,3
shame,2
victim,2
deceit,1
dad,4
paradigm,1
proof,1
charity,1
vocabulary,1
brother,4
pillow,7
propeller,6
significance,1
rule,1
friendship,2
weight,6
suspect,2
marriage,1
episode,1
determination,1
photo,5
landscape,2
shape,5
rhyme,1
situation,1
love,3
synagogue,3
moral,1
object,5
opinion,1
miracle,1
beaver,5
march,4
fat,6
income,1
requirement,1
sanctuary,2
lobster,6
palace,3
bank,2
pig,5
moonlight,1
coffee,6
core,4
competence,1
wood,7
salary,1
cow,5
protection,1
woman,4
brain,6
television,5
justice,1
brawl,6
unity,1
nose,6
wave,6
mankind,1
interruption,1
bottle,6
spelling,1
lizard,6
foundation,4
hurricane,6
professor,2
institute,2
sugar,7
helplessness,2
purpose,1
lane,3
territory,1
contract,4
coffin,6
bird,5
physics,1
proportion,1
line,2
salad,6
consistency,4
development,1
holiday,1
exclusion,1
event,1
jewel,6
promotion,1
acre,1
pest,3
availability,1
gender,1
fantasy,1
shock,5
performance,1
phenomenon,1
uncertainty,1
weather,5
reinforcement,1
time,1
necessity,1
towel,7
saloon,3
permission,1
category,1
bandit,2
doctor,3
diet,1
tide,5
heresy,1
length,3
policeman,2
magic,1
apple,6
unit,1
queen,2
mystery,1
emergence,1
republic,1
contempt,1
law,1
baby,6
starch,5
radio,5
kitten,7
description,1
eagle,5
preference,1
theory,1
variety,1
group,2
alley,3
burner,6
material,6
darkness,1
mile,1
toilet,6
medicine,5
security,1
lemon,6
bed,7
distance,1
file,5
kite,5
fear,3
suggestion,1
robin,5
ocean,6
cat,7
germ,1
art,3
eight,1
individual,2
nurse,3
correspondent,2
claim,1
butterfly,4
duck,5
lamb,6
horse,6
mansion,3
real,1
missile,5
effect,1
truth,1
incentive,1
border,1
diamond,6
beauty,1
guide,2
drum,6
logic,1
assumption,1
infection,4
lock,6
explanation,1
thing,3
benefactor,1
bag,6
reason,1
fog,5
establishment,1
gesture,3
vapor,4
increase,1
mercy,1
tendency,1
destiny,1
figure,3
pyramid,5
translation,1
autumn,3
entrance,2
atrocity,1
lamp,5
squeak,1
risk,1
occasion,1
road,5
ignorance,1
difference,1
mosquito,5
street,5
boredom,1
peace,1
grass,7
location,1
knife,7
calculation,1
opportunity,1
season,2
wolf,5
neck,6
extent,1
typewriter,6
shark,5
reduction,1
branch,6
empty,1
heart,5
chicken,5
malice,1
zoo,2
beetle,5
band,2
lisp,2
interaction,2
owner,1
cowardice,1
corporation,1
incident,1
parish,1
site,1
identification,1
bracelet,6
mud,7
christmas,2
evidence,1
produce,5
park,3
anxiety,3
cucumber,6
coupon,4
dentist,4
lettuce,6
prop,5
guilt,2
leopard,5
imagination,1
ankle,6
conference,1
impairment,2
lip,7
tension,4
father,4
pill,6
duration,1
teacher,2
faith,1
handkerchief,6
microscope,6
eyeball,6
construction,3
camera,6
want,1
boat,5
animal,5
future,1
alphabet,1
onion,6
ambition,1
degree,1
sword,6
church,3
exception,1
supply,1
accident,4
wage,1
calendar,4
laundry,6
industry,1
manner,1
hazard,1
peach,7
philosophy,1
behavior,1
misery,2
response,1
fallacy,1
specimen,4
state,1
thought,1
belief,1
ballot,4
opponent,2
show,1
independence,1
temperature,7
blade,7
satisfaction,2
corn,6
alligator,6
literature,2
metaphor,1
youth,1
bullet,6
charter,2
car,5
mold,6
principle,1
circumstance,1
property,1
wish,1
conclusion,1
cocktail,6
division,1
mountain,4
volcano,5
item,3
stupidity,1
steam,6
anger,3
writing,4
leadership,1
rent,1
stranger,2
magnitude,1
hospital,2
river,6
photograph,5
opera,1
name,1
flask,6
appointment,1
rocket,4
escape,2
distraction,1
city,2
meeting,1
latch,6
nerve,4
robbery,2
instance,1
lesson,1
paragraph,1
vision,1
frog,6
sole,6
jacket,6
tradition,1
past,1
sister,4
payment,2
gun,6
size,3
curfew,1
food,6
tragedy,1
legality,1
hotel,2
mother,4
outfit,6
diversity,1
example,1
girl,4
issue,1
despair,2
three,1
job,1
waste,4
prediction,1
tree,6
selection,1
responsibility,1
skunk,5
psalm,1
presence,2
resort,2
month,1
effort,3
knowledge,1
tip,5
lake,6
ring,6
possibility,1
comprehension,1
injury,6
attention,1
door,6
confidence,1
refrigerator,6
value,1
math,1
chocolate,6
chair,6
clean,3
apology,1
acquisition,1
scent,1
irony,1
expression,2
enemy,2
mattress,7
necklace,6
potato,6
truck,5
factory,2
jerk,5
tune,1
island,3
combination,1
underworld,1
idiom,1
lightning,4
drama,1
bubble,6
honesty,1
sandal,6
murder,3
drug,5
ownership,1
willingness,1
body,7
visitor,2
boulder,6
preparation,1
cliff,5
production,1
sneeze,5
origin,1
message,1
itch,7
topic,1
wallet,6
cottage,3
lion,5
advantage,1
water,7
awareness,1
pimple,6
dimension,2
sow,5
sedative,4
character,1
kindness,1
deputy,2
rebel,2
beverage,6
revenge,1
odor,1
poll,1
hat,6
chipmunk,5
ceremony,1
summer,5
spider,6
decision,1
composer,1
safety,1
volume,2
scholar,1
consideration,1
crisis,1
hierarchy,1
impossibility,1
personality,1
fact,1
assault,6
assistance,1
brevity,1
puppy,7
accomplishment,1
boundary,2
betrayal,1
smell,1
result,1
chief,1
story,1
amount,1
coincidence,1
forest,4
attitude,1
shirt,7
damage,3
tongue,7
genuine,1
clothing,7
moment,1
corpse,6
volt,5
inch,1
child,5
bell,6
fountain,5
loan,1
chance,1
tomato,6
gorilla,5
chlorine,4
improvement,1
ability,1
electricity,5
information,1
bet,1
arrangement,1
tool,6
number,1
addition,1
tennis,4
freedom,1
design,1
atom,1
instructor,2
shrimp,6
crocodile,6
fifteen,1
bedroom,4
flavor,4
brute,4
member,1
entree,5
witness,1
intelligence,1
hatred,2
fabric,7
dynasty,1
ball,6
inn,2
artist,2
importance,1
punishment,3
uncle,3
dilemma,1
snake,6
idea,1
stick,6
caterpillar,6
ceiling,3
spirit,1
wisdom,1
hog,5
circuit,3
crime,1
subtraction,1
recognition,1
square,4
money,5
helmet,6
envy,1
debt,1
distribution,1
pool,6
sky,1
originality,1
thief,2
record,5
play,2
disagreement,1
newspaper,5
perception,1
recital,1
heap,4
tax,1
master,1
pond,6
peacemaker,1
annoyance,1
orchestra,1
elephant,5
equality,1
desk,6
fisherman,2
disgust,2
complication,1
hobby,2
criticism,1
riddle,1
error,1
