word,rating
corporation,1
deputy,1
brawl,1
church,1
uncle,1
moral,1
faith,1
mountain,1
shirt,1
duel,1
hospital,1
lip,1
love,1
material,1
ambulance,1
enemy,1
event,5
honesty,1
tennis,1
missile,1
origin,5
waste,1
route,3
university,1
limitation,1
poetry,1
artist,1
instructor,1
salary,1
arrangement,4
personality,1
opposition,1
pretense,1
rent,1
possibility,1
ignition,1
circumstance,1
justification,1
gesture,1
lobster,1
insight,1
selection,1
accumulation,3
student,1
topic,1
philosophy,1
gorilla,1
myth,1
misery,1
truth,1
member,1
purpose,1
temperature,1
station,1
marriage,1
outcome,4
cliff,1
puddle,1
lens,1
skin,1
complication,1
peace,1
mustard,1
beverage,1
beaver,1
consistency,3
television,1
logic,2
chief,1
brain,1
cocktail,1
danger,1
pest,1
truck,1
mercy,1
metaphor,1
intelligence,1
damage,1
explanation,1
banana,1
beast,1
oven,1
body,1
holiday,4
theory,1
rocket,1
addition,2
integrity,1
pawn,1
form,1
supply,1
attention,2
hope,1
circuit,2
annoyance,1
memory,4
stimulus,1
proof,1
empty,1
rainbow,1
charter,1
mystery,1
desk,1
music,3
hat,1
length,5
stupidity,1
donor,1
thorn,1
cottage,1
mud,1
crocodile,1
atrocity,1
teacher,1
group,1
establishment,1
zoo,1
meeting,3
site,1
horse,1
interruption,5
dentist,1
originality,1
orchestra,1
christmas,4
ceiling,1
denial,1
want,1
expression,1
shock,1
idiom,1
toilet,1
animal,1
typewriter,1
legality,1
fountain,1
subtraction,1
victim,1
unit,2
requirement,1
car,1
security,1
preparation,3
season,6
sword,1
brevity,6
future,7
menu,2
helplessness,1
woman,1
rhyme,1
cow,1
duration,7
ballot,1
cat,1
hierarchy,5
incident,4
capacity,1
blade,1
grass,1
miracle,1
autumn,6
introduction,4
chlorine,1
jerk,1
outfit,1
frog,1
attempt,1
assault,1
ceremony,3
leader,1
fisherman,1
willingness,1
grammar,2
talent,1
criticism,1
appointment,5
river,1
clearance,1
ditch,1
phenomenon,1
island,1
permission,1
flask,1
tax,1
loafer,1
calculation,1
identity,1
starch,1
fat,1
ankle,1
development,4
tool,1
ownership,1
abundance,1
visitor,1
doctor,1
laundry,1
importance,1
inch,1
cranberry,1
arc,1
girl,1
chair,1
destiny,4
magic,1
square,1
saloon,1
jewel,1
eight,1
cake,1
lily,1
second,7
wave,2
ignorance,1
laughter,1
engagement,3
boat,1
debt,1
impossibility,1
conference,3
speech,2
blood,1
opponent,1
caterpillar,1
revenge,1
wood,1
grasshopper,1
definition,1
mattress,1
ocean,1
leadership,1
bell,1
grief,1
result,4
tendency,1
combination,1
measure,3
policeman,1
anxiety,1
shape,1
sneeze,1
raspberry,1
dagger,1
linen,1
factory,1
irrigation,1
volt,1
comparison,1
paradigm,1
odor,1
