word,rating
candidate,5
irrigation,4
democracy,1
snow,7
announcement,2
neighborhood,5
music,2
crown,7
identity,1
midnight,2
hurt,2
adventurer,5
comparison,1
arrow,7
method,1
segment,3
disappointment,1
specialist,5
majority,2
lily,7
rainbow,7
iron,7
relief,1
bolt,7
riot,4
stride,3
hope,1
shortness,2
ally,4
economy,1
ditch,6
stimulus,2
justification,1
pie,7
clearance,2
sight,3
ambulance,7
blood,7
pile,6
limitation,1
abundance,2
outcome,1
regulation,1
cake,7
macaroni,7
twig,7
cognition,1
beast,6
grammar,1
duty,1
standard,2
talent,1
roof,7
lens,7
student,5
worry,1
instinct,1
guess,1
second,1
nation,3
uniform,7
cranberry,7
route,4
ignition,4
occupation,2
separation,2
linen,7
view,4
speech,2
obstruction,5
soul,1
grandmother,6
dove,7
sofa,7
regret,1
suit,7
frustration,1
disaster,3
skin,7
football,7
appeal,2
integrity,1
adversity,1
memory,1
skull,7
station,6
fate,1
consequence,1
attempt,2
raspberry,7
university,6
cloth,7
cup,7
context,1
poetry,2
candy,7
mileage,2
liar,5
trust,1
oven,7
key,7
traveler,5
mustard,7
admiration,1
sadness,1
accumulation,3
conscience,1
rabbit,7
fireplace,7
bridge,7
measure,3
costume,7
intention,1
menu,6
deduction,1
window,7
loafer,7
butter,7
convergence,2
fight,4
winter,4
verse,2
advice,1
form,5
immortality,1
engagement,2
mind,1
trumpet,7
margin,3
puddle,7
amplitude,2
orchid,7
scene,5
reflex,2
interior,5
empire,3
insight,1
aspect,2
denial,1
grasshopper,7
stapler,7
tallness,3
cause,1
article,6
opposition,2
introduction,1
retention,1
pretense,1
capacity,2
pigeon,7
silence,1
boy,6
mastery,1
definition,1
grief,1
replacement,3
quality,1
skill,1
affection,1
thorn,7
reality,1
banana,7
leader,5
danger,2
self,2
edge,5
lunch,6
laughter,2
myth,1
pawn,7
reputation,1
dozen,2
dagger,7
donor,5
duel,4
arc,5
temple,7
shame,1
victim,5
deceit,1
dad,6
paradigm,1
proof,2
charity,2
vocabulary,1
brother,6
pillow,7
propeller,7
significance,1
rule,1
friendship,1
weight,3
suspect,5
marriage,3
episode,2
determination,1
photo,7
landscape,7
shape,6
rhyme,1
situation,1
love,1
synagogue,7
moral,1
object,6
opinion,1
miracle,1
beaver,7
march,3
fat,4
income,2
requirement,1
sanctuary,6
lobster,7
palace,7
bank,6
pig,7
moonlight,5
coffee,7
core,4
competence,1
wood,7
salary,2
cow,7
protection,2
woman,6
brain,7
television,7
justice,1
brawl,4
unity,1
nose,7
wave,6
mankind,4
interruption,2
bottle,7
spelling,2
lizard,7
foundation,4
hurricane,5
professor,6
institute,5
sugar,7
helplessness,1
purpose,1
lane,6
territory,5
contract,6
coffin,7
bird,7
physics,1
proportion,2
line,5
salad,7
consistency,2
development,2
holiday,2
exclusion,1
event,2
jewel,7
promotion,1
acre,4
pest,5
availability,1
gender,1
fantasy,2
shock,2
performance,3
phenomenon,2
uncertainty,1
weather,4
reinforcement,2
time,1
necessity,1
towel,7
saloon,7
permission,1
category,1
bandit,6
doctor,6
diet,2
tide,5
heresy,1
length,3
policeman,6
magic,2
apple,7
unit,2
queen,6
mystery,1
emergence,2
republic,2
contempt,1
law,1
baby,7
starch,6
radio,7
kitten,7
description,2
eagle,7
preference,1
theory,1
variety,1
group,4
alley,7
burner,7
material,6
darkness,3
mile,2
toilet,7
medicine,6
security,1
lemon,7
bed,7
distance,2
file,6
kite,7
fear,1
suggestion,1
robin,7
ocean,7
cat,7
germ,5
art,5
eight,2
individual,5
nurse,6
correspondent,5
claim,1
butterfly,7
duck,7
lamb,7
horse,7
mansion,7
real,1
missile,7
effect,1
truth,1
incentive,1
border,4
diamond,7
beauty,2
guide,5
drum,7
logic,1
assumption,1
infection,3
lock,7
explanation,1
thing,4
benefactor,5
bag,7
reason,1
fog,6
establishment,4
gesture,4
vapor,6
increase,2
mercy,1
tendency,1
destiny,1
figure,5
pyramid,7
translation,2
autumn,4
entrance,6
atrocity,2
lamp,7
squeak,1
risk,1
occasion,1
road,7
ignorance,1
difference,1
mosquito,7
street,7
boredom,1
peace,1
grass,7
location,4
knife,7
calculation,1
opportunity,1
season,2
wolf,7
neck,7
extent,2
typewriter,7
shark,7
reduction,1
branch,7
empty,2
heart,7
chicken,7
malice,1
zoo,7
beetle,7
band,6
lisp,1
interaction,2
owner,5
cowardice,1
corporation,3
incident,2
parish,4
site,5
identification,2
bracelet,7
mud,7
christmas,3
evidence,3
produce,6
park,7
anxiety,1
cucumber,7
coupon,7
dentist,6
lettuce,7
prop,6
guilt,1
leopard,7
imagination,1
ankle,7
conference,4
impairment,2
lip,7
tension,2
father,6
pill,7
duration,1
teacher,6
faith,1
handkerchief,7
microscope,7
eyeball,7
construction,5
camera,7
want,1
boat,7
animal,7
future,1
alphabet,5
onion,7
ambition,1
degree,2
sword,7
church,7
exception,1
supply,4
accident,3
wage,2
calendar,7
laundry,7
industry,4
manner,1
hazard,2
peach,7
philosophy,1
behavior,2
misery,1
response,1
fallacy,1
specimen,6
state,2
thought,1
belief,1
ballot,6
opponent,5
show,4
independence,1
temperature,2
blade,7
satisfaction,1
corn,7
alligator,7
literature,3
metaphor,1
youth,3
bullet,7
charter,5
car,7
mold,7
principle,1
circumstance,1
property,5
wish,1
conclusion,1
cocktail,7
division,2
mountain,7
volcano,7
item,5
stupidity,1
steam,6
anger,1
writing,5
leadership,1
rent,2
stranger,6
magnitude,2
hospital,7
river,7
photograph,7
opera,4
name,2
flask,7
appointment,2
rocket,7
escape,2
distraction,2
city,7
meeting,4
latch,7
nerve,5
robbery,3
instance,1
lesson,2
paragraph,6
vision,2
frog,7
sole,6
jacket,7
tradition,1
past,1
sister,6
payment,3
gun,7
size,3
curfew,1
food,7
tragedy,2
legality,1
hotel,7
mother,6
outfit,7
diversity,1
example,2
girl,7
issue,1
despair,1
three,2
job,2
waste,5
prediction,1
tree,7
selection,2
responsibility,1
skunk,7
psalm,3
presence,1
resort,6
month,1
effort,1
knowledge,1
tip,5
lake,7
ring,7
possibility,1
comprehension,1
injury,4
attention,1
door,7
confidence,1
refrigerator,7
value,1
math,2
chocolate,7
chair,7
clean,2
apology,1
acquisition,2
scent,1
irony,1
expression,3
enemy,5
