word,rating
ability,4
abundance,5
accident,3
accomplishment,6
accumulation,3
acquisition,5
acre,2
addition,4
admiration,5
advantage,6
adventurer,5
adversity,3
advice,4
affection,6
alley,2
alligator,3
ally,5
alphabet,2
ambition,6
ambulance,3
amount,3
amplitude,3
anger,3
animal,4
ankle,3
announcement,3
annoyance,4
anxiety,3
apology,5
appeal,5
apple,3
appointment,4
arc,2
arrangement,4
arrow,4
art,5
article,3
artist,5
aspect,3
assault,2
assistance,6
assumption,4
atom,2
atrocity,2
attempt,5
attention,5
attitude,4
autumn,3
availability,4
awareness,5
baby,4
bag,2
ball,3
ballot,2
banana,3
band,3
bandit,2
bank,3
beast,4
beauty,5
beaver,2
bed,2
bedroom,3
beetle,2
behavior,4
belief,5
bell,2
benefactor,5
bet,3
betrayal,2
beverage,2
bird,4
blade,3
blood,2
boat,3
body,4
bolt,2
border,3
boredom,3
bottle,2
boulder,2
boundary,3
boy,3
bracelet,2
brain,4
branch,3
brawl,2
brevity,3
bridge,4
brother,5
brute,2
bubble,3
bullet,2
burner,2
butter,2
butterfly,4
cake,3
calculation,4
calendar,3
camera,3
candidate,4
candy,3
capacity,4
car,3
cat,3
category,4
caterpillar,2
cause,4
ceiling,2
ceremony,4
chair,2
chance,4
character,5
charity,5
charter,3
chicken,3
chief,4
child,4
chipmunk,2
chlorine,1
chocolate,3
christmas,4
church,4
circuit,2
circumstance,4
city,3
claim,4
clean,3
clearance,2
cliff,2
cloth,2
clothing,3
cocktail,2
coffee,2
coffin,1
cognition,5
coincidence,3
combination,4
comparison,4
competence,5
complication,3
composer,4
comprehension,5
conclusion,4
conference,4
confidence,6
conscience,5
consequence,4
consideration,5
consistency,5
construction,4
contempt,2
context,4
contract,4
convergence,3
core,3
corn,2
corporation,3
corpse,1
correspondent,4
costume,3
cottage,3
coupon,2
cow,2
cowardice,2
cranberry,2
crime,2
crisis,3
criticism,3
crocodile,2
crown,3
cucumber,2
cup,2
curfew,2
dad,4
dagger,2
damage,3
danger,3
darkness,2
debt,3
deceit,2
decision,5
deduction,4
definition,4
degree,3
democracy,4
denial,3
dentist,3
deputy,3
description,4
design,4
desk,2
despair,2
destiny,4
determination,6
development,5
diamond,3
diet,3
difference,4
dilemma,4
dimension,3
disagreement,3
disappointment,4
disaster,3
disgust,2
distance,3
distraction,3
distribution,4
ditch,2
diversity,4
division,3
doctor,4
donor,5
door,2
dove,4
dozen,2
drama,4
drug,2
drum,2
duck,3
duel,2
duration,3
duty,4
dynasty,3
eagle,4
economy,4
edge,3
effect,4
effort,5
eight,2
electricity,3
elephant,3
emergence,4
empire,3
empty,2
enemy,3
engagement,4
entrance,3
entree,3
envy,3
episode,3
equality,4
error,3
escape,4
establishment,4
event,4
evidence,5
example,4
exception,3
exclusion,3
explanation,5
expression,5
extent,3
eyeball,2
fabric,2
fact,3
factory,3
faith,5
fallacy,3
fantasy,4
fat,2
fate,4
father,4
fear,3
fifteen,2
fight,3
figure,3
file,2
fireplace,3
fisherman,3
flask,2
flavor,3
fog,2
food,3
football,3
forest,4
form,3
foundation,4
fountain,3
freedom,6
friendship,6
frog,3
frustration,4
future,4
gender,3
genuine,5
germ,2
gesture,4
girl,3
gorilla,3
grammar,3
grandmother,4
grass,3
grasshopper,2
grief,3
group,4
guess,3
guide,4
guilt,3
gun,2
handkerchief,2
hat,2
hatred,2
hazard,3
heap,2
heart,4
helmet,2
helplessness,3
heresy,2
hierarchy,3
hobby,4
hog,2
holiday,4
honesty,6
hope,6
horse,4
hospital,4
hotel,3
hurricane,3
hurt,3
idea,4
identification,4
identity,5
idiom,3
ignition,2
ignorance,2
imagination,6
immortality,4
impairment,3
importance,5
impossibility,2
improvement,5
incentive,4
inch,2
incident,4
income,4
increase,4
independence,6
individual,4
industry,3
infection,3
information,5
injury,3
inn,3
insight,5
instance,3
instinct,4
institute,4
instructor,4
integrity,6
intelligence,5
intention,4
interaction,4
interior,3
interruption,3
introduction,4
iron,2
irony,3
irrigation,3
island,3
issue,4
itch,2
item,3
jacket,3
jerk,2
jewel,3
job,3
justice,5
justification,4
key,2
kindness,6
kite,3
kitten,3
knife,2
knowledge,6
lake,3
lamb,3
lamp,2
landscape,4
lane,2
latch,2
laughter,5
laundry,2
law,3
leader,4
leadership,5
legality,4
lemon,2
length,3
lens,3
leopard,3
lesson,4
lettuce,2
liar,2
lightning,3
lily,2
limitation,3
line,2
linen,2
lion,4
lip,2
lisp,2
literature,4
lizard,2
loafer,2
loan,3
lobster,2
location,3
lock,2
logic,4
love,6
lunch,3
macaroni,3
magic,4
magnitude,3
majority,4
malice,2
mankind,4
manner,3
mansion,3
march,3
margin,3
marriage,4
master,4
mastery,6
material,3
math,4
mattress,2
measure,4
medicine,5
meeting,4
member,4
memory,5
menu,3
mercy,5
message,4
metaphor,4
method,4
microscope,3
midnight,2
mile,3
mileage,3
mind,4
miracle,4
misery,3
missile,2
mold,2
moment,3
money,4
month,3
moonlight,3
moral,4
mosquito,2
mother,4
mountain,4
mud,2
murder,2
music,5
mustard,2
mystery,3
myth,3
name,3
nation,4
necessity,4
neck,2
necklace,2
neighborhood,4
nerve,3
newspaper,3
nose,2
number,3
nurse,4
object,3
obstruction,3
occasion,4
occupation,4
ocean,4
odor,2
onion,2
opera,4
opinion,4
opponent,4
opportunity,6
opposition,4
orchestra,4
orchid,3
origin,4
originality,4
outcome,4
outfit,3
oven,2
owner,3
ownership,4
palace,3
paradigm,4
paragraph,3
parish,3
park,3
past,3
pawn,2
payment,4
peace,6
peacemaker,5
peach,2
perception,4
performance,4
permission,4
personality,4
pest,3
phenomenon,4
philosophy,4
photo,3
photograph,3
physics,4
pie,3
pig,2
pigeon,3
pile,2
pill,2
pillow,2
pimple,2
play,4
poetry,5
policeman,3
poll,3
pond,3
pool,3
possibility,4
potato,3
prediction,4
preference,4
preparation,4
presence,4
pretense,3
principle,4
produce,4
production,4
professor,4
promotion,4
proof,4
prop,2
propeller,2
property,4
proportion,3
protection,5
psalm,3
puddle,2
punishment,3
puppy,4
purpose,4
pyramid,3
quality,4
queen,3
rabbit,3
radio,3
rainbow,4
raspberry,2
real,4
reality,3
reason,3
rebel,6
recital,2
recognition,4
record,3
reduction,3
reflex,3
refrigerator,2
regret,3
regulation,2
reinforcement,6
relief,4
rent,2
replacement,3
republic,2
reputation,3
requirement,4
resort,3
response,4
responsibility,4
result,3
retention,2
revenge,3
rhyme,2
riddle,3
ring,3
riot,3
risk,4
river,3
road,4
robbery,3
robin,3
rocket,6
roof,2
route,3
rule,3
sadness,2
safety,4
salad,2
salary,3
saloon,2
sanctuary,2
sandal,3
satisfaction,4
scene,4
scent,3
scholar,3
season,3
second,3
