word,rating
candidate,4
irrigation,3
democracy,5
snow,4
announcement,3
neighborhood,6
music,7
crown,5
identity,6
midnight,4
hurt,2
adventurer,5
comparison,4
arrow,3
method,4
segment,3
disappointment,2
specialist,4
majority,5
lily,6
rainbow,7
iron,3
relief,6
bolt,3
riot,2
stride,4
hope,7
shortness,3
ally,6
economy,4
ditch,2
stimulus,5
justification,5
pie,6
clearance,3
sight,6
ambulance,4
blood,2
pile,3
limitation,3
abundance,6
outcome,5
regulation,3
cake,6
macaroni,5
twig,3
cognition,5
beast,2
grammar,4
duty,5
standard,4
talent,6
roof,4
lens,4
student,5
worry,3
instinct,5
guess,3
second,3
nation,5
uniform,4
cranberry,4
route,4
ignition,3
occupation,4
separation,3
linen,4
view,6
speech,5
obstruction,2
soul,6
grandmother,6
dove,7
sofa,4
regret,2
suit,4
frustration,3
disaster,2
skin,4
football,5
appeal,5
integrity,7
adversity,2
memory,6
skull,2
station,4
fate,3
consequence,4
attempt,4
raspberry,4
university,5
cloth,4
cup,4
context,5
poetry,6
candy,6
mileage,3
liar,1
trust,7
oven,4
key,4
traveler,5
mustard,3
admiration,6
sadness,2
accumulation,4
conscience,6
rabbit,5
fireplace,5
bridge,5
measure,4
costume,4
intention,5
menu,4
deduction,4
window,4
loafer,3
butter,4
convergence,4
fight,2
winter,4
verse,6
advice,5
form,4
immortality,5
engagement,5
mind,6
trumpet,4
margin,4
puddle,3
amplitude,4
orchid,6
scene,5
reflex,4
interior,4
empire,5
insight,6
aspect,4
denial,2
grasshopper,3
stapler,3
tallness,3
cause,4
article,4
opposition,3
introduction,4
retention,4
pretense,2
capacity,4
pigeon,4
silence,5
boy,4
mastery,6
definition,5
grief,2
replacement,4
quality,6
skill,6
affection,6
thorn,2
reality,5
banana,5
leader,5
danger,2
self,5
edge,4
lunch,5
laughter,6
myth,4
pawn,3
reputation,5
dozen,3
dagger,2
donor,5
duel,2
arc,3
temple,5
shame,2
victim,2
deceit,2
dad,5
paradigm,5
proof,5
charity,6
vocabulary,5
brother,6
pillow,5
propeller,4
significance,6
rule,4
friendship,7
weight,4
suspect,2
marriage,6
episode,4
determination,6
photo,5
landscape,6
shape,4
rhyme,5
situation,4
love,7
synagogue,4
moral,5
object,4
opinion,4
miracle,6
beaver,4
march,4
fat,3
income,4
requirement,4
sanctuary,6
lobster,4
palace,5
bank,4
pig,3
moonlight,6
coffee,5
core,4
competence,6
wood,4
salary,4
cow,3
protection,5
woman,4
brain,5
television,4
justice,6
brawl,2
unity,6
nose,3
wave,4
mankind,5
interruption,2
bottle,3
spelling,4
lizard,3
foundation,5
hurricane,2
professor,5
institute,4
sugar,4
helplessness,2
purpose,5
lane,3
territory,4
contract,4
coffin,2
bird,4
physics,4
proportion,4
line,3
salad,4
consistency,4
development,5
holiday,5
exclusion,2
event,4
jewel,5
promotion,5
acre,3
pest,2
availability,4
gender,4
fantasy,5
shock,2
performance,5
phenomenon,4
uncertainty,3
weather,4
reinforcement,5
time,4
necessity,4
towel,4
saloon,3
permission,5
category,4
bandit,2
doctor,5
diet,4
tide,4
heresy,2
length,4
policeman,4
magic,5
apple,5
unit,4
queen,5
mystery,5
emergence,4
republic,5
contempt,2
law,4
baby,5
starch,4
radio,4
kitten,5
description,4
eagle,5
preference,4
theory,5
variety,5
group,4
alley,3
burner,3
material,4
darkness,2
mile,4
toilet,2
medicine,5
security,5
lemon,4
bed,4
distance,4
file,3
kite,4
fear,2
suggestion,5
robin,4
ocean,5
cat,4
germ,2
art,5
eight,3
