word,rating
ability,2
abundance,3
accident,6
accomplishment,3
accumulation,3
acquisition,3
acre,7
addition,4
admiration,2
advantage,3
adventurer,5
adversity,2
advice,2
affection,2
alley,6
alligator,2
ally,3
alphabet,2
ambition,2
ambulance,6
amount,3
amplitude,3
anger,2
animal,2
ankle,5
announcement,2
annoyance,2
anxiety,2
apology,2
appeal,3
apple,1
appointment,3
arc,5
arrangement,3
arrow,7
art,2
article,2
artist,2
aspect,3
assault,6
assistance,3
assumption,2
atom,1
atrocity,2
attempt,3
attention,3
attitude,2
autumn,1
availability,3
awareness,2
baby,1
bag,1
ball,1
ballot,3
banana,1
band,2
bandit,5
bank,6
beast,2
beauty,2
beaver,2
bed,1
bedroom,6
beetle,1
behavior,2
belief,2
bell,1
benefactor,2
bet,2
betrayal,2
beverage,1
bird,1
blade,5
blood,1
boat,6
body,5
bolt,5
border,7
boredom,2
bottle,1
boulder,6
boundary,7
boy,1
bracelet,1
brain,2
branch,5
brawl,6
brevity,2
bridge,7
brother,1
brute,2
bubble,1
bullet,6
burner,1
butter,1
butterfly,1
cake,1
calculation,2
calendar,3
camera,1
candidate,2
candy,1
capacity,3
car,6
cat,1
category,2
caterpillar,1
cause,2
ceiling,1
ceremony,2
chair,1
chance,3
character,2
charity,2
charter,3
chicken,1
chief,2
child,1
chipmunk,1
chlorine,1
chocolate,1
christmas,2
church,6
circuit,3
circumstance,2
city,7
claim,2
clean,1
clearance,6
cliff,6
cloth,1
clothing,1
cocktail,1
coffee,1
coffin,6
cognition,2
coincidence,2
combination,3
comparison,2
competence,2
complication,2
composer,2
comprehension,2
conclusion,2
conference,3
confidence,2
conscience,2
consequence,2
consideration,2
consistency,2
construction,6
contempt,2
context,3
contract,3
convergence,3
core,3
corn,1
corporation,3
corpse,6
correspondent,2
costume,1
cottage,6
coupon,3
cow,1
cowardice,2
cranberry,1
crime,6
crisis,6
criticism,2
crocodile,2
crown,1
cucumber,1
cup,1
curfew,6
dad,1
dagger,6
damage,6
danger,6
darkness,1
debt,2
deceit,2
decision,3
deduction,2
definition,2
degree,3
democracy,2
denial,2
dentist,2
deputy,2
description,2
design,3
desk,1
despair,2
destiny,2
determination,2
development,3
diamond,1
diet,2
difference,2
dilemma,2
dimension,5
disagreement,2
disappointment,2
disaster,6
disgust,2
