word,rating
ability,4
abundance,3
accident,6
accomplishment,5
accumulation,6
acquisition,5
acre,3
addition,6
admiration,2
advantage,3
adventurer,4
adversity,5
advice,2
affection,2
alley,1
alligator,1
ally,2
alphabet,3
ambition,4
ambulance,6
amount,5
amplitude,3
anger,2
animal,1
ankle,1
announcement,6
annoyance,2
anxiety,5
apology,2
appeal,3
apple,1
appointment,6
arc,3
arrangement,5
arrow,4
art,1
article,2
artist,2
aspect,3
assault,6
assistance,4
assumption,4
atom,1
atrocity,6
attempt,5
attention,6
attitude,3
autumn,6
availability,5
awareness,4
baby,1
bag,1
ball,1
ballot,3
banana,1
band,1
bandit,4
bank,3
beast,1
beauty,1
beaver,1
bed,1
bedroom,1
beetle,1
behavior,3
belief,3
bell,1
benefactor,2
bet,3
betrayal,5
beverage,1
bird,1
blade,1
blood,1
boat,1
body,1
bolt,1
border,3
boredom,5
bottle,1
boulder,1
boundary,4
boy,1
bracelet,1
brain,3
branch,1
brawl,5
brevity,6
bridge,3
brother,1
brute,1
bubble,1
bullet,6
burner,1
butter,1
butterfly,1
cake,1
calculation,5
calendar,7
camera,1
candidate,4
candy,1
capacity,5
car,1
cat,1
category,3
caterpillar,1
cause,4
ceiling,1
ceremony,6
chair,1
chance,4
character,3
charity,2
charter,3
chicken,1
chief,2
child,1
chipmunk,1
chlorine,1
chocolate,1
christmas,7
church,3
circuit,3
circumstance,5
city,1
claim,3
clean,1
clearance,6
cliff,1
cloth,1
clothing,1
cocktail,1
coffee,1
coffin,6
cognition,4
coincidence,5
combination,5
comparison,5
competence,4
complication,5
composer,2
comprehension,4
conclusion,6
conference,6
confidence,3
conscience,3
consequence,5
consideration,4
consistency,5
construction,6
contempt,2
context,4
contract,6
convergence,5
core,3
corn,1
corporation,5
corpse,6
correspondent,2
costume,1
cottage,1
coupon,6
cow,1
cowardice,2
cranberry,1
crime,6
crisis,6
criticism,2
crocodile,1
crown,1
cucumber,1
cup,1
curfew,6
dad,1
dagger,1
damage,5
danger,6
darkness,1
debt,5
deceit,5
decision,6
deduction,5
definition,3
degree,4
democracy,3
denial,2
dentist,1
deputy,2
description,3
design,3
desk,1
despair,5
destiny,4
determination,5
development,6
diamond,1
diet,3
difference,3
dilemma,5
dimension,4
disagreement,2
disappointment,5
disaster,6
disgust,2
distance,5
distraction,4
distribution,5
ditch,1
diversity,3
division,5
doctor,2
donor,2
door,1
dove,1
dozen,6
drama,1
drug,1
drum,1
duck,1
duel,5
duration,7
duty,4
dynasty,6
eagle,1
economy,5
edge,1
effect,4
effort,4
eight,6
electricity,3
elephant,1
emergence,5
empire,6
empty,1
enemy,1
engagement,6
entrance,3
entree,1
envy,2
episode,6
equality,3
error,3
escape,5
establishment,6
event,6
evidence,4
example,3
exception,3
exclusion,5
explanation,4
expression,3
extent,4
eyeball,1
fabric,1
fact,3
factory,1
faith,3
fallacy,3
fantasy,1
fat,1
fate,4
father,1
fear,2
fifteen,6
fight,5
figure,3
file,1
fireplace,1
fisherman,2
flask,1
flavor,1
fog,1
food,1
football,1
forest,1
form,3
foundation,5
fountain,1
freedom,3
friendship,2
frog,1
frustration,5
future,7
gender,3
genuine,2
germ,1
gesture,1
girl,1
gorilla,1
grammar,3
grandmother,1
grass,1
grasshopper,1
grief,2
group,1
guess,3
guide,2
guilt,2
gun,1
handkerchief,1
hat,1
hatred,2
hazard,5
heap,1
heart,1
helmet,1
helplessness,2
heresy,1
hierarchy,4
hobby,1
hog,1
holiday,6
honesty,2
hope,2
horse,1
hospital,3
hotel,1
hurricane,6
hurt,2
idea,3
identification,4
identity,3
idiom,3
ignition,6
ignorance,3
imagination,3
immortality,5
impairment,5
importance,5
impossibility,6
improvement,5
incentive,4
inch,6
incident,6
income,5
increase,6
independence,4
individual,3
industry,3
infection,5
information,4
injury,5
inn,1
insight,4
instance,3
instinct,3
institute,3
instructor,2
integrity,3
intelligence,3
intention,4
interaction,4
interior,1
interruption,6
introduction,3
iron,1
irony,3
irrigation,3
island,1
issue,4
itch,1
item,1
jacket,1
jerk,1
jewel,1
job,1
justice,3
justification,4
key,1
kindness,2
kite,1
kitten,1
knife,1
knowledge,3
lake,1
lamb,1
lamp,1
landscape,1
lane,1
latch,1
laughter,2
laundry,1
law,3
leader,2
leadership,4
legality,3
lemon,1
length,5
lens,1
leopard,1
lesson,3
lettuce,1
liar,2
lightning,1
lily,1
limitation,5
line,3
linen,1
lion,1
lip,1
lisp,1
literature,3
lizard,1
loafer,1
loan,5
lobster,1
location,3
lock,1
logic,3
love,2
lunch,1
macaroni,1
magic,1
magnitude,4
majority,3
malice,2
mankind,3
manner,3
mansion,1
march,6
margin,3
marriage,3
master,2
mastery,4
material,1
math,3
mattress,1
measure,5
medicine,3
meeting,6
member,1
memory,4
menu,1
mercy,2
message,3
metaphor,3
method,3
microscope,1
midnight,6
mile,6
mileage,6
mind,3
miracle,2
misery,2
missile,1
mold,1
moment,7
money,5
month,7
moonlight,1
moral,3
mosquito,1
mother,1
mountain,1
mud,1
murder,6
music,1
mustard,1
mystery,3
myth,3
name,1
nation,3
necessity,4
neck,1
necklace,1
neighborhood,1
nerve,1
newspaper,3
nose,1
number,3
nurse,2
object,1
obstruction,5
occasion,6
occupation,3
ocean,1
odor,1
onion,1
opera,1
opinion,3
opponent,2
opportunity,4
opposition,3
orchestra,1
orchid,1
origin,3
originality,3
outcome,4
outfit,1
oven,1
owner,1
ownership,3
palace,1
paradigm,3
paragraph,3
parish,1
park,1
past,6
pawn,1
payment,5
peace,2
peacemaker,2
peach,1
perception,4
performance,4
permission,3
personality,3
pest,1
phenomenon,3
philosophy,3
photo,1
photograph,1
physics,3
pie,1
pig,1
pigeon,1
pile,1
pill,1
pillow,1
pimple,1
play,1
poetry,1
policeman,2
poll,3
pond,1
pool,1
possibility,4
potato,1
prediction,5
preference,3
preparation,5
presence,3
pretense,3
principle,3
produce,1
production,5
professor,2
promotion,5
proof,4
prop,1
propeller,1
property,3
proportion,4
protection,4
psalm,1
puddle,1
punishment,5
puppy,1
purpose,4
pyramid,1
quality,3
queen,1
rabbit,1
radio,1
rainbow,1
raspberry,1
real,3
reality,3
reason,4
rebel,3
recital,4
recognition,5
record,6
reduction,6
reflex,3
refrigerator,3
regret,5
regulation,6
reinforcement,6
relief,4
rent,5
replacement,5
republic,4
reputation,5
requirement,5
resort,4
response,4
responsibility,5
result,5
retention,6
revenge,4
rhyme,3
riddle,3
ring,3
riot,3
risk,5
river,4
road,4
robbery,4
robin,2
rocket,3
roof,3
route,4
rule,6
sadness,3
safety,5
salad,2
salary,5
saloon,3
sanctuary,3
sandal,2
satisfaction,4
scene,3
scent,3
scholar,4
season,6
second,7
security,5
sedative,3
segment,6
selection,5
self,2
separation,5
shame,3
shape,3
shark,2
shirt,2
shock,3
shortness,6
show,3
shrimp,2
sight,3
significance,5
silence,3
sister,2
site,3
situation,4
size,3
skill,4
skin,2
skull,2
skunk,2
sky,2
smell,3
snake,2
sneeze,2
snow,6
sofa,2
sole,2
soul,3
sow,3
specialist,3
specimen,3
speech,4
spelling,4
spider,2
spirit,3
square,3
squeak,2
standard,5
stapler,3
starch,2
state,5
station,4
steam,3
stick,3
stimulus,4
story,4
stranger,2
street,3
stride,3
student,3
stupidity,3
subtraction,5
sugar,2
suggestion,4
suit,2
summer,5
supply,4
suspect,3
sword,3
synagogue,3
talent,3
tallness,6
tax,5
teacher,3
television,3
temperature,6
temple,4
tendency,5
tennis,3
tension,5
territory,4
theory,4
thief,3
thing,2
thorn,2
thought,4
three,7
tide,4
time,7
tip,3
toilet,2
tomato,2
tongue,2
tool,3
topic,4
towel,2
tradition,6
tragedy,4
translation,4
traveler,3
tree,3
truck,3
trumpet,3
trust,4
truth,4
tune,5
twig,2
typewriter,4
uncertainty,5
uncle,2
underworld,3
uniform,3
unit,3
unity,4
university,5
value,4
vapor,3
variety,3
verse,3
victim,3
view,3
vision,3
visitor,3
vocabulary,4
volcano,3
volt,3
volume,3
wage,5
wallet,3
want,3
waste,3
water,3
wave,3
weather,5
weight,3
willingness,4
window,3
winter,6
wisdom,5
wish,3
witness,5
wolf,2
woman,2
wood,3
worry,4
writing,4
youth,5
zoo,2
