word,rating
line,2
skill,5
nose,6
knowledge,3
information,3
rainbow,7
ownership,4
faith,3
affection,6
zoo,5
correspondent,3
rebel,4
moonlight,7
photo,7
opportunity,5
anger,5
coupon,2
adventurer,5
fabric,7
itch,6
character,5
cat,6
crisis,5
danger,6
sneeze,6
identification,3
writing,4
behavior,4
tendency,3
burner,2
baby,6
variety,4
mansion,6
uncle,4
macaroni,5
prediction,3
mud,6
engagement,4
square,7
odor,6
window,7
route,4
tide,6
location,3
resort,5
destiny,3
preference,4
helmet,7
occasion,4
outcome,4
unity,3
deduction,3
fate,3
safety,6
cottage,6
irony,3
fear,5
horse,6
onion,5
peace,6
cake,6
opinion,3
bandit,4
imagination,6
tradition,4
belief,3
method,3
menu,4
measure,4
importance,3
propeller,7
park,6
development,3
escape,5
kitten,6
volcano,6
consistency,3
diamond,7
promotion,4
pillow,7
confidence,5
literature,3
incentive,4
ally,4
donor,4
magic,6
arrangement,4
boulder,7
produce,5
independence,3
autumn,6
honesty,5
island,6
love,6
poll,2
entrance,4
pest,5
shortness,5
suspect,4
example,3
cowardice,4
alley,6
opera,4
thief,4
factory,6
charter,3
lobster,6
peacemaker,4
combination,3
liar,4
degree,3
size,6
duck,6
fisherman,5
heresy,3
significance,3
vocabulary,3
guess,3
murder,5
bridge,6
boy,6
microscope,7
lisp,5
university,6
lily,6
fight,5
opposition,3
ditch,6
preparation,3
chicken,6
sow,5
salad,6
betrayal,4
mercy,5
street,6
dimension,4
calendar,3
income,3
fog,6
originality,4
curfew,3
weather,6
music,6
willingness,3
rent,3
bed,7
underworld,5
wish,5
starch,5
wallet,4
volume,4
grief,5
elephant,6
explanation,3
miracle,6
idiom,3
episode,3
announcement,3
past,3
station,6
riot,5
soul,3
effect,3
selection,3
bullet,7
stick,7
proportion,3
property,4
memory,3
contract,3
intention,3
lens,7
assumption,3
recognition,4
youth,6
silence,5
cloth,7
performance,4
recital,4
master,4
salary,3
ankle,6
mother,6
foundation,4
story,4
cucumber,6
availability,3
nurse,6
metaphor,4
grass,7
brother,6
handkerchief,7
comprehension,3
banana,6
television,6
snow,6
amount,3
suit,7
neck,6
clearance,3
standard,3
legality,3
convergence,3
art,6
trumpet,7
diet,3
institute,6
appeal,4
costume,7
prop,7
proof,3
oven,7
candy,6
contempt,4
ceremony,4
eyeball,7
dentist,6
suggestion,3
beauty,6
waste,5
chocolate,6
shirt,7
cause,3
integrity,5
hog,6
nation,4
lamb,6
conscience,3
chlorine,5
extent,3
drama,4
anxiety,5
design,5
record,3
cranberry,6
money,3
mustard,6
calculation,3
protection,4
leadership,4
adversity,4
skin,7
snake,6
mold,6
effort,3
increase,3
subtraction,3
duration,3
description,3
member,4
dynasty,3
revenge,4
production,3
skull,7
mile,6
necessity,3
ambition,3
branch,7
child,6
enemy,4
identity,3
potato,6
professor,4
mosquito,6
doctor,6
artist,6
girl,6
crocodile,6
job,4
debt,3
missile,7
palace,6
tension,5
food,6
issue,3
church,6
assistance,4
supply,3
mankind,4
stranger,4
composer,4
idea,3
appointment,3
decision,3
drum,7
chance,3
hierarchy,3
manner,3
spirit,3
bolt,7
hatred,5
show,4
conclusion,3
pig,6
lion,6
retention,3
interaction,3
tax,3
midnight,6
bracelet,7
specialist,4
risk,5
physics,3
roof,7
frog,6
grandmother,6
body,7
circuit,7
dad,6
bet,3
camera,7
impairment,3
site,6
animal,6
equality,3
poetry,4
boredom,3
response,3
coffee,6
want,3
nerve,5
corn,6
play,6
trust,5
orchestra,6
wisdom,3
inch,7
duty,3
industry,3
limitation,3
hurt,5
capacity,3
car,7
ocean,6
injury,5
radio,6
misery,5
butter,6
chipmunk,6
reflex,3
incident,4
father,6
hospital,6
unit,3
origin,3
translation,3
envy,4
mystery,3
entree,6
reality,3
principle,3
holiday,6
logic,3
arrow,7
sedative,5
kite,6
guide,4
arc,7
boundary,4
forest,6
uniform,7
blood,6
paradigm,3
alligator,6
clothing,7
message,3
mileage,3
rule,3
insight,4
medicine,3
dove,6
aspect,3
hope,6
moral,3
acquisition,3
hat,7
object,7
sadness,5
sofa,7
quality,3
leader,4
tragedy,4
corporation,3
disaster,5
state,3
second,3
rhyme,4
uncertainty,3
time,3
brute,5
gender,3
assault,5
door,7
requirement,3
beverage,6
majority,3
circumstance,3
policeman,6
beetle,6
accumulation,3
bell,7
stride,5
lizard,6
addition,3
fallacy,3
summer,6
city,6
group,4
bubble,7
exception,3
puddle,6
lock,7
presence,3
jacket,7
lake,6
introduction,3
water,7
payment,3
diversity,3
regret,5
distraction,3
football,6
figure,4
eagle,6
stupidity,4
vapor,6
psalm,3
accident,5
pyramid,7
consideration,3
distance,3
refrigerator,7
brawl,5
orchid,6
ball,7
topic,3
situation,3
peach,6
flavor,6
genuine,5
hurricane,6
bird,6
ballot,3
reinforcement,3
duel,4
parish,6
edge,7
sole,6
malice,4
winter,6
caterpillar,6
tip,6
teacher,6
scent,6
towel,7
sky,7
obstruction,4
dagger,7
wave,6
satisfaction,5
irrigation,3
reputation,3
division,3
crime,4
fact,3
electricity,3
verse,3
pie,6
complication,3
coffin,5
hobby,4
loan,3
pretense,3
territory,3
knife,7
desk,7
economy,3
saloon,6
ambulance,6
benefactor,4
event,3
dozen,3
replacement,3
photograph,7
pawn,3
woman,6
pond,6
owner,4
tree,7
determination,3
context,3
grasshopper,6
guilt,5
attempt,3
month,3
traveler,4
marriage,4
dilemma,3
bedroom,6
jerk,4
math,3
freedom,6
inn,6
three,3
acre,3
band,6
eight,3
lane,6
butterfly,6
iron,7
cognition,3
democracy,3
annoyance,4
victim,4
heart,6
twig,7
disappointment,4
spelling,3
admiration,5
fifteen,3
leopard,6
punishment,4
instance,3
coincidence,3
hotel,6
latch,7
heap,6
toilet,7
abundance,3
myth,3
charity,5
difference,3
specimen,3
instinct,3
cup,7
stimulus,3
rabbit,6
necklace,7
meeting,3
clean,6
frustration,4
pimple,6
sister,6
advantage,3
atom,7
deputy,4
smell,6
phenomenon,3
lip,6
form,7
establishment,3
mastery,3
jewel,7
despair,5
relief,5
