word,rating
ability,3
abundance,6
accident,2
accomplishment,4
accumulation,5
acquisition,4
acre,7
addition,5
admiration,2
advantage,3
adventurer,1
adversity,1
advice,2
affection,1
alley,1
alligator,1
ally,1
alphabet,2
ambition,3
ambulance,1
amount,7
amplitude,6
anger,1
animal,1
ankle,1
announcement,2
annoyance,1
anxiety,1
apology,1
appeal,2
apple,1
appointment,2
arc,5
arrangement,3
arrow,4
art,1
article,2
artist,1
aspect,3
assault,1
assistance,1
assumption,2
atom,5
atrocity,1
attempt,2
attention,2
attitude,2
autumn,1
availability,3
awareness,2
baby,1
bag,1
ball,1
ballot,2
banana,1
band,1
bandit,1
bank,3
beast,1
beauty,1
beaver,1
bed,1
bedroom,1
beetle,1
behavior,2
belief,2
bell,1
benefactor,2
bet,1
betrayal,1
beverage,1
bird,1
blade,3
blood,1
boat,1
body,2
bolt,3
border,4
boredom,1
bottle,1
boulder,5
boundary,5
boy,1
bracelet,1
brain,4
branch,3
brawl,1
brevity,2
bridge,4
brother,1
brute,1
bubble,1
bullet,5
burner,3
butter,1
butterfly,1
cake,1
calculation,5
calendar,4
camera,2
candidate,3
candy,1
capacity,6
car,2
cat,1
category,4
caterpillar,1
cause,3
ceiling,2
ceremony,2
chair,1
chance,3
character,2
charity,2
charter,4
chicken,1
chief,3
child,1
chipmunk,1
chlorine,5
chocolate,1
christmas,1
church,2
circuit,4
circumstance,3
city,3
claim,2
clean,1
clearance,4
cliff,5
cloth,1
clothing,1
cocktail,1
coffee,1
coffin,1
cognition,5
coincidence,2
combination,4
comparison,3
competence,4
complication,3
composer,2
comprehension,4
conclusion,3
conference,3
confidence,3
conscience,2
consequence,5
consideration,3
consistency,4
construction,4
contempt,1
context,3
contract,4
convergence,5
core,5
corn,2
corporation,4
corpse,1
correspondent,2
costume,1
cottage,1
coupon,2
cow,1
cowardice,1
cranberry,1
crime,1
crisis,1
criticism,2
crocodile,1
crown,3
cucumber,1
cup,1
curfew,2
dad,1
dagger,4
damage,2
danger,2
darkness,1
debt,3
deceit,1
decision,4
deduction,5
definition,4
degree,6
democracy,4
denial,2
dentist,1
deputy,3
description,3
design,4
desk,1
despair,1
destiny,2
determination,5
development,6
diamond,5
diet,2
difference,3
dilemma,2
dimension,7
disagreement,2
disappointment,3
disaster,4
disgust,1
distance,6
distraction,2
distribution,5
ditch,1
diversity,3
division,4
doctor,1
donor,1
door,1
dove,1
dozen,6
drama,2
drug,1
drum,1
duck,1
duel,2
duration,7
duty,2
dynasty,5
eagle,1
economy,4
edge,3
effect,3
effort,2
eight,6
electricity,4
elephant,2
emergence,5
empire,5
empty,1
enemy,1
engagement,3
entrance,2
entree,1
envy,1
episode,2
equality,2
error,1
escape,2
establishment,4
event,3
evidence,2
example,2
exception,3
exclusion,3
explanation,2
expression,1
extent,7
eyeball,1
fabric,1
fact,1
factory,3
faith,1
fallacy,1
fantasy,1
fat,2
fate,1
father,1
fear,1
fifteen,6
fight,2
figure,4
file,2
fireplace,1
fisherman,1
flask,1
flavor,1
fog,1
food,1
football,2
forest,3
form,2
foundation,4
fountain,2
freedom,2
friendship,1
frog,1
frustration,1
future,6
gender,2
genuine,1
germ,1
gesture,1
girl,1
gorilla,2
grammar,1
grandmother,1
grass,1
grasshopper,1
grief,1
group,4
guess,1
guide,2
guilt,1
gun,1
handkerchief,1
hat,1
hatred,1
hazard,2
heap,5
heart,1
helmet,1
helplessness,1
heresy,1
hierarchy,6
hobby,1
hog,1
holiday,1
honesty,1
hope,1
horse,1
hospital,2
hotel,1
hurricane,4
hurt,1
idea,2
identification,3
identity,2
idiom,1
ignition,3
ignorance,1
imagination,1
immortality,4
impairment,2
importance,5
impossibility,4
improvement,5
incentive,3
inch,6
incident,3
income,4
increase,6
