word,rating
lake,5
ambition,2
chance,3
individual,1
apology,1
opponent,1
boredom,1
cowardice,1
beetle,6
silence,1
bet,2
animal,5
coupon,2
faith,1
liar,1
lip,7
tongue,7
originality,1
ankle,6
potato,5
accumulation,1
outfit,6
chair,7
cognition,1
station,2
disaster,1
real,1
dilemma,1
scene,2
ally,1
ownership,1
theory,1
reinforcement,1
puppy,6
guide,2
damage,1
circumstance,1
state,1
response,1
key,5
boat,5
degree,1
crown,4
myth,1
blood,6
deduction,1
forest,5
latch,5
tune,3
show,2
interior,2
starch,4
mankind,1
infection,2
fabric,6
wood,7
tragedy,1
germ,5
iron,6
spider,6
calendar,3
affection,1
photograph,2
territory,2
incident,1
vapor,4
dentist,2
sword,5
flavor,4
clean,3
consistency,2
appeal,2
identification,1
fact,1
route,3
linen,6
macaroni,5
skin,7
stride,4
writing,1
roof,5
menu,2
division,1
value,1
suit,5
lamp,5
personality,1
contract,2
cloth,6
amount,1
intention,1
magic,2
confidence,1
duration,1
sandal,5
thing,1
mattress,6
addition,1
newspaper,2
opposition,1
leopard,5
pigeon,5
clearance,2
opinion,1
play,3
heart,6
irrigation,2
clothing,6
distance,2
fate,1
calculation,1
number,1
wisdom,1
vocabulary,1
talent,1
character,1
nose,7
salad,5
tree,6
risk,2
definition,1
ditch,4
hobby,3
adversity,1
inn,3
butter,5
pyramid,4
tomato,5
riot,2
independence,1
itch,7
temple,3
teacher,2
brain,6
occupation,1
ignition,4
suspect,1
costume,5
door,6
necessity,1
equality,1
orchid,5
bag,5
dove,5
chlorine,4
reflex,3
conference,2
result,1
helmet,6
beauty,2
shortness,2
verse,2
exception,1
bird,5
circuit,3
queen,4
charter,1
principle,1
music,2
want,1
relief,2
moral,1
jerk,1
metaphor,1
scent,5
girl,3
tradition,1
development,1
crisis,1
bubble,5
camera,4
pond,5
decision,2
job,2
frustration,1
error,1
student,1
reputation,1
fear,1
tool,6
shrimp,5
refrigerator,6
empty,2
kindness,1
impairment,1
wish,1
alligator,5
moment,3
injury,4
master,2
file,3
factory,3
body,6
weight,5
tide,5
lemon,5
television,3
coffin,4
admiration,1
tip,4
complication,2
shock,3
past,1
park,4
line,5
nerve,6
income,1
specialist,2
lesson,2
cause,2
squeak,7
insight,1
hotel,3
peacemaker,2
law,1
conscience,1
misery,1
dimension,2
pill,5
alley,4
banana,7
pest,3
debt,1
march,2
justice,1
sanctuary,2
meeting,2
cucumber,7
expression,2
opera,2
significance,1
intelligence,1
object,3
tallness,4
grasshopper,6
purpose,1
mosquito,6
assault,2
pillow,7
anxiety,1
hope,1
fountain,5
benefactor,2
love,1
drum,7
stimulus,2
beverage,4
mountain,6
capacity,2
awareness,1
danger,3
raspberry,7
reality,1
acquisition,2
snow,7
appointment,3
ocean,6
wave,7
composer,2
guilt,1
payment,2
jacket,6
city,4
lamb,5
retention,2
requirement,2
miracle,2
segment,3
oven,7
kitten,7
trust,1
flask,6
preparation,3
imagination,1
bridge,5
towel,7
coincidence,2
context,2
hospital,4
article,2
mercy,1
rabbit,6
spirit,1
rebel,3
interruption,2
design,3
criticism,2
duty,2
fog,5
peach,7
professor,2
friendship,1
cup,7
length,4
form,3
lunch,5
square,4
empire,2
pimple,6
shirt,6
pile,5
abundance,2
visitor,3
responsibility,1
location,3
corporation,1
literature,1
laundry,5
landscape,4
eagle,5
presence,2
tendency,2
construction,4
regulation,2
rocket,6
church,3
doctor,3
topic,2
midnight,4
conclusion,2
neck,6
car,5
fat,5
volume,4
story,2
physics,1
security,2
hog,5
name,2
lens,6
cow,5
chipmunk,6
christmas,4
possibility,2
suggestion,2
fallacy,2
robbery,2
assistance,2
distribution,2
skill,2
stranger,3
record,4
instructor,2
mold,5
occasion,3
hurricane,6
medicine,3
cocktail,5
institute,1
pig,5
guess,3
uncle,4
owner,3
hazard,3
desk,6
apple,7
pie,7
convergence,2
ability,1
democracy,1
grief,1
bed,7
fantasy,1
bolt,5
material,3
issue,2
rent,2
belief,1
rhyme,3
hat,6
variety,2
consideration,2
wage,2
arrow,5
identity,1
advice,2
corpse,2
contempt,1
message,3
math,1
paradigm,2
lightning,6
necklace,6
idea,1
assumption,2
future,1
bracelet,6
despair,1
stupidity,1
skunk,5
cat,7
size,4
method,3
pawn,5
laughter,2
cottage,5
ambulance,4
puddle,6
industry,1
effect,3
crocodile,5
proof,2
waste,3
immortality,1
economy,2
property,3
chocolate,6
scholar,2
incentive,3
coffee,5
tension,2
consequence,2
lobster,4
opportunity,2
uncertainty,1
volt,3
cake,6
justification,2
self,1
safety,2
fireplace,5
grammar,1
leader,2
establishment,1
irony,1
poll,2
fisherman,4
season,3
lane,3
odor,5
event,2
thief,2
saloon,3
extent,1
introduction,1
caterpillar,4
grandmother,4
entree,5
category,1
idiom,1
arc,3
winter,4
explanation,1
moonlight,2
figure,2
shark,4
hurt,2
member,1
riddle,2
adventurer,4
worry,2
accident,3
rainbow,2
emergence,1
mud,6
comprehension,1
lily,4
edge,4
behavior,1
stick,5
mustard,5
helplessness,1
zoo,3
loafer,2
perception,1
protection,2
hatred,1
typewriter,4
effort,2
soul,1
boulder,5
candidate,2
window,5
snake,4
art,2
promotion,2
cliff,5
