word,rating
ability,6
abundance,4
accident,2
accomplishment,5
accumulation,3
acquisition,5
acre,1
addition,3
admiration,4
advantage,3
adventurer,2
adversity,2
advice,5
affection,3
alley,1
alligator,1
ally,4
alphabet,5
ambition,6
ambulance,1
amount,3
amplitude,2
anger,2
animal,1
ankle,1
announcement,4
annoyance,2
anxiety,2
apology,4
appeal,4
apple,1
appointment,3
arc,2
arrangement,4
arrow,1
art,5
article,4
artist,5
aspect,4
assault,1
assistance,4
assumption,5
atom,2
atrocity,1
attempt,3
attention,6
attitude,5
autumn,2
availability,4
awareness,6
baby,1
bag,1
ball,1
ballot,3
banana,1
band,2
bandit,1
bank,2
beast,1
beauty,4
beaver,1
bed,1
bedroom,1
beetle,1
behavior,5
belief,6
bell,1
benefactor,3
bet,2
betrayal,2
beverage,1
bird,1
blade,1
blood,2
boat,1
body,2
bolt,1
border,2
boredom,2
bottle,1
boulder,1
boundary,3
boy,1
bracelet,1
brain,7
branch,2
brawl,1
brevity,4
bridge,2
brother,2
brute,1
bubble,1
bullet,1
burner,1
butter,1
butterfly,1
cake,1
calculation,6
calendar,2
camera,2
candidate,4
candy,1
capacity,5
car,1
cat,1
category,3
caterpillar,1
cause,4
ceiling,1
ceremony,3
chair,1
chance,3
character,5
charity,4
charter,3
chicken,1
chief,3
child,2
chipmunk,1
chlorine,1
chocolate,1
christmas,2
church,2
circuit,2
circumstance,4
city,2
claim,3
clean,2
clearance,2
cliff,1
cloth,1
clothing,1
cocktail,1
coffee,1
coffin,1
cognition,7
coincidence,3
combination,4
comparison,5
competence,6
complication,3
composer,4
comprehension,6
conclusion,5
conference,4
confidence,6
conscience,6
consequence,5
consideration,5
consistency,5
construction,3
contempt,2
context,4
contract,3
convergence,3
core,4
corn,1
corporation,3
corpse,1
correspondent,3
costume,2
cottage,1
coupon,1
cow,1
cowardice,2
cranberry,1
crime,1
crisis,2
criticism,3
crocodile,1
crown,2
cucumber,1
cup,1
curfew,2
dad,2
dagger,1
damage,2
danger,2
darkness,2
debt,2
deceit,2
decision,6
deduction,5
definition,5
degree,3
democracy,4
denial,3
dentist,1
deputy,2
description,4
design,5
desk,1
despair,2
destiny,4
determination,6
development,5
diamond,2
diet,2
difference,4
dilemma,3
dimension,6
disagreement,2
disappointment,3
disaster,1
disgust,1
distance,4
distraction,2
distribution,5
ditch,1
diversity,5
division,4
doctor,3
donor,3
door,1
dove,2
dozen,1
drama,2
drug,2
drum,1
duck,1
duel,2
duration,5
duty,3
dynasty,4
eagle,2
economy,6
edge,3
effect,5
effort,5
eight,1
electricity,4
elephant,1
emergence,5
empire,4
empty,2
enemy,2
engagement,3
entrance,2
entree,1
envy,2
episode,3
equality,5
error,4
escape,2
establishment,5
event,4
evidence,6
example,5
exception,4
exclusion,3
explanation,6
expression,5
extent,4
eyeball,1
fabric,2
fact,6
factory,4
faith,3
fallacy,5
fantasy,4
fat,1
fate,4
father,3
fear,2
fifteen,1
fight,2
figure,5
file,3
fireplace,1
fisherman,1
flask,1
flavor,2
fog,1
food,1
football,1
forest,2
form,4
foundation,5
fountain,2
freedom,6
friendship,5
frog,1
frustration,3
future,6
gender,5
genuine,4
germ,2
gesture,3
girl,2
gorilla,1
grammar,4
grandmother,2
grass,1
grasshopper,1
grief,3
group,5
guess,3
guide,4
guilt,3
gun,2
handkerchief,1
hat,1
hatred,2
hazard,2
heap,1
heart,3
helmet,1
helplessness,3
heresy,2
hierarchy,5
hobby,2
hog,1
holiday,2
honesty,5
hope,5
horse,1
hospital,3
hotel,2
hurricane,1
hurt,2
idea,7
identification,6
identity,6
idiom,4
ignition,2
ignorance,3
imagination,7
immortality,5
impairment,3
importance,6
impossibility,4
improvement,6
incentive,5
inch,1
incident,3
income,5
increase,5
independence,6
individual,5
industry,4
infection,2
information,7
injury,2
inn,1
insight,6
instance,4
instinct,4
institute,4
instructor,4
integrity,5
intelligence,7
intention,5
interaction,5
interior,3
interruption,2
introduction,5
iron,2
irony,4
irrigation,2
island,2
issue,5
itch,1
item,3
jacket,1
jerk,1
jewel,1
job,4
justice,6
justification,5
key,4
kindness,5
kite,1
kitten,1
knife,1
knowledge,7
lake,2
lamb,1
lamp,1
landscape,3
lane,1
latch,1
laughter,3
laundry,1
law,5
leader,4
leadership,5
legality,5
lemon,1
length,3
lens,2
leopard,1
lesson,5
lettuce,1
liar,2
lightning,2
lily,1
limitation,4
line,3
linen,1
lion,1
lip,2
lisp,3
literature,6
lizard,1
loafer,1
loan,2
lobster,1
location,4
lock,2
logic,7
love,5
lunch,1
macaroni,1
magic,3
magnitude,5
majority,5
malice,2
mankind,6
manner,4
mansion,2
march,2
margin,3
marriage,5
master,5
mastery,6
material,3
math,7
mattress,1
measure,5
medicine,4
meeting,2
member,3
memory,6
menu,1
mercy,2
message,4
metaphor,6
method,5
microscope,4
midnight,1
mile,2
mileage,2
mind,7
miracle,3
misery,2
missile,1
mold,1
moment,4
money,3
month,1
moonlight,2
moral,5
mosquito,1
mother,5
mountain,1
mud,1
murder,2
music,4
mustard,1
mystery,5
myth,5
name,3
nation,5
necessity,4
neck,1
necklace,1
neighborhood,2
nerve,3
newspaper,2
nose,1
number,3
nurse,2
object,4
obstruction,2
occasion,2
occupation,3
ocean,1
odor,1
onion,1
opera,3
opinion,7
opponent,2
opportunity,5
opposition,3
orchestra,4
orchid,1
origin,5
originality,6
outcome,5
outfit,1
oven,1
owner,3
ownership,4
palace,2
paradigm,6
paragraph,4
parish,1
park,1
past,4
pawn,1
payment,3
peace,5
peacemaker,4
peach,1
perception,7
performance,5
permission,4
personality,6
pest,1
phenomenon,5
philosophy,7
photo,2
photograph,3
physics,7
pie,1
pig,1
pigeon,1
pile,1
pill,1
pillow,1
pimple,1
play,3
poetry,6
policeman,2
poll,3
pond,1
pool,1
possibility,7
potato,1
prediction,6
preference,5
preparation,4
presence,4
pretense,2
principle,6
produce,3
production,4
professor,5
promotion,4
proof,6
prop,1
propeller,1
property,5
proportion,5
protection,4
psalm,2
puddle,1
punishment,3
puppy,1
purpose,6
pyramid,2
quality,5
queen,2
rabbit,1
radio,2
rainbow,2
raspberry,1
real,5
reality,7
reason,7
rebel,2
recital,3
recognition,5
record,4
reduction,4
reflex,3
refrigerator,1
regret,2
regulation,4
reinforcement,5
relief,4
rent,2
replacement,3
republic,4
reputation,5
requirement,4
resort,1
response,5
responsibility,6
result,5
retention,4
revenge,2
rhyme,3
riddle,4
ring,1
riot,2
risk,4
river,1
road,1
robbery,2
robin,1
rocket,2
roof,1
route,3
rule,5
sadness,2
safety,4
salad,1
salary,3
saloon,1
sanctuary,2
sandal,1
satisfaction,5
scene,3
scent,2
scholar,6
season,3
second,4
security,5
sedative,2
segment,3
selection,4
self,7
separation,4
shame,5
shape,2
shark,1
shirt,1
shock,3
shortness,2
show,3
shrimp,1
sight,4
significance,6
silence,5
sister,5
site,3
situation,5
size,2
skill,6
skin,1
skull,2
skunk,1
sky,4
smell,2
snake,1
sneeze,1
snow,2
sofa,1
sole,2
soul,7
sow,1
specialist,6
specimen,3
speech,5
spelling,4
spider,1
spirit,7
square,2
squeak,1
standard,4
stapler,1
starch,1
state,5
station,3
steam,2
stick,1
stimulus,6
story,5
stranger,4
street,3
stride,3
student,6
stupidity,5
subtraction,4
sugar,2
suggestion,6
suit,2
summer,3
supply,4
suspect,4
sword,1
synagogue,5
talent,6
tallness,2
tax,3
teacher,7
television,3
temperature,4
temple,5
tendency,5
tennis,2
tension,5
territory,4
theory,6
thief,3
thing,2
thorn,1
thought,7
three,2
tide,2
time,7
tip,3
toilet,1
tomato,1
tongue,2
tool,3
topic,5
towel,1
tradition,5
tragedy,5
translation,6
traveler,4
tree,3
truck,2
trumpet,2
trust,6
truth,7
tune,3
twig,1
typewriter,2
uncertainty,6
uncle,4
underworld,5
uniform,2
unit,4
unity,6
university,7
value,6
vapor,2
variety,4
verse,5
victim,5
view,5
vision,6
visitor,4
vocabulary,6
volcano,2
volt,1
volume,3
wage,3
wallet,1
want,5
waste,3
water,4
wave,3
weather,4
weight,3
willingness,6
window,2
winter,3
wisdom,7
wish,5
witness,5
wolf,1
woman,5
wood,2
worry,5
writing,6
youth,4
zoo,1
