word,rating
candidate,2
irrigation,3
democracy,2
snow,6
announcement,2
neighborhood,3
music,4
crown,5
identity,1
midnight,2
hurt,1
adventurer,3
comparison,2
arrow,6
method,2
segment,4
disappointment,1
specialist,2
majority,2
lily,5
rainbow,7
iron,3
relief,2
bolt,6
riot,2
stride,4
hope,1
shortness,2
ally,1
economy,2
ditch,3
stimulus,2
justification,1
pie,5
clearance,2
sight,4
ambulance,2
blood,3
pile,4
limitation,1
abundance,2
outcome,1
regulation,1
cake,5
macaroni,5
twig,6
cognition,1
beast,3
grammar,1
duty,1
standard,2
talent,2
roof,5
lens,6
student,1
worry,1
instinct,2
guess,1
second,2
nation,1
uniform,4
cranberry,5
route,3
ignition,4
occupation,1
separation,1
linen,5
view,4
speech,2
obstruction,1
soul,1
grandmother,2
dove,5
sofa,5
regret,1
suit,3
frustration,1
disaster,1
skin,4
football,3
appeal,2
integrity,1
adversity,1
memory,1
skull,5
station,2
fate,1
consequence,1
attempt,1
raspberry,5
university,1
cloth,5
cup,5
context,1
poetry,2
candy,5
mileage,2
liar,1
trust,1
oven,5
key,6
traveler,3
mustard,5
admiration,1
sadness,1
accumulation,2
conscience,1
rabbit,4
fireplace,5
bridge,5
measure,3
costume,5
intention,1
menu,4
deduction,1
window,6
loafer,2
butter,5
convergence,2
fight,2
winter,5
verse,3
advice,2
form,4
immortality,1
engagement,2
mind,1
trumpet,5
margin,3
puddle,6
amplitude,2
orchid,5
scene,4
reflex,2
interior,4
empire,2
insight,1
aspect,3
denial,1
grasshopper,5
stapler,5
tallness,4
cause,2
article,1
opposition,1
introduction,1
retention,1
pretense,1
capacity,2
pigeon,5
silence,2
boy,3
mastery,2
definition,1
grief,1
replacement,2
quality,2
skill,2
affection,1
thorn,5
reality,1
banana,5
leader,1
danger,2
self,1
edge,5
lunch,4
laughter,3
myth,2
pawn,4
reputation,1
dozen,2
dagger,5
donor,1
duel,4
arc,6
temple,3
shame,1
victim,1
deceit,1
dad,2
paradigm,2
proof,2
charity,1
vocabulary,1
brother,2
pillow,5
propeller,6
significance,1
rule,3
friendship,1
weight,5
suspect,2
marriage,1
episode,2
determination,1
photo,6
landscape,7
shape,7
rhyme,3
situation,2
love,3
synagogue,4
moral,2
object,5
opinion,2
miracle,3
beaver,6
march,3
fat,4
income,1
requirement,2
sanctuary,4
lobster,6
palace,5
bank,2
pig,6
moonlight,3
coffee,4
core,2
competence,1
wood,6
salary,1
cow,6
protection,2
woman,3
brain,2
television,2
justice,2
brawl,3
unity,2
nose,5
wave,5
mankind,2
interruption,1
bottle,5
spelling,1
lizard,6
foundation,3
hurricane,4
professor,2
institute,2
sugar,4
helplessness,1
purpose,2
lane,4
territory,3
contract,2
coffin,3
bird,5
physics,1
proportion,2
line,5
salad,4
consistency,1
development,1
holiday,3
exclusion,1
event,2
jewel,5
promotion,2
acre,4
pest,4
availability,1
gender,2
fantasy,3
shock,2
performance,2
phenomenon,1
uncertainty,1
weather,4
reinforcement,1
time,2
necessity,1
towel,5
saloon,3
permission,1
category,1
bandit,4
doctor,2
diet,3
tide,5
heresy,3
length,4
policeman,2
magic,4
apple,5
unit,2
queen,3
mystery,3
emergence,2
republic,2
contempt,1
law,2
baby,5
starch,4
radio,2
kitten,6
description,1
eagle,5
preference,1
theory,1
variety,2
