word,rating
ability,4
abundance,3
accident,3
accomplishment,4
accumulation,3
acquisition,3
acre,2
addition,3
admiration,3
advantage,5
adventurer,6
adversity,5
advice,5
affection,5
alley,4
alligator,1
ally,5
alphabet,6
ambition,5
ambulance,7
amount,3
amplitude,6
anger,5
animal,2
ankle,1
announcement,4
annoyance,5
anxiety,5
apology,5
appeal,5
apple,1
appointment,4
arc,3
arrangement,4
arrow,7
art,4
article,4
artist,6
aspect,4
assault,3
assistance,4
assumption,4
atom,2
atrocity,4
attempt,3
attention,4
attitude,5
autumn,3
availability,3
awareness,5
baby,1
bag,2
ball,6
ballot,2
banana,1
band,5
bandit,4
bank,3
beast,2
beauty,5
beaver,1
bed,1
bedroom,2
beetle,2
behavior,5
belief,5
bell,7
benefactor,4
bet,5
betrayal,4
beverage,1
bird,1
blade,4
blood,1
boat,6
body,2
bolt,4
border,2
boredom,2
bottle,2
boulder,2
boundary,3
boy,2
bracelet,6
brain,4
branch,3
brawl,4
brevity,3
bridge,6
brother,5
brute,3
bubble,7
bullet,5
burner,4
butter,1
butterfly,7
cake,1
calculation,4
calendar,3
camera,5
candidate,4
candy,1
capacity,4
car,6
cat,1
category,4
caterpillar,1
cause,4
ceiling,2
ceremony,5
chair,2
chance,5
character,5
charity,5
charter,4
chicken,1
chief,5
child,2
chipmunk,1
chlorine,2
chocolate,1
christmas,3
church,4
circuit,5
circumstance,4
city,6
claim,3
clean,2
clearance,3
cliff,4
cloth,2
clothing,2
cocktail,2
coffee,2
coffin,2
cognition,5
coincidence,4
combination,4
comparison,4
competence,4
complication,4
composer,5
comprehension,5
conclusion,3
conference,4
confidence,5
conscience,5
consequence,4
consideration,5
consistency,4
construction,4
contempt,4
context,4
contract,3
convergence,3
core,3
corn,2
corporation,4
corpse,1
correspondent,3
costume,3
cottage,3
coupon,2
cow,1
cowardice,4
cranberry,1
crime,4
crisis,5
criticism,4
crocodile,1
crown,5
cucumber,1
cup,2
curfew,3
dad,2
dagger,4
damage,4
danger,4
darkness,1
debt,3
deceit,4
decision,5
deduction,5
definition,3
degree,3
democracy,5
denial,3
dentist,2
deputy,3
description,4
design,5
desk,2
despair,2
destiny,4
determination,6
development,4
diamond,2
diet,3
difference,4
dilemma,5
dimension,3
disagreement,2
disappointment,3
disaster,4
disgust,3
distance,2
distraction,3
distribution,2
ditch,1
diversity,2
division,2
doctor,3
donor,2
door,4
dove,5
dozen,2
drama,4
drug,3
drum,7
duck,6
duel,4
duration,2
duty,3
dynasty,2
eagle,5
economy,2
edge,1
effect,2
effort,2
eight,1
electricity,3
elephant,6
emergence,2
empire,2
empty,1
enemy,4
engagement,3
entrance,5
entree,4
envy,3
episode,4
equality,2
error,2
escape,4
establishment,2
event,5
evidence,3
example,2
exception,2
exclusion,2
explanation,3
expression,4
extent,1
eyeball,2
fabric,3
fact,2
factory,4
faith,3
fallacy,2
fantasy,5
fat,2
fate,3
father,4
fear,5
fifteen,1
fight,6
figure,3
file,3
fireplace,5
fisherman,5
flask,2
flavor,4
fog,2
food,4
football,7
forest,4
form,2
foundation,3
fountain,5
freedom,6
friendship,5
frog,6
frustration,5
future,4
gender,2
genuine,3
germ,3
gesture,4
girl,4
gorilla,6
grammar,3
grandmother,5
grass,3
grasshopper,6
grief,5
group,3
guess,4
guide,4
guilt,5
gun,7
handkerchief,2
hat,3
hatred,5
hazard,3
heap,1
heart,6
helmet,4
helplessness,5
heresy,2
hierarchy,2
hobby,4
hog,5
holiday,6
honesty,5
hope,6
horse,7
hospital,3
hotel,4
hurricane,7
hurt,6
idea,4
identification,2
identity,3
idiom,3
ignition,5
ignorance,2
imagination,6
immortality,4
impairment,3
importance,4
impossibility,3
improvement,4
incentive,3
inch,1
incident,3
income,2
increase,3
independence,4
individual,3
industry,3
infection,3
information,3
injury,5
inn,3
insight,4
instance,3
instinct,4
institute,2
instructor,3
integrity,5
intelligence,5
intention,4
interaction,4
interior,3
interruption,4
introduction,4
iron,3
irony,2
irrigation,2
island,4
issue,3
itch,5
item,2
jacket,3
jerk,6
jewel,5
job,3
justice,5
justification,3
key,5
kindness,5
kite,6
kitten,7
knife,6
knowledge,4
lake,4
lamb,5
lamp,4
landscape,4
lane,2
latch,3
laughter,7
laundry,3
law,3
leader,5
leadership,5
legality,3
lemon,4
length,1
lens,2
leopard,6
lesson,4
lettuce,3
liar,5
lightning,7
lily,4
limitation,3
line,2
linen,2
lion,6
lip,4
lisp,5
literature,3
lizard,2
loafer,2
loan,3
lobster,2
location,3
lock,4
logic,4
love,6
lunch,3
macaroni,2
magic,5
magnitude,3
majority,3
malice,4
mankind,3
manner,3
mansion,3
march,4
margin,3
marriage,6
master,5
mastery,5
material,4
math,4
mattress,2
measure,4
medicine,4
meeting,3
member,3
memory,5
menu,3
mercy,5
message,4
metaphor,4
method,4
microscope,4
midnight,3
mile,3
mileage,3
mind,6
miracle,5
misery,5
missile,4
mold,2
moment,4
money,5
month,3
moonlight,4
moral,5
mosquito,3
mother,6
mountain,4
mud,2
murder,5
music,7
mustard,2
mystery,5
myth,4
name,4
nation,3
necessity,4
neck,3
necklace,3
neighborhood,3
nerve,4
newspaper,3
nose,2
number,4
nurse,4
object,4
obstruction,3
occasion,3
occupation,3
ocean,5
odor,3
onion,2
opera,4
opinion,4
opponent,3
opportunity,4
opposition,3
orchestra,6
orchid,3
origin,4
originality,5
outcome,4
outfit,3
oven,2
owner,4
ownership,4
palace,4
paradigm,4
paragraph,4
parish,3
park,3
past,3
pawn,2
payment,4
peace,6
peacemaker,5
peach,2
perception,5
performance,5
permission,4
personality,5
pest,3
phenomenon,5
philosophy,5
photo,4
photograph,4
physics,4
pie,2
pig,2
pigeon,3
pile,3
pill,3
pillow,3
pimple,2
play,5
poetry,5
policeman,4
poll,3
pond,3
pool,3
possibility,4
potato,2
prediction,4
preference,4
preparation,4
presence,5
pretense,4
principle,5
produce,4
production,4
professor,4
promotion,4
proof,4
prop,3
propeller,3
property,4
proportion,4
protection,5
psalm,4
puddle,2
punishment,5
puppy,3
purpose,5
pyramid,4
quality,5
queen,4
rabbit,3
radio,6
rainbow,5
raspberry,2
real,4
reality,5
reason,5
rebel,4
recital,4
recognition,5
record,5
reduction,4
reflex,4
refrigerator,3
regret,5
regulation,4
reinforcement,4
relief,6
rent,4
replacement,4
republic,4
reputation,5
requirement,4
resort,3
response,5
responsibility,5
result,5
retention,4
revenge,5
rhyme,6
riddle,5
ring,4
riot,5
risk,5
river,4
road,3
robbery,5
robin,3
rocket,4
roof,3
route,3
rule,4
sadness,6
safety,5
salad,2
salary,4
saloon,3
sanctuary,3
sandal,4
satisfaction,2
scene,5
scent,6
scholar,1
season,4
second,2
security,2
sedative,3
segment,2
selection,2
self,1
separation,2
shame,1
shape,4
shark,5
shirt,4
shock,6
shortness,3
show,5
shrimp,4
sight,5
significance,2
silence,7
sister,1
site,3
situation,3
size,4
skill,2
skin,4
skull,5
skunk,6
sky,7
smell,7
snake,6
sneeze,7
snow,7
sofa,3
sole,4
soul,1
sow,2
specialist,1
specimen,2
speech,6
spelling,1
spider,5
spirit,3
square,4
squeak,7
standard,2
stapler,3
starch,4
state,2
station,3
steam,6
stick,5
stimulus,6
story,5
stranger,3
street,4
stride,4
student,2
stupidity,1
subtraction,1
sugar,7
suggestion,2
suit,4
summer,6
supply,3
suspect,3
sword,5
synagogue,2
talent,2
tallness,4
tax,1
teacher,2
television,6
temperature,7
temple,3
tendency,2
tennis,5
tension,6
territory,3
theory,1
thief,4
thing,2
thorn,5
thought,2
three,1
tide,7
time,2
tip,3
toilet,4
tomato,6
tongue,7
tool,5
topic,2
towel,4
tradition,1
tragedy,2
translation,1
traveler,3
tree,6
truck,5
trumpet,7
trust,3
truth,4
tune,7
twig,5
typewriter,4
uncertainty,1
uncle,2
underworld,2
uniform,3
unit,2
unity,2
university,2
value,2
vapor,6
variety,2
verse,4
victim,3
view,5
vision,7
visitor,3
vocabulary,1
volcano,6
volt,3
volume,6
wage,2
wallet,4
want,3
waste,3
water,7
wave,7
weather,7
weight,5
willingness,1
window,4
winter,6
wisdom,2
wish,3
witness,3
wolf,6
woman,2
wood,5
worry,3
writing,4
youth,2
zoo,7
