word,rating
lake,3
ambition,2
chance,1
individual,1
apology,1
opponent,1
boredom,1
cowardice,1
beetle,1
silence,1
bet,1
animal,1
coupon,2
faith,1
liar,1
lip,1
tongue,1
originality,1
ankle,1
potato,1
accumulation,1
outfit,2
chair,3
cognition,1
station,5
disaster,1
real,1
dilemma,1
scene,4
ally,1
ownership,2
theory,1
reinforcement,1
puppy,1
guide,6
damage,1
circumstance,2
state,4
response,1
key,5
boat,5
degree,3
crown,2
myth,1
blood,1
deduction,1
forest,6
latch,4
tune,1
show,5
interior,7
starch,1
mankind,1
infection,1
fabric,2
wood,3
tragedy,1
germ,1
iron,2
spider,1
calendar,4
affection,1
photograph,5
territory,6
incident,3
vapor,1
dentist,1
sword,2
flavor,1
clean,1
consistency,1
appeal,1
identification,1
fact,1
route,7
linen,1
macaroni,1
skin,1
stride,6
writing,1
roof,5
menu,2
division,1
value,1
suit,3
lamp,4
personality,1
contract,2
cloth,1
amount,1
intention,1
magic,1
confidence,1
duration,1
sandal,3
thing,1
mattress,4
addition,1
newspaper,5
opposition,1
leopard,1
pigeon,2
clearance,3
opinion,1
play,1
heart,1
irrigation,4
clothing,3
distance,7
fate,1
calculation,1
number,2
wisdom,1
vocabulary,1
talent,1
character,1
nose,1
salad,1
tree,6
risk,1
definition,1
ditch,5
hobby,1
adversity,1
inn,4
butter,1
pyramid,7
tomato,1
riot,2
independence,1
itch,1
temple,6
teacher,1
brain,1
occupation,3
ignition,4
suspect,1
costume,2
door,5
necessity,1
equality,1
orchid,1
bag,4
dove,1
chlorine,1
reflex,1
conference,3
result,1
helmet,5
beauty,1
shortness,1
verse,1
exception,1
bird,1
circuit,6
queen,2
charter,4
principle,1
music,1
want,1
relief,1
moral,1
jerk,1
metaphor,1
scent,1
girl,1
tradition,2
development,3
crisis,1
bubble,1
camera,5
pond,4
decision,1
job,1
frustration,1
error,1
student,1
reputation,1
fear,1
tool,3
shrimp,1
refrigerator,4
empty,1
kindness,1
impairment,1
wish,1
alligator,1
moment,1
injury,1
master,2
file,4
factory,5
body,3
weight,3
tide,6
lemon,1
television,4
coffin,4
admiration,1
tip,2
complication,3
shock,4
past,5
park,6
line,5
nerve,4
income,2
specialist,3
lesson,4
cause,5
squeak,1
insight,5
hotel,6
peacemaker,7
law,5
conscience,6
misery,2
dimension,3
pill,4
alley,6
banana,1
pest,2
debt,3
march,5
justice,7
sanctuary,6
meeting,5
cucumber,1
