word,rating
coffin,4
month,1
leader,1
duty,1
incident,1
pill,4
pawn,3
mosquito,3
orchid,6
parish,2
lettuce,6
wallet,4
example,1
payment,1
separation,1
ocean,6
perception,2
key,3
contempt,2
road,3
bell,3
competence,1
hog,4
principle,1
philosophy,1
regret,2
moonlight,5
butter,5
accident,2
bandit,2
guilt,2
specimen,2
flask,3
subtraction,1
zoo,5
nerve,3
adventurer,2
fantasy,4
object,1
contract,1
art,6
personality,2
grandmother,2
behavior,1
helmet,4
midnight,4
helplessness,2
fountain,4
loan,1
permission,1
worry,2
mountain,5
calculation,1
laughter,2
play,3
inn,2
costume,6
heart,4
theory,1
visitor,1
idea,2
announcement,1
income,1
arrow,4
irrigation,2
abundance,2
wage,1
uncertainty,1
horse,4
cat,4
guide,1
distribution,1
drum,4
fate,2
tongue,3
moment,1
opportunity,1
itch,3
difference,1
cause,1
leopard,6
infection,2
territory,2
dimension,1
fog,5
fireplace,5
time,1
teacher,1
occasion,1
occupation,1
core,2
silence,2
vocabulary,1
ankle,3
riot,4
skull,4
bed,3
variety,2
file,2
consideration,1
rainbow,7
measure,1
sugar,5
envy,2
baby,4
linen,5
enemy,2
three,1
mile,1
opinion,1
food,4
impairment,1
beauty,4
performance,2
ambulance,4
punishment,2
starch,2
salary,1
selection,1
significance,1
corpse,4
metaphor,2
cup,4
job,1
response,1
description,1
tradition,2
rule,1
hurricane,5
assumption,1
economy,1
degree,1
appeal,2
lion,6
skunk,5
stranger,1
march,2
proof,1
member,1
eagle,5
suit,5
shape,3
disaster,3
clothing,5
uncle,2
produce,4
unit,1
importance,1
accomplishment,1
empty,2
awareness,1
capacity,1
neck,3
standard,1
ambition,2
propeller,3
cake,6
evidence,1
tennis,4
physics,1
honesty,1
odor,2
landscape,6
lamp,4
circuit,2
injury,3
gorilla,5
master,2
university,1
pigeon,4
hospital,3
shirt,5
bank,2
camera,3
sanctuary,3
pest,2
comparison,1
kindness,2
category,1
recognition,1
obstruction,2
rocket,4
ball,4
circumstance,1
mold,3
writing,2
banana,6
idiom,1
marriage,2
cloth,4
pile,2
comprehension,1
branch,4
edge,2
incentive,1
expression,2
combination,2
jewel,6
rabbit,4
origin,1
requirement,1
mankind,2
microscope,3
view,3
professor,1
typewriter,3
ceiling,3
purpose,1
ditch,3
wave,4
policeman,3
season,4
guess,1
summer,6
margin,1
complication,1
establishment,1
betrayal,2
towel,4
math,1
hat,5
fabric,4
name,1
refrigerator,3
segment,1
conference,1
tendency,1
specialist,1
drama,3
boulder,3
property,1
division,1
site,2
fallacy,1
meeting,1
coupon,4
television,4
mastery,1
identification,1
promotion,1
moral,1
correspondent,1
individual,1
brawl,3
soul,2
retention,1
dagger,4
instance,1
impossibility,1
lightning,6
pig,4
quality,1
corn,5
bullet,4
truth,1
state,1
assault,3
entrance,2
amount,1
friendship,2
macaroni,5
topic,1
border,3
clearance,2
determination,2
route,2
puddle,5
thing,1
arc,3
sky,6
tree,5
student,1
tip,2
presence,1
self,1
autumn,6
love,4
peace,3
episode,1
conscience,1
sight,3
length,1
caterpillar,5
tool,3
body,3
latch,2
cow,4
spirit,3
roof,3
charter,1
reputation,1
lesson,1
fisherman,3
tallness,1
dozen,1
boredom,2
salad,6
magic,5
acre,2
palace,5
ring,5
stride,2
money,4
butterfly,7
equality,1
anger,3
pretense,1
justice,1
unity,1
engagement,2
industry,1
sister,2
calendar,4
attempt,1
mystery,3
criticism,1
phenomenon,2
beast,3
river,5
alley,3
chance,1
atrocity,2
laundry,4
uniform,5
translation,1
entree,4
riddle,2
father,2
outfit,5
blood,6
danger,2
fifteen,1
beverage,4
heap,2
liar,2
mind,1
pond,5
shortness,1
tune,2
boundary,2
thorn,4
mileage,1
vapor,4
toilet,3
sneeze,2
synagogue,3
rhyme,1
gesture,2
island,5
leadership,1
disgust,3
democracy,1
shrimp,5
woman,2
sword,5
majority,1
shock,3
ability,1
lane,2
responsibility,1
alligator,5
supply,1
child,3
crown,6
anxiety,2
intelligence,1
kitten,5
holiday,4
waste,3
mud,5
factory,2
opposition,1
winter,6
grammar,1
peacemaker,2
hatred,2
reduction,1
stupidity,1
