word,rating
ability,5
abundance,2
accident,2
accomplishment,5
accumulation,2
acquisition,3
acre,1
addition,2
admiration,2
advantage,2
adventurer,3
adversity,2
advice,1
affection,2
alley,1
alligator,1
ally,2
alphabet,1
ambition,4
ambulance,1
amount,1
amplitude,1
anger,4
animal,2
ankle,4
announcement,1
annoyance,3
anxiety,3
apology,2
appeal,2
apple,2
appointment,1
arc,2
arrangement,2
arrow,3
art,3
article,1
artist,3
aspect,1
assault,3
assistance,2
assumption,1
atom,1
atrocity,1
attempt,4
attention,2
attitude,2
autumn,1
availability,1
awareness,2
baby,2
bag,1
ball,5
ballot,1
banana,2
band,3
bandit,1
bank,1
beast,1
beauty,2
beaver,1
bed,2
bedroom,1
beetle,1
behavior,4
belief,1
bell,1
benefactor,1
bet,1
betrayal,1
beverage,1
bird,1
blade,2
blood,2
boat,2
body,6
bolt,2
border,1
boredom,1
bottle,1
boulder,1
boundary,1
boy,2
bracelet,1
brain,4
branch,1
brawl,3
brevity,1
bridge,2
brother,2
brute,1
bubble,1
bullet,2
burner,1
butter,1
butterfly,2
cake,1
calculation,1
calendar,1
camera,1
candidate,1
candy,1
capacity,2
car,3
cat,2
category,1
caterpillar,1
cause,1
ceiling,1
ceremony,1
chair,2
chance,1
character,2
charity,1
charter,1
chicken,2
chief,1
child,2
chipmunk,1
chlorine,1
chocolate,1
christmas,1
church,1
circuit,1
circumstance,1
city,1
claim,1
clean,2
clearance,1
cliff,1
cloth,1
clothing,1
cocktail,1
coffee,1
coffin,1
cognition,2
coincidence,1
combination,1
comparison,1
competence,3
complication,1
composer,2
comprehension,1
conclusion,1
conference,1
confidence,3
conscience,2
consequence,1
consideration,1
consistency,2
construction,3
contempt,2
context,1
contract,1
convergence,1
core,2
corn,1
corporation,1
corpse,1
correspondent,1
costume,2
cottage,1
coupon,1
cow,1
cowardice,1
cranberry,1
crime,1
crisis,1
criticism,1
crocodile,1
crown,1
cucumber,1
cup,1
curfew,1
dad,2
dagger,2
damage,1
danger,2
darkness,1
debt,1
deceit,1
decision,3
deduction,1
definition,1
degree,1
democracy,1
denial,1
dentist,1
deputy,1
description,1
design,2
desk,1
despair,1
destiny,1
determination,4
development,2
diamond,1
diet,2
difference,1
dilemma,1
dimension,1
disagreement,1
disappointment,2
disaster,1
disgust,2
distance,1
distraction,2
distribution,1
ditch,1
diversity,1
division,1
doctor,1
donor,1
door,2
dove,1
dozen,1
drama,2
drug,1
drum,4
duck,1
duel,3
duration,1
duty,2
dynasty,1
eagle,1
economy,1
edge,2
effect,1
effort,4
eight,1
electricity,1
elephant,1
emergence,2
empire,1
empty,1
enemy,1
engagement,2
entrance,2
entree,1
envy,1
episode,1
equality,1
error,1
escape,4
establishment,1
event,1
evidence,1
example,1
exception,1
exclusion,1
explanation,1
expression,3
extent,1
eyeball,2
fabric,1
fact,1
factory,1
faith,1
fallacy,1
fantasy,2
fat,2
fate,1
father,2
fear,3
fifteen,1
fight,5
figure,2
file,1
fireplace,1
fisherman,2
flask,1
flavor,1
fog,1
food,2
football,5
forest,2
form,2
foundation,1
fountain,1
freedom,3
friendship,1
frog,1
frustration,2
future,1
gender,1
genuine,1
germ,1
gesture,6
girl,2
gorilla,1
grammar,1
grandmother,1
grass,1
grasshopper,1
grief,1
group,1
guess,1
guide,2
guilt,1
gun,3
handkerchief,1
hat,1
hatred,1
hazard,1
heap,1
heart,3
helmet,1
helplessness,1
heresy,1
hierarchy,1
hobby,2
hog,1
holiday,1
honesty,1
hope,2
horse,3
hospital,1
hotel,1
hurricane,1
hurt,3
idea,2
identification,1
identity,2
idiom,1
ignition,2
ignorance,1
imagination,2
immortality,1
impairment,1
importance,1
impossibility,1
improvement,2
incentive,2
inch,1
incident,1
income,1
increase,2
independence,3
individual,2
industry,1
infection,1
information,1
injury,2
inn,1
insight,2
instance,1
instinct,3
institute,1
instructor,2
integrity,1
intelligence,2
intention,3
interaction,3
interior,1
interruption,1
introduction,1
iron,1
irony,1
irrigation,1
island,1
issue,1
itch,4
item,1
jacket,1
jerk,3
jewel,1
job,2
justice,1
justification,1
key,2
kindness,2
kite,3
kitten,1
knife,3
knowledge,1
lake,1
lamb,1
lamp,1
landscape,1
lane,1
latch,2
laughter,4
laundry,2
law,1
leader,2
leadership,2
legality,1
lemon,1
length,1
lens,1
leopard,1
lesson,1
lettuce,1
liar,1
lightning,1
lily,1
limitation,1
line,2
linen,1
lion,1
lip,3
lisp,3
literature,1
lizard,1
loafer,1
loan,1
lobster,1
location,1
lock,2
logic,1
love,3
lunch,1
macaroni,1
magic,2
magnitude,1
majority,1
malice,1
mankind,1
manner,2
mansion,1
march,6
margin,1
marriage,1
master,2
mastery,4
material,1
math,1
mattress,1
measure,2
medicine,1
meeting,1
member,1
memory,2
menu,1
mercy,1
message,1
metaphor,1
method,1
microscope,1
midnight,1
mile,2
mileage,1
mind,3
miracle,1
misery,1
missile,2
mold,1
moment,1
money,1
month,1
moonlight,1
moral,1
mosquito,1
mother,2
mountain,2
mud,2
murder,1
music,4
mustard,1
mystery,1
myth,1
name,1
nation,1
necessity,1
neck,4
necklace,1
neighborhood,1
nerve,3
newspaper,1
nose,2
number,1
nurse,1
object,1
obstruction,2
occasion,1
occupation,1
ocean,1
odor,1
onion,1
opera,2
opinion,1
opponent,2
opportunity,1
opposition,2
orchestra,3
orchid,1
origin,1
originality,2
outcome,1
outfit,1
oven,1
owner,1
ownership,1
palace,1
paradigm,1
paragraph,1
parish,1
park,2
past,1
pawn,1
payment,1
peace,2
peacemaker,2
peach,1
perception,2
performance,4
permission,1
personality,2
pest,1
phenomenon,1
philosophy,1
photo,1
photograph,1
physics,1
pie,1
pig,1
pigeon,1
pile,1
pill,1
pillow,1
pimple,1
play,5
poetry,2
policeman,1
poll,1
pond,1
pool,2
possibility,1
potato,1
prediction,1
preference,1
preparation,2
presence,2
pretense,1
principle,1
produce,1
production,2
professor,1
promotion,1
proof,1
prop,2
propeller,2
property,1
proportion,1
protection,2
psalm,1
puddle,1
punishment,1
puppy,1
purpose,2
pyramid,1
quality,1
queen,1
rabbit,2
radio,1
rainbow,1
raspberry,1
real,1
reality,1
reason,1
rebel,2
recital,3
recognition,1
record,2
reduction,1
reflex,5
refrigerator,1
regret,1
regulation,1
reinforcement,2
relief,2
rent,1
replacement,1
republic,1
reputation,1
requirement,1
resort,1
response,4
responsibility,2
result,1
retention,1
revenge,2
rhyme,1
riddle,1
ring,2
riot,3
risk,2
river,1
road,2
robbery,1
robin,1
rocket,2
roof,1
route,2
rule,1
sadness,1
safety,2
salad,1
salary,1
saloon,1
sanctuary,1
sandal,2
satisfaction,3
scene,1
scent,1
scholar,1
season,1
second,1
security,1
sedative,1
segment,1
selection,1
self,7
separation,2
shame,1
shape,2
shark,1
shirt,1
shock,2
shortness,1
show,2
shrimp,1
sight,2
significance,1
silence,1
sister,2
site,1
situation,1
size,1
skill,4
skin,3
skull,2
skunk,1
sky,1
smell,2
snake,2
sneeze,5
snow,2
sofa,1
sole,3
soul,2
sow,2
specialist,1
specimen,1
speech,5
spelling,1
spider,1
spirit,2
square,2
squeak,4
standard,1
stapler,1
starch,1
state,1
station,1
steam,1
stick,3
stimulus,2
story,1
stranger,1
street,2
stride,7
student,2
stupidity,1
subtraction,1
sugar,1
suggestion,1
suit,1
summer,1
supply,1
suspect,1
sword,3
synagogue,1
talent,3
tallness,1
tax,1
teacher,1
television,1
temperature,1
temple,1
tendency,1
tennis,5
tension,3
territory,1
theory,1
thief,1
thing,1
thorn,1
thought,2
three,1
tide,1
time,1
tip,2
toilet,1
tomato,1
tongue,4
tool,2
topic,1
towel,1
tradition,1
tragedy,1
translation,1
traveler,3
tree,1
truck,2
trumpet,4
trust,2
truth,1
tune,3
twig,1
typewriter,2
uncertainty,1
uncle,1
underworld,1
uniform,1
unit,1
unity,1
university,1
value,1
vapor,1
variety,1
verse,1
victim,1
view,1
vision,2
visitor,1
vocabulary,1
volcano,1
volt,1
volume,2
wage,1
wallet,1
want,2
waste,1
water,2
wave,4
weather,1
weight,3
willingness,2
window,1
