word,rating
suit,3
performance,4
cognition,3
hat,2
disappointment,7
city,3
independence,6
hotel,3
guilt,7
bubble,2
marriage,6
neighborhood,3
adversity,6
crown,4
fisherman,2
peach,5
lion,5
vapor,2
fantasy,5
advice,4
metaphor,3
blade,4
arc,2
lamp,2
square,2
accident,7
attitude,4
material,2
outcome,3
error,5
puddle,2
comparison,3
regulation,3
cowardice,6
engagement,5
site,2
professor,4
mosquito,6
mold,5
irony,3
contempt,7
purpose,5
knife,5
opportunity,6
curfew,5
despair,7
anxiety,7
cloth,2
truck,2
stride,3
three,1
mind,4
sword,5
spider,5
baby,6
inn,2
bullet,6
trumpet,4
costume,4
leopard,5
diversity,6
river,4
duty,4
math,4
bell,3
ceiling,2
blood,6
landscape,5
photograph,5
consideration,4
chief,3
witness,4
insight,5
fear,7
bird,4
butter,3
equality,6
perception,3
availability,2
weather,3
hierarchy,4
toilet,4
principle,5
propeller,2
future,6
riddle,3
promotion,6
annoyance,6
advantage,5
spelling,2
key,3
typewriter,2
sight,4
occasion,4
gun,7
odor,5
ambulance,6
past,4
lane,2
decision,4
volt,2
band,4
ocean,5
sedative,4
rabbit,4
opposition,4
clean,4
boy,4
riot,7
nerve,4
confidence,6
frustration,6
specialist,3
recognition,5
kitten,6
pawn,3
selection,3
mile,2
genuine,5
beetle,4
job,5
towel,1
issue,3
dynasty,3
sandal,2
establishment,3
dagger,6
neck,3
stapler,1
fight,6
lightning,5
lunch,4
second,1
child,6
exclusion,6
description,2
art,5
suggestion,3
development,4
magnitude,2
institute,2
sow,2
alley,3
time,4
honesty,6
produce,3
arrangement,3
bag,1
intention,4
group,3
body,4
rebel,4
midnight,4
drama,4
distraction,4
bracelet,3
proportion,2
horse,5
crime,7
core,2
personality,4
park,5
disaster,7
cocktail,4
suspect,5
philosophy,4
literature,5
limitation,5
magic,6
conscience,5
teacher,5
destiny,5
murder,7
assistance,5
escape,5
affection,6
ability,5
cake,6
football,5
brain,4
psalm,4
fountain,4
imagination,6
state,2
majority,2
tool,2
incentive,5
stranger,4
interaction,4
enemy,6
stick,2
leader,5
competence,5
bedroom,4
cottage,5
pest,5
subtraction,2
lake,5
jacket,2
volume,2
spirit,5
orchestra,5
improvement,6
darkness,5
chicken,3
mileage,2
steam,2
thought,4
criticism,5
reality,4
segment,1
robin,4
student,4
dozen,1
diet,4
rent,5
charity,6
security,6
helplessness,7
sadness,7
sole,2
apple,5
file,2
proof,3
island,5
reflex,2
intelligence,5
accomplishment,6
lettuce,2
physics,3
vocabulary,2
saloon,3
disagreement,5
revenge,6
protection,6
visitor,3
alphabet,1
brevity,2
synagogue,4
wolf,5
shrimp,3
duration,1
lamb,4
circuit,2
cup,2
conclusion,3
want,4
preference,2
grammar,2
reinforcement,3
idiom,2
forest,5
worry,6
branch,2
orchid,5
oven,2
effect,2
salary,5
atom,2
variety,4
beauty,6
assumption,2
republic,3
object,1
belief,4
combination,2
guide,4
factory,3
real,3
effort,4
chocolate,6
flavor,4
composer,4
cucumber,2
hobby,5
empire,4
topic,1
pool,4
ally,5
mercy,6
scent,5
beaver,3
theory,3
drum,4
opinion,3
border,3
nose,2
safety,6
appeal,4
correspondent,2
number,1
tree,5
traveler,4
television,3
refrigerator,1
disgust,7
crisis,7
cause,3
lobster,3
shark,6
temperature,2
satisfaction,6
ditch,3
shame,7
flask,2
supply,2
menu,3
calculation,2
outfit,3
deputy,3
miracle,6
increase,3
lemon,4
attention,3
month,1
rule,3
snow,5
coupon,3
tension,6
phenomenon,2
truth,6
station,2
diamond,6
property,3
aspect,1
kite,4
construction,2
distribution,2
photo,5
paradigm,2
reduction,2
myth,4
punishment,6
brute,5
industry,2
necessity,4
faith,6
loan,5
income,5
summer,6
bed,5
ignorance,6
bolt,2
helmet,2
ceremony,4
paragraph,1
music,6
reason,3
heap,2
addition,1
adventurer,5
hazard,6
justification,3
rhyme,3
betrayal,7
chipmunk,4
sky,5
hurt,6
animal,4
corn,3
mud,3
candy,5
street,3
desk,1
