word,rating
scholar,2
deputy,2
produce,4
woman,2
scent,2
ambulance,2
doctor,2
obstruction,3
three,6
flavor,2
volcano,4
cow,3
ankle,2
clearance,3
nerve,2
helmet,2
chief,2
cake,3
manner,1
pill,2
robbery,1
marriage,1
spirit,1
speech,2
scene,2
math,1
freedom,1
atom,4
kindness,1
cat,2
ballot,1
abundance,7
incentive,1
guess,1
effort,2
pond,3
impairment,1
grass,2
belief,1
door,2
conclusion,1
photograph,2
photo,2
explanation,1
chocolate,2
candy,2
sword,2
presence,2
admiration,1
lobster,3
jerk,1
knife,2
crime,1
betrayal,1
microscope,2
bracelet,2
emergence,1
mansion,5
escape,1
heresy,1
stimulus,1
deduction,2
reduction,6
pig,3
sugar,3
lamb,3
loan,2
frog,2
lane,3
gorilla,4
flask,2
music,1
willingness,1
hurt,1
combination,2
lightning,2
foundation,3
confidence,1
contempt,1
contract,2
skin,2
magic,1
conscience,1
evidence,1
response,1
addition,5
ceiling,2
brawl,1
pimple,2
temple,4
saloon,3
integrity,1
suit,2
industry,3
fountain,3
occasion,1
file,2
comparison,1
border,3
sandal,2
future,1
money,4
accomplishment,1
composer,1
correspondent,1
month,3
pie,3
conference,2
burner,2
fog,2
disappointment,1
forest,5
linen,2
student,2
kitten,2
thorn,2
zoo,4
enemy,1
hurricane,5
route,2
fabric,2
boredom,1
ignorance,1
sow,2
character,2
cranberry,2
cup,2
episode,1
assistance,1
duration,4
squeak,1
paradigm,1
circuit,2
disagreement,1
hazard,1
arc,2
toilet,2
bottle,2
tool,2
snow,3
permission,1
awareness,1
heart,2
poetry,1
importance,2
pool,3
stick,2
beauty,1
subtraction,5
translation,1
pile,6
performance,2
hospital,4
criticism,1
apology,1
park,4
medicine,2
mile,6
inn,3
grandmother,2
circumstance,1
trust,1
engagement,2
location,2
lettuce,2
tradition,1
cloth,2
alphabet,3
diamond,3
moment,2
child,2
arrangement,2
island,4
variety,4
information,2
latch,1
chicken,3
artist,2
beaver,3
refrigerator,4
destiny,1
tip,2
grammar,1
hotel,4
brevity,5
shortness,6
capacity,6
worry,1
owner,1
view,2
denial,1
issue,1
personality,2
boy,2
entrance,2
orchid,2
radio,2
hatred,1
opera,2
steam,2
phenomenon,1
lizard,2
visitor,1
ambition,1
mankind,4
brother,2
crocodile,4
error,1
miracle,1
bell,2
germ,2
property,3
bet,1
hog,3
bed,3
deceit,1
member,1
intention,1
hope,1
specialist,1
attitude,1
poll,2
salary,3
fireplace,3
rocket,4
past,1
misery,1
thought,1
entree,2
want,1
skull,3
margin,4
ceremony,2
extent,7
potato,2
reputation,1
determination,1
increase,7
independence,1
genuine,1
story,2
rule,2
eyeball,2
landscape,5
factory,4
injury,2
dad,2
advantage,1
electricity,2
bedroom,4
gesture,1
bridge,3
fact,1
unity,2
lisp,1
coupon,1
stranger,1
dove,2
material,3
prop,1
event,1
result,1
handkerchief,2
institute,3
announcement,1
assault,1
helplessness,1
robin,2
grasshopper,2
justification,1
thing,2
duel,1
adventurer,1
mosquito,2
revenge,1
elephant,5
segment,4
suspect,1
degree,4
anxiety,1
record,2
reflex,1
dilemma,1
replacement,2
tree,4
clean,1
lock,2
stride,2
wish,1
apple,2
reality,1
self,1
consequence,1
form,2
laughter,1
opponent,1
lily,2
lunch,2
sedative,1
menu,2
benefactor,1
duty,1
drama,1
equality,2
trumpet,2
art,1
alligator,4
lake,5
idiom,1
vocabulary,3
instance,2
cucumber,2
chance,1
nose,2
charter,1
branch,3
interruption,1
logic,1
comprehension,1
boundary,4
camera,2
tomato,2
volt,3
nation,5
volume,7
waste,2
key,1
significance,2
hat,2
figure,3
football,3
fear,1
separation,2
measure,6
puddle,3
sight,1
philosophy,1
irony,1
charity,1
advice,1
beast,3
moonlight,1
appeal,1
instructor,1
paragraph,2
economy,3
traveler,1
disaster,3
butter,2
law,1
convergence,2
state,2
instinct,1
season,3
vapor,2
diversity,3
definition,1
lesson,1
spider,2
impossibility,1
window,2
cliff,4
mountain,6
disgust,1
onion,2
republic,4
chipmunk,2
pest,2
safety,1
skunk,2
shame,1
beetle,2
possibility,1
crown,2
retention,2
immortality,1
proportion,6
raspberry,2
beverage,2
metaphor,1
effect,1
weight,6
physics,1
curfew,1
teacher,1
salad,2
bullet,2
lemon,2
second,3
fisherman,1
uncertainty,1
shock,1
leadership,2
winter,3
ring,2
food,3
payment,2
recital,2
bag,2
sadness,1
behavior,1
lip,2
guilt,1
incident,1
annoyance,1
wood,2
mastery,1
victim,1
autumn,3
gender,1
leader,2
peacemaker,1
ownership,1
distance,6
cowardice,1
ally,1
jewel,2
truck,4
intelligence,2
palace,5
job,2
situation,1
summer,3
mileage,6
shrimp,2
parish,3
perception,1
ditch,3
fantasy,1
uncle,2
regret,1
bank,3
midnight,2
policeman,1
calculation,2
outfit,2
witness,1
verse,2
dentist,1
satisfaction,1
preference,1
originality,1
resort,3
fat,5
attention,1
writing,1
legality,1
size,7
smell,1
thief,1
heap,6
dagger,2
underworld,3
fifteen,6
mold,2
frustration,1
shirt,2
brain,3
expression,1
edge,2
ignition,1
name,1
darkness,2
message,1
square,4
site,2
snake,3
consideration,1
occupation,2
claim,1
pretense,1
silence,1
mystery,1
wallet,2
corn,2
caterpillar,2
calendar,2
opposition,1
chlorine,2
candidate,1
road,4
method,1
leopard,3
shark,4
neighborhood,4
cognition,1
promotion,2
holiday,2
necklace,2
tendency,1
lion,4
car,3
bandit,1
oven,3
atrocity,1
pyramid,5
interaction,1
talent,1
master,2
eight,6
clothing,2
duck,2
donor,1
protection,1
guide,1
peach,2
description,1
bubble,2
production,4
risk,1
university,5
tide,3
limitation,3
amplitude,7
principle,1
magnitude,7
bird,2
value,3
consistency,2
corpse,3
show,2
irrigation,2
jacket,2
church,4
truth,1
girl,2
wage,3
uniform,2
tragedy,1
selection,2
lamp,2
literature,2
development,3
temperature,4
drug,2
memory,1
riot,2
difference,4
knowledge,2
identification,1
affection,1
chair,2
boulder,4
typewriter,3
eagle,3
availability,2
acre,6
roof,3
competence,1
context,1
ocean,7
rent,2
twig,1
alley,2
exception,1
regulation,1
kite,2
fallacy,1
drum,2
group,4
outcome,1
baby,2
sole,2
distribution,3
responsibility,1
play,2
meeting,2
dynasty,4
prediction,1
preparation,1
debt,2
empty,1
professor,1
empire,6
relief,1
shape,5
youth,2
reinforcement,2
construction,4
security,1
blood,2
odor,1
towel,2
punishment,1
insight,1
arrow,2
tax,2
mother,2
appointment,1
diet,2
ball,2
tension,2
acquisition,2
identity,1
missile,3
individual,1
inch,7
territory,5
loafer,2
hobby,1
despair,1
cocktail,2
boat,3
sofa,3
decision,1
hierarchy,3
ability,1
river,5
wisdom,1
sanctuary,3
gun,2
recognition,1
item,2
banana,2
newspaper,3
lens,2
propeller,2
origin,1
mustard,2
malice,1
city,5
fate,1
grief,1
rebel,1
specimen,2
vision,1
myth,1
synagogue,4
nurse,1
accumulation,6
soul,1
peace,1
itch,1
democracy,1
animal,3
desk,3
purpose,1
tennis,2
tune,1
liar,1
coffin,3
mud,2
damage,2
division,4
accident,1
pawn,2
costume,2
weather,2
wave,3
street,4
bolt,2
fight,1
honesty,1
tongue,2
love,1
stupidity,1
spelling,1
psalm,1
line,4
corporation,5
body,3
blade,2
idea,1
pillow,2
theory,1
improvement,2
example,1
band,3
stapler,2
television,3
danger,1
cause,1
butterfly,2
coffee,2
aspect,2
topic,1
exclusion,2
opportunity,1
envy,1
establishment,4
sneeze,1
station,3
mind,1
justice,1
neck,2
rabbit,2
complication,1
christmas,2
dimension,7
wolf,3
core,3
cottage,3
supply,4
real,1
attempt,1
quality,2
suggestion,1
puppy,2
interior,3
anger,1
riddle,1
macaroni,2
pigeon,2
proof,1
introduction,1
starch,2
rainbow,2
imagination,1
water,3
length,7
tallness,7
design,2
crisis,1
murder,1
rhyme,1
necessity,1
moral,1
horse,3
assumption,1
dozen,6
majority,6
brute,2
queen,2
adversity,1
object,2
iron,2
orchestra,4
time,3
opinion,1
distraction,1
mercy,1
father,2
skill,1
coincidence,1
requirement,1
laundry,2
sky,6
friendship,1
number,7
standard,2
mattress,4
infection,2
march,2
sister,2
reason,1
article,2
category,2
amount,7
faith,1
unit,6
income,4
