word,rating
ability,1
abundance,2
accident,1
accomplishment,1
accumulation,2
acquisition,1
acre,6
addition,2
admiration,1
advantage,2
adventurer,2
adversity,1
advice,1
affection,1
alley,7
alligator,1
ally,1
alphabet,1
ambition,1
ambulance,3
amount,2
amplitude,5
anger,1
animal,1
ankle,3
announcement,1
annoyance,1
anxiety,1
apology,1
appeal,1
apple,1
appointment,1
arc,6
arrangement,3
arrow,6
art,1
article,1
artist,1
aspect,2
assault,1
assistance,1
assumption,1
atom,1
atrocity,1
attempt,1
attention,1
attitude,1
autumn,2
availability,1
awareness,1
baby,1
bag,1
ball,1
ballot,1
banana,1
band,2
bandit,1
bank,4
beast,1
beauty,1
beaver,1
bed,5
bedroom,6
beetle,1
behavior,1
belief,1
bell,1
benefactor,1
bet,1
betrayal,1
beverage,1
bird,1
blade,2
blood,1
boat,4
body,2
bolt,2
border,7
boredom,1
bottle,1
boulder,2
boundary,7
boy,1
bracelet,2
brain,1
branch,4
brawl,1
brevity,1
bridge,7
brother,1
brute,1
bubble,2
bullet,3
burner,2
butter,1
butterfly,1
cake,1
calculation,1
calendar,2
camera,1
candidate,1
candy,1
capacity,1
car,3
cat,1
category,2
caterpillar,1
cause,1
ceiling,6
ceremony,1
chair,3
chance,1
character,1
charity,1
charter,1
chicken,1
chief,2
child,1
chipmunk,1
chlorine,1
chocolate,1
christmas,1
church,4
circuit,5
circumstance,2
city,5
claim,1
clean,1
clearance,3
cliff,6
cloth,1
clothing,1
cocktail,1
coffee,1
coffin,2
cognition,1
coincidence,1
combination,1
comparison,1
competence,1
complication,1
composer,1
comprehension,1
conclusion,1
conference,1
confidence,1
conscience,1
consequence,1
consideration,1
consistency,1
construction,2
contempt,1
context,1
contract,1
convergence,4
core,4
corn,1
corporation,1
corpse,1
correspondent,1
costume,1
cottage,4
coupon,1
cow,1
cowardice,1
cranberry,1
crime,1
crisis,1
criticism,1
crocodile,1
crown,3
cucumber,1
cup,1
curfew,2
dad,1
dagger,2
damage,1
danger,1
darkness,1
debt,1
deceit,1
decision,1
deduction,1
definition,1
degree,2
democracy,1
denial,1
dentist,1
deputy,1
description,1
design,1
desk,2
despair,1
destiny,1
determination,1
development,2
diamond,2
diet,1
difference,1
dilemma,1
dimension,6
disagreement,1
disappointment,1
disaster,1
disgust,1
distance,7
distraction,1
distribution,3
ditch,6
diversity,1
division,2
doctor,1
donor,1
door,7
dove,1
dozen,1
drama,1
drug,1
drum,1
duck,1
duel,1
duration,2
duty,1
dynasty,1
eagle,2
economy,1
edge,7
effect,1
effort,1
eight,1
electricity,1
elephant,1
emergence,2
empire,3
empty,2
enemy,1
engagement,1
entrance,7
entree,1
envy,1
episode,1
equality,1
error,1
escape,3
establishment,2
event,1
evidence,1
example,1
exception,1
exclusion,2
explanation,1
expression,1
extent,5
eyeball,2
fabric,1
fact,1
factory,3
faith,1
fallacy,1
fantasy,1
fat,1
fate,1
father,1
fear,1
fifteen,1
