word,rating
coffin,6
month,1
leader,2
duty,1
incident,1
pill,5
pawn,4
mosquito,5
orchid,5
parish,1
lettuce,6
wallet,6
example,1
payment,1
separation,2
ocean,4
perception,1
key,6
contempt,1
road,4
bell,5
competence,1
hog,6
principle,1
philosophy,1
regret,1
moonlight,2
butter,7
accident,2
bandit,3
guilt,1
specimen,3
flask,5
subtraction,1
zoo,3
nerve,3
adventurer,2
fantasy,1
object,3
contract,2
art,3
personality,1
grandmother,2
behavior,1
helmet,6
midnight,1
helplessness,1
fountain,4
loan,1
permission,1
worry,1
mountain,4
calculation,1
laughter,2
play,2
inn,3
costume,6
heart,4
theory,1
visitor,2
idea,1
announcement,1
income,1
arrow,6
irrigation,3
abundance,1
wage,1
uncertainty,1
horse,6
cat,6
guide,2
distribution,1
drum,6
fate,1
tongue,6
moment,1
opportunity,1
itch,7
difference,1
cause,1
leopard,6
infection,3
territory,2
dimension,2
fog,4
fireplace,5
time,1
teacher,2
occasion,1
occupation,1
core,3
silence,1
vocabulary,1
ankle,6
riot,2
skull,6
bed,7
variety,1
file,5
consideration,1
rainbow,1
measure,2
sugar,6
envy,1
baby,5
linen,6
enemy,2
three,1
mile,2
opinion,1
food,6
impairment,1
beauty,2
performance,1
ambulance,4
punishment,2
starch,4
salary,1
selection,1
significance,1
corpse,5
metaphor,1
cup,7
job,1
response,1
description,1
tradition,1
rule,1
hurricane,4
assumption,1
economy,1
degree,1
appeal,1
lion,6
skunk,6
stranger,2
march,2
proof,1
member,2
eagle,5
suit,6
shape,5
disaster,2
clothing,6
uncle,2
produce,5
unit,2
importance,1
accomplishment,1
empty,2
awareness,1
capacity,2
neck,6
standard,1
ambition,1
propeller,6
cake,6
evidence,1
tennis,4
physics,1
honesty,1
odor,2
landscape,2
lamp,6
circuit,3
injury,4
gorilla,6
master,2
university,2
pigeon,5
hospital,3
shirt,7
bank,3
camera,6
sanctuary,2
pest,3
comparison,1
kindness,1
category,1
recognition,1
obstruction,3
rocket,5
ball,7
circumstance,1
mold,5
writing,3
banana,6
idiom,1
marriage,1
cloth,7
pile,4
comprehension,1
branch,6
edge,5
incentive,1
expression,2
combination,1
jewel,6
rabbit,6
origin,1
requirement,1
mankind,1
microscope,5
view,2
professor,2
typewriter,6
ceiling,5
purpose,1
ditch,4
wave,4
policeman,2
season,1
guess,1
summer,3
margin,2
complication,1
establishment,2
betrayal,1
towel,7
math,1
hat,7
fabric,7
name,1
refrigerator,6
segment,2
conference,1
tendency,1
specialist,2
drama,1
boulder,6
property,2
division,1
site,2
fallacy,1
meeting,1
coupon,4
television,5
mastery,1
identification,1
promotion,1
moral,1
correspondent,2
individual,2
brawl,3
soul,1
retention,1
dagger,6
instance,1
impossibility,1
lightning,3
pig,6
quality,1
corn,6
bullet,6
truth,1
state,1
assault,3
entrance,4
amount,1
friendship,1
macaroni,6
topic,1
border,3
clearance,2
determination,1
route,2
puddle,6
thing,2
arc,3
sky,1
tree,6
student,2
tip,4
presence,1
self,1
autumn,2
love,1
peace,1
episode,1
conscience,1
sight,1
length,2
caterpillar,6
tool,7
body,7
latch,6
cow,6
spirit,1
roof,5
charter,1
reputation,1
lesson,1
fisherman,3
tallness,2
dozen,1
boredom,1
salad,6
magic,1
acre,2
palace,3
ring,6
stride,4
money,5
butterfly,5
equality,1
anger,1
pretense,1
justice,1
unity,1
engagement,2
industry,1
sister,2
calendar,5
attempt,1
mystery,1
criticism,1
phenomenon,1
beast,5
river,4
alley,4
chance,1
atrocity,2
laundry,6
uniform,6
translation,1
entree,5
riddle,1
father,2
outfit,6
blood,6
danger,2
fifteen,1
beverage,5
heap,4
liar,1
mind,1
pond,4
shortness,2
tune,1
boundary,2
thorn,7
mileage,1
vapor,3
toilet,6
sneeze,3
synagogue,2
rhyme,1
gesture,3
island,3
leadership,1
disgust,2
democracy,1
shrimp,6
woman,2
sword,6
majority,1
shock,4
ability,1
lane,3
responsibility,1
alligator,6
supply,2
child,4
crown,6
anxiety,1
intelligence,1
kitten,6
holiday,1
waste,3
mud,7
factory,3
opposition,1
winter,3
grammar,1
peacemaker,2
hatred,1
reduction,1
stupidity,1
belief,1
missile,5
instructor,2
assistance,1
jacket,7
park,3
genuine,1
law,1
republic,1
denial,1
puppy,6
story,1
consistency,2
acquisition,1
stapler,6
event,1
duel,3
claim,1
reality,1
hierarchy,1
victim,2
mustard,6
ceremony,1
character,2
skin,7
poll,1
nation,1
drug,4
spider,6
lily,5
bet,1
owner,2
manner,1
amplitude,1
cowardice,1
nose,6
darkness,1
ignition,3
inch,2
scholar,2
fat,6
empire,1
brother,2
beetle,6
reason,1
charity,1
bolt,5
definition,1
crime,1
flavor,2
pie,6
speech,1
lamb,6
miracle,1
decision,1
line,3
bird,5
opera,1
grief,1
bridge,5
despair,1
handkerchief,7
lobster,6
mother,2
limitation,1
traveler,2
underworld,1
disappointment,1
iron,6
fact,1
development,1
photograph,5
artist,2
explanation,1
freedom,1
preparation,1
raspberry,6
gender,1
want,1
lisp,2
loafer,5
intention,1
twig,6
photo,5
effort,1
tomato,6
record,3
bubble,6
future,1
instinct,1
necklace,6
hope,1
attitude,1
pimple,6
possibility,1
lock,6
music,1
window,6
sow,5
ignorance,1
regulation,1
knowledge,1
shame,1
apple,6
car,6
shark,6
lemon,6
steam,4
number,1
hotel,3
proportion,1
duration,1
diversity,1
safety,1
benefactor,2
band,3
dynasty,1
show,1
football,7
germ,3
reflex,2
brevity,1
heresy,1
weather,2
coffee,5
result,1
lens,5
atom,1
skill,1
method,1
desk,6
cottage,4
rebel,2
apology,1
witness,2
verse,1
boat,6
myth,1
wisdom,1
smell,1
jerk,3
eight,1
cranberry,6
medicine,4
diamond,6
corporation,1
emergence,1
church,3
disagreement,1
pool,6
snake,6
conclusion,1
robin,5
interruption,1
volume,2
introduction,1
dove,5
risk,1
affection,1
alphabet,1
construction,3
irony,1
duck,5
cliff,5
resort,3
hazard,2
murder,2
neighborhood,2
foundation,4
frog,6
recital,1
design,2
onion,6
beaver,6
newspaper,5
fight,3
independence,1
diet,2
protection,1
elephant,6
cognition,1
convergence,1
insight,1
error,1
deputy,2
volt,1
chipmunk,6
effect,1
context,1
stick,7
interior,2
burner,5
bag,7
opponent,2
tragedy,1
production,1
revenge,1
sedative,4
thief,2
potato,6
memory,1
animal,5
damage,2
boy,2
truck,6
reinforcement,2
literature,1
wish,1
material,5
donor,2
eyeball,6
originality,1
robbery,2
bottle,7
lunch,5
cucumber,6
queen,2
necessity,1
extent,1
group,1
immortality,1
street,4
distance,1
temperature,6
snow,6
doctor,2
chief,2
real,1
knife,7
electricity,3
size,2
appointment,1
interaction,1
aspect,1
trust,1
sandal,7
identity,1
logic,1
coincidence,1
attention,1
stimulus,2
malice,1
past,1
bedroom,5
talent,1
distraction,1
peach,6
addition,1
door,7
station,3
ally,2
scene,2
hurt,4
relief,1
saloon,3
water,6
consequence,1
frustration,1
ownership,1
grass,6
value,1
availability,1
temple,3
lip,6
message,1
confidence,1
paragraph,1
christmas,2
suggestion,1
dad,2
crisis,1
location,2
girl,2
chicken,6
hobby,1
dentist,2
preference,1
oven,6
prediction,1
second,1
brute,3
forest,4
wood,7
misery,1
radio,5
volcano,4
candidate,2
item,2
arrangement,1
escape,1
lizard,6
magnitude,1
wolf,6
satisfaction,1
thought,1
kite,6
imagination,1
paradigm,1
form,2
outcome,1
square,3
chair,7
ballot,4
orchestra,2
composer,2
menu,5
clean,2
accumulation,2
willingness,1
grasshopper,6
blade,6
debt,1
information,1
adversity,1
tension,3
issue,1
improvement,1
curfew,1
cocktail,5
destiny,1
sofa,7
chocolate,6
institute,2
integrity,1
gun,7
candy,6
advantage,1
deceit,1
psalm,1
article,2
lake,4
suspect,2
chlorine,3
nurse,2
exception,1
advice,1
mattress,7
spelling,1
justification,1
annoyance,1
vision,1
sole,5
brain,5
tide,4
bracelet,6
pillow,7
security,1
tax,1
prop,4
mercy,1
faith,1
legality,1
exclusion,1
scent,1
pyramid,5
crocodile,6
increase,1
city,2
weight,5
replacement,1
poetry,1
trumpet,6
mansion,4
rent,1
dilemma,1
sadness,1
squeak,2
fear,1
deduction,1
youth,2
figure,3
admiration,1
situation,1
