word,rating
ability,6
abundance,3
accident,2
accomplishment,4
accumulation,3
acquisition,4
acre,1
addition,4
admiration,4
advantage,4
adventurer,2
adversity,3
advice,6
affection,4
alley,1
alligator,1
ally,2
alphabet,5
ambition,5
ambulance,1
amount,3
amplitude,3
anger,4
animal,1
ankle,1
announcement,4
annoyance,3
anxiety,4
apology,5
appeal,4
apple,1
appointment,3
arc,2
arrangement,3
arrow,1
art,4
article,4
artist,3
aspect,4
assault,2
assistance,3
assumption,6
atom,2
atrocity,3
attempt,4
attention,6
attitude,6
autumn,2
availability,3
awareness,7
baby,1
bag,1
ball,1
ballot,4
banana,1
band,2
bandit,1
bank,2
beast,2
beauty,4
beaver,1
bed,1
bedroom,1
beetle,1
behavior,5
belief,7
bell,1
benefactor,2
bet,3
betrayal,4
beverage,1
bird,1
blade,1
blood,1
boat,1
body,2
bolt,1
border,2
boredom,4
bottle,1
boulder,1
boundary,3
boy,1
bracelet,1
brain,7
branch,1
brawl,2
brevity,4
bridge,1
brother,2
brute,2
bubble,1
bullet,1
burner,1
butter,1
butterfly,1
cake,1
calculation,7
calendar,2
camera,1
candidate,3
candy,1
capacity,4
car,1
cat,1
category,5
caterpillar,1
cause,4
ceiling,1
ceremony,2
chair,1
chance,3
character,5
charity,3
charter,3
chicken,1
chief,2
child,1
chipmunk,1
chlorine,1
chocolate,1
christmas,2
church,2
circuit,2
circumstance,3
city,1
claim,5
clean,2
clearance,2
cliff,1
cloth,1
clothing,1
cocktail,1
coffee,1
coffin,1
cognition,7
coincidence,3
combination,3
comparison,5
competence,5
complication,3
composer,3
comprehension,7
conclusion,6
conference,3
confidence,5
conscience,7
consequence,4
consideration,6
consistency,4
construction,2
contempt,4
context,4
contract,4
convergence,3
core,2
corn,1
corporation,2
corpse,1
correspondent,3
costume,1
cottage,1
coupon,1
cow,1
cowardice,4
cranberry,1
crime,3
crisis,3
criticism,5
crocodile,1
crown,2
cucumber,1
cup,1
curfew,2
dad,1
dagger,1
damage,2
danger,3
darkness,2
debt,2
deceit,5
decision,7
deduction,7
definition,6
degree,3
democracy,5
denial,5
dentist,2
deputy,2
description,5
design,4
desk,1
despair,4
destiny,4
determination,5
development,3
diamond,1
diet,2
difference,4
dilemma,5
dimension,3
disagreement,5
disappointment,4
disaster,2
disgust,4
distance,2
distraction,4
distribution,2
ditch,1
diversity,4
division,3
doctor,2
donor,2
door,1
dove,1
dozen,2
drama,3
drug,1
drum,1
duck,1
duel,2
duration,3
duty,5
dynasty,2
eagle,1
economy,4
edge,1
effect,4
effort,4
eight,2
electricity,1
elephant,1
emergence,3
empire,2
empty,2
enemy,2
engagement,3
entrance,1
entree,1
envy,4
episode,2
equality,5
error,5
escape,3
establishment,2
event,2
evidence,6
example,5
exception,4
exclusion,3
explanation,6
expression,6
extent,3
eyeball,1
fabric,1
fact,6
factory,1
faith,5
fallacy,6
fantasy,6
fat,1
fate,4
father,1
fear,4
fifteen,2
fight,2
figure,3
file,1
fireplace,1
fisherman,1
flask,1
flavor,2
fog,1
food,1
football,1
forest,1
form,3
foundation,3
fountain,1
freedom,5
friendship,4
frog,1
frustration,4
future,5
gender,4
genuine,3
germ,1
gesture,3
girl,1
gorilla,1
grammar,6
grandmother,1
grass,1
grasshopper,1
grief,4
group,3
guess,5
guide,3
guilt,5
gun,1
handkerchief,1
hat,1
hatred,4
hazard,3
heap,1
heart,3
helmet,1
helplessness,4
heresy,5
hierarchy,4
hobby,2
hog,1
holiday,2
honesty,5
hope,5
horse,1
hospital,1
hotel,1
hurricane,1
hurt,3
idea,7
identification,5
identity,5
idiom,5
ignition,1
ignorance,6
imagination,7
immortality,5
impairment,3
importance,4
impossibility,4
improvement,4
incentive,4
inch,1
incident,2
income,2
increase,3
independence,5
individual,3
industry,2
infection,1
information,7
injury,2
inn,1
insight,7
instance,3
instinct,4
institute,2
instructor,3
integrity,5
intelligence,7
intention,7
interaction,4
interior,1
interruption,2
introduction,4
iron,1
irony,6
irrigation,1
island,1
issue,4
itch,1
item,1
jacket,1
jerk,2
jewel,1
job,2
justice,6
justification,6
key,2
kindness,5
kite,1
kitten,1
knife,1
knowledge,7
lake,1
lamb,1
lamp,1
landscape,1
lane,1
latch,1
laughter,3
laundry,1
law,5
leader,3
leadership,4
legality,5
lemon,1
length,2
lens,1
leopard,1
lesson,5
lettuce,1
liar,4
lightning,1
lily,1
limitation,4
line,2
linen,1
lion,1
lip,1
lisp,2
literature,6
lizard,1
loafer,1
loan,2
lobster,1
location,2
lock,1
logic,7
love,4
lunch,1
macaroni,1
magic,3
magnitude,3
majority,3
malice,5
mankind,3
manner,3
mansion,1
march,2
margin,2
marriage,3
master,3
mastery,5
material,2
math,7
mattress,1
measure,4
medicine,2
meeting,3
member,2
memory,7
menu,1
mercy,5
message,6
metaphor,6
method,5
microscope,1
midnight,1
mile,1
mileage,1
mind,7
miracle,3
misery,4
missile,1
mold,1
moment,2
money,2
month,1
moonlight,1
moral,6
mosquito,1
mother,1
mountain,1
mud,1
murder,2
music,3
mustard,1
mystery,5
myth,4
name,4
nation,2
necessity,4
neck,1
necklace,1
neighborhood,1
nerve,2
newspaper,3
nose,1
number,4
nurse,2
object,2
obstruction,2
occasion,2
occupation,3
ocean,1
odor,1
onion,1
opera,3
opinion,7
opponent,2
opportunity,4
opposition,4
orchestra,2
orchid,1
origin,4
originality,6
outcome,4
outfit,1
oven,1
owner,2
ownership,3
palace,1
paradigm,6
paragraph,5
parish,2
park,1
past,4
pawn,1
payment,2
peace,4
peacemaker,3
peach,1
perception,7
performance,3
permission,4
personality,5
pest,1
phenomenon,4
philosophy,7
photo,1
photograph,1
physics,6
pie,1
pig,1
pigeon,1
pile,1
pill,1
pillow,1
pimple,1
play,2
poetry,5
policeman,2
poll,4
pond,1
pool,1
possibility,5
potato,1
prediction,6
preference,6
preparation,3
presence,2
pretense,4
principle,6
produce,1
production,2
professor,3
promotion,3
proof,6
prop,1
propeller,1
property,2
proportion,4
protection,3
psalm,4
puddle,1
punishment,3
puppy,1
purpose,6
pyramid,1
quality,4
queen,2
rabbit,1
radio,1
rainbow,1
raspberry,1
real,3
reality,5
reason,7
rebel,2
recital,2
recognition,5
record,3
reduction,3
reflex,2
refrigerator,1
regret,5
regulation,4
reinforcement,3
relief,3
rent,2
replacement,2
republic,2
reputation,4
requirement,4
resort,1
response,4
responsibility,5
result,4
retention,5
revenge,4
rhyme,4
riddle,6
ring,1
riot,2
risk,4
river,1
road,1
robbery,2
robin,1
rocket,1
roof,1
route,2
rule,5
sadness,4
safety,4
salad,1
salary,2
saloon,1
sanctuary,2
sandal,1
satisfaction,4
scene,2
scent,1
scholar,4
season,2
second,2
security,3
sedative,1
segment,2
selection,3
self,6
separation,3
shame,5
shape,2
shark,1
shirt,1
shock,3
shortness,2
show,2
shrimp,1
sight,3
significance,5
silence,3
sister,1
site,1
