word,rating
ability,2
abundance,3
accident,3
accomplishment,2
accumulation,4
acquisition,2
acre,5
addition,2
admiration,1
advantage,1
adventurer,4
adversity,1
advice,1
affection,1
alley,6
alligator,7
ally,3
alphabet,5
ambition,1
ambulance,6
amount,2
amplitude,3
anger,1
animal,6
ankle,6
announcement,2
annoyance,1
anxiety,1
apology,1
appeal,2
apple,7
appointment,2
arc,6
arrangement,4
arrow,7
art,5
article,3
artist,4
aspect,2
assault,3
assistance,1
assumption,1
atom,3
atrocity,2
attempt,1
attention,1
attitude,1
autumn,5
availability,1
awareness,1
baby,6
bag,7
ball,7
ballot,5
banana,7
band,5
bandit,4
bank,5
beast,5
beauty,3
beaver,7
bed,7
bedroom,6
beetle,7
behavior,1
belief,1
bell,7
benefactor,3
bet,1
betrayal,1
beverage,5
bird,7
blade,7
blood,6
boat,7
body,7
bolt,6
border,5
boredom,1
bottle,7
boulder,7
boundary,4
boy,6
bracelet,7
brain,6
branch,7
brawl,3
brevity,1
bridge,7
brother,4
brute,3
bubble,7
bullet,7
burner,6
butter,6
butterfly,7
cake,7
calculation,1
calendar,6
camera,7
candidate,3
candy,6
capacity,2
car,7
cat,7
category,2
caterpillar,7
cause,1
ceiling,6
ceremony,4
chair,7
chance,1
character,2
charity,1
charter,3
chicken,7
chief,3
child,6
chipmunk,7
chlorine,4
chocolate,6
christmas,5
church,7
circuit,4
circumstance,1
city,6
claim,1
clean,3
clearance,2
cliff,7
cloth,7
clothing,6
cocktail,6
coffee,6
coffin,7
cognition,1
coincidence,1
combination,2
comparison,1
competence,1
complication,1
composer,3
comprehension,1
conclusion,1
conference,3
confidence,1
conscience,1
consequence,1
consideration,1
consistency,3
construction,5
contempt,1
context,1
contract,3
convergence,2
core,5
corn,7
corporation,2
corpse,6
correspondent,3
costume,7
cottage,7
coupon,5
cow,7
cowardice,1
cranberry,7
crime,2
crisis,1
criticism,1
crocodile,7
crown,7
cucumber,7
cup,7
curfew,2
dad,4
dagger,7
damage,3
danger,2
darkness,4
debt,1
deceit,1
decision,1
deduction,1
definition,1
degree,2
democracy,1
denial,1
dentist,4
deputy,3
description,2
design,5
desk,7
despair,1
destiny,1
determination,1
development,2
diamond,7
diet,3
difference,2
dilemma,1
dimension,4
disagreement,1
disappointment,1
disaster,3
disgust,1
