word,rating
ability,5
abundance,6
accident,4
accomplishment,6
accumulation,5
acquisition,5
acre,3
addition,6
admiration,5
advantage,6
adventurer,4
adversity,4
advice,5
affection,6
alley,4
alligator,5
ally,5
alphabet,7
ambition,6
ambulance,4
amount,5
amplitude,6
anger,6
animal,7
ankle,3
announcement,5
annoyance,5
anxiety,6
apology,5
appeal,5
apple,7
appointment,5
arc,5
arrangement,5
arrow,6
art,6
article,5
artist,6
aspect,5
assault,5
assistance,6
assumption,4
atom,5
atrocity,4
attempt,5
attention,6
attitude,5
autumn,4
availability,5
awareness,6
baby,5
bag,4
ball,6
ballot,4
banana,5
band,5
bandit,4
bank,4
beast,5
beauty,6
beaver,5
bed,4
bedroom,4
beetle,5
behavior,5
belief,5
bell,6
benefactor,4
bet,4
betrayal,5
beverage,5
bird,6
blade,5
blood,4
boat,5
body,4
bolt,5
border,4
boredom,5
bottle,5
boulder,5
boundary,4
boy,5
bracelet,4
brain,5
branch,5
brawl,4
brevity,4
bridge,5
brother,5
brute,4
bubble,5
bullet,5
burner,4
butter,5
butterfly,5
cake,5
calculation,5
calendar,4
camera,5
candidate,4
candy,5
capacity,5
car,5
cat,6
category,4
caterpillar,5
cause,5
ceiling,4
ceremony,4
chair,4
chance,5
character,5
charity,5
charter,4
chicken,5
chief,5
child,5
chipmunk,4
chlorine,4
chocolate,6
christmas,5
church,5
circuit,5
circumstance,4
city,5
claim,4
clean,4
clearance,4
cliff,4
cloth,4
clothing,4
cocktail,5
coffee,5
coffin,4
cognition,5
coincidence,4
combination,4
comparison,4
competence,5
complication,4
composer,4
comprehension,5
conclusion,5
conference,4
confidence,5
conscience,5
consequence,5
consideration,4
consistency,5
construction,4
contempt,4
context,5
contract,4
convergence,4
core,5
corn,4
corporation,4
corpse,4
correspondent,4
costume,4
cottage,4
coupon,4
cow,4
cowardice,4
cranberry,4
crime,5
crisis,5
criticism,4
crocodile,5
crown,5
cucumber,5
cup,5
curfew,4
dad,4
dagger,4
damage,4
danger,5
darkness,5
debt,4
deceit,4
decision,5
deduction,4
definition,5
degree,4
democracy,4
denial,4
dentist,4
deputy,4
description,5
design,5
desk,4
despair,5
destiny,4
determination,5
development,5
diamond,5
diet,4
difference,5
dilemma,4
dimension,5
disagreement,4
disappointment,5
disaster,5
disgust,5
distance,5
distraction,4
distribution,4
ditch,4
diversity,5
division,4
doctor,4
donor,4
door,4
dove,4
dozen,4
drama,5
drug,4
drum,5
duck,5
duel,4
duration,5
duty,5
dynasty,4
eagle,6
economy,5
edge,4
effect,5
effort,5
eight,4
electricity,6
elephant,5
emergence,4
empire,4
empty,4
enemy,5
engagement,4
entrance,4
entree,4
envy,5
episode,4
equality,4
error,4
escape,5
establishment,4
event,5
evidence,5
example,5
exception,4
exclusion,4
explanation,5
expression,5
extent,4
eyeball,4
fabric,4
fact,4
factory,4
faith,5
fallacy,4
fantasy,5
fat,4
fate,5
father,5
fear,6
fifteen,4
fight,5
figure,5
file,4
fireplace,4
fisherman,4
flask,4
flavor,5
fog,4
food,5
football,5
forest,5
form,4
foundation,4
fountain,4
freedom,6
friendship,6
frog,5
frustration,5
future,5
gender,4
genuine,5
germ,4
gesture,4
girl,5
gorilla,5
grammar,4
grandmother,4
grass,4
grasshopper,4
grief,5
group,4
guess,4
guide,5
guilt,5
gun,5
handkerchief,4
hat,4
hatred,5
hazard,4
heap,4
heart,6
helmet,4
helplessness,4
heresy,4
hierarchy,4
hobby,4
hog,4
holiday,5
honesty,5
hope,6
horse,5
hospital,4
hotel,4
hurricane,5
hurt,5
idea,6
identification,4
identity,5
idiom,4
ignition,4
ignorance,4
imagination,6
immortality,4
impairment,4
importance,5
impossibility,4
improvement,5
incentive,4
inch,4
incident,4
income,4
increase,5
independence,5
individual,4
industry,4
infection,4
information,5
injury,4
inn,4
insight,5
instance,4
instinct,5
institute,4
instructor,4
integrity,5
intelligence,5
intention,5
interaction,4
interior,4
interruption,4
introduction,5
iron,4
irony,4
irrigation,4
island,4
issue,4
itch,4
item,4
jacket,4
jerk,4
jewel,5
