word,rating
scholar,3
deputy,2
produce,4
woman,2
scent,7
ambulance,5
doctor,3
obstruction,2
three,3
flavor,6
volcano,5
cow,3
ankle,2
clearance,4
nerve,5
helmet,4
chief,3
cake,4
manner,2
pill,4
robbery,3
marriage,2
spirit,5
speech,4
scene,5
math,3
freedom,4
atom,3
kindness,2
cat,3
ballot,2
abundance,4
incentive,3
guess,2
effort,3
pond,4
impairment,3
grass,4
belief,3
door,3
conclusion,4
photograph,5
photo,5
explanation,4
chocolate,6
candy,6
sword,4
presence,5
admiration,4
lobster,3
jerk,2
knife,5
crime,3
betrayal,3
microscope,4
bracelet,3
emergence,5
mansion,3
escape,4
heresy,2
stimulus,5
deduction,5
reduction,4
pig,3
sugar,6
lamb,3
loan,3
frog,3
lane,2
gorilla,3
flask,4
music,3
willingness,3
hurt,3
combination,3
lightning,5
foundation,4
confidence,5
contempt,2
contract,3
skin,4
magic,4
conscience,4
evidence,5
response,5
addition,4
ceiling,3
brawl,3
pimple,2
temple,4
saloon,3
integrity,5
suit,3
industry,3
fountain,4
occasion,3
file,3
comparison,4
border,3
sandal,3
future,3
money,3
accomplishment,4
composer,3
correspondent,3
month,3
pie,5
conference,3
burner,3
fog,4
disappointment,3
forest,4
linen,3
student,3
kitten,3
thorn,4
zoo,3
enemy,3
hurricane,5
route,3
fabric,4
boredom,2
ignorance,2
sow,3
character,3
cranberry,5
cup,3
episode,3
assistance,3
duration,3
squeak,2
paradigm,3
circuit,4
disagreement,3
hazard,4
arc,4
toilet,3
bottle,4
tool,3
snow,4
permission,3
awareness,4
heart,4
poetry,3
importance,5
pool,4
stick,3
beauty,5
subtraction,4
translation,3
pile,4
performance,3
hospital,5
criticism,3
apology,3
park,3
medicine,4
mile,3
inn,3
grandmother,2
circumstance,3
trust,5
engagement,3
location,3
lettuce,4
tradition,3
cloth,4
alphabet,3
diamond,5
moment,4
child,3
arrangement,3
island,3
variety,4
information,4
latch,3
chicken,3
artist,3
beaver,3
refrigerator,3
destiny,4
tip,3
grammar,3
hotel,3
brevity,3
shortness,3
capacity,4
worry,3
owner,3
view,3
denial,3
issue,3
personality,3
boy,3
entrance,3
orchid,3
radio,3
hatred,3
opera,3
steam,4
phenomenon,5
lizard,3
visitor,3
ambition,4
mankind,3
brother,3
crocodile,3
error,3
miracle,4
bell,3
germ,3
property,3
bet,3
hog,3
bed,3
deceit,3
member,3
intention,3
hope,4
specialist,3
attitude,3
poll,3
salary,3
fireplace,3
rocket,4
past,3
misery,3
thought,3
entree,4
want,3
skull,4
margin,3
ceremony,4
extent,4
potato,4
reputation,4
determination,4
increase,4
independence,4
genuine,3
story,4
