word,rating
truth,7
legality,4
drug,5
stranger,3
band,4
hotel,3
material,4
lesson,6
victim,7
extent,5
burner,3
suggestion,6
dagger,7
site,4
consequence,7
thing,3
degree,6
unity,5
duty,7
combination,4
guess,4
tool,5
incentive,4
anger,7
manner,3
satisfaction,7
supply,4
bag,3
paragraph,4
neighborhood,5
trust,7
philosophy,6
route,4
father,5
wolf,4
vocabulary,5
incident,6
teacher,6
contract,4
factory,4
rabbit,3
reality,7
territory,4
chief,5
salary,4
outcome,7
past,3
assumption,4
institute,4
chicken,3
street,4
willingness,5
reinforcement,5
crocodile,4
diet,4
bet,4
entree,3
fog,3
rule,5
example,5
moment,4
uncle,4
deputy,4
cow,3
result,7
coincidence,4
thorn,5
fat,3
occasion,4
mile,3
advantage,6
rent,4
time,5
spirit,5
corporation,4
helmet,3
composer,4
distance,4
engagement,5
duel,6
gender,4
individual,6
specialist,4
mankind,5
sky,4
gesture,4
cliff,3
line,4
tree,5
promotion,5
donor,5
acquisition,4
leader,7
replacement,4
flask,3
obstruction,4
pest,3
confidence,6
episode,5
show,4
hurricane,6
eight,3
calendar,4
bank,5
meeting,4
necklace,4
opposition,5
miracle,6
peach,4
christmas,4
vision,6
tension,7
odor,4
inch,3
perception,6
appointment,4
cocktail,4
blade,7
truck,4
peacemaker,6
marriage,5
chair,3
cranberry,4
payment,4
belief,7
microscope,4
significance,7
speech,5
cause,6
loan,4
entrance,4
lock,4
tennis,4
bed,3
retention,5
skunk,3
silence,4
coffee,4
scholar,5
holiday,5
paradigm,5
river,4
limitation,4
volt,3
description,4
bird,4
diversity,5
salad,4
trumpet,4
child,5
march,3
stride,4
apology,5
boulder,3
fallacy,4
shortness,3
knowledge,7
kite,4
diamond,5
starch,3
hat,4
pimple,3
advice,6
costume,3
mileage,4
exception,4
mud,3
skin,4
brevity,3
blood,5
record,4
puppy,4
heap,3
lobster,4
robbery,6
spelling,4
stapler,3
fabric,4
vapor,4
poll,4
road,4
handkerchief,3
stick,4
hospital,4
job,4
grammar,4
radio,4
irrigation,4
genuine,6
location,4
personality,6
waste,3
darkness,4
island,4
guilt,7
pie,4
difference,5
mastery,6
bullet,7
insight,7
metaphor,5
lunch,4
faith,7
midnight,4
typewriter,4
bolt,7
wood,4
disappointment,7
ignition,4
quality,5
conclusion,7
ballot,4
bracelet,4
propeller,5
hierarchy,5
escape,4
definition,5
grasshopper,4
identity,7
skull,5
preference,5
temple,4
nose,4
interruption,4
item,4
mold,3
disagreement,7
zoo,4
cucumber,4
mother,5
crime,6
electricity,4
friendship,7
sight,6
sister,5
value,7
atrocity,6
ignorance,4
establishment,4
sow,4
charity,6
shame,7
woman,4
tradition,5
arc,4
refrigerator,4
sedative,4
safety,6
murder,7
fantasy,4
mustard,4
grandmother,5
liar,6
coupon,4
nation,4
animal,4
knife,7
reason,5
intention,5
honesty,7
uniform,4
protection,6
pool,4
addition,4
story,6
awareness,6
adventurer,4
fireplace,4
state,4
frog,4
performance,5
squeak,3
mansion,4
station,4
emergence,5
edge,4
division,5
issue,5
betrayal,7
linen,4
potato,4
grass,4
roof,4
kitten,4
punishment,6
bottle,4
sandal,4
number,3
irony,4
riddle,4
pretense,4
consideration,5
category,4
lisp,3
chance,4
queen,4
origin,5
brute,4
calculation,4
jerk,4
adversity,6
logic,5
majority,4
claim,4
selection,4
flavor,4
measure,4
ceiling,4
oven,4
apple,4
independence,6
affection,7
hurt,7
loafer,3
underworld,4
improvement,6
tip,4
method,4
view,5
name,4
translation,4
member,4
lake,4
macaroni,4
corpse,4
intelligence,7
alley,4
rainbow,5
love,7
beetle,4
ally,4
leopard,4
injury,6
uncertainty,4
justification,5
tendency,4
attitude,5
context,4
lemon,4
twig,4
aspect,4
door,4
menu,4
impairment,4
pond,4
water,4
capacity,4
self,6
figure,4
snow,4
moral,6
duck,4
cake,4
dentist,4
riot,5
risk,4
clothing,4
attempt,4
destiny,6
margin,4
brain,5
design,4
rhyme,4
exclusion,4
brawl,4
youth,4
prop,4
situation,5
peace,7
