word,rating
truth,3
legality,2
drug,4
stranger,1
band,5
hotel,3
material,4
lesson,6
victim,2
extent,4
burner,3
suggestion,5
dagger,6
site,3
consequence,5
thing,4
degree,5
unity,4
duty,6
combination,3
guess,2
tool,5
incentive,4
anger,3
manner,2
satisfaction,6
supply,4
bag,3
paragraph,2
neighborhood,3
trust,5
philosophy,4
route,3
father,4
wolf,2
vocabulary,3
incident,4
teacher,5
contract,3
factory,2
rabbit,3
reality,6
territory,4
chief,5
salary,3
outcome,5
past,2
assumption,3
institute,4
chicken,3
street,4
willingness,5
reinforcement,6
crocodile,2
diet,3
bet,4
entree,3
fog,2
rule,4
example,5
moment,4
uncle,3
deputy,2
cow,3
result,5
coincidence,2
thorn,4
fat,3
occasion,4
mile,3
advantage,5
rent,3
time,4
spirit,5
corporation,2
helmet,3
composer,4
distance,4
engagement,3
duel,5
gender,2
individual,6
specialist,4
mankind,5
sky,3
gesture,4
cliff,3
line,4
tree,5
promotion,4
donor,3
acquisition,4
leader,6
replacement,3
flask,2
obstruction,2
pest,3
confidence,5
episode,4
show,3
hurricane,2
eight,3
calendar,4
bank,3
meeting,4
necklace,2
opposition,3
miracle,5
peach,3
christmas,2
vision,5
tension,4
odor,3
inch,4
perception,5
appointment,3
cocktail,4
blade,6
truck,3
peacemaker,5
marriage,4
chair,3
cranberry,2
payment,4
belief,5
microscope,3
significance,6
speech,4
cause,5
loan,3
entrance,4
lock,3
tennis,2
bed,4
retention,5
skunk,2
silence,3
coffee,4
scholar,3
holiday,4
paradigm,5
river,4
limitation,3
volt,2
description,4
bird,3
diversity,5
salad,3
trumpet,4
child,5
march,3
stride,6
apology,4
boulder,3
fallacy,2
shortness,3
knowledge,6
kite,4
diamond,5
starch,3
hat,4
pimple,2
advice,5
costume,3
mileage,4
exception,2
mud,3
skin,4
brevity,3
blood,4
record,5
puppy,3
heap,2
lobster,3
robbery,2
spelling,3
stapler,2
fabric,4
vapor,3
poll,2
road,4
handkerchief,2
stick,4
hospital,3
job,4
grammar,3
radio,4
irrigation,2
genuine,5
location,4
personality,5
waste,3
darkness,2
island,3
guilt,4
pie,3
difference,4
mastery,6
bullet,5
insight,6
metaphor,4
lunch,4
faith,5
midnight,3
typewriter,3
bolt,5
wood,4
disappointment,2
ignition,3
quality,5
conclusion,6
ballot,3
bracelet,2
propeller,4
hierarchy,3
escape,5
definition,4
