word,rating
suit,6
performance,5
cognition,4
hat,3
disappointment,2
city,4
independence,6
hotel,4
guilt,2
bubble,3
marriage,5
neighborhood,4
adversity,1
crown,6
fisherman,4
peach,5
lion,5
vapor,3
fantasy,4
advice,5
metaphor,4
blade,4
arc,3
lamp,4
square,4
accident,2
attitude,4
material,4
outcome,5
error,2
puddle,3
comparison,4
regulation,4
cowardice,1
engagement,5
site,4
professor,5
mosquito,2
mold,3
irony,4
contempt,1
purpose,5
knife,4
opportunity,6
curfew,2
despair,1
anxiety,3
cloth,4
truck,4
stride,4
three,4
mind,5
sword,4
spider,3
baby,5
inn,4
bullet,3
trumpet,4
costume,4
leopard,5
diversity,5
river,4
duty,5
math,4
bell,4
ceiling,4
blood,3
landscape,4
photograph,4
consideration,5
chief,5
witness,4
insight,5
fear,3
bird,4
butter,5
equality,5
perception,4
availability,4
weather,4
hierarchy,4
toilet,3
principle,5
propeller,4
future,5
riddle,4
promotion,5
annoyance,2
advantage,6
spelling,4
key,5
typewriter,4
sight,5
occasion,4
gun,3
odor,3
ambulance,4
past,4
lane,4
decision,5
volt,4
band,4
ocean,5
sedative,3
rabbit,4
opposition,2
clean,5
boy,5
riot,2
nerve,3
confidence,6
frustration,2
specialist,4
recognition,5
kitten,5
pawn,3
selection,4
mile,4
genuine,6
beetle,4
job,5
towel,4
issue,3
dynasty,5
sandal,4
establishment,4
dagger,4
neck,4
stapler,3
fight,4
lightning,5
lunch,4
second,4
child,5
exclusion,2
description,4
art,5
suggestion,4
development,5
magnitude,4
institute,4
sow,3
alley,4
time,5
honesty,6
produce,4
arrangement,4
bag,4
intention,5
group,4
body,4
rebel,5
midnight,4
drama,4
distraction,3
bracelet,4
proportion,4
horse,5
crime,2
core,5
personality,5
park,4
disaster,1
cocktail,4
suspect,3
philosophy,5
literature,5
limitation,2
magic,5
conscience,5
teacher,5
destiny,5
murder,2
assistance,5
escape,4
affection,6
ability,5
cake,5
football,4
brain,5
psalm,4
fountain,4
imagination,6
state,4
majority,5
tool,5
incentive,5
stranger,4
interaction,4
enemy,2
stick,4
leader,6
competence,5
bedroom,4
cottage,4
pest,3
subtraction,4
lake,4
jacket,4
volume,4
spirit,5
orchestra,5
improvement,6
darkness,2
chicken,4
mileage,4
steam,3
thought,5
criticism,2
reality,5
segment,4
robin,4
student,5
dozen,4
diet,4
rent,4
charity,5
security,5
helplessness,1
sadness,2
sole,4
apple,5
file,4
proof,4
island,4
reflex,4
intelligence,5
accomplishment,6
lettuce,4
physics,4
vocabulary,4
saloon,3
disagreement,1
revenge,3
protection,5
visitor,4
alphabet,4
brevity,3
synagogue,4
wolf,4
shrimp,3
duration,4
lamb,4
circuit,4
cup,4
conclusion,5
want,5
preference,5
grammar,4
reinforcement,4
idiom,4
forest,4
worry,3
branch,4
orchid,4
oven,4
effect,4
salary,4
atom,4
variety,5
beauty,6
assumption,4
republic,4
object,4
belief,5
combination,4
guide,5
factory,4
real,5
effort,5
chocolate,5
flavor,5
composer,4
cucumber,4
hobby,4
empire,5
topic,4
pool,4
ally,5
mercy,5
scent,4
beaver,4
theory,5
drum,4
opinion,4
border,4
nose,4
safety,5
appeal,5
correspondent,4
number,4
tree,4
traveler,4
television,4
refrigerator,4
disgust,2
crisis,1
cause,4
lobster,3
shark,3
temperature,4
satisfaction,6
ditch,3
shame,2
flask,4
supply,4
menu,4
calculation,4
outfit,4
deputy,4
miracle,5
increase,6
lemon,5
attention,5
month,4
rule,4
snow,4
coupon,4
tension,3
phenomenon,4
truth,5
station,4
diamond,6
property,4
aspect,4
kite,4
construction,4
distribution,4
photo,4
paradigm,4
reduction,3
myth,4
punishment,2
brute,1
industry,4
necessity,4
faith,5
loan,4
income,4
summer,4
bed,4
ignorance,1
bolt,4
helmet,4
ceremony,4
paragraph,4
music,5
reason,4
heap,3
addition,4
adventurer,4
hazard,2
justification,4
rhyme,4
betrayal,2
chipmunk,4
sky,4
hurt,3
animal,4
corn,4
mud,3
candy,4
street,4
desk,4
rocket,4
gender,4
possibility,5
foundation,5
woman,4
entrance,4
attempt,4
idea,5
verse,4
grief,2
entree,4
wave,4
permission,4
fallacy,2
wisdom,5
expression,4
territory,4
abundance,6
infection,2
method,4
charter,4
volcano,3
deceit,2
grass,4
moment,4
ignition,4
thief,2
holiday,4
peace,5
introduction,4
fat,4
economy,4
roof,4
palace,5
scene,4
hurricane,2
camera,4
regret,2
boat,4
identification,4
preparation,4
starch,4
definition,4
evidence,4
distance,4
tennis,4
benefactor,5
nation,4
grandmother,4
resort,4
occupation,4
immortality,5
bridge,4
burner,3
claim,4
friendship,6
announcement,4
payment,4
form,4
mankind,4
soul,5
butterfly,5
boredom,2
youth,5
pillow,4
memory,5
weight,4
injury,2
legality,4
owner,4
uncle,4
member,4
hatred,1
category,4
shock,3
amplitude,4
march,4
frog,4
skill,5
uniform,4
design,4
anger,3
