word,rating
coffin,6
month,5
leader,4
duty,5
incident,4
pill,3
pawn,2
mosquito,3
orchid,2
parish,3
lettuce,2
wallet,3
example,4
payment,5
separation,5
ocean,4
perception,3
key,4
contempt,2
road,4
bell,2
competence,4
hog,2
principle,5
philosophy,4
regret,3
moonlight,3
butter,2
accident,4
bandit,2
guilt,4
specimen,4
flask,3
subtraction,5
zoo,3
nerve,3
adventurer,2
fantasy,2
object,3
contract,4
art,2
personality,4
grandmother,2
behavior,3
helmet,2
midnight,3
helplessness,2
fountain,3
loan,4
permission,4
worry,3
mountain,4
calculation,5
laughter,2
play,3
inn,2
costume,2
heart,2
theory,4
visitor,2
idea,3
announcement,3
income,4
arrow,2
irrigation,3
abundance,5
wage,4
uncertainty,3
horse,2
cat,2
guide,3
distribution,5
drum,2
fate,4
tongue,2
moment,4
opportunity,4
itch,2
difference,4
cause,4
leopard,2
infection,3
territory,4
dimension,5
fog,2
fireplace,3
time,4
teacher,3
occasion,4
occupation,4
core,4
silence,2
vocabulary,2
ankle,2
riot,3
skull,3
bed,2
variety,4
file,2
consideration,4
rainbow,3
measure,5
sugar,2
envy,3
baby,2
linen,2
enemy,3
three,2
mile,4
opinion,3
food,2
impairment,3
beauty,2
performance,4
ambulance,3
punishment,4
starch,2
salary,4
selection,4
significance,5
corpse,6
metaphor,2
cup,2
job,4
response,3
description,3
tradition,4
rule,3
hurricane,4
assumption,3
economy,5
degree,5
appeal,3
lion,2
skunk,2
stranger,2
march,3
proof,3
member,3
eagle,2
suit,2
shape,3
disaster,4
clothing,2
uncle,2
produce,3
unit,4
importance,5
accomplishment,4
empty,2
awareness,3
capacity,4
neck,2
standard,4
ambition,4
propeller,2
cake,2
evidence,4
tennis,2
physics,3
honesty,3
odor,2
landscape,3
lamp,2
circuit,3
injury,3
gorilla,2
master,4
university,3
pigeon,2
hospital,3
shirt,2
bank,4
camera,2
sanctuary,3
pest,2
comparison,3
kindness,2
category,3
recognition,3
obstruction,3
rocket,2
ball,2
circumstance,4
mold,2
writing,2
banana,2
idiom,2
marriage,3
cloth,2
pile,3
comprehension,3
branch,3
edge,3
incentive,4
expression,3
combination,3
jewel,3
rabbit,2
origin,4
requirement,4
mankind,3
microscope,3
view,3
professor,3
typewriter,2
ceiling,2
purpose,4
ditch,2
wave,3
policeman,2
season,3
guess,2
summer,3
margin,4
complication,4
establishment,3
betrayal,3
towel,2
math,2
hat,2
fabric,2
name,2
refrigerator,2
segment,3
conference,3
tendency,4
specialist,3
drama,2
boulder,3
property,4
division,4
site,3
fallacy,2
meeting,3
coupon,2
television,3
mastery,4
identification,3
promotion,3
moral,3
correspondent,2
individual,3
brawl,2
soul,2
retention,3
dagger,2
instance,4
impossibility,2
lightning,3
pig,2
quality,4
corn,2
bullet,2
truth,3
state,4
assault,3
entrance,3
amount,7
friendship,2
macaroni,2
topic,3
border,3
clearance,2
determination,4
route,4
puddle,2
thing,2
arc,2
sky,3
tree,2
student,2
tip,2
presence,3
self,2
autumn,2
love,2
peace,2
episode,3
conscience,3
sight,2
length,4
caterpillar,2
tool,2
body,2
latch,2
cow,2
spirit,2
roof,2
charter,3
reputation,3
lesson,3
fisherman,2
tallness,3
dozen,4
boredom,2
salad,2
magic,2
acre,4
palace,3
ring,2
stride,3
money,5
butterfly,2
equality,4
anger,2
pretense,2
justice,4
unity,4
engagement,3
industry,3
sister,2
calendar,3
attempt,2
mystery,2
criticism,3
phenomenon,3
beast,2
river,3
alley,2
chance,3
atrocity,3
laundry,2
uniform,2
translation,3
entree,2
riddle,2
father,2
outfit,2
blood,2
danger,3
fifteen,2
beverage,2
heap,3
liar,2
mind,3
pond,2
shortness,4
tune,2
boundary,3
thorn,2
mileage,4
vapor,2
toilet,2
sneeze,2
synagogue,2
rhyme,2
gesture,2
island,3
leadership,4
disgust,2
democracy,3
shrimp,2
woman,2
sword,2
majority,4
shock,2
ability,3
lane,2
responsibility,5
alligator,2
supply,3
child,2
crown,2
anxiety,3
intelligence,4
kitten,2
holiday,3
waste,2
mud,2
factory,2
opposition,3
winter,2
grammar,2
peacemaker,2
hatred,2
reduction,3
stupidity,2
belief,2
missile,2
instructor,2
assistance,3
jacket,2
park,2
genuine,2
law,3
republic,3
denial,2
puppy,2
story,2
consistency,4
acquisition,3
stapler,2
event,3
duel,2
claim,2
reality,3
hierarchy,4
victim,2
mustard,2
ceremony,3
character,2
skin,2
poll,2
nation,3
drug,2
spider,2
lily,2
bet,2
owner,2
manner,2
amplitude,5
cowardice,2
nose,2
darkness,2
ignition,2
inch,4
scholar,2
fat,2
empire,3
brother,2
beetle,2
reason,3
charity,2
bolt,2
definition,2
crime,2
flavor,2
pie,2
speech,2
lamb,2
miracle,2
decision,3
line,2
bird,2
opera,2
grief,2
bridge,2
despair,2
handkerchief,2
lobster,2
mother,2
limitation,3
traveler,2
underworld,2
disappointment,2
iron,2
fact,2
development,3
photograph,2
artist,2
explanation,3
freedom,3
preparation,3
raspberry,2
gender,2
want,2
lisp,2
loafer,2
intention,2
twig,2
photo,2
effort,3
tomato,2
record,2
bubble,2
future,3
instinct,2
necklace,2
hope,2
attitude,2
pimple,2
possibility,4
lock,2
music,2
window,2
sow,2
ignorance,2
regulation,3
knowledge,3
shame,2
apple,2
car,2
shark,2
lemon,2
steam,2
number,3
hotel,2
proportion,4
duration,4
diversity,3
safety,2
benefactor,2
band,2
dynasty,3
show,2
football,2
germ,2
reflex,2
brevity,2
heresy,2
weather,2
coffee,2
result,3
lens,2
atom,2
skill,3
method,2
desk,2
cottage,2
rebel,2
apology,2
witness,2
verse,2
boat,2
myth,2
wisdom,2
smell,2
jerk,2
eight,2
cranberry,2
medicine,2
diamond,2
corporation,3
emergence,3
church,2
disagreement,2
pool,2
snake,2
conclusion,3
robin,2
interruption,2
volume,3
introduction,2
dove,2
risk,3
affection,2
alphabet,2
construction,2
irony,2
duck,2
cliff,2
resort,2
hazard,3
murder,2
neighborhood,3
foundation,3
frog,2
recital,2
design,2
onion,2
beaver,2
newspaper,2
fight,2
independence,3
diet,2
protection,2
elephant,2
cognition,3
convergence,3
insight,3
error,2
deputy,2
volt,2
chipmunk,2
effect,3
context,2
stick,2
interior,2
burner,2
bag,2
opponent,2
tragedy,3
production,3
revenge,2
sedative,2
thief,2
potato,2
memory,2
animal,2
damage,2
boy,2
truck,2
reinforcement,2
literature,2
wish,2
material,2
donor,2
eyeball,2
originality,2
robbery,2
bottle,2
lunch,2
cucumber,2
queen,2
necessity,4
extent,4
group,3
immortality,2
street,2
distance,4
temperature,2
snow,2
doctor,2
chief,2
real,2
knife,2
electricity,2
size,7
appointment,3
interaction,2
aspect,2
trust,2
sandal,2
identity,2
logic,2
coincidence,2
attention,2
stimulus,2
malice,2
past,2
bedroom,2
talent,2
distraction,2
peach,2
addition,3
door,2
station,2
ally,2
scene,2
hurt,2
relief,2
saloon,2
water,2
consequence,3
frustration,2
ownership,2
grass,2
value,3
availability,2
temple,2
lip,2
message,2
confidence,3
paragraph,2
christmas,2
suggestion,2
dad,2
crisis,2
location,3
girl,2
chicken,2
hobby,2
dentist,2
preference,2
oven,2
prediction,2
second,2
brute,2
forest,2
wood,2
misery,2
radio,2
volcano,2
candidate,2
item,2
arrangement,2
escape,2
lizard,2
magnitude,5
wolf,2
satisfaction,2
thought,2
kite,2
imagination,2
paradigm,2
form,2
outcome,3
square,2
chair,2
ballot,2
orchestra,2
composer,2
menu,2
clean,2
accumulation,4
willingness,2
grasshopper,2
blade,2
debt,2
information,2
adversity,2
tension,3
issue,2
improvement,3
curfew,2
cocktail,2
destiny,4
sofa,2
chocolate,2
institute,2
integrity,3
gun,2
candy,2
advantage,4
deceit,2
psalm,2
article,2
lake,2
suspect,2
chlorine,2
nurse,2
exception,2
advice,2
mattress,2
spelling,2
justification,2
annoyance,2
vision,2
sole,2
brain,2
tide,2
bracelet,2
pillow,2
security,2
tax,2
prop,2
mercy,2
faith,2
legality,2
exclusion,2
scent,2
pyramid,2
crocodile,2
increase,4
city,2
weight,4
replacement,2
poetry,2
trumpet,2
mansion,2
rent,2
dilemma,2
sadness,2
squeak,2
fear,2
deduction,2
youth,2
figure,2
admiration,2
situation,3
