word,rating
ability,3
abundance,4
accident,2
accomplishment,6
accumulation,3
acquisition,4
acre,1
addition,2
admiration,6
advantage,5
adventurer,3
adversity,4
advice,5
affection,7
alley,2
alligator,2
ally,6
alphabet,3
ambition,6
ambulance,2
amount,3
amplitude,2
anger,5
animal,3
ankle,1
announcement,4
annoyance,4
anxiety,6
apology,5
appeal,4
apple,3
appointment,5
arc,2
arrangement,5
arrow,3
art,4
article,3
artist,5
aspect,4
assault,4
assistance,6
assumption,3
atom,1
atrocity,4
attempt,4
attention,5
attitude,5
autumn,3
availability,4
awareness,6
baby,2
bag,2
ball,3
ballot,4
banana,3
band,2
bandit,3
bank,3
beast,2
beauty,6
beaver,2
bed,2
bedroom,3
beetle,2
behavior,5
belief,5
bell,3
benefactor,5
bet,3
betrayal,5
beverage,3
bird,2
blade,2
blood,3
boat,2
body,3
bolt,2
border,4
boredom,3
bottle,3
boulder,2
boundary,4
boy,2
bracelet,2
brain,5
branch,3
brawl,4
brevity,3
bridge,4
brother,6
brute,2
bubble,3
bullet,3
burner,2
butter,3
butterfly,4
cake,3
calculation,4
calendar,3
camera,3
candidate,4
candy,3
capacity,4
car,2
cat,2
category,3
caterpillar,3
cause,4
ceiling,2
ceremony,4
chair,2
chance,4
character,5
charity,6
charter,3
chicken,2
chief,4
child,3
chipmunk,2
chlorine,2
chocolate,4
christmas,3
church,4
circuit,3
circumstance,5
city,3
claim,4
clean,3
clearance,3
cliff,2
cloth,2
clothing,3
cocktail,3
coffee,3
coffin,2
cognition,5
coincidence,4
combination,4
comparison,4
competence,6
complication,4
composer,3
comprehension,5
conclusion,5
conference,4
confidence,6
conscience,6
consequence,5
consideration,5
consistency,5
construction,4
contempt,4
context,5
contract,4
convergence,4
core,3
corn,2
corporation,4
corpse,2
correspondent,3
costume,3
cottage,3
coupon,3
cow,2
cowardice,3
cranberry,2
crime,4
crisis,5
criticism,4
crocodile,2
crown,4
cucumber,3
cup,2
curfew,2
dad,3
dagger,2
damage,4
danger,5
darkness,3
debt,3
deceit,4
decision,5
deduction,5
definition,4
degree,3
democracy,4
denial,4
dentist,2
deputy,3
description,4
design,4
desk,2
despair,5
destiny,5
determination,6
development,4
diamond,4
diet,3
difference,4
dilemma,5
dimension,4
disagreement,5
disappointment,5
disaster,5
disgust,5
distance,4
distraction,4
distribution,4
ditch,2
diversity,5
division,4
doctor,3
donor,5
door,2
dove,4
dozen,2
drama,4
drug,2
drum,2
duck,2
duel,4
duration,4
duty,5
dynasty,4
eagle,2
economy,4
edge,3
effect,4
effort,5
eight,2
electricity,3
elephant,2
emergence,4
empire,4
empty,2
enemy,4
engagement,5
entrance,3
entree,3
envy,5
episode,3
equality,5
error,3
escape,4
establishment,4
event,4
evidence,5
example,4
exception,3
exclusion,4
explanation,5
expression,5
extent,4
eyeball,2
fabric,2
fact,3
factory,2
faith,5
fallacy,3
fantasy,3
fat,2
fate,5
father,5
fear,5
fifteen,2
fight,5
figure,3
file,2
fireplace,3
fisherman,3
flask,2
flavor,3
fog,2
food,3
football,3
forest,2
form,3
foundation,5
fountain,3
freedom,6
friendship,7
frog,2
frustration,5
future,4
gender,3
genuine,5
germ,2
gesture,3
girl,2
gorilla,2
grammar,3
grandmother,5
grass,2
grasshopper,2
grief,5
group,4
guess,3
guide,4
guilt,5
gun,2
handkerchief,2
hat,2
hatred,5
hazard,4
heap,2
heart,6
helmet,2
helplessness,3
heresy,2
hierarchy,4
hobby,3
hog,2
holiday,3
honesty,6
hope,6
horse,2
hospital,3
hotel,3
hurricane,4
hurt,4
idea,4
identification,5
identity,5
idiom,3
ignition,2
ignorance,3
imagination,5
immortality,4
impairment,3
importance,6
impossibility,3
improvement,6
incentive,4
inch,2
incident,4
income,3
increase,4
independence,5
individual,4
industry,3
infection,3
information,5
injury,4
inn,2
insight,5
instance,4
instinct,4
institute,4
instructor,4
integrity,6
intelligence,6
intention,5
interaction,5
interior,3
interruption,4
introduction,5
iron,2
irony,3
irrigation,2
island,2
issue,4
itch,2
item,2
jacket,2
jerk,2
jewel,4
job,4
justice,6
justification,5
key,3
kindness,6
kite,2
kitten,2
knife,2
knowledge,6
lake,2
lamb,2
lamp,2
landscape,3
lane,2
latch,2
laughter,5
laundry,2
law,4
leader,5
leadership,6
legality,3
lemon,2
length,3
lens,2
leopard,2
lesson,4
lettuce,2
liar,2
lightning,3
lily,2
limitation,3
line,2
linen,2
lion,2
lip,2
lisp,2
literature,4
lizard,2
loafer,2
loan,3
lobster,2
location,4
lock,2
logic,4
love,7
lunch,3
macaroni,2
magic,3
magnitude,4
majority,5
malice,4
mankind,4
manner,3
mansion,3
march,2
margin,3
marriage,5
master,4
mastery,6
material,3
math,2
mattress,2
measure,3
medicine,3
meeting,3
member,3
memory,5
menu,3
mercy,5
message,4
metaphor,4
method,3
microscope,2
midnight,2
mile,2
mileage,2
mind,5
miracle,5
misery,5
missile,3
mold,2
moment,3
money,4
month,2
moonlight,2
moral,5
mosquito,2
mother,5
mountain,2
mud,2
murder,4
music,4
mustard,2
mystery,4
myth,3
name,2
nation,4
necessity,5
neck,2
necklace,3
neighborhood,5
nerve,3
newspaper,3
nose,2
number,2
nurse,2
object,2
obstruction,3
occasion,3
occupation,3
ocean,2
odor,2
onion,2
opera,2
opinion,4
opponent,4
opportunity,5
opposition,4
orchestra,2
orchid,2
origin,4
originality,4
outcome,4
outfit,3
oven,2
owner,4
ownership,5
palace,3
paradigm,3
paragraph,3
parish,2
park,2
past,2
pawn,2
payment,3
peace,6
peacemaker,6
peach,2
perception,5
performance,4
permission,3
personality,5
pest,2
phenomenon,4
philosophy,4
photo,3
photograph,3
physics,3
pie,2
pig,2
pigeon,2
pile,2
pill,2
pillow,2
pimple,2
play,3
poetry,3
policeman,2
poll,2
pond,2
pool,2
possibility,5
potato,2
prediction,4
preference,3
preparation,4
presence,4
pretense,3
principle,5
produce,3
production,4
professor,4
promotion,4
proof,4
prop,2
propeller,2
property,5
proportion,4
protection,6
psalm,2
puddle,2
punishment,5
puppy,2
purpose,5
pyramid,3
quality,5
queen,4
rabbit,2
radio,2
rainbow,3
raspberry,2
real,3
reality,5
reason,4
rebel,4
recital,3
recognition,5
record,3
reduction,4
reflex,3
refrigerator,2
regret,5
regulation,4
reinforcement,4
relief,5
rent,3
replacement,3
republic,4
reputation,5
requirement,4
resort,3
response,4
responsibility,6
result,4
retention,4
revenge,5
rhyme,3
riddle,3
ring,3
riot,4
risk,4
river,2
road,2
robbery,4
robin,2
rocket,2
roof,2
route,2
rule,3
sadness,5
safety,4
salad,2
salary,3
saloon,2
sanctuary,3
sandal,2
satisfaction,6
scene,3
scent,2
scholar,3
season,3
second,2
security,5
sedative,2
segment,3
selection,4
self,4
separation,4
shame,5
shape,3
shark,2
shirt,2
shock,3
shortness,2
show,3
shrimp,2
sight,3
significance,5
silence,2
sister,5
site,2
situation,4
size,2
skill,5
skin,2
skull,2
skunk,2
sky,2
smell,2
snake,2
sneeze,2
snow,2
sofa,2
sole,2
soul,6
sow,2
specialist,4
specimen,2
speech,4
spelling,2
spider,2
spirit,4
square,2
squeak,2
standard,3
stapler,2
starch,2
state,3
station,2
steam,2
stick,2
stimulus,4
story,5
stranger,3
street,3
stride,2
student,3
stupidity,2
subtraction,2
sugar,2
suggestion,3
suit,3
summer,2
supply,3
suspect,3
sword,2
synagogue,2
talent,5
tallness,2
tax,3
teacher,3
television,2
temperature,3
temple,2
tendency,4
tennis,2
tension,4
territory,3
theory,4
thief,3
thing,2
thorn,2
thought,5
three,2
tide,2
time,3
tip,2
toilet,2
tomato,2
tongue,2
tool,2
topic,2
towel,2
tradition,4
tragedy,5
translation,3
traveler,3
tree,2
truck,2
trumpet,2
trust,6
truth,6
tune,3
twig,2
typewriter,2
uncertainty,4
uncle,3
underworld,3
uniform,2
unit,2
unity,5
university,4
value,6
vapor,2
variety,4
verse,3
victim,4
view,3
vision,5
visitor,3
