word,rating
suit,6
performance,4
cognition,5
hat,3
disappointment,2
city,7
independence,5
hotel,4
guilt,3
bubble,4
marriage,6
neighborhood,7
adversity,5
crown,6
fisherman,3
peach,2
lion,4
vapor,5
fantasy,3
advice,4
metaphor,3
blade,6
arc,5
lamp,4
square,6
accident,3
attitude,2
material,4
outcome,5
error,4
puddle,3
comparison,4
regulation,5
cowardice,2
engagement,5
site,6
professor,3
mosquito,2
mold,3
irony,4
contempt,3
purpose,6
knife,6
opportunity,5
curfew,4
despair,3
anxiety,4
cloth,3
truck,4
stride,5
three,2
mind,5
sword,6
spider,4
baby,2
inn,4
bullet,5
trumpet,4
costume,3
leopard,4
diversity,5
river,6
duty,5
math,4
bell,3
ceiling,6
blood,3
landscape,7
photograph,4
consideration,4
chief,5
witness,4
insight,5
fear,4
bird,3
butter,2
equality,5
perception,5
availability,3
weather,4
hierarchy,6
toilet,3
principle,5
propeller,6
future,4
riddle,3
promotion,5
annoyance,3
advantage,5
spelling,2
key,6
typewriter,4
sight,7
occasion,4
gun,5
odor,2
ambulance,4
past,3
lane,6
decision,4
volt,3
band,4
ocean,7
sedative,3
rabbit,3
opposition,5
clean,2
boy,2
riot,4
nerve,4
confidence,5
frustration,4
specialist,3
recognition,5
kitten,2
pawn,3
selection,5
mile,6
genuine,3
beetle,3
job,4
towel,2
issue,4
dynasty,5
sandal,3
establishment,5
dagger,6
neck,4
stapler,3
fight,5
lightning,6
lunch,3
second,5
child,2
exclusion,3
description,4
art,3
suggestion,4
development,5
magnitude,6
institute,5
sow,3
alley,6
time,4
honesty,5
produce,3
arrangement,4
bag,3
intention,4
group,3
body,4
rebel,4
midnight,3
drama,4
distraction,3
bracelet,3
proportion,5
horse,4
crime,3
core,5
personality,3
park,6
disaster,5
cocktail,3
suspect,4
philosophy,4
literature,3
limitation,4
magic,3
conscience,4
teacher,3
destiny,6
murder,4
assistance,3
escape,4
affection,2
ability,3
cake,2
football,3
brain,5
psalm,3
fountain,5
imagination,4
state,5
majority,4
tool,4
incentive,4
stranger,3
interaction,4
enemy,4
stick,5
leader,6
competence,4
bedroom,4
cottage,4
pest,3
subtraction,4
lake,6
jacket,3
volume,5
spirit,4
orchestra,4
improvement,5
darkness,3
chicken,3
mileage,5
steam,4
thought,5
criticism,3
reality,4
segment,5
robin,3
student,3
dozen,3
diet,3
rent,3
charity,4
security,4
helplessness,3
sadness,3
sole,3
apple,2
file,3
proof,4
island,6
reflex,4
intelligence,6
accomplishment,5
lettuce,3
physics,4
vocabulary,3
saloon,2
disagreement,3
revenge,4
protection,5
visitor,4
alphabet,3
brevity,3
synagogue,4
wolf,4
shrimp,3
duration,5
lamb,3
circuit,5
cup,3
conclusion,4
want,3
preference,3
grammar,3
reinforcement,4
idiom,3
forest,4
worry,4
branch,4
orchid,3
oven,4
effect,5
salary,4
atom,3
variety,4
beauty,3
assumption,3
republic,5
object,3
belief,4
combination,4
guide,4
factory,4
real,3
effort,4
chocolate,3
flavor,3
composer,4
cucumber,3
hobby,3
empire,5
topic,3
pool,4
ally,4
mercy,3
scent,3
beaver,3
theory,4
drum,4
opinion,3
border,5
nose,3
safety,4
appeal,3
correspondent,3
number,4
tree,5
traveler,4
television,4
refrigerator,3
disgust,3
crisis,5
cause,4
lobster,3
shark,4
temperature,4
satisfaction,4
ditch,3
shame,3
flask,4
supply,4
menu,3
calculation,5
outfit,4
deputy,3
miracle,4
increase,5
lemon,3
attention,4
month,3
rule,4
snow,3
coupon,3
tension,5
phenomenon,4
truth,4
station,5
diamond,5
property,5
aspect,4
kite,5
construction,5
distribution,4
photo,4
paradigm,4
reduction,5
myth,3
punishment,4
brute,3
industry,4
necessity,4
faith,4
loan,3
income,4
summer,3
bed,4
ignorance,3
bolt,4
helmet,4
ceremony,4
paragraph,3
music,4
reason,4
heap,3
addition,5
adventurer,3
hazard,4
justification,4
rhyme,3
betrayal,4
chipmunk,3
sky,5
hurt,3
animal,3
corn,3
mud,3
candy,3
street,6
desk,3
rocket,4
