word,rating
scholar,3
deputy,2
produce,4
woman,2
scent,7
ambulance,4
doctor,4
obstruction,3
three,2
flavor,7
volcano,6
cow,4
ankle,6
clearance,3
nerve,7
helmet,5
chief,3
cake,5
manner,2
pill,5
robbery,3
marriage,2
spirit,4
speech,4
scene,6
math,2
freedom,3
atom,3
kindness,2
cat,4
ballot,2
abundance,3
incentive,3
guess,2
effort,4
pond,5
impairment,4
grass,4
belief,3
door,5
conclusion,3
photograph,4
photo,4
explanation,4
chocolate,7
candy,6
sword,5
presence,4
admiration,3
lobster,4
jerk,2
knife,6
crime,3
betrayal,3
microscope,4
bracelet,2
emergence,5
mansion,3
escape,4
heresy,2
stimulus,6
deduction,5
reduction,5
pig,4
sugar,6
lamb,4
loan,3
frog,3
lane,3
gorilla,4
flask,4
music,4
willingness,3
hurt,6
combination,4
lightning,6
foundation,4
confidence,5
contempt,2
contract,3
skin,7
magic,3
conscience,4
evidence,5
response,5
addition,4
ceiling,4
brawl,4
pimple,5
temple,6
saloon,3
integrity,5
suit,3
industry,3
fountain,4
occasion,3
file,3
comparison,4
border,4
sandal,5
future,3
money,3
accomplishment,4
composer,3
correspondent,3
month,3
pie,5
conference,3
burner,3
fog,4
disappointment,2
forest,4
linen,3
student,3
kitten,4
thorn,5
zoo,3
enemy,3
hurricane,5
route,3
fabric,4
boredom,2
ignorance,2
sow,3
character,3
cranberry,5
cup,4
episode,3
assistance,4
duration,3
squeak,5
paradigm,3
circuit,4
disagreement,3
hazard,4
arc,4
toilet,4
bottle,4
tool,4
snow,4
permission,3
awareness,4
heart,5
poetry,3
importance,3
pool,5
stick,4
beauty,4
subtraction,5
translation,3
pile,4
performance,3
hospital,4
criticism,3
apology,3
park,4
medicine,5
mile,3
inn,3
grandmother,2
circumstance,3
trust,5
engagement,3
location,5
lettuce,4
tradition,3
cloth,4
alphabet,3
diamond,3
moment,4
child,3
arrangement,3
island,4
variety,3
information,3
latch,4
chicken,4
artist,3
beaver,3
refrigerator,3
destiny,3
tip,3
grammar,3
hotel,3
brevity,3
shortness,3
capacity,3
worry,3
owner,3
view,4
denial,3
issue,3
personality,3
boy,3
entrance,4
orchid,3
radio,3
hatred,3
opera,3
steam,4
phenomenon,4
lizard,3
visitor,3
ambition,3
mankind,3
brother,3
crocodile,3
error,3
miracle,3
bell,3
germ,4
property,3
bet,3
hog,3
bed,4
deceit,3
member,3
intention,3
hope,4
specialist,3
attitude,3
poll,3
salary,3
fireplace,4
rocket,5
past,3
misery,3
thought,3
entree,4
want,3
skull,5
margin,3
ceremony,3
extent,4
potato,4
reputation,3
determination,4
increase,4
independence,3
genuine,3
story,3
