word,rating
scholar,2
deputy,3
produce,5
woman,2
scent,7
ambulance,2
doctor,3
obstruction,2
three,2
flavor,7
volcano,3
cow,4
ankle,2
clearance,3
nerve,4
helmet,2
chief,3
cake,6
manner,2
pill,5
robbery,2
marriage,2
spirit,4
speech,3
scene,4
math,2
freedom,3
atom,2
kindness,3
cat,4
ballot,2
abundance,3
incentive,3
guess,2
effort,3
pond,4
impairment,2
grass,4
belief,3
door,2
conclusion,3
photograph,3
photo,3
explanation,3
chocolate,7
candy,6
sword,2
presence,3
admiration,3
lobster,3
jerk,2
knife,4
crime,2
betrayal,2
microscope,2
bracelet,2
emergence,3
mansion,2
escape,3
heresy,2
stimulus,3
deduction,3
reduction,3
pig,3
sugar,7
lamb,4
loan,2
frog,2
lane,2
gorilla,2
flask,4
music,3
willingness,2
hurt,3
combination,3
lightning,4
foundation,3
confidence,4
contempt,2
contract,3
skin,4
magic,3
conscience,3
evidence,3
response,4
addition,3
ceiling,2
brawl,2
pimple,2
temple,4
saloon,2
integrity,3
suit,2
industry,3
fountain,4
occasion,3
file,2
comparison,3
border,3
sandal,2
future,2
money,2
accomplishment,3
composer,3
correspondent,2
month,2
pie,6
conference,2
burner,2
fog,4
disappointment,2
forest,3
linen,2
student,2
kitten,3
thorn,3
zoo,2
enemy,2
hurricane,3
route,2
fabric,2
boredom,2
ignorance,2
sow,2
character,3
cranberry,6
cup,4
episode,2
assistance,2
duration,2
squeak,3
paradigm,2
circuit,3
disagreement,2
hazard,3
arc,3
toilet,2
bottle,4
tool,2
snow,2
permission,2
awareness,3
heart,3
poetry,3
importance,3
pool,4
stick,2
beauty,4
subtraction,3
translation,3
pile,3
performance,2
hospital,2
criticism,2
apology,2
park,2
medicine,4
mile,2
inn,2
grandmother,2
circumstance,3
trust,4
engagement,2
location,2
lettuce,4
tradition,2
cloth,2
alphabet,2
diamond,2
moment,3
child,2
arrangement,2
island,2
variety,2
information,2
latch,2
chicken,3
artist,2
beaver,2
refrigerator,2
destiny,2
tip,2
grammar,2
hotel,2
brevity,2
shortness,2
capacity,2
worry,2
owner,2
view,2
denial,2
issue,2
personality,2
boy,2
entrance,2
orchid,2
radio,2
hatred,2
opera,2
steam,3
phenomenon,3
lizard,2
visitor,2
ambition,2
mankind,2
brother,2
crocodile,2
error,2
miracle,2
bell,2
germ,2
property,2
bet,2
hog,2
bed,2
deceit,2
member,2
intention,2
hope,3
specialist,2
attitude,2
poll,2
salary,2
fireplace,2
rocket,2
past,2
misery,2
thought,2
entree,7
want,2
skull,2
margin,2
ceremony,2
extent,2
potato,3
reputation,2
determination,3
increase,2
independence,2
genuine,2
story,2
rule,2
eyeball,2
landscape,2
factory,2
injury,2
dad,2
advantage,2
electricity,2
bedroom,2
gesture,2
bridge,2
fact,2
unity,2
lisp,2
coupon,2
stranger,2
dove,2
material,2
prop,2
event,2
result,2
handkerchief,2
institute,2
announcement,2
assault,2
helplessness,2
robin,2
grasshopper,2
justification,2
thing,2
duel,2
adventurer,2
mosquito,2
revenge,2
elephant,2
segment,2
suspect,2
degree,2
anxiety,2
record,2
reflex,2
dilemma,2
replacement,2
tree,3
clean,2
lock,2
stride,2
wish,2
apple,7
reality,2
self,2
consequence,2
form,2
laughter,2
opponent,2
lily,2
lunch,4
sedative,2
menu,6
benefactor,2
duty,2
drama,2
equality,2
trumpet,2
art,2
alligator,2
lake,2
idiom,2
vocabulary,2
instance,2
cucumber,3
chance,2
nose,7
charter,2
branch,2
interruption,2
logic,2
comprehension,2
boundary,2
camera,2
tomato,6
volt,2
nation,2
volume,2
waste,2
key,2
significance,3
hat,2
figure,2
football,2
fear,2
separation,2
measure,2
puddle,3
sight,2
philosophy,2
irony,2
charity,2
advice,2
beast,2
moonlight,2
appeal,2
instructor,2
paragraph,2
economy,2
traveler,2
disaster,2
butter,2
law,2
convergence,2
state,2
instinct,2
season,2
vapor,3
diversity,2
definition,2
lesson,2
spider,2
impossibility,2
window,2
cliff,2
mountain,2
disgust,2
onion,6
republic,2
chipmunk,2
pest,2
safety,2
skunk,2
shame,2
beetle,2
possibility,2
crown,2
retention,2
immortality,2
proportion,2
raspberry,6
beverage,6
metaphor,2
effect,2
weight,2
physics,2
curfew,2
teacher,2
salad,4
bullet,2
lemon,6
second,2
fisherman,2
uncertainty,2
shock,2
leadership,2
winter,2
ring,2
food,7
payment,2
recital,2
bag,2
sadness,2
behavior,2
lip,2
guilt,2
incident,2
annoyance,2
wood,2
mastery,2
victim,2
autumn,2
gender,2
leader,2
peacemaker,2
ownership,2
distance,2
cowardice,2
ally,2
jewel,2
truck,2
intelligence,2
palace,2
job,2
situation,2
summer,2
mileage,2
shrimp,2
parish,2
perception,2
ditch,2
fantasy,2
uncle,2
regret,2
bank,2
midnight,2
policeman,2
calculation,2
outfit,2
witness,2
verse,2
dentist,2
satisfaction,2
preference,2
originality,2
resort,2
fat,2
attention,2
writing,2
legality,2
size,2
smell,7
thief,2
heap,2
dagger,2
underworld,2
fifteen,2
mold,2
frustration,2
shirt,2
brain,2
expression,2
edge,2
ignition,2
name,2
darkness,2
message,2
square,2
site,2
snake,2
consideration,2
occupation,2
claim,2
pretense,2
silence,2
mystery,2
wallet,2
corn,2
caterpillar,2
calendar,2
opposition,2
chlorine,2
candidate,2
road,2
method,2
leopard,2
shark,2
neighborhood,2
cognition,2
promotion,2
holiday,2
necklace,2
tendency,2
lion,2
car,2
bandit,2
oven,2
atrocity,2
pyramid,2
interaction,2
talent,2
master,2
eight,2
clothing,2
duck,2
donor,2
protection,2
guide,2
peach,6
description,2
bubble,2
production,5
risk,2
university,2
tide,2
limitation,2
amplitude,2
principle,2
magnitude,2
bird,2
value,2
consistency,2
corpse,2
show,2
irrigation,2
jacket,2
church,2
truth,2
girl,2
wage,2
uniform,2
tragedy,2
selection,2
lamp,2
literature,2
development,2
temperature,2
drug,2
memory,2
riot,2
difference,2
knowledge,2
identification,2
affection,2
chair,2
boulder,2
typewriter,2
eagle,2
availability,2
acre,2
roof,2
competence,2
context,2
ocean,2
rent,2
twig,2
alley,2
exception,2
regulation,2
kite,2
fallacy,2
drum,2
group,2
outcome,2
baby,2
sole,2
distribution,2
responsibility,2
play,2
meeting,2
dynasty,2
prediction,2
preparation,2
debt,2
empty,2
professor,2
empire,2
relief,2
shape,2
youth,2
reinforcement,2
construction,2
security,2
blood,2
odor,7
towel,2
punishment,2
insight,2
arrow,2
tax,2
mother,2
appointment,2
diet,2
ball,2
tension,2
acquisition,2
identity,2
missile,2
individual,2
inch,2
territory,2
loafer,2
hobby,2
despair,2
cocktail,6
boat,2
sofa,2
decision,2
hierarchy,2
ability,2
river,2
wisdom,2
sanctuary,2
gun,2
recognition,2
item,2
banana,6
newspaper,2
lens,2
propeller,2
origin,2
mustard,6
malice,2
city,2
fate,2
grief,2
rebel,2
specimen,2
vision,2
myth,2
synagogue,2
nurse,2
accumulation,2
soul,2
peace,2
itch,2
democracy,2
animal,2
desk,2
purpose,2
tennis,2
tune,2
liar,2
coffin,2
mud,2
damage,2
division,2
accident,2
pawn,2
costume,2
weather,2
wave,2
street,2
bolt,2
fight,2
honesty,2
tongue,2
love,2
stupidity,2
spelling,2
psalm,2
line,2
corporation,2
body,2
blade,2
idea,2
pillow,2
theory,2
improvement,2
example,2
band,2
stapler,2
television,2
danger,2
cause,2
butterfly,2
coffee,6
aspect,2
topic,2
exclusion,2
opportunity,2
envy,2
