word,rating
admiration,6
robbery,2
peach,3
property,5
liar,5
figure,4
pie,3
lily,3
marriage,4
banana,2
tongue,5
steam,4
form,5
visitor,3
impossibility,4
situation,4
interaction,6
hog,2
vapor,4
acquisition,5
brawl,3
establishment,4
instructor,4
bird,2
opera,4
logic,7
fate,6
grammar,5
laughter,3
ignition,4
location,3
magnitude,6
soul,7
empty,2
rabbit,3
stimulus,7
rule,5
advice,5
queen,3
girl,3
decision,6
safety,3
hatred,5
confidence,6
boy,3
rent,4
crisis,5
extent,5
orchid,3
stranger,3
lock,4
betrayal,6
photo,3
macaroni,2
majority,5
electricity,6
fat,2
inn,3
road,3
capacity,5
view,4
personality,6
dove,3
brute,2
ambulance,3
pig,2
boundary,4
idea,7
baby,3
weather,2
vocabulary,5
flavor,4
toilet,2
show,3
murder,5
teacher,4
genuine,4
rainbow,3
foundation,5
fifteen,2
pond,3
acre,3
intention,6
skull,3
assistance,4
adversity,5
evidence,5
bag,2
square,3
menu,3
individual,6
punishment,5
reality,4
production,4
witness,5
dimension,5
advantage,5
hierarchy,4
crocodile,2
volume,6
degree,5
damage,4
rhyme,3
idiom,4
bottle,3
fisherman,3
mustard,2
behavior,5
body,3
faith,6
winter,2
purpose,6
determination,6
cloth,3
meeting,4
dagger,4
frustration,5
fog,3
philosophy,7
standard,5
eyeball,4
annoyance,3
democracy,4
cranberry,2
sword,4
loan,4
chicken,2
tide,3
law,5
cup,3
sofa,3
originality,6
weight,4
roof,3
candidate,4
job,3
subtraction,3
robin,3
necklace,3
ballot,4
memory,6
station,3
chair,3
refrigerator,3
result,4
thief,5
pimple,2
skunk,2
reputation,5
accident,3
method,4
parish,3
eight,2
justification,5
animal,2
sole,3
play,4
tendency,5
chipmunk,2
shirt,3
reinforcement,5
corporation,4
pawn,3
volt,5
money,4
cognition,7
talent,5
alligator,2
republic,4
orchestra,4
dad,3
door,3
beverage,3
suit,3
grief,5
misery,5
margin,4
response,4
site,3
ball,3
car,3
mile,3
season,3
disagreement,5
ability,5
tradition,4
speech,4
recital,4
requirement,4
theory,6
opinion,7
sadness,5
security,4
month,2
lake,3
band,3
stick,3
retention,5
revenge,5
atom,4
permission,4
frog,2
sneeze,2
ownership,6
trust,6
reduction,5
cow,2
character,6
accomplishment,5
policeman,3
increase,4
sandal,3
independence,5
window,3
wood,3
duel,4
christmas,3
bridge,3
deduction,6
territory,4
comprehension,6
equality,5
irrigation,3
bolt,4
moment,4
beast,2
bell,3
division,5
information,6
palace,3
crime,5
chlorine,2
river,3
paradigm,5
separation,4
state,4
cake,3
potato,2
lemon,3
mercy,4
suggestion,4
writing,4
bedroom,3
literature,5
heap,3
city,3
duration,4
fight,3
time,4
gun,3
smell,2
appeal,3
clean,2
perception,6
diet,3
stupidity,2
envy,5
owner,5
sky,2
ceremony,3
sow,3
helplessness,3
article,2
necessity,4
key,4
length,3
drug,3
belief,6
lamp,3
gorilla,2
onion,3
intelligence,7
bubble,3
effort,4
produce,4
rocket,4
lunch,3
topic,3
uncertainty,4
twig,3
puppy,2
ring,3
germ,3
file,3
conscience,6
economy,5
past,3
street,3
lettuce,3
translation,4
spirit,6
regret,5
story,4
mattress,3
preparation,4
traveler,3
gesture,3
comparison,4
newspaper,3
mileage,3
object,3
mosquito,2
heart,5
identity,6
nerve,4
consistency,5
sight,3
candy,3
radio,3
stride,3
protection,4
fallacy,3
linen,3
instinct,5
expression,4
raspberry,3
pretense,3
victim,4
father,3
opponent,4
beaver,2
lamb,3
arrangement,4
desk,3
ally,3
danger,3
message,3
preference,4
appointment,3
camera,3
music,4
brevity,3
destiny,6
propeller,3
anxiety,5
wolf,2
microscope,7
lobster,2
significance,6
improvement,5
occasion,4
freedom,5
kitten,2
shrimp,2
water,3
contempt,4
convergence,4
uniform,4
unity,6
hotel,3
peacemaker,4
wish,4
grandmother,3
possibility,6
episode,3
duty,5
horse,3
wave,3
metaphor,5
institute,4
contract,4
photograph,3
deputy,3
eagle,3
boulder,2
hurt,4
description,3
hurricane,3
reflex,5
flask,3
thorn,3
elephant,2
skin,3
doctor,4
specimen,4
professor,5
selection,4
bracelet,3
member,3
size,3
verse,4
core,5
friendship,5
honesty,6
proportion,4
correspondent,3
dozen,3
truck,3
fireplace,3
bank,4
autumn,2
iron,3
guilt,5
self,6
mansion,3
salad,3
nation,4
coupon,3
distribution,4
principle,5
mud,3
coffee,3
scholar,4
boredom,2
amount,3
cocktail,3
knife,3
injury,3
attitude,4
jewel,3
miracle,4
riddle,4
scene,3
puddle,3
mastery,5
skill,6
odor,3
truth,6
edge,4
woman,3
bullet,3
conclusion,5
name,3
abundance,5
entree,3
food,3
ambition,5
charity,4
sugar,3
fantasy,4
integrity,6
diversity,4
stapler,2
magic,4
announcement,3
wisdom,6
calculation,6
butter,3
ditch,2
coincidence,3
prop,3
tragedy,5
latch,3
artist,4
charter,3
diamond,4
drum,3
origin,5
material,3
crown,4
mold,3
mother,3
lizard,2
alphabet,3
apology,3
hat,3
cat,3
paragraph,3
instance,3
border,3
neighborhood,3
outfit,3
tallness,3
fact,4
introduction,3
anger,4
beetle,2
wallet,3
opposition,5
claim,3
complication,4
empire,4
pill,3
second,3
costume,3
relief,3
effect,4
poetry,5
construction,4
measure,4
competence,5
infection,3
emergence,4
handkerchief,3
hazard,3
hospital,3
duck,3
silence,2
darkness,3
master,5
cliff,2
corn,3
resort,3
error,3
grasshopper,2
lip,3
variety,3
incident,3
incentive,3
brain,7
number,3
summer,2
tool,3
supply,3
risk,4
consideration,4
disgust,2
branch,3
blood,3
tension,4
chocolate,3
corpse,2
unit,3
exception,3
guess,3
brother,3
moral,5
circumstance,4
quality,4
accumulation,4
lane,3
nose,3
assumption,3
snake,2
peace,5
ocean,3
blade,3
university,4
psalm,3
moonlight,3
route,3
interruption,3
thing,3
cucumber,3
pest,2
clothing,3
ceiling,3
future,4
shame,4
leopard,2
outcome,5
oven,3
three,2
satisfaction,5
kindness,4
laundry,3
neck,3
value,5
student,4
coffin,3
love,4
design,3
physics,5
group,3
shock,3
clearance,3
factory,3
tennis,3
lisp,3
midnight,3
cause,4
income,3
pyramid,4
volcano,3
tree,3
waste,3
medicine,3
chance,4
conference,3
entrance,3
combination,3
loafer,3
exclusion,3
television,3
jerk,2
example,3
attention,4
promotion,3
itch,2
definition,3
criticism,3
manner,3
caterpillar,2
recognition,5
insight,6
shape,3
obstruction,3
pigeon,3
willingness,4
park,3
curfew,3
boat,3
availability,3
line,3
ignorance,2
landscape,3
butterfly,2
saloon,3
snow,2
myth,2
alley,3
child,3
legality,3
kite,2
sedative,3
occupation,3
tip,3
bet,3
burner,2
missile,3
replacement,3
sister,3
awareness,4
temperature,3
chief,3
poll,3
record,3
industry,4
bandit,3
lesson,3
lightning,3
affection,4
malice,5
cottage,3
grass,3
drama,3
jacket,3
guide,3
deceit,3
item,3
phenomenon,5
despair,5
opportunity,4
distraction,3
uncle,3
typewriter,3
dentist,3
distance,3
context,3
enemy,3
squeak,2
calendar,3
explanation,4
immortality,5
irony,4
assault,5
real,3
zoo,2
pillow,3
presence,4
heresy,3
interior,4
want,4
mystery,5
apple,3
ankle,2
beauty,3
reason,6
holiday,3
underworld,4
disaster,5
adventurer,3
forest,3
regulation,4
specialist,4
shark,3
composer,4
consequence,5
church,3
vision,6
amplitude,4
justice,6
engagement,5
synagogue,3
performance,5
trumpet,3
riot,4
worry,5
sanctuary,3
math,4
imagination,7
mountain,3
issue,4
knowledge,6
fountain,3
circuit,4
mankind,4
debt,3
limitation,4
pile,3
tax,3
inch,3
lion,2
helmet,3
denial,3
scent,3
identification,5
impairment,3
cowardice,2
atrocity,4
starch,3
temple,3
island,3
spider,2
rebel,3
salary,4
march,2
dynasty,3
importance,6
prediction,5
lens,4
hope,5
leadership,5
difference,4
leader,5
tune,3
disappointment,4
proof,4
segment,4
development,5
towel,3
fear,5
tomato,3
category,3
football,3
event,3
pool,3
payment,3
dilemma,4
attempt,3
benefactor,3
suspect,3
hobby,3
art,4
thought,7
youth,3
addition,3
bed,3
gender,3
mind,7
arrow,3
donor,3
shortness,3
escape,3
arc,3
spelling,3
wage,3
responsibility,5
nurse,3
fabric,3
aspect,3
