word,rating
candidate,4
irrigation,3
democracy,5
snow,2
announcement,5
neighborhood,3
music,2
crown,4
identity,6
midnight,7
hurt,3
adventurer,2
comparison,5
arrow,4
method,4
segment,4
disappointment,5
specialist,3
majority,6
lily,2
rainbow,4
iron,3
relief,5
bolt,4
riot,3
stride,4
hope,6
shortness,3
ally,4
economy,5
ditch,3
stimulus,6
justification,4
pie,2
clearance,4
sight,3
ambulance,4
blood,2
pile,3
limitation,5
abundance,4
outcome,6
regulation,5
cake,2
macaroni,2
twig,3
cognition,5
beast,2
grammar,3
duty,5
standard,4
talent,4
roof,3
lens,4
student,3
worry,4
instinct,3
guess,2
second,7
nation,5
uniform,3
cranberry,2
route,4
ignition,6
occupation,4
separation,5
linen,3
view,4
speech,3
obstruction,4
soul,5
grandmother,2
dove,3
sofa,2
regret,5
suit,3
frustration,5
disaster,5
skin,2
football,3
appeal,4
integrity,6
adversity,5
memory,5
skull,3
station,5
fate,6
consequence,6
attempt,3
raspberry,2
university,4
cloth,3
cup,2
context,4
poetry,3
candy,2
mileage,4
liar,2
trust,5
oven,3
key,4
traveler,3
mustard,2
admiration,5
sadness,3
accumulation,4
conscience,5
rabbit,2
fireplace,3
bridge,4
measure,5
costume,3
intention,5
menu,3
deduction,4
window,4
loafer,2
butter,2
convergence,4
fight,3
winter,4
verse,3
advice,4
form,3
immortality,5
engagement,4
mind,5
trumpet,3
margin,4
puddle,2
amplitude,4
orchid,2
scene,3
reflex,4
interior,3
empire,5
insight,6
aspect,3
denial,4
grasshopper,2
stapler,2
tallness,3
cause,4
article,3
opposition,5
introduction,5
retention,4
pretense,3
capacity,4
pigeon,2
silence,3
boy,2
mastery,4
definition,3
grief,5
replacement,3
quality,4
skill,4
affection,3
thorn,2
reality,5
banana,2
leader,5
danger,3
self,4
edge,3
lunch,2
laughter,3
myth,2
pawn,2
reputation,5
dozen,2
dagger,3
donor,3
duel,3
arc,4
temple,3
shame,5
victim,3
deceit,4
dad,2
paradigm,4
proof,4
charity,4
vocabulary,3
brother,3
pillow,2
propeller,3
significance,6
rule,4
friendship,3
weight,3
suspect,3
marriage,4
episode,4
determination,5
photo,3
landscape,3
shape,3
rhyme,3
situation,4
love,3
synagogue,3
moral,4
object,3
opinion,3
miracle,4
beaver,2
march,3
fat,2
income,4
requirement,4
sanctuary,3
lobster,2
palace,3
bank,3
pig,2
moonlight,3
coffee,2
core,4
competence,4
wood,3
salary,4
cow,2
protection,4
woman,3
brain,4
television,3
justice,5
brawl,3
unity,5
nose,2
wave,4
mankind,4
interruption,3
bottle,2
spelling,3
lizard,2
foundation,5
hurricane,4
professor,4
institute,4
sugar,2
helplessness,3
purpose,5
lane,3
territory,4
contract,4
coffin,3
bird,2
physics,3
proportion,4
line,4
salad,2
consistency,5
development,5
holiday,3
exclusion,3
event,5
jewel,4
promotion,4
acre,2
pest,2
availability,3
gender,2
fantasy,2
shock,3
performance,4
phenomenon,4
uncertainty,3
weather,3
reinforcement,4
time,7
necessity,5
towel,2
saloon,2
permission,3
category,3
bandit,2
doctor,3
diet,2
tide,3
heresy,2
length,6
policeman,3
magic,2
apple,2
unit,3
queen,4
mystery,4
emergence,5
republic,5
contempt,3
law,5
baby,2
starch,2
radio,3
kitten,2
description,3
eagle,3
preference,3
theory,4
variety,3
group,3
alley,2
burner,2
material,3
darkness,2
mile,4
toilet,2
medicine,3
security,4
lemon,2
bed,2
distance,5
file,2
kite,2
fear,3
suggestion,3
robin,2
ocean,3
cat,2
germ,2
art,3
eight,2
