word,rating
line,3
skill,4
nose,6
knowledge,3
information,4
rainbow,7
ownership,2
faith,3
affection,4
zoo,6
correspondent,2
rebel,3
moonlight,5
photo,7
opportunity,4
anger,3
coupon,2
adventurer,4
fabric,5
itch,3
character,4
cat,6
crisis,3
danger,5
sneeze,2
identification,4
writing,3
behavior,4
tendency,3
burner,2
baby,4
variety,5
mansion,4
uncle,2
macaroni,3
prediction,4
mud,3
engagement,3
square,7
odor,5
window,6
route,4
tide,5
location,4
resort,4
destiny,3
preference,4
helmet,5
occasion,3
outcome,4
unity,5
deduction,3
fate,3
safety,4
cottage,5
irony,2
fear,4
horse,5
onion,3
peace,5
cake,4
opinion,3
bandit,3
imagination,4
tradition,3
belief,3
method,4
menu,3
measure,4
importance,3
propeller,5
park,6
development,3
escape,4
kitten,5
volcano,6
consistency,4
diamond,7
promotion,3
pillow,5
confidence,4
literature,3
incentive,3
ally,4
donor,2
magic,3
arrangement,4
boulder,5
produce,3
independence,4
autumn,3
honesty,4
island,5
love,6
poll,3
entrance,4
pest,3
shortness,2
suspect,3
example,5
cowardice,2
alley,3
opera,4
thief,3
factory,3
charter,2
lobster,4
peacemaker,4
combination,3
liar,2
degree,4
size,5
duck,5
fisherman,3
heresy,2
significance,4
vocabulary,3
guess,3
murder,2
bridge,4
boy,5
microscope,6
lisp,3
university,3
lily,5
fight,4
opposition,4
ditch,3
preparation,4
chicken,4
sow,3
salad,3
betrayal,2
mercy,4
street,4
dimension,6
calendar,3
income,3
fog,4
originality,3
curfew,2
weather,5
music,4
willingness,3
rent,3
bed,4
underworld,3
wish,4
starch,3
wallet,2
volume,5
grief,3
elephant,5
explanation,4
miracle,3
idiom,2
episode,4
announcement,3
past,3
station,4
riot,4
soul,3
effect,4
selection,3
bullet,3
stick,5
proportion,4
property,4
memory,3
contract,3
intention,4
lens,6
assumption,3
recognition,5
youth,4
silence,2
cloth,5
performance,4
recital,3
master,4
salary,3
ankle,3
mother,4
foundation,4
story,5
cucumber,3
availability,3
nurse,3
metaphor,2
grass,5
brother,4
handkerchief,3
comprehension,4
banana,4
television,3
snow,5
amount,3
suit,4
neck,3
clearance,2
standard,4
legality,3
convergence,3
art,5
trumpet,5
diet,3
institute,3
appeal,3
costume,3
prop,4
proof,3
oven,4
candy,4
contempt,2
ceremony,3
eyeball,5
dentist,3
suggestion,3
beauty,5
waste,3
chocolate,4
shirt,4
cause,3
integrity,4
hog,3
nation,3
lamb,4
conscience,4
chlorine,3
extent,4
drama,3
anxiety,3
design,5
record,4
cranberry,3
money,3
mustard,3
calculation,4
protection,4
leadership,4
adversity,3
skin,4
snake,5
mold,3
effort,4
increase,3
subtraction,3
duration,4
description,4
member,3
dynasty,3
revenge,3
production,4
skull,5
mile,3
necessity,4
ambition,4
branch,3
child,4
enemy,3
identity,4
potato,3
professor,4
mosquito,3
doctor,4
artist,5
girl,4
crocodile,4
job,3
debt,3
missile,3
palace,4
tension,4
food,4
issue,3
church,3
assistance,3
supply,3
mankind,3
stranger,3
composer,4
idea,4
appointment,3
