word,rating
ability,4
abundance,3
accident,3
accomplishment,4
accumulation,3
acquisition,4
acre,2
addition,3
admiration,5
advantage,4
adventurer,3
adversity,3
advice,4
affection,5
alley,2
alligator,4
ally,3
alphabet,3
ambition,5
ambulance,3
amount,3
amplitude,4
anger,5
animal,4
ankle,2
announcement,4
annoyance,4
anxiety,5
apology,4
appeal,4
apple,3
appointment,4
arc,3
arrangement,4
arrow,3
art,5
article,3
artist,5
aspect,4
assault,4
assistance,4
assumption,3
atom,3
atrocity,4
attempt,4
attention,5
attitude,4
autumn,3
availability,4
awareness,4
baby,2
bag,2
ball,3
ballot,3
banana,3
band,3
bandit,3
bank,2
beast,4
beauty,5
beaver,3
bed,2
bedroom,2
beetle,3
behavior,4
belief,4
bell,3
benefactor,4
bet,3
betrayal,4
beverage,3
bird,3
blade,3
blood,3
boat,3
body,3
bolt,2
border,3
boredom,4
bottle,3
boulder,3
boundary,3
boy,2
bracelet,2
brain,3
branch,2
brawl,3
brevity,4
bridge,3
brother,3
brute,3
bubble,3
bullet,2
burner,2
butter,3
butterfly,3
cake,3
calculation,3
calendar,3
camera,2
candidate,3
candy,4
capacity,3
car,3
cat,4
category,3
caterpillar,3
cause,3
ceiling,2
ceremony,5
chair,2
chance,3
character,4
charity,4
charter,3
chicken,4
chief,2
child,2
chipmunk,3
chlorine,2
chocolate,4
christmas,5
church,2
circuit,2
circumstance,3
city,2
claim,3
clean,3
clearance,3
cliff,2
cloth,2
clothing,2
cocktail,3
coffee,4
coffin,2
cognition,3
coincidence,2
combination,3
comparison,3
competence,3
complication,3
composer,5
comprehension,3
conclusion,4
conference,4
confidence,4
conscience,3
consequence,3
consideration,3
consistency,3
construction,3
contempt,4
context,3
contract,3
convergence,3
core,2
corn,3
corporation,2
corpse,2
correspondent,3
costume,2
cottage,2
coupon,2
cow,4
cowardice,3
cranberry,3
crime,3
crisis,3
criticism,3
crocodile,4
crown,3
cucumber,3
cup,2
curfew,3
dad,3
dagger,3
damage,3
danger,3
darkness,3
debt,2
deceit,4
decision,4
deduction,3
definition,3
degree,2
democracy,2
denial,3
dentist,2
deputy,2
description,3
design,3
desk,2
despair,4
destiny,3
determination,4
development,3
diamond,2
diet,3
difference,3
dilemma,3
dimension,3
disagreement,2
disappointment,2
disaster,2
disgust,2
distance,3
distraction,2
distribution,2
ditch,2
diversity,2
division,3
doctor,2
donor,2
door,3
dove,3
dozen,2
drama,4
drug,2
drum,7
duck,4
duel,4
duration,3
duty,2
dynasty,2
eagle,3
economy,2
edge,2
effect,2
effort,2
eight,2
electricity,2
elephant,2
emergence,2
empire,2
empty,2
enemy,2
engagement,2
entrance,2
entree,2
envy,2
episode,2
equality,2
error,2
escape,2
establishment,2
event,2
evidence,2
example,2
exception,2
exclusion,2
explanation,2
expression,2
extent,2
eyeball,2
fabric,2
fact,2
factory,2
faith,2
fallacy,2
fantasy,2
fat,2
fate,2
father,2
fear,2
fifteen,2
fight,2
figure,2
file,2
fireplace,2
fisherman,2
flask,2
flavor,2
fog,2
food,2
football,2
forest,2
form,2
foundation,2
fountain,2
freedom,2
friendship,2
frog,2
frustration,2
future,2
gender,2
genuine,2
germ,2
gesture,4
girl,2
gorilla,2
grammar,5
grandmother,2
grass,2
grasshopper,4
grief,2
group,2
guess,2
guide,2
guilt,2
gun,7
handkerchief,2
hat,2
hatred,2
hazard,2
heap,2
heart,2
helmet,2
helplessness,2
heresy,2
hierarchy,2
hobby,2
hog,2
holiday,4
honesty,2
hope,2
horse,3
hospital,2
hotel,2
hurricane,5
hurt,2
idea,2
identification,2
identity,2
idiom,4
ignition,5
ignorance,2
imagination,4
immortality,2
impairment,2
importance,2
impossibility,2
improvement,2
incentive,2
inch,2
incident,4
income,2
increase,2
independence,2
individual,2
industry,2
infection,2
information,2
injury,2
inn,2
insight,2
instance,2
instinct,2
institute,2
instructor,2
integrity,2
intelligence,2
intention,2
interaction,5
interior,2
interruption,4
introduction,2
iron,2
irony,2
irrigation,2
island,2
issue,2
itch,2
item,2
jacket,2
jerk,3
jewel,2
job,2
justice,2
justification,2
key,7
kindness,2
kite,2
kitten,3
knife,2
knowledge,2
lake,2
lamb,2
lamp,2
landscape,2
lane,2
latch,2
laughter,7
laundry,2
law,2
leader,2
leadership,2
legality,2
lemon,2
length,2
lens,2
leopard,3
lesson,2
lettuce,2
liar,2
lightning,7
lily,2
limitation,2
line,2
linen,2
lion,7
lip,2
lisp,7
literature,3
lizard,1
loafer,2
loan,3
lobster,2
location,3
lock,2
logic,4
love,5
lunch,2
macaroni,4
magic,6
magnitude,1
majority,3
malice,3
mankind,2
manner,3
mansion,2
march,7
margin,2
marriage,3
master,4
mastery,4
material,2
math,3
mattress,2
measure,5
medicine,2
meeting,2
member,2
memory,3
menu,4
mercy,3
message,6
metaphor,4
method,2
microscope,2
midnight,5
mile,2
mileage,2
mind,3
miracle,4
misery,2
missile,3
mold,2
moment,3
money,2
month,2
moonlight,5
moral,3
mosquito,3
mother,2
mountain,2
mud,2
murder,4
music,7
mustard,2
mystery,3
myth,3
name,2
nation,2
necessity,3
neck,2
necklace,2
neighborhood,2
nerve,3
newspaper,2
nose,2
number,3
nurse,2
object,2
obstruction,2
occasion,2
occupation,2
ocean,4
odor,1
onion,2
opera,6
opinion,3
opponent,2
opportunity,3
opposition,2
orchestra,7
orchid,2
origin,3
originality,3
outcome,3
outfit,2
oven,2
owner,2
ownership,3
palace,2
paradigm,3
paragraph,2
parish,2
park,2
past,2
pawn,2
payment,2
peace,3
peacemaker,3
peach,2
perception,3
performance,4
permission,3
personality,3
pest,2
phenomenon,3
philosophy,3
photo,2
photograph,2
physics,3
pie,2
pig,2
pigeon,2
pile,2
pill,2
pillow,2
pimple,2
play,5
poetry,7
policeman,2
poll,3
pond,2
pool,2
possibility,3
potato,2
prediction,3
preference,3
preparation,2
presence,3
pretense,2
principle,3
produce,3
production,2
professor,2
promotion,2
proof,2
prop,2
propeller,2
property,3
proportion,3
protection,3
psalm,4
puddle,2
punishment,2
puppy,2
purpose,3
pyramid,2
quality,3
queen,2
rabbit,2
radio,7
rainbow,1
raspberry,4
real,3
reality,3
reason,3
rebel,2
recital,6
recognition,3
record,5
reduction,2
reflex,2
refrigerator,2
regret,3
regulation,3
reinforcement,3
relief,2
rent,2
replacement,2
republic,2
reputation,3
requirement,3
resort,2
response,2
responsibility,3
result,2
retention,3
revenge,3
rhyme,7
riddle,4
ring,2
riot,3
risk,3
river,2
road,2
robbery,2
robin,2
rocket,2
roof,2
route,2
rule,3
sadness,3
safety,3
salad,2
salary,2
saloon,2
sanctuary,3
sandal,2
satisfaction,2
scene,3
scent,1
scholar,1
season,3
second,2
security,1
sedative,3
segment,3
selection,1
self,1
separation,1
shame,1
shape,2
shark,2
shirt,1
shock,3
shortness,1
show,4
shrimp,1
sight,1
significance,1
silence,7
sister,1
site,2
situation,1
size,1
skill,1
skin,1
skull,1
skunk,2
sky,3
smell,1
snake,4
sneeze,7
snow,3
sofa,1
sole,1
soul,1
sow,1
specialist,1
specimen,1
speech,7
spelling,3
spider,1
spirit,1
square,1
squeak,7
standard,1
stapler,3
starch,1
state,1
station,6
steam,3
stick,2
stimulus,5
story,3
stranger,1
street,2
stride,4
student,1
stupidity,1
subtraction,1
sugar,1
suggestion,1
suit,1
summer,3
supply,1
suspect,1
sword,2
synagogue,4
talent,1
tallness,1
tax,1
teacher,1
television,7
temperature,1
temple,3
tendency,1
tennis,5
tension,3
territory,1
theory,1
thief,1
thing,1
thorn,1
thought,1
three,1
tide,3
time,3
tip,1
toilet,1
tomato,1
tongue,4
tool,1
topic,1
towel,1
tradition,1
tragedy,3
translation,4
traveler,1
tree,1
truck,2
trumpet,7
trust,1
truth,1
tune,7
twig,2
typewriter,6
uncertainty,1
uncle,1
underworld,2
uniform,1
unit,1
unity,1
university,1
value,1
vapor,1
variety,1
verse,6
victim,1
view,1
vision,1
visitor,1
vocabulary,5
volcano,3
volt,1
volume,7
wage,1
wallet,1
want,1
waste,1
water,3
wave,7
weather,3
weight,1
willingness,1
window,1
winter,3
wisdom,1
wish,1
witness,1
wolf,4
woman,1
wood,1
worry,1
writing,3
youth,1
zoo,3
