word,rating
ability,2
abundance,2
accident,2
accomplishment,2
accumulation,2
acquisition,2
acre,2
addition,2
admiration,3
advantage,2
adventurer,2
adversity,2
advice,2
affection,2
alley,2
alligator,3
ally,2
alphabet,2
ambition,2
ambulance,6
amount,2
amplitude,2
anger,4
animal,2
ankle,2
announcement,2
annoyance,2
anxiety,2
apology,2
appeal,2
apple,7
appointment,2
arc,3
arrangement,2
arrow,2
art,3
article,2
artist,3
aspect,2
assault,2
assistance,2
assumption,2
atom,2
atrocity,2
attempt,2
attention,2
attitude,2
autumn,6
availability,2
awareness,2
baby,3
bag,2
ball,2
ballot,2
banana,7
band,2
bandit,2
bank,2
beast,2
beauty,3
beaver,2
bed,2
bedroom,2
beetle,2
behavior,2
belief,2
bell,3
benefactor,2
bet,2
betrayal,2
beverage,2
bird,2
blade,2
blood,7
boat,2
body,2
bolt,2
border,2
boredom,2
bottle,2
boulder,2
boundary,2
boy,2
bracelet,3
brain,2
branch,2
brawl,2
brevity,2
bridge,2
brother,2
brute,2
bubble,2
bullet,2
burner,3
butter,7
butterfly,5
cake,2
calculation,2
calendar,2
camera,2
candidate,2
candy,6
capacity,2
car,2
cat,2
category,2
caterpillar,4
cause,2
ceiling,2
ceremony,2
chair,2
chance,2
character,2
charity,2
charter,2
chicken,2
chief,2
child,2
chipmunk,2
chlorine,4
chocolate,7
christmas,7
church,2
circuit,2
circumstance,2
city,2
claim,2
clean,3
clearance,2
cliff,2
cloth,2
clothing,2
cocktail,3
coffee,6
coffin,7
cognition,2
coincidence,2
combination,2
comparison,2
competence,2
complication,2
composer,2
comprehension,2
conclusion,2
conference,2
confidence,2
conscience,2
consequence,2
consideration,2
consistency,2
construction,2
contempt,2
context,2
contract,2
convergence,2
core,3
corn,7
corporation,2
corpse,3
correspondent,2
costume,2
cottage,2
coupon,2
cow,2
cowardice,2
cranberry,7
crime,2
crisis,2
criticism,2
crocodile,4
crown,3
cucumber,7
cup,2
curfew,2
dad,2
dagger,3
damage,2
danger,6
darkness,7
