word,rating
admiration,7
robbery,6
peach,4
property,3
liar,7
figure,4
pie,3
lily,4
marriage,7
banana,2
tongue,4
steam,5
form,3
visitor,3
impossibility,4
situation,5
interaction,6
hog,3
vapor,3
acquisition,5
brawl,7
establishment,3
instructor,4
bird,4
opera,5
logic,3
fate,6
grammar,4
laughter,7
ignition,5
location,4
magnitude,5
soul,6
empty,2
rabbit,3
stimulus,5
rule,4
advice,5
queen,5
girl,4
decision,6
safety,5
hatred,7
confidence,6
boy,3
rent,3
crisis,6
extent,4
orchid,4
stranger,4
lock,3
betrayal,7
photo,3
macaroni,2
majority,3
electricity,5
fat,3
inn,3
road,3
capacity,4
view,4
personality,6
dove,4
brute,3
ambulance,3
pig,2
boundary,4
idea,5
baby,4
weather,5
vocabulary,4
flavor,5
toilet,2
show,4
murder,7
teacher,5
genuine,6
rainbow,5
foundation,5
fifteen,3
pond,3
acre,3
intention,6
skull,3
assistance,4
adversity,6
evidence,4
bag,2
square,3
menu,3
individual,5
punishment,7
reality,4
production,4
witness,5
dimension,3
advantage,6
hierarchy,3
crocodile,7
volume,3
degree,3
damage,6
rhyme,5
idiom,4
bottle,3
fisherman,3
mustard,2
behavior,5
body,3
faith,7
winter,4
purpose,6
determination,7
cloth,2
meeting,5
dagger,7
frustration,7
fog,4
philosophy,3
standard,3
eyeball,3
annoyance,7
democracy,3
cranberry,2
sword,7
loan,5
chicken,3
tide,4
law,3
cup,2
sofa,2
originality,6
weight,3
roof,2
candidate,3
job,5
subtraction,2
robin,4
necklace,3
ballot,3
memory,7
station,2
chair,2
refrigerator,2
result,4
thief,7
pimple,5
skunk,3
reputation,6
accident,7
method,3
parish,3
eight,2
justification,3
animal,4
sole,2
play,5
tendency,3
chipmunk,3
shirt,2
reinforcement,4
corporation,3
pawn,3
volt,2
money,6
cognition,3
talent,7
alligator,5
republic,3
orchestra,5
dad,7
door,2
beverage,2
suit,3
grief,7
misery,7
margin,2
response,5
site,2
ball,3
car,2
mile,2
season,5
disagreement,6
ability,4
tradition,4
speech,5
recital,7
requirement,3
theory,3
opinion,6
sadness,7
security,7
month,2
lake,4
band,3
stick,2
retention,3
revenge,7
atom,2
permission,3
frog,2
sneeze,3
ownership,4
trust,6
reduction,3
cow,2
character,5
accomplishment,6
policeman,4
increase,3
sandal,2
independence,5
window,3
wood,2
duel,4
christmas,7
bridge,5
deduction,3
territory,4
comprehension,3
equality,5
irrigation,2
bolt,3
moment,4
beast,5
bell,3
division,4
information,2
palace,4
crime,6
chlorine,2
river,5
paradigm,4
separation,6
state,4
cake,3
potato,2
lemon,5
mercy,6
suggestion,4
writing,3
bedroom,4
literature,6
heap,3
city,4
duration,3
fight,5
time,4
gun,3
smell,3
appeal,4
clean,5
perception,7
diet,3
stupidity,2
envy,4
owner,3
sky,3
ceremony,5
sow,3
helplessness,6
article,3
necessity,4
key,3
length,2
drug,3
belief,4
lamp,3
gorilla,4
onion,3
intelligence,7
bubble,3
effort,5
produce,3
rocket,3
lunch,4
topic,3
uncertainty,5
twig,2
puppy,6
ring,3
germ,3
file,2
conscience,5
economy,4
past,3
street,3
lettuce,2
translation,4
spirit,6
regret,5
story,4
mattress,3
preparation,4
traveler,3
gesture,5
comparison,3
newspaper,4
mileage,2
object,2
mosquito,3
heart,7
identity,6
nerve,5
consistency,4
sight,3
candy,5
radio,3
stride,4
protection,6
fallacy,5
linen,2
