word,rating
lake,2
ambition,4
chance,2
individual,3
apology,1
opponent,2
boredom,1
cowardice,3
beetle,2
silence,1
bet,2
animal,3
coupon,1
faith,1
liar,1
lip,5
tongue,5
originality,2
ankle,6
potato,1
accumulation,2
outfit,1
chair,1
cognition,3
station,1
disaster,1
real,1
dilemma,1
scene,1
ally,1
ownership,1
theory,1
reinforcement,4
puppy,3
guide,1
damage,1
circumstance,1
state,1
response,5
key,2
boat,3
degree,1
crown,1
myth,1
blood,1
deduction,1
forest,1
latch,3
tune,1
show,1
interior,1
starch,1
mankind,1
infection,1
fabric,1
wood,1
tragedy,1
germ,1
iron,1
spider,2
calendar,1
affection,1
photograph,1
territory,1
incident,1
vapor,1
dentist,1
sword,4
flavor,1
clean,1
consistency,1
appeal,1
identification,1
fact,1
route,4
linen,1
macaroni,1
skin,1
stride,7
writing,7
roof,1
menu,1
division,1
value,1
suit,1
lamp,1
personality,1
contract,1
cloth,1
amount,1
intention,4
magic,1
confidence,4
duration,1
sandal,1
thing,1
mattress,1
addition,1
newspaper,1
opposition,1
leopard,2
pigeon,1
clearance,1
opinion,1
play,5
heart,1
irrigation,2
clothing,1
distance,1
fate,1
calculation,1
number,1
wisdom,1
vocabulary,1
talent,4
character,1
nose,1
salad,1
tree,1
risk,1
definition,1
ditch,3
hobby,5
adversity,1
inn,1
butter,1
pyramid,1
tomato,1
riot,1
independence,4
itch,1
temple,1
teacher,1
brain,1
occupation,1
ignition,5
suspect,1
costume,1
door,1
necessity,1
equality,1
orchid,1
bag,1
dove,4
chlorine,1
reflex,5
conference,1
result,1
helmet,1
beauty,1
shortness,1
verse,1
exception,1
bird,4
circuit,3
queen,1
charter,1
principle,1
music,1
want,1
relief,1
moral,1
jerk,5
metaphor,1
scent,1
girl,1
tradition,1
development,4
crisis,1
bubble,1
camera,1
pond,1
decision,5
job,4
frustration,1
error,1
student,1
reputation,1
fear,1
tool,1
shrimp,3
refrigerator,1
empty,1
kindness,1
impairment,1
wish,1
alligator,3
moment,1
injury,1
master,4
file,1
factory,1
body,1
weight,1
tide,1
lemon,1
television,1
coffin,1
admiration,1
tip,4
complication,3
shock,5
past,2
park,5
line,4
nerve,3
income,2
specialist,2
lesson,4
cause,5
squeak,3
insight,2
hotel,1
peacemaker,3
law,2
conscience,2
misery,1
dimension,2
pill,3
alley,2
banana,2
pest,3
debt,1
march,7
justice,2
sanctuary,2
meeting,4
cucumber,2
expression,5
opera,6
significance,2
intelligence,2
object,3
tallness,1
grasshopper,6
purpose,3
mosquito,4
assault,7
pillow,2
anxiety,1
hope,1
fountain,3
benefactor,2
love,1
drum,6
stimulus,4
beverage,2
mountain,2
capacity,2
awareness,1
danger,1
raspberry,3
reality,2
acquisition,4
snow,1
appointment,3
ocean,2
wave,6
composer,4
guilt,1
payment,2
jacket,2
city,2
lamb,3
retention,2
requirement,2
miracle,3
segment,3
oven,2
kitten,3
trust,2
flask,2
preparation,3
imagination,1
bridge,2
towel,2
coincidence,3
context,2
hospital,2
article,2
mercy,2
rabbit,5
spirit,1
rebel,6
interruption,3
design,3
criticism,2
duty,2
fog,1
peach,2
professor,2
friendship,2
cup,2
length,1
form,2
lunch,2
square,1
empire,2
pimple,1
shirt,2
pile,3
abundance,1
visitor,2
responsibility,2
location,2
corporation,2
literature,2
laundry,3
landscape,2
eagle,5
presence,3
tendency,2
construction,3
regulation,2
rocket,6
church,2
doctor,2
topic,2
midnight,1
conclusion,2
neck,3
car,5
fat,1
volume,1
story,2
physics,2
security,2
hog,3
name,1
lens,2
cow,3
chipmunk,5
christmas,2
possibility,2
suggestion,2
fallacy,2
robbery,7
assistance,3
distribution,3
skill,2
stranger,2
record,2
instructor,2
mold,1
occasion,3
hurricane,3
medicine,2
cocktail,2
institute,2
pig,3
guess,3
uncle,1
owner,2
hazard,1
desk,2
apple,2
pie,2
convergence,3
ability,2
democracy,2
grief,1
bed,2
fantasy,1
bolt,6
material,1
issue,2
rent,2
belief,1
rhyme,2
hat,2
variety,1
consideration,2
wage,2
arrow,3
identity,1
advice,2
corpse,1
contempt,1
message,2
math,2
paradigm,2
lightning,3
necklace,2
idea,1
assumption,1
future,1
bracelet,2
despair,1
stupidity,1
skunk,3
cat,5
size,1
method,2
pawn,3
laughter,4
cottage,2
ambulance,5
puddle,1
industry,2
effect,2
crocodile,2
proof,2
waste,3
immortality,1
economy,4
property,3
chocolate,1
scholar,2
incentive,5
coffee,3
tension,2
consequence,4
lobster,2
opportunity,5
uncertainty,1
volt,2
cake,1
justification,3
self,7
safety,5
fireplace,2
grammar,1
leader,6
establishment,3
irony,1
poll,4
fisherman,5
season,2
lane,1
odor,1
event,4
thief,5
saloon,2
extent,1
introduction,4
caterpillar,3
grandmother,1
entree,1
category,1
idiom,1
arc,2
winter,2
explanation,3
moonlight,1
figure,3
shark,3
hurt,1
member,3
riddle,2
adventurer,6
worry,1
accident,3
rainbow,1
emergence,4
mud,1
comprehension,3
lily,1
edge,2
behavior,6
stick,2
mustard,1
helplessness,1
zoo,1
loafer,1
perception,3
protection,5
hatred,1
typewriter,2
effort,6
soul,2
boulder,1
candidate,4
window,1
snake,3
art,5
promotion,6
cliff,1
item,1
sedative,2
lettuce,1
supply,5
spelling,3
logic,3
majority,2
denial,4
weather,1
malice,3
street,1
month,1
betrayal,5
exclusion,4
advantage,3
holiday,2
twig,1
competence,3
duck,3
mystery,2
temperature,1
water,1
impossibility,1
truck,5
toilet,1
reduction,3
foundation,1
handkerchief,1
time,2
wallet,1
steam,1
gender,1
bottle,1
dagger,4
university,3
orchestra,5
eight,1
onion,1
disagreement,2
ignorance,1
witness,4
cranberry,1
produce,5
kite,6
grass,1
preference,4
radio,2
leadership,6
microscope,2
prediction,5
donor,5
sofa,1
sister,1
entrance,4
deputy,3
woman,2
trumpet,5
acre,1
heap,1
magnitude,1
republic,3
manner,2
poetry,5
mastery,3
willingness,6
memory,4
tennis,7
hierarchy,2
group,3
second,1
salary,2
baby,1
fight,7
rule,2
regret,1
increase,5
volcano,1
outcome,4
duel,6
example,3
combination,4
pool,3
uniform,1
island,1
atrocity,5
freedom,2
policeman,6
peace,2
branch,3
victim,2
escape,5
resort,3
road,4
mind,3
replacement,4
missile,3
border,1
lion,3
dad,2
core,1
chicken,3
drug,1
father,2
translation,5
thought,3
disappointment,1
candy,1
performance,6
vision,2
nation,1
distraction,4
bandit,5
horse,3
knife,4
beast,2
neighborhood,1
sky,1
amplitude,1
crime,2
improvement,5
diamond,1
youth,1
beaver,1
instinct,3
pretense,1
lizard,2
claim,4
electricity,3
anger,3
comparison,3
three,2
charity,5
instance,2
prop,3
artist,6
loan,4
sneeze,2
attention,4
brother,2
bullet,3
destiny,2
underworld,1
wolf,2
limitation,2
episode,3
measure,4
quality,2
site,1
knowledge,3
difference,2
sugar,2
lock,4
lisp,6
child,2
importance,2
stapler,3
view,2
sight,2
truth,2
river,1
genuine,2
bedroom,1
accomplishment,5
integrity,3
murder,4
announcement,5
fifteen,2
skull,3
reason,3
correspondent,3
boundary,2
obstruction,3
boy,2
availability,2
phenomenon,2
brute,3
atom,2
deceit,4
honesty,3
description,3
attempt,6
unit,2
summer,1
propeller,4
sadness,3
sow,5
subtraction,3
bell,4
specimen,2
proportion,2
mileage,2
recognition,3
interaction,6
alphabet,2
food,2
ballot,4
annoyance,3
arrangement,3
attitude,3
sole,3
paragraph,2
synagogue,1
margin,2
frog,2
separation,4
palace,1
mansion,1
philosophy,2
money,2
smell,2
brawl,6
nurse,4
chief,3
gesture,7
disgust,3
drama,5
butterfly,2
photo,2
inch,2
football,6
darkness,1
aspect,2
gorilla,2
marriage,3
origin,2
recital,5
information,3
dynasty,1
legality,2
punishment,4
diversity,2
envy,3
heresy,2
speech,6
traveler,5
eyeball,3
unity,2
evidence,3
elephant,2
jewel,2
situation,2
blade,4
permission,4
gun,6
shape,2
engagement,5
selection,5
corn,2
thorn,3
tax,4
autumn,1
burner,4
satisfaction,3
revenge,6
diet,5
band,2
robin,2
brevity,2
psalm,2
bank,3
dozen,2
production,7
mile,2
mother,2
ceiling,1
determination,4
ceremony,3
enemy,2
shame,3
parish,1
standard,2
curfew,2
ball,5
ring,3
