word,rating
line,4
skill,7
nose,4
knowledge,7
information,6
rainbow,7
ownership,4
faith,6
affection,7
zoo,3
correspondent,4
rebel,5
moonlight,6
photo,4
opportunity,7
anger,1
coupon,3
adventurer,7
fabric,4
itch,3
character,6
cat,4
crisis,3
danger,1
sneeze,3
identification,4
writing,6
behavior,4
tendency,4
burner,3
baby,7
variety,6
mansion,7
uncle,4
macaroni,3
prediction,4
mud,1
engagement,6
square,4
odor,3
window,4
route,4
tide,4
location,4
resort,6
destiny,6
preference,4
helmet,3
occasion,4
outcome,4
unity,7
deduction,4
fate,6
safety,7
cottage,6
irony,3
fear,1
horse,4
onion,3
peace,7
cake,3
opinion,4
bandit,1
imagination,7
tradition,6
belief,4
method,4
menu,3
measure,4
importance,6
propeller,3
park,6
development,6
escape,6
kitten,7
volcano,1
consistency,6
diamond,7
promotion,6
pillow,4
confidence,7
literature,6
incentive,6
ally,7
donor,6
magic,7
arrangement,4
boulder,3
produce,3
independence,7
autumn,4
honesty,7
island,4
love,7
poll,3
entrance,4
pest,1
shortness,3
suspect,1
example,4
cowardice,1
alley,3
opera,6
thief,1
factory,3
charter,4
lobster,3
peacemaker,7
combination,4
liar,1
degree,4
size,3
duck,4
fisherman,3
heresy,1
significance,6
vocabulary,6
guess,3
murder,1
bridge,4
boy,3
microscope,3
lisp,3
university,7
lily,6
fight,3
opposition,1
ditch,1
preparation,6
chicken,3
sow,3
salad,4
betrayal,1
mercy,7
street,3
dimension,4
calendar,3
income,6
fog,3
originality,6
curfew,1
weather,3
music,7
willingness,6
rent,3
bed,4
underworld,1
wish,3
starch,3
wallet,4
volume,3
grief,1
elephant,3
explanation,4
miracle,7
idiom,4
episode,3
announcement,4
past,3
station,4
riot,1
soul,7
effect,4
selection,4
bullet,1
stick,3
proportion,4
property,3
memory,6
contract,3
intention,4
lens,3
assumption,3
recognition,6
youth,7
silence,3
cloth,3
performance,6
recital,6
master,7
salary,6
ankle,3
mother,7
foundation,6
story,4
cucumber,3
availability,6
nurse,7
metaphor,4
grass,3
brother,7
handkerchief,3
comprehension,6
banana,3
television,3
snow,4
amount,3
suit,3
neck,3
clearance,3
standard,4
legality,6
convergence,4
art,7
trumpet,5
diet,4
institute,4
appeal,7
costume,5
prop,4
proof,6
oven,4
candy,7
contempt,1
ceremony,5
eyeball,4
dentist,3
suggestion,4
beauty,7
waste,1
chocolate,7
shirt,4
cause,5
integrity,7
hog,1
nation,4
lamb,5
conscience,7
chlorine,4
extent,4
drama,3
anxiety,1
design,6
record,4
cranberry,4
money,5
mustard,4
calculation,4
protection,7
leadership,7
adversity,1
skin,4
snake,1
mold,1
effort,6
increase,4
subtraction,4
duration,4
description,4
member,4
dynasty,5
revenge,1
production,6
skull,4
mile,4
necessity,6
ambition,7
branch,4
child,7
enemy,1
identity,7
potato,4
professor,7
mosquito,1
doctor,7
artist,7
girl,4
crocodile,1
job,5
debt,1
missile,1
palace,6
tension,3
food,7
issue,4
church,7
assistance,7
supply,4
mankind,4
stranger,4
composer,7
idea,7
appointment,4
decision,4
drum,4
chance,4
hierarchy,3
manner,4
spirit,7
bolt,4
hatred,1
show,4
conclusion,4
pig,1
lion,6
retention,4
interaction,4
tax,1
midnight,4
bracelet,4
specialist,7
risk,3
physics,4
roof,4
frog,4
grandmother,6
body,4
circuit,4
dad,7
bet,4
camera,4
impairment,1
site,4
animal,4
equality,7
poetry,7
boredom,1
response,4
coffee,6
want,4
nerve,5
corn,4
play,6
trust,7
orchestra,7
wisdom,7
inch,4
duty,6
industry,7
limitation,1
hurt,1
capacity,4
car,4
ocean,6
injury,1
radio,4
misery,1
butter,6
chipmunk,4
reflex,4
incident,4
father,7
hospital,5
unit,4
origin,4
translation,4
envy,1
mystery,4
entree,6
reality,4
principle,7
holiday,7
logic,7
arrow,4
sedative,3
kite,6
guide,7
arc,4
boundary,4
forest,4
uniform,4
blood,4
paradigm,5
alligator,1
clothing,4
message,4
mileage,4
rule,4
insight,6
medicine,5
dove,6
aspect,4
hope,7
moral,6
acquisition,4
hat,4
object,4
sadness,1
sofa,4
quality,5
leader,6
tragedy,1
corporation,4
disaster,1
state,4
second,4
rhyme,4
uncertainty,3
time,4
brute,2
gender,4
assault,1
door,4
requirement,4
beverage,5
majority,4
circumstance,4
policeman,4
beetle,3
accumulation,4
bell,4
stride,6
lizard,3
addition,4
fallacy,2
summer,6
city,5
group,4
bubble,3
exception,4
puddle,3
lock,4
presence,6
jacket,4
lake,6
introduction,5
water,4
payment,4
diversity,5
regret,1
distraction,2
football,4
figure,5
eagle,5
stupidity,1
vapor,3
psalm,4
accident,2
pyramid,5
consideration,5
distance,3
refrigerator,4
brawl,2
orchid,5
ball,4
topic,4
situation,4
peach,6
