word,rating
scholar,2
deputy,2
produce,3
woman,1
scent,1
ambulance,1
doctor,1
obstruction,3
three,6
flavor,1
volcano,1
cow,1
ankle,1
clearance,4
nerve,1
helmet,2
chief,1
cake,1
manner,1
pill,1
robbery,1
marriage,1
spirit,1
speech,1
scene,1
math,1
freedom,1
atom,1
kindness,1
cat,1
ballot,1
abundance,7
incentive,1
guess,1
effort,1
pond,1
impairment,1
grass,1
belief,1
door,1
conclusion,1
photograph,1
photo,1
explanation,1
chocolate,1
candy,1
sword,1
presence,1
admiration,1
lobster,1
jerk,1
knife,1
crime,1
betrayal,1
microscope,6
bracelet,1
emergence,1
mansion,7
escape,1
heresy,1
stimulus,1
deduction,1
reduction,6
pig,1
sugar,1
lamb,1
loan,1
frog,1
lane,1
gorilla,1
flask,1
music,1
willingness,1
hurt,1
combination,4
lightning,1
foundation,1
confidence,1
contempt,1
contract,1
skin,1
magic,1
conscience,1
evidence,1
response,1
addition,1
ceiling,1
brawl,1
pimple,1
temple,1
saloon,1
integrity,1
suit,1
industry,1
fountain,1
occasion,1
file,1
comparison,1
border,3
sandal,2
future,1
money,6
accomplishment,1
composer,1
correspondent,1
month,5
pie,1
conference,1
burner,2
fog,1
disappointment,1
forest,7
linen,1
student,1
kitten,1
thorn,2
zoo,6
enemy,1
hurricane,6
route,3
fabric,1
boredom,1
ignorance,1
sow,5
character,1
cranberry,1
cup,2
episode,1
assistance,1
duration,6
squeak,1
paradigm,1
circuit,3
disagreement,1
hazard,1
arc,2
toilet,2
bottle,3
tool,2
snow,1
permission,1
awareness,1
heart,1
poetry,1
importance,1
pool,3
stick,2
beauty,1
subtraction,6
translation,1
pile,6
performance,1
hospital,4
criticism,1
apology,1
park,6
medicine,1
mile,6
inn,3
grandmother,1
circumstance,1
trust,1
engagement,1
location,5
lettuce,1
tradition,1
cloth,1
alphabet,4
diamond,3
moment,6
child,1
arrangement,1
island,6
variety,5
information,1
latch,2
chicken,1
artist,1
beaver,1
refrigerator,5
destiny,1
tip,2
grammar,1
hotel,4
brevity,6
shortness,6
capacity,6
worry,1
owner,1
view,1
denial,1
issue,1
personality,1
boy,1
entrance,2
orchid,1
radio,2
hatred,1
opera,1
steam,1
phenomenon,4
lizard,3
visitor,3
ambition,4
mankind,4
brother,3
crocodile,6
error,3
miracle,5
bell,3
germ,4
property,5
bet,3
hog,4
bed,3
deceit,3
member,4
intention,4
hope,4
specialist,4
attitude,3
poll,5
salary,4
fireplace,3
rocket,6
past,3
misery,3
thought,4
entree,4
want,4
skull,4
margin,4
ceremony,4
extent,7
potato,5
reputation,5
determination,6
increase,6
independence,5
genuine,3
story,4
rule,4
eyeball,4
landscape,5
factory,4
injury,4
dad,3
advantage,5
electricity,4
bedroom,4
gesture,4
bridge,4
fact,5
unity,4
lisp,3
coupon,4
stranger,3
dove,4
material,6
prop,4
event,5
result,5
handkerchief,4
institute,5
announcement,4
assault,4
helplessness,3
robin,4
grasshopper,4
justification,4
thing,4
duel,4
adventurer,4
mosquito,4
revenge,5
elephant,7
segment,4
suspect,3
degree,6
anxiety,3
record,5
reflex,3
dilemma,4
replacement,4
tree,6
clean,3
lock,4
stride,5
wish,4
apple,5
reality,4
self,3
consequence,6
form,4
laughter,3
opponent,3
lily,4
lunch,5
sedative,3
menu,6
benefactor,5
duty,4
drama,5
equality,5
trumpet,5
art,3
alligator,7
lake,6
idiom,3
vocabulary,5
instance,4
cucumber,5
chance,4
nose,4
charter,6
branch,4
interruption,4
logic,4
comprehension,3
boundary,7
camera,5
tomato,5
volt,4
nation,6
volume,7
waste,5
key,4
significance,6
hat,4
figure,5
football,5
fear,3
separation,6
measure,7
puddle,5
sight,3
philosophy,4
irony,3
charity,5
advice,3
beast,5
moonlight,3
appeal,4
instructor,3
paragraph,5
economy,6
traveler,3
disaster,7
butter,5
law,6
convergence,5
state,6
instinct,3
season,4
vapor,5
diversity,6
definition,4
lesson,4
spider,4
impossibility,3
window,5
cliff,6
mountain,7
disgust,3
onion,5
republic,6
chipmunk,3
pest,3
safety,4
skunk,4
shame,3
beetle,3
possibility,5
crown,6
retention,4
immortality,3
proportion,7
raspberry,5
beverage,6
metaphor,3
effect,6
weight,7
physics,4
curfew,4
teacher,3
salad,5
bullet,6
lemon,5
second,3
fisherman,3
uncertainty,4
shock,3
leadership,4
winter,5
ring,6
food,7
payment,7
recital,3
bag,5
sadness,3
behavior,2
lip,1
guilt,1
incident,3
annoyance,1
wood,3
mastery,2
victim,2
autumn,2
gender,1
leader,3
peacemaker,2
ownership,4
distance,7
cowardice,1
ally,2
jewel,2
truck,4
intelligence,1
palace,7
job,3
situation,4
summer,2
mileage,6
shrimp,5
parish,3
perception,1
ditch,2
fantasy,1
uncle,1
regret,1
bank,4
midnight,1
policeman,2
calculation,1
outfit,3
witness,1
verse,3
dentist,1
satisfaction,1
preference,2
originality,1
resort,3
fat,6
attention,1
writing,1
legality,2
size,7
smell,1
thief,1
heap,7
dagger,4
underworld,2
fifteen,6
mold,3
frustration,1
shirt,2
brain,3
expression,1
edge,2
ignition,1
name,1
darkness,1
message,1
square,3
site,2
snake,1
consideration,1
occupation,1
claim,2
pretense,1
silence,1
mystery,1
wallet,4
corn,3
caterpillar,2
calendar,1
opposition,1
chlorine,1
candidate,1
road,5
method,1
leopard,2
shark,2
neighborhood,4
cognition,1
promotion,2
holiday,1
necklace,3
tendency,1
lion,2
car,4
bandit,1
oven,3
atrocity,1
pyramid,6
interaction,1
talent,2
master,1
eight,6
clothing,3
duck,2
donor,1
protection,1
guide,1
peach,3
description,1
bubble,4
production,2
risk,1
university,7
tide,1
limitation,3
amplitude,7
principle,2
magnitude,7
bird,1
value,2
consistency,2
corpse,1
show,1
irrigation,1
jacket,3
church,1
truth,1
girl,2
wage,5
uniform,4
tragedy,1
selection,2
lamp,3
literature,3
development,1
temperature,2
drug,1
memory,1
riot,1
difference,1
knowledge,1
identification,1
affection,1
chair,3
boulder,7
typewriter,3
eagle,2
availability,1
acre,7
roof,6
competence,1
context,3
ocean,7
rent,5
twig,5
alley,3
exception,1
regulation,2
kite,3
fallacy,1
drum,4
group,4
outcome,1
baby,2
sole,1
distribution,4
responsibility,1
play,1
meeting,1
dynasty,4
prediction,1
preparation,2
debt,6
empty,1
professor,1
empire,7
relief,1
shape,3
youth,2
reinforcement,1
construction,3
security,1
blood,1
odor,1
towel,3
punishment,1
insight,1
arrow,3
tax,6
mother,2
appointment,1
diet,2
ball,3
tension,1
acquisition,1
identity,1
missile,4
individual,2
inch,7
territory,7
loafer,3
hobby,2
despair,1
cocktail,2
boat,3
sofa,4
decision,1
hierarchy,5
ability,1
river,4
wisdom,1
sanctuary,1
gun,2
recognition,1
item,6
banana,2
newspaper,3
lens,3
propeller,4
origin,1
mustard,2
malice,1
city,5
fate,1
grief,1
rebel,1
specimen,4
vision,3
myth,1
synagogue,2
nurse,1
accumulation,7
soul,1
peace,1
itch,1
democracy,4
animal,2
desk,3
purpose,1
tennis,3
tune,1
liar,1
coffin,4
mud,2
damage,5
division,5
accident,1
pawn,3
costume,4
weather,2
wave,5
street,4
bolt,3
fight,1
honesty,1
tongue,2
love,1
stupidity,1
spelling,1
psalm,1
line,4
corporation,5
body,3
blade,4
idea,1
pillow,4
theory,3
improvement,6
example,3
band,3
stapler,4
television,4
danger,1
cause,3
butterfly,2
coffee,5
aspect,4
topic,1
exclusion,3
opportunity,6
envy,1
establishment,4
sneeze,1
station,3
mind,1
justice,4
neck,2
rabbit,2
complication,5
christmas,1
dimension,7
wolf,3
core,4
cottage,4
supply,6
real,1
attempt,1
quality,1
suggestion,3
puppy,2
interior,4
anger,1
riddle,1
macaroni,3
pigeon,2
proof,1
introduction,4
starch,1
rainbow,5
imagination,1
water,5
length,7
tallness,7
design,4
crisis,1
murder,1
rhyme,1
necessity,5
moral,1
horse,3
assumption,4
dozen,7
majority,7
brute,1
queen,1
adversity,1
object,3
iron,4
orchestra,5
time,1
opinion,1
distraction,1
mercy,1
father,1
skill,1
coincidence,1
requirement,5
laundry,6
sky,4
friendship,1
number,7
standard,5
mattress,4
infection,1
march,3
sister,1
reason,1
article,5
category,4
amount,7
faith,1
unit,7
income,7
