word,rating
admiration,6
robbery,2
peach,4
property,3
liar,5
figure,4
pie,2
lily,3
marriage,7
banana,1
tongue,5
steam,3
form,3
visitor,6
impossibility,1
situation,4
interaction,7
hog,2
vapor,1
acquisition,3
brawl,6
establishment,3
instructor,5
bird,3
opera,2
logic,2
fate,1
grammar,4
laughter,7
ignition,3
location,2
magnitude,1
soul,5
empty,1
rabbit,2
stimulus,4
rule,3
advice,6
queen,5
girl,7
decision,5
safety,6
hatred,7
confidence,5
boy,7
rent,2
crisis,4
extent,1
orchid,3
stranger,5
lock,2
betrayal,7
photo,2
macaroni,1
majority,3
electricity,1
fat,1
inn,3
road,2
capacity,2
view,4
personality,7
dove,3
brute,5
ambulance,2
pig,2
boundary,6
idea,1
baby,7
weather,1
vocabulary,5
flavor,2
toilet,1
show,3
murder,7
teacher,7
genuine,5
rainbow,2
foundation,1
fifteen,1
pond,1
acre,1
intention,4
skull,1
assistance,6
adversity,4
evidence,2
bag,1
square,1
menu,2
individual,7
punishment,5
reality,1
production,3
witness,4
dimension,1
advantage,3
hierarchy,5
crocodile,1
volume,1
degree,1
damage,5
rhyme,4
idiom,5
bottle,1
fisherman,3
mustard,1
behavior,7
body,6
faith,5
winter,1
purpose,4
determination,5
cloth,1
meeting,7
dagger,6
frustration,6
fog,1
philosophy,1
standard,2
eyeball,1
annoyance,5
democracy,3
cranberry,1
sword,6
loan,2
chicken,1
tide,1
law,3
cup,1
sofa,1
originality,4
weight,1
roof,1
candidate,5
job,3
subtraction,1
robin,1
necklace,1
ballot,3
memory,4
station,2
chair,1
refrigerator,1
result,4
thief,6
pimple,1
skunk,1
reputation,7
accident,2
method,3
parish,1
eight,1
justification,4
animal,5
sole,1
play,4
tendency,3
chipmunk,1
shirt,1
reinforcement,5
corporation,3
pawn,3
volt,1
money,2
cognition,4
talent,5
alligator,1
republic,3
orchestra,5
dad,7
door,1
beverage,1
suit,2
grief,6
misery,6
margin,1
response,5
site,1
ball,1
car,1
mile,1
season,1
disagreement,7
ability,5
tradition,3
speech,6
recital,4
requirement,3
theory,1
opinion,5
sadness,6
security,6
month,1
lake,1
band,7
stick,1
retention,3
revenge,7
atom,1
permission,3
frog,1
sneeze,1
ownership,5
trust,7
reduction,2
cow,1
character,4
accomplishment,2
policeman,3
increase,1
sandal,1
independence,4
window,1
wood,1
duel,6
christmas,3
bridge,5
deduction,2
territory,3
comprehension,4
equality,6
irrigation,1
bolt,2
moment,3
beast,1
bell,1
division,4
information,5
palace,1
crime,3
chlorine,1
river,1
paradigm,2
separation,7
state,3
cake,1
potato,1
lemon,1
mercy,6
suggestion,5
writing,5
bedroom,2
literature,3
heap,1
city,1
duration,3
fight,7
time,2
gun,1
smell,1
appeal,4
clean,3
perception,5
diet,2
stupidity,2
envy,6
owner,4
sky,1
ceremony,5
sow,2
helplessness,3
article,3
necessity,2
key,4
length,1
drug,1
belief,5
lamp,1
gorilla,1
onion,1
intelligence,4
bubble,2
effort,3
produce,2
rocket,1
lunch,1
topic,3
uncertainty,3
twig,1
puppy,1
ring,6
germ,1
file,2
conscience,5
economy,3
past,1
street,1
lettuce,1
translation,6
spirit,4
regret,3
story,5
mattress,1
preparation,2
traveler,4
gesture,6
comparison,3
newspaper,3
mileage,1
object,2
mosquito,1
heart,6
identity,5
nerve,3
consistency,4
sight,3
candy,3
radio,5
stride,3
protection,5
fallacy,2
linen,2
instinct,3
expression,4
raspberry,2
pretense,3
victim,4
father,7
opponent,7
beaver,1
lamb,3
arrangement,4
desk,2
ally,7
danger,5
message,6
preference,4
appointment,6
camera,2
music,5
brevity,3
destiny,3
propeller,1
anxiety,4
wolf,1
microscope,2
lobster,1
significance,5
improvement,6
occasion,3
freedom,5
kitten,1
shrimp,1
water,2
contempt,4
convergence,6
uniform,2
unity,7
hotel,1
peacemaker,7
wish,4
grandmother,7
possibility,3
episode,2
duty,5
horse,1
wave,2
metaphor,6
institute,3
contract,5
photograph,2
deputy,3
eagle,1
boulder,1
hurt,4
description,5
hurricane,1
reflex,2
flask,1
thorn,2
elephant,1
skin,1
doctor,5
specimen,2
professor,3
selection,4
bracelet,2
member,6
size,1
verse,3
core,4
friendship,7
honesty,6
proportion,2
correspondent,5
dozen,1
truck,1
fireplace,2
bank,3
autumn,1
iron,1
guilt,4
self,5
mansion,1
salad,1
nation,3
coupon,2
distribution,4
principle,5
mud,1
coffee,3
scholar,4
boredom,2
amount,2
cocktail,5
knife,3
injury,6
attitude,7
jewel,4
miracle,5
riddle,4
scene,5
puddle,3
mastery,6
skill,6
odor,2
truth,6
edge,4
woman,7
bullet,3
conclusion,5
name,3
abundance,5
entree,4
food,6
ambition,6
charity,7
sugar,2
fantasy,4
integrity,7
diversity,6
stapler,1
magic,5
announcement,5
wisdom,7
calculation,3
butter,2
ditch,2
coincidence,4
prop,3
tragedy,6
latch,2
artist,6
charter,5
diamond,5
drum,3
origin,4
material,3
crown,5
mold,2
mother,7
lizard,1
alphabet,2
apology,7
hat,3
cat,3
paragraph,4
instance,4
border,3
neighborhood,6
outfit,5
tallness,1
fact,4
introduction,5
anger,7
beetle,2
wallet,2
opposition,5
claim,4
complication,6
empire,5
pill,3
second,2
costume,5
relief,5
effect,5
poetry,6
construction,4
measure,3
competence,6
infection,3
emergence,4
handkerchief,2
hazard,4
hospital,3
duck,2
silence,5
darkness,3
master,7
cliff,2
corn,2
resort,4
error,3
grasshopper,2
lip,1
variety,6
incident,5
incentive,4
brain,3
number,2
summer,2
tool,3
supply,3
risk,5
consideration,7
disgust,6
branch,2
blood,7
tension,7
chocolate,3
corpse,1
unit,2
exception,2
guess,4
brother,7
moral,6
circumstance,5
quality,5
accumulation,3
lane,1
nose,1
assumption,5
snake,2
peace,7
ocean,1
blade,4
university,6
psalm,2
moonlight,6
route,3
interruption,5
thing,2
cucumber,3
pest,2
clothing,3
ceiling,1
future,4
shame,6
leopard,1
outcome,5
oven,1
three,2
satisfaction,7
kindness,7
laundry,2
neck,1
value,5
student,3
coffin,1
love,7
design,6
physics,2
group,7
shock,6
clearance,4
factory,5
tennis,6
lisp,1
midnight,2
cause,4
income,3
pyramid,2
volcano,1
tree,1
waste,2
medicine,3
chance,5
conference,7
entrance,5
combination,2
loafer,1
exclusion,6
television,5
jerk,6
example,2
attention,7
promotion,5
itch,1
definition,3
criticism,6
manner,7
caterpillar,1
recognition,7
insight,6
shape,2
obstruction,5
pigeon,1
willingness,6
park,7
curfew,2
boat,1
availability,7
line,3
ignorance,4
landscape,2
butterfly,1
saloon,7
snow,1
myth,3
alley,2
child,6
legality,3
kite,2
sedative,2
occupation,4
tip,3
bet,3
burner,2
missile,3
replacement,5
sister,7
awareness,4
temperature,1
chief,5
poll,4
record,3
industry,5
bandit,3
lesson,4
lightning,1
affection,6
malice,5
cottage,2
grass,1
drama,6
jacket,2
guide,4
deceit,5
item,2
phenomenon,2
despair,5
opportunity,4
distraction,3
uncle,7
typewriter,1
dentist,4
distance,5
context,2
enemy,6
squeak,1
calendar,4
explanation,5
immortality,2
irony,3
assault,5
real,3
zoo,1
pillow,1
presence,4
heresy,5
interior,2
want,3
mystery,5
apple,1
ankle,1
beauty,4
reason,5
holiday,6
underworld,3
disaster,5
adventurer,4
forest,1
regulation,4
specialist,4
shark,3
composer,5
consequence,5
church,6
vision,4
amplitude,1
justice,7
engagement,6
synagogue,6
performance,5
trumpet,2
riot,5
worry,5
sanctuary,4
math,1
imagination,4
mountain,1
issue,5
knowledge,5
fountain,1
circuit,1
mankind,7
debt,6
limitation,2
pile,1
tax,4
inch,1
lion,3
helmet,1
denial,5
scent,1
identification,6
impairment,4
cowardice,5
atrocity,5
starch,1
temple,6
island,1
spider,1
rebel,5
salary,4
march,5
dynasty,6
importance,5
prediction,4
lens,1
hope,5
leadership,7
difference,5
leader,6
tune,3
disappointment,5
proof,2
segment,2
development,5
towel,1
fear,5
tomato,1
category,3
football,5
event,4
pool,2
payment,4
dilemma,5
attempt,3
benefactor,6
suspect,4
hobby,5
art,5
thought,4
youth,2
addition,1
bed,1
gender,5
mind,4
arrow,1
donor,6
shortness,1
escape,2
arc,1
spelling,3
wage,4
responsibility,6
nurse,7
fabric,1
aspect,2
