word,rating
scholar,1
deputy,3
produce,1
woman,1
scent,1
ambulance,3
doctor,3
obstruction,5
three,1
flavor,1
volcano,2
cow,1
ankle,2
clearance,4
nerve,1
helmet,1
chief,3
cake,1
manner,1
pill,1
robbery,2
marriage,1
spirit,1
speech,1
scene,4
math,1
freedom,1
atom,1
kindness,1
cat,1
ballot,2
abundance,1
incentive,1
guess,1
effort,1
pond,3
impairment,1
grass,1
belief,1
door,4
conclusion,3
photograph,1
photo,1
explanation,1
chocolate,1
candy,1
sword,1
presence,4
admiration,1
lobster,1
jerk,1
knife,1
crime,1
betrayal,1
microscope,1
bracelet,1
emergence,2
mansion,3
escape,4
heresy,1
stimulus,1
deduction,2
reduction,2
pig,1
sugar,1
lamb,1
loan,1
frog,1
lane,4
gorilla,1
flask,1
music,1
willingness,1
hurt,1
combination,2
lightning,3
foundation,4
confidence,1
contempt,1
contract,2
skin,1
magic,1
conscience,1
evidence,1
response,1
addition,1
ceiling,4
brawl,1
pimple,1
temple,3
saloon,3
integrity,1
suit,2
industry,1
fountain,3
occasion,2
file,2
comparison,1
border,4
sandal,1
future,1
money,1
accomplishment,1
composer,1
correspondent,3
month,1
pie,1
conference,2
burner,1
fog,1
disappointment,1
forest,1
linen,1
student,1
kitten,1
thorn,1
zoo,4
enemy,1
hurricane,2
route,5
fabric,1
boredom,1
ignorance,1
sow,1
character,1
cranberry,1
cup,1
episode,2
assistance,1
duration,1
squeak,1
paradigm,1
circuit,3
disagreement,1
hazard,1
arc,2
toilet,4
bottle,1
tool,1
snow,1
permission,1
awareness,1
heart,1
poetry,1
importance,1
pool,3
stick,1
beauty,1
subtraction,1
translation,1
pile,2
performance,1
hospital,4
criticism,1
apology,1
park,3
medicine,1
mile,2
inn,4
grandmother,1
circumstance,1
trust,1
engagement,1
location,7
lettuce,1
tradition,1
cloth,1
alphabet,1
diamond,1
moment,1
child,1
arrangement,2
island,4
variety,1
information,1
latch,1
chicken,1
artist,1
beaver,1
refrigerator,1
destiny,1
tip,2
grammar,1
hotel,4
brevity,2
shortness,2
capacity,1
worry,1
owner,1
view,1
denial,1
issue,1
personality,1
boy,1
entrance,4
orchid,1
radio,1
hatred,1
opera,1
steam,2
phenomenon,2
lizard,1
visitor,3
ambition,2
mankind,4
brother,1
crocodile,1
error,1
miracle,2
bell,1
germ,1
property,3
bet,1
hog,1
bed,2
deceit,1
member,2
intention,3
hope,2
specialist,2
attitude,1
poll,1
salary,1
fireplace,2
rocket,5
past,2
misery,1
thought,2
entree,1
want,3
skull,1
margin,2
ceremony,2
extent,4
potato,1
reputation,2
determination,3
increase,2
independence,3
genuine,1
story,2
rule,2
eyeball,1
landscape,6
factory,2
injury,1
dad,1
advantage,2
electricity,1
bedroom,3
gesture,2
bridge,4
fact,2
unity,2
lisp,1
coupon,1
stranger,2
dove,1
material,2
prop,1
event,3
result,2
handkerchief,1
institute,2
announcement,1
assault,1
helplessness,1
robin,1
grasshopper,1
justification,1
thing,2
duel,1
adventurer,4
mosquito,1
revenge,1
elephant,1
segment,3
suspect,1
degree,2
anxiety,1
record,1
reflex,1
dilemma,2
replacement,2
tree,4
clean,1
lock,1
stride,5
wish,3
apple,1
reality,1
self,1
consequence,1
form,2
laughter,1
opponent,1
lily,1
lunch,1
sedative,1
menu,2
benefactor,1
duty,1
drama,1
equality,1
trumpet,3
art,1
alligator,1
lake,6
idiom,1
vocabulary,1
instance,1
cucumber,1
chance,1
nose,1
charter,3
branch,4
interruption,1
logic,1
comprehension,1
boundary,6
camera,1
tomato,1
volt,1
nation,5
volume,2
waste,1
key,1
significance,2
