word,rating
suit,6
performance,2
cognition,1
hat,6
disappointment,1
city,2
independence,1
hotel,3
guilt,1
bubble,7
marriage,1
neighborhood,2
adversity,4
crown,5
fisherman,3
peach,6
lion,4
vapor,3
fantasy,3
advice,2
metaphor,3
blade,7
arc,4
lamp,5
square,4
accident,2
attitude,3
material,6
outcome,4
error,3
puddle,6
comparison,3
regulation,2
cowardice,1
engagement,5
site,4
professor,2
mosquito,3
mold,2
irony,3
contempt,2
purpose,6
knife,7
opportunity,4
curfew,1
despair,2
anxiety,3
cloth,7
truck,5
stride,4
three,1
mind,6
sword,7
spider,3
baby,4
inn,5
bullet,6
trumpet,4
costume,5
leopard,4
diversity,2
river,5
duty,5
math,1
bell,5
ceiling,3
blood,6
landscape,4
photograph,3
consideration,2
chief,3
witness,3
insight,4
fear,3
bird,5
butter,6
equality,3
perception,6
availability,2
weather,5
hierarchy,3
toilet,4
principle,3
propeller,4
future,3
riddle,2
promotion,4
annoyance,3
advantage,4
spelling,1
key,5
typewriter,3
sight,6
occasion,3
gun,5
odor,1
ambulance,5
past,1
lane,2
decision,1
volt,1
band,4
ocean,7
sedative,2
rabbit,3
opposition,1
clean,3
boy,1
riot,1
nerve,2
confidence,1
frustration,1
specialist,1
recognition,4
kitten,5
pawn,3
selection,2
mile,1
genuine,1
beetle,5
job,1
towel,7
issue,1
dynasty,2
sandal,6
establishment,3
dagger,7
neck,5
stapler,5
fight,2
lightning,3
lunch,7
second,1
child,1
exclusion,1
description,1
art,3
suggestion,2
development,2
magnitude,1
institute,3
sow,1
alley,3
time,1
honesty,1
produce,5
arrangement,1
bag,7
intention,2
group,1
body,7
rebel,1
midnight,1
drama,1
distraction,1
bracelet,6
proportion,3
horse,5
crime,1
core,5
personality,1
park,3
disaster,1
cocktail,7
suspect,1
philosophy,1
literature,1
limitation,1
magic,2
conscience,1
teacher,1
destiny,1
murder,1
assistance,2
escape,2
affection,1
ability,1
cake,7
football,5
brain,6
psalm,1
fountain,6
imagination,1
state,1
majority,1
tool,5
incentive,1
stranger,1
interaction,1
enemy,1
stick,6
leader,1
competence,1
bedroom,3
cottage,2
pest,3
subtraction,1
lake,6
jacket,7
volume,1
spirit,2
orchestra,3
improvement,2
darkness,3
chicken,4
mileage,1
steam,7
thought,1
criticism,1
reality,1
segment,3
robin,4
student,1
dozen,1
diet,4
rent,1
charity,1
security,3
helplessness,1
sadness,1
sole,6
apple,4
file,4
proof,1
island,3
reflex,5
intelligence,1
accomplishment,1
lettuce,5
physics,3
vocabulary,1
saloon,2
disagreement,1
revenge,1
protection,3
visitor,1
alphabet,1
brevity,1
synagogue,2
wolf,4
shrimp,5
duration,1
lamb,5
circuit,4
cup,6
conclusion,1
want,1
preference,1
grammar,1
reinforcement,3
idiom,1
forest,2
worry,1
branch,4
orchid,5
oven,6
effect,1
salary,1
atom,3
variety,3
beauty,4
assumption,1
republic,2
object,3
belief,1
combination,3
guide,3
factory,3
real,3
effort,3
chocolate,3
flavor,3
composer,2
cucumber,4
hobby,2
empire,2
topic,2
pool,3
ally,3
mercy,3
scent,6
beaver,3
theory,2
drum,3
opinion,1
border,2
nose,5
safety,4
appeal,2
correspondent,1
number,2
tree,4
traveler,2
television,1
refrigerator,3
disgust,1
crisis,2
cause,2
lobster,4
shark,3
temperature,7
satisfaction,5
ditch,2
shame,1
flask,5
supply,2
menu,2
calculation,1
outfit,4
deputy,1
miracle,1
increase,1
lemon,3
attention,2
month,1
rule,1
snow,5
coupon,2
tension,5
phenomenon,1
truth,3
station,3
diamond,6
property,3
aspect,2
kite,4
construction,3
distribution,2
photo,3
paradigm,1
reduction,2
myth,1
punishment,1
brute,3
industry,2
necessity,1
faith,1
loan,1
income,1
summer,5
bed,4
ignorance,1
bolt,4
helmet,5
ceremony,1
paragraph,1
music,1
reason,2
heap,3
addition,1
adventurer,2
hazard,1
justification,1
rhyme,1
betrayal,1
chipmunk,4
sky,2
hurt,1
animal,3
corn,4
mud,5
candy,3
street,3
desk,3
rocket,5
gender,1
possibility,1
foundation,2
woman,4
entrance,2
attempt,1
idea,1
verse,1
grief,1
entree,3
wave,5
permission,1
fallacy,1
wisdom,1
expression,1
territory,2
abundance,1
infection,3
method,1
charter,2
volcano,5
deceit,1
grass,5
moment,1
ignition,3
thief,3
holiday,1
peace,1
introduction,1
fat,6
economy,1
roof,4
palace,2
scene,2
hurricane,3
camera,2
regret,1
boat,3
identification,1
preparation,1
starch,5
definition,1
evidence,1
distance,3
tennis,3
benefactor,1
nation,1
grandmother,1
resort,2
occupation,1
immortality,1
bridge,4
burner,7
claim,1
friendship,1
announcement,1
payment,1
form,3
mankind,1
soul,1
butterfly,3
boredom,1
youth,1
pillow,7
memory,1
weight,6
injury,7
legality,1
owner,1
uncle,1
member,3
hatred,1
category,1
shock,5
amplitude,2
march,3
frog,3
skill,1
uniform,6
design,1
anger,1
information,1
speech,1
tune,1
boundary,1
silence,1
girl,1
calendar,3
margin,1
temple,2
envy,1
snake,3
jerk,5
clothing,7
shape,7
wallet,6
ballot,4
fog,3
talent,1
underworld,1
originality,1
sneeze,7
peacemaker,1
dilemma,1
convergence,1
heresy,1
retention,1
impossibility,1
route,2
chlorine,3
damage,6
lizard,3
ball,7
drug,5
explanation,1
dove,3
context,1
church,1
trust,1
vision,1
sugar,6
pile,4
law,2
salad,3
skunk,3
danger,5
manner,1
laundry,4
character,3
accumulation,1
identity,3
misery,1
pimple,2
tallness,2
requirement,1
jewel,5
arrow,3
