word,rating
ability,1
abundance,1
accident,1
accomplishment,1
accumulation,1
acquisition,1
acre,1
addition,1
admiration,1
advantage,1
adventurer,1
adversity,1
advice,1
affection,1
alley,1
alligator,2
ally,1
alphabet,1
ambition,1
ambulance,3
amount,1
amplitude,1
anger,1
animal,2
ankle,1
announcement,1
annoyance,1
anxiety,1
apology,1
appeal,1
apple,7
appointment,1
arc,1
arrangement,1
arrow,2
art,1
article,1
artist,1
aspect,1
assault,1
assistance,1
assumption,1
atom,1
atrocity,2
attempt,1
attention,1
attitude,1
autumn,5
availability,1
awareness,1
baby,3
bag,3
ball,1
ballot,1
banana,7
band,2
bandit,1
bank,3
beast,4
beauty,1
beaver,2
bed,3
bedroom,3
beetle,2
behavior,1
belief,1
bell,1
benefactor,1
bet,1
betrayal,1
beverage,7
bird,2
blade,1
blood,6
boat,3
body,4
bolt,1
border,1
boredom,1
bottle,3
boulder,1
boundary,1
boy,1
bracelet,1
brain,1
branch,1
brawl,1
brevity,1
bridge,1
brother,1
brute,1
bubble,1
bullet,1
burner,1
butter,7
butterfly,6
cake,5
calculation,1
calendar,1
camera,1
candidate,1
candy,7
capacity,1
car,1
cat,2
category,1
caterpillar,1
cause,1
ceiling,1
ceremony,1
chair,1
chance,1
character,1
charity,1
charter,1
chicken,7
chief,1
child,2
chipmunk,2
chlorine,7
chocolate,7
christmas,6
church,4
circuit,1
circumstance,1
city,3
claim,1
clean,2
clearance,1
cliff,1
cloth,3
clothing,3
cocktail,7
coffee,7
coffin,5
cognition,1
coincidence,1
combination,1
comparison,1
competence,1
complication,1
composer,1
comprehension,1
conclusion,1
conference,1
confidence,1
conscience,1
consequence,1
consideration,1
consistency,1
construction,3
contempt,1
context,1
contract,1
convergence,1
core,1
corn,7
corporation,1
corpse,5
correspondent,1
costume,3
cottage,3
coupon,1
cow,6
cowardice,1
cranberry,7
crime,1
crisis,1
criticism,1
crocodile,2
crown,1
cucumber,7
cup,3
curfew,1
dad,2
dagger,2
damage,1
danger,1
darkness,1
debt,1
deceit,1
decision,1
deduction,1
definition,1
degree,1
democracy,1
denial,1
dentist,3
deputy,1
description,1
design,1
desk,1
despair,1
destiny,1
determination,1
development,1
diamond,1
diet,5
difference,1
dilemma,1
dimension,2
disagreement,2
disappointment,2
disaster,2
disgust,3
distance,2
distraction,2
distribution,2
ditch,3
diversity,2
division,2
doctor,2
donor,2
door,2
dove,2
dozen,2
drama,2
drug,5
drum,2
duck,3
duel,2
duration,2
duty,2
dynasty,2
eagle,2
economy,2
edge,2
effect,2
effort,2
eight,2
electricity,2
elephant,2
emergence,2
empire,2
empty,2
enemy,2
engagement,2
entrance,2
entree,3
envy,2
episode,2
equality,2
error,2
escape,2
establishment,2
event,2
evidence,2
example,2
exception,2
exclusion,2
explanation,2
expression,2
extent,2
eyeball,2
fabric,4
fact,2
factory,5
faith,2
fallacy,2
fantasy,2
fat,3
fate,2
father,2
fear,2
fifteen,2
fight,2
figure,2
file,2
fireplace,4
fisherman,2
flask,3
flavor,7
fog,4
food,7
football,2
forest,2
form,2
foundation,2
fountain,2
freedom,2
friendship,2
frog,2
frustration,2
future,2
gender,2
genuine,2
germ,3
gesture,2
girl,2
gorilla,2
grammar,2
grandmother,2
grass,6
grasshopper,2
grief,2
group,2
guess,2
guide,2
guilt,2
gun,2
handkerchief,3
hat,2
hatred,2
hazard,2
heap,2
heart,2
helmet,2
helplessness,2
heresy,2
hierarchy,2
hobby,2
hog,2
holiday,2
honesty,2
hope,2
horse,2
hospital,5
hotel,4
hurricane,2
hurt,2
idea,2
identification,2
identity,2
idiom,2
ignition,4
ignorance,2
imagination,2
immortality,2
impairment,2
importance,2
impossibility,2
improvement,2
incentive,2
inch,2
incident,2
income,2
increase,2
independence,2
individual,2
industry,2
infection,3
information,2
injury,2
inn,5
insight,2
instance,2
instinct,2
institute,2
instructor,2
integrity,2
intelligence,2
intention,2
interaction,2
interior,2
interruption,2
introduction,2
iron,4
irony,2
irrigation,2
island,2
issue,2
itch,2
item,2
jacket,3
jerk,2
jewel,2
job,2
justice,2
justification,2
key,2
kindness,2
kite,2
kitten,2
knife,2
knowledge,2
lake,4
lamb,7
lamp,2
landscape,2
lane,2
latch,2
laughter,2
laundry,5
law,2
leader,2
leadership,2
legality,2
lemon,7
length,2
lens,2
leopard,2
lesson,2
lettuce,7
liar,2
lightning,4
lily,6
limitation,2
line,2
linen,3
lion,2
lip,3
lisp,2
literature,1
lizard,2
loafer,1
loan,1
lobster,7
location,1
lock,1
logic,1
love,2
lunch,7
