word,rating
coffin,2
month,3
leader,7
duty,5
incident,4
pill,2
pawn,4
mosquito,2
orchid,2
parish,3
lettuce,2
wallet,4
example,6
payment,5
separation,6
ocean,3
perception,7
key,5
contempt,6
road,4
bell,2
competence,6
hog,3
principle,7
philosophy,7
regret,6
moonlight,4
butter,2
accident,4
bandit,3
guilt,6
specimen,5
flask,2
subtraction,6
zoo,2
nerve,4
adventurer,5
fantasy,7
object,3
contract,6
art,7
personality,7
grandmother,4
behavior,6
helmet,2
midnight,3
helplessness,5
fountain,2
loan,5
permission,6
worry,7
mountain,3
calculation,7
laughter,5
play,4
inn,2
costume,2
heart,6
theory,7
visitor,3
idea,7
announcement,6
income,5
arrow,2
irrigation,4
abundance,5
wage,5
uncertainty,6
horse,2
cat,2
guide,5
distribution,6
drum,2
fate,6
tongue,7
moment,4
opportunity,6
itch,2
difference,5
cause,7
leopard,2
infection,4
territory,5
dimension,6
fog,2
fireplace,2
time,5
teacher,7
occasion,4
occupation,6
core,5
silence,3
vocabulary,7
ankle,2
riot,4
skull,2
bed,2
variety,6
file,2
consideration,7
rainbow,4
measure,5
sugar,2
envy,6
baby,3
linen,2
enemy,3
three,2
mile,2
opinion,7
food,3
impairment,4
beauty,6
performance,6
ambulance,3
punishment,5
starch,2
salary,5
selection,7
significance,7
corpse,2
metaphor,7
cup,2
job,6
response,7
description,7
tradition,6
rule,7
hurricane,4
assumption,7
economy,6
degree,5
appeal,7
lion,2
skunk,2
stranger,3
march,4
proof,7
member,4
eagle,2
suit,5
shape,6
disaster,6
clothing,2
uncle,3
produce,4
unit,5
importance,7
accomplishment,7
empty,3
awareness,7
capacity,6
neck,2
standard,6
ambition,7
propeller,2
cake,2
evidence,7
tennis,4
physics,7
honesty,7
odor,2
landscape,3
lamp,2
circuit,5
injury,2
gorilla,2
master,7
university,6
pigeon,2
hospital,2
shirt,2
bank,5
camera,2
sanctuary,3
pest,2
comparison,7
kindness,7
category,6
recognition,7
obstruction,5
rocket,2
ball,2
circumstance,6
mold,2
writing,7
banana,2
idiom,7
marriage,6
cloth,2
pile,2
comprehension,7
branch,5
edge,2
incentive,6
expression,7
combination,6
jewel,2
rabbit,2
origin,6
requirement,4
mankind,5
microscope,2
view,5
professor,6
typewriter,2
ceiling,2
purpose,7
ditch,4
wave,5
policeman,5
season,4
guess,7
summer,4
margin,5
complication,6
establishment,6
betrayal,7
towel,2
math,7
hat,2
fabric,2
name,4
refrigerator,2
segment,5
conference,6
tendency,7
specialist,7
drama,6
boulder,2
property,5
division,6
site,3
fallacy,7
meeting,6
coupon,2
television,2
mastery,7
identification,7
promotion,6
moral,7
correspondent,6
individual,5
brawl,3
soul,7
retention,5
dagger,2
instance,5
impossibility,7
lightning,4
pig,2
quality,7
corn,2
bullet,2
truth,7
state,6
assault,5
entrance,2
amount,5
friendship,7
macaroni,2
topic,7
border,6
clearance,5
determination,7
route,4
puddle,2
thing,4
arc,5
sky,4
tree,2
student,6
tip,4
presence,5
self,7
autumn,4
love,7
peace,6
episode,5
conscience,7
sight,5
length,6
caterpillar,2
tool,2
body,2
latch,2
cow,2
spirit,7
roof,2
charter,6
reputation,7
lesson,7
fisherman,5
tallness,5
dozen,5
boredom,3
salad,2
magic,6
acre,3
palace,3
