word,rating
truth,1
legality,1
drug,1
stranger,1
band,1
hotel,1
material,1
lesson,2
victim,1
extent,2
burner,1
suggestion,1
dagger,1
site,1
consequence,2
thing,1
degree,2
unity,1
duty,1
combination,2
guess,1
tool,1
incentive,1
anger,1
manner,1
satisfaction,1
supply,1
bag,1
paragraph,3
neighborhood,1
trust,1
philosophy,1
route,3
father,1
wolf,1
vocabulary,1
incident,2
teacher,1
contract,1
factory,1
rabbit,1
reality,1
territory,1
chief,1
salary,1
outcome,3
past,7
assumption,2
institute,1
chicken,1
street,1
willingness,1
reinforcement,1
crocodile,1
diet,1
bet,1
entree,1
fog,1
rule,1
example,2
moment,7
uncle,1
deputy,1
cow,1
result,3
coincidence,2
thorn,1
fat,1
occasion,6
mile,1
advantage,1
rent,1
time,7
spirit,1
corporation,1
helmet,1
composer,1
distance,1
engagement,2
duel,1
gender,1
individual,1
specialist,1
mankind,1
sky,1
gesture,1
cliff,1
line,3
tree,1
promotion,2
donor,1
acquisition,2
leader,1
replacement,2
flask,1
obstruction,1
pest,1
confidence,1
episode,6
show,1
hurricane,1
eight,1
calendar,7
bank,1
meeting,4
necklace,1
opposition,1
miracle,1
peach,1
christmas,6
vision,1
tension,1
odor,1
inch,1
perception,1
appointment,5
cocktail,1
blade,1
truck,1
peacemaker,1
marriage,6
chair,1
cranberry,1
payment,1
belief,1
microscope,1
significance,1
speech,1
cause,2
loan,1
entrance,3
lock,1
tennis,1
bed,1
retention,2
skunk,1
silence,1
coffee,1
scholar,1
holiday,6
paradigm,1
river,1
limitation,1
volt,1
description,1
bird,1
diversity,1
salad,1
trumpet,1
child,1
march,3
stride,3
apology,1
boulder,1
fallacy,1
shortness,7
knowledge,1
kite,1
diamond,1
starch,1
hat,1
pimple,1
advice,1
costume,1
mileage,1
exception,1
mud,1
skin,1
brevity,7
blood,1
record,3
puppy,1
heap,1
lobster,1
robbery,1
spelling,1
stapler,1
fabric,1
vapor,1
poll,1
road,1
handkerchief,1
stick,1
hospital,1
job,2
grammar,1
radio,1
irrigation,1
genuine,1
location,1
personality,1
waste,1
darkness,1
island,1
guilt,1
pie,1
difference,1
mastery,1
bullet,1
insight,1
metaphor,3
lunch,4
faith,2
midnight,7
typewriter,2
bolt,3
wood,1
disappointment,1
ignition,4
quality,2
conclusion,5
ballot,4
bracelet,1
propeller,3
hierarchy,6
escape,2
definition,2
grasshopper,1
identity,1
skull,1
preference,3
temple,2
nose,1
interruption,5
item,4
mold,3
disagreement,1
zoo,2
cucumber,1
mother,1
crime,3
electricity,2
friendship,1
sight,1
sister,1
value,2
atrocity,1
ignorance,1
establishment,4
sow,3
charity,2
shame,1
woman,1
tradition,5
arc,4
refrigerator,5
sedative,2
safety,3
murder,1
fantasy,1
mustard,1
grandmother,1
liar,1
coupon,4
nation,2
animal,1
knife,1
reason,2
intention,3
honesty,1
uniform,1
protection,2
pool,3
addition,4
story,5
awareness,2
adventurer,1
fireplace,1
state,3
frog,1
performance,4
squeak,1
mansion,1
station,5
emergence,6
edge,3
division,4
issue,2
betrayal,1
linen,1
potato,1
grass,1
roof,1
kitten,1
punishment,1
bottle,1
sandal,1
number,5
irony,2
riddle,3
pretense,2
consideration,2
category,4
lisp,1
chance,2
queen,1
origin,6
brute,1
calculation,3
jerk,4
adversity,2
logic,2
majority,3
claim,1
selection,5
flavor,1
measure,4
ceiling,1
oven,5
apple,1
independence,2
affection,1
hurt,1
loafer,1
underworld,1
improvement,4
tip,3
method,5
view,2
name,1
translation,3
member,2
lake,1
macaroni,1
corpse,1
intelligence,2
alley,1
rainbow,1
love,1
beetle,1
ally,1
leopard,1
injury,1
uncertainty,2
justification,3
tendency,2
attitude,2
context,3
lemon,1
twig,1
aspect,2
door,1
menu,5
impairment,1
pond,1
water,1
capacity,3
self,2
figure,1
snow,1
moral,2
duck,1
cake,1
dentist,1
riot,1
risk,2
clothing,1
attempt,4
destiny,3
margin,2
brain,1
design,5
rhyme,2
exclusion,3
brawl,1
youth,3
prop,1
situation,3
peace,2
resort,3
explanation,3
effect,4
presence,2
gun,1
effort,2
disaster,1
park,1
horse,1
television,3
imagination,2
thought,2
sole,1
candy,1
unit,3
heart,1
damage,1
real,2
complication,2
comparison,3
germ,1
poetry,2
car,1
hope,1
tomato,1
writing,2
fight,1
arrangement,6
jewel,1
ditch,2
theory,3
debt,2
tide,5
stupidity,1
criticism,1
city,1
recital,4
mind,2
eyeball,1
lettuce,1
opportunity,3
corn,1
football,3
worry,1
beauty,1
phenomenon,4
talent,2
property,1
interior,2
revenge,1
convergence,5
appeal,2
impossibility,1
bandit,1
sugar,1
possibility,3
boundary,2
literature,1
landscape,1
announcement,4
shock,1
elephant,1
identification,3
kindness,1
permission,1
bridge,2
circumstance,3
clearance,2
steam,1
cognition,2
nerve,1
moonlight,4
mountain,1
skill,1
comprehension,2
robin,1
lizard,1
hazard,1
distraction,1
missile,1
food,1
instructor,2
professor,2
mosquito,1
attention,3
clean,1
physics,2
winter,6
master,1
information,1
misery,1
scent,1
second,7
medicine,1
construction,4
dozen,3
alligator,1
decision,3
snake,1
cup,1
owner,1
forest,1
mystery,1
regulation,3
dimension,4
circuit,2
responsibility,1
duration,7
play,5
volume,3
visitor,1
fate,4
suspect,1
competence,1
gorilla,1
magic,1
itch,1
prediction,2
contempt,1
leadership,3
reduction,2
importance,2
annoyance,1
parish,1
hog,1
curfew,1
group,1
baby,1
fear,1
lens,1
idea,1
suit,1
pile,1
accumulation,2
dynasty,1
camera,1
interaction,3
empty,1
stimulus,1
production,2
butter,1
object,1
integrity,1
drum,1
core,1
lily,1
latch,1
conference,4
shirt,1
ankle,1
girl,1
candidate,1
sneeze,1
autumn,6
season,6
sadness,1
variety,1
eagle,1
event,5
originality,1
photograph,3
fisherman,1
laundry,2
law,1
arrow,1
frustration,1
boredom,1
photo,3
grief,1
palace,1
heresy,1
industry,2
increase,4
weather,5
correspondent,1
chipmunk,1
danger,1
wallet,1
neck,1
wage,3
opinion,1
ability,1
chlorine,1
hatred,1
lion,1
accident,4
body,1
crown,1
wish,1
thief,1
orchid,1
fact,1
dilemma,1
length,5
wave,6
sofa,1
boy,1
tragedy,4
caterpillar,1
sword,1
alphabet,1
ceremony,5
lightning,4
assistance,1
disgust,1
pillow,1
ring,1
traveler,1
recognition,3
myth,1
foundation,2
economy,1
justice,1
freedom,1
beast,1
music,5
verse,4
regret,1
branch,2
border,1
standard,3
wisdom,1
drama,5
atom,1
synagogue,1
jacket,1
shark,1
relief,2
topic,1
instance,4
lamb,1
separation,3
conscience,1
student,2
specimen,3
art,2
banana,1
beaver,2
doctor,2
summer,7
distribution,5
artist,2
cowardice,1
determination,2
crisis,4
tallness,1
lamp,1
file,3
form,4
behavior,3
shape,2
evidence,3
ball,1
republic,3
opera,5
soul,1
amplitude,2
ambition,1
fountain,3
ambulance,4
admiration,1
weight,2
bell,5
window,1
principle,3
coffin,1
equality,2
raspberry,1
want,1
pig,1
hobby,3
policeman,2
assault,4
acre,1
tune,5
square,2
reputation,1
income,4
key,3
beverage,1
future,7
amount,2
toilet,1
fifteen,3
consistency,4
lane,3
towel,1
pigeon,1
occupation,2
ownership,1
magnitude,3
democracy,3
onion,1
opponent,2
purpose,4
development,6
benefactor,3
envy,1
laughter,4
church,1
newspaper,5
empire,3
math,2
cottage,1
brother,1
charter,4
necessity,1
expression,3
pawn,2
helplessness,1
produce,4
abundance,2
immortality,6
pill,3
tax,4
size,2
security,1
article,4
deceit,3
deduction,5
rebel,2
scene,4
mattress,1
memory,5
message,4
volcano,5
malice,1
saloon,1
accomplishment,6
spider,1
desk,1
inn,1
tongue,1
response,4
instinct,2
cat,1
sanctuary,1
money,3
character,1
dove,1
bedroom,1
segment,4
iron,1
bubble,1
boat,1
lip,1
denial,3
idiom,2
outfit,1
availability,5
three,3
pyramid,2
mercy,1
despair,1
nurse,2
infection,4
preparation,6
chocolate,1
month,7
reflex,3
error,1
proof,4
rocket,1
enemy,1
cloth,1
orchestra,5
witness,4
ocean,1
dad,1
psalm,3
puddle,1
proportion,2
requirement,3
butterfly,1
introduction,4
smell,1
anxiety,1
subtraction,3
temperature,2
shrimp,1
university,3
guide,2
