word,rating
coffin,6
month,2
leader,1
duty,1
incident,2
pill,6
pawn,5
mosquito,7
orchid,7
parish,3
lettuce,7
wallet,7
example,2
payment,1
separation,1
ocean,6
perception,1
key,7
contempt,1
road,7
bell,7
competence,1
hog,7
principle,1
philosophy,1
regret,1
moonlight,6
butter,7
accident,1
bandit,3
guilt,1
specimen,6
flask,7
subtraction,1
zoo,5
nerve,6
adventurer,3
fantasy,1
object,7
contract,6
art,5
personality,1
grandmother,2
behavior,1
helmet,7
midnight,4
helplessness,1
fountain,7
loan,1
permission,1
worry,1
mountain,7
calculation,1
laughter,2
play,3
inn,5
costume,6
heart,4
theory,1
visitor,2
idea,1
announcement,1
income,1
arrow,3
irrigation,1
abundance,1
wage,1
uncertainty,1
horse,7
cat,7
guide,2
distribution,1
drum,6
fate,3
tongue,4
moment,5
opportunity,3
itch,2
difference,3
cause,2
leopard,7
infection,1
territory,1
dimension,1
fog,4
fireplace,6
time,1
teacher,2
occasion,3
occupation,1
core,5
silence,1
vocabulary,4
ankle,7
riot,2
skull,7
bed,6
variety,3
file,5
consideration,1
rainbow,7
measure,1
sugar,7
envy,1
baby,2
linen,6
enemy,2
three,1
mile,1
opinion,1
food,7
impairment,3
beauty,1
performance,2
ambulance,7
punishment,1
starch,7
salary,1
selection,3
significance,1
corpse,7
metaphor,1
cup,7
job,3
response,1
description,1
tradition,1
rule,1
hurricane,7
assumption,1
economy,1
degree,1
appeal,1
lion,7
skunk,7
stranger,2
march,3
proof,1
member,5
eagle,7
suit,6
shape,7
disaster,3
clothing,7
uncle,2
produce,7
unit,1
importance,1
accomplishment,3
empty,1
awareness,1
capacity,1
neck,7
standard,1
ambition,1
propeller,7
cake,7
evidence,6
tennis,3
physics,1
honesty,1
odor,1
landscape,7
lamp,7
circuit,2
injury,6
gorilla,7
master,3
university,5
pigeon,7
hospital,7
shirt,7
bank,7
camera,7
sanctuary,5
pest,7
comparison,1
kindness,1
category,1
recognition,1
obstruction,6
rocket,7
ball,7
circumstance,1
mold,3
writing,6
banana,7
idiom,2
marriage,2
cloth,7
pile,6
comprehension,1
branch,6
edge,6
incentive,1
expression,4
combination,1
jewel,7
rabbit,7
origin,1
requirement,2
mankind,3
microscope,7
view,7
professor,3
typewriter,6
ceiling,6
purpose,2
ditch,4
wave,6
policeman,3
season,4
guess,1
summer,4
margin,2
complication,2
establishment,3
betrayal,2
towel,6
math,1
hat,7
fabric,7
name,2
refrigerator,6
segment,4
conference,3
tendency,2
specialist,3
drama,2
boulder,6
property,2
division,3
site,5
fallacy,1
meeting,3
coupon,4
television,6
mastery,2
identification,3
promotion,3
moral,1
correspondent,3
individual,3
brawl,4
soul,2
retention,2
dagger,7
instance,1
impossibility,1
lightning,6
pig,5
quality,2
corn,6
bullet,7
truth,1
state,3
assault,4
entrance,5
amount,2
friendship,2
macaroni,6
topic,1
border,4
clearance,2
determination,2
route,5
puddle,6
thing,3
arc,7
sky,7
tree,7
student,3
tip,4
presence,2
self,1
autumn,4
love,2
peace,2
episode,3
conscience,1
sight,7
length,2
caterpillar,6
tool,5
body,7
latch,5
cow,6
spirit,1
roof,6
charter,2
reputation,2
lesson,5
fisherman,3
tallness,3
dozen,1
boredom,1
salad,5
magic,1
acre,4
palace,7
ring,5
stride,3
money,6
butterfly,5
equality,2
anger,2
pretense,2
justice,1
unity,2
engagement,3
industry,3
sister,3
calendar,5
attempt,3
mystery,1
criticism,2
phenomenon,3
beast,6
river,7
alley,5
chance,1
atrocity,2
laundry,5
uniform,6
translation,2
entree,6
riddle,1
father,3
outfit,5
blood,4
danger,2
fifteen,1
beverage,6
heap,5
liar,3
mind,1
pond,6
shortness,2
tune,3
boundary,4
thorn,5
mileage,2
vapor,1
toilet,6
sneeze,3
synagogue,7
rhyme,1
gesture,4
island,6
leadership,2
disgust,2
democracy,1
shrimp,6
woman,3
sword,7
majority,2
shock,4
ability,2
lane,5
responsibility,1
alligator,6
supply,5
child,3
crown,6
anxiety,2
intelligence,1
kitten,7
holiday,4
waste,5
mud,6
factory,7
opposition,2
winter,4
grammar,1
peacemaker,3
hatred,2
reduction,2
stupidity,1
belief,1
missile,6
instructor,3
assistance,2
jacket,5
park,6
genuine,1
law,2
republic,1
denial,2
puppy,7
story,3
consistency,2
acquisition,2
stapler,6
event,3
duel,4
claim,2
reality,1
hierarchy,2
victim,3
mustard,6
ceremony,3
character,4
skin,7
poll,5
nation,5
drug,6
spider,7
lily,7
bet,3
owner,4
manner,3
amplitude,4
cowardice,2
nose,7
darkness,5
ignition,6
inch,3
scholar,4
fat,6
empire,5
brother,4
beetle,7
reason,3
charity,3
bolt,6
definition,3
crime,4
flavor,2
pie,7
speech,3
lamb,7
miracle,3
decision,3
line,6
bird,7
opera,5
grief,2
bridge,7
despair,2
handkerchief,6
lobster,7
mother,4
limitation,3
traveler,4
underworld,3
disappointment,2
iron,7
fact,3
development,4
photograph,7
artist,4
explanation,3
freedom,3
preparation,3
raspberry,7
gender,3
want,2
lisp,2
loafer,6
intention,3
twig,7
photo,7
effort,3
tomato,7
record,5
bubble,7
future,3
instinct,2
necklace,7
hope,2
attitude,3
pimple,6
possibility,3
lock,7
music,2
window,7
sow,5
ignorance,3
regulation,4
knowledge,3
shame,2
apple,7
car,7
shark,7
lemon,7
steam,5
number,3
hotel,7
proportion,4
duration,3
diversity,3
safety,4
benefactor,4
band,5
dynasty,3
show,6
football,7
germ,4
reflex,2
brevity,3
heresy,3
weather,5
coffee,7
result,3
lens,7
atom,4
skill,3
method,4
desk,7
cottage,7
rebel,4
apology,3
witness,4
verse,5
boat,7
myth,3
wisdom,3
smell,2
jerk,4
eight,3
cranberry,7
medicine,6
diamond,7
corporation,3
emergence,3
church,5
disagreement,3
pool,5
snake,7
conclusion,3
robin,7
interruption,3
volume,3
introduction,3
dove,7
risk,3
affection,2
alphabet,7
construction,5
irony,3
duck,7
cliff,7
resort,7
hazard,3
murder,2
neighborhood,5
foundation,4
frog,7
recital,6
design,5
onion,7
beaver,7
newspaper,7
fight,2
independence,3
diet,4
protection,3
elephant,7
cognition,2
convergence,3
insight,3
error,3
deputy,4
volt,3
chipmunk,7
effect,3
context,3
stick,7
interior,6
burner,7
bag,7
opponent,4
tragedy,3
production,5
revenge,3
sedative,6
thief,4
potato,7
memory,2
animal,6
damage,3
boy,4
truck,7
reinforcement,3
literature,3
wish,2
material,5
donor,4
eyeball,7
originality,3
robbery,2
bottle,7
lunch,7
cucumber,7
queen,4
necessity,3
extent,3
group,3
immortality,3
street,7
distance,3
temperature,1
snow,6
doctor,2
chief,2
real,1
knife,7
electricity,1
size,4
appointment,1
interaction,1
aspect,3
trust,1
sandal,6
identity,2
logic,1
coincidence,1
attention,1
stimulus,3
malice,1
past,1
bedroom,6
talent,1
distraction,3
peach,7
addition,1
door,6
station,5
ally,2
scene,6
hurt,1
relief,4
saloon,5
water,7
consequence,1
frustration,1
ownership,1
grass,6
value,2
availability,1
temple,5
lip,6
message,1
confidence,1
paragraph,4
christmas,3
suggestion,1
dad,2
crisis,1
location,3
girl,2
chicken,6
hobby,1
dentist,2
preference,1
oven,6
prediction,1
second,1
brute,3
forest,7
wood,5
misery,1
radio,4
volcano,6
candidate,2
item,3
arrangement,2
escape,3
lizard,6
magnitude,4
wolf,7
satisfaction,1
thought,1
kite,7
imagination,1
paradigm,1
form,7
outcome,1
square,7
chair,6
ballot,5
orchestra,1
composer,2
menu,5
clean,4
