word,rating
coffin,3
month,4
leader,5
duty,4
incident,3
pill,2
pawn,3
mosquito,3
orchid,4
parish,3
lettuce,2
wallet,3
example,4
payment,3
separation,3
ocean,5
perception,4
key,4
contempt,3
road,4
bell,6
competence,4
hog,2
principle,4
philosophy,4
regret,3
moonlight,5
butter,3
accident,3
bandit,3
guilt,3
specimen,3
flask,2
subtraction,3
zoo,3
nerve,3
adventurer,4
fantasy,5
object,4
contract,3
art,5
personality,4
grandmother,3
behavior,4
helmet,2
midnight,5
helplessness,3
fountain,4
loan,3
permission,3
worry,3
mountain,4
calculation,3
laughter,6
play,5
inn,3
costume,3
heart,4
theory,4
visitor,3
idea,4
announcement,3
income,3
arrow,3
irrigation,3
abundance,4
wage,3
uncertainty,3
horse,3
cat,2
guide,4
distribution,3
drum,6
fate,4
tongue,4
moment,4
opportunity,4
itch,2
difference,3
cause,4
leopard,3
infection,3
territory,3
dimension,4
fog,3
fireplace,4
time,5
teacher,4
occasion,3
occupation,3
core,3
silence,5
vocabulary,4
ankle,2
riot,3
skull,2
bed,2
variety,4
file,3
consideration,3
rainbow,5
measure,3
sugar,3
envy,3
baby,3
linen,2
enemy,3
three,3
mile,3
opinion,4
food,3
impairment,2
beauty,5
performance,4
ambulance,2
punishment,3
starch,2
salary,3
selection,4
significance,4
corpse,2
metaphor,4
cup,3
job,3
response,3
description,3
tradition,4
rule,4
hurricane,4
assumption,4
economy,3
degree,3
appeal,4
lion,3
skunk,2
stranger,3
march,4
proof,3
member,3
eagle,3
suit,3
shape,3
disaster,3
clothing,3
uncle,3
produce,3
unit,3
importance,4
accomplishment,4
empty,3
awareness,4
capacity,4
neck,3
standard,3
ambition,4
propeller,2
cake,3
evidence,3
tennis,5
physics,4
honesty,4
odor,2
landscape,4
lamp,3
circuit,2
injury,3
gorilla,2
master,4
university,4
pigeon,2
hospital,3
shirt,3
bank,3
camera,3
sanctuary,3
pest,2
comparison,4
kindness,4
category,3
recognition,4
obstruction,2
rocket,3
ball,5
circumstance,3
mold,2
writing,4
banana,3
idiom,4
marriage,4
cloth,3
pile,2
comprehension,4
branch,3
edge,3
incentive,4
expression,4
combination,4
jewel,4
rabbit,2
origin,4
requirement,4
mankind,4
microscope,2
view,4
professor,4
typewriter,3
ceiling,2
purpose,4
ditch,2
wave,5
policeman,3
season,4
guess,3
summer,4
margin,3
complication,3
establishment,3
betrayal,3
towel,2
math,4
hat,3
fabric,3
name,4
refrigerator,2
segment,3
conference,4
tendency,4
specialist,4
drama,4
boulder,3
property,3
division,3
site,3
fallacy,3
meeting,3
coupon,2
television,4
mastery,4
identification,4
promotion,4
moral,4
correspondent,3
individual,4
brawl,3
soul,4
retention,3
dagger,2
instance,3
impossibility,3
lightning,5
pig,2
quality,4
corn,3
bullet,2
truth,4
state,4
assault,3
entrance,3
amount,3
friendship,4
macaroni,3
topic,3
border,3
clearance,3
determination,2
route,3
puddle,3
thing,3
arc,3
sky,4
tree,4
student,3
tip,3
presence,3
self,4
autumn,4
love,4
peace,4
episode,3
conscience,4
sight,4
length,2
caterpillar,3
tool,3
body,2
latch,2
cow,2
spirit,4
roof,3
charter,3
reputation,3
lesson,3
fisherman,2
tallness,3
dozen,3
boredom,3
salad,3
magic,3
acre,3
palace,3
