word,rating
candidate,3.0
irrigation,2.0
democracy,4.0
snow,3.0
announcement,3.0
neighborhood,3.0
music,6.0
crown,4.0
identity,5.0
midnight,4.0
hurt,6.0
adventurer,5.0
comparison,3.0
arrow,3.0
method,3.0
segment,3.0
disappointment,6.0
specialist,3.0
majority,4.0
lily,4.0
rainbow,5.0
iron,3.0
relief,5.0
bolt,3.0
riot,4.0
stride,3.0
hope,6.0
shortness,4.0
ally,4.0
economy,3.0
ditch,3.0
stimulus,3.0
justification,3.0
pie,4.0
clearance,3.0
sight,4.0
ambulance,3.0
blood,5.0
pile,3.0
limitation,3.0
abundance,5.0
outcome,4.0
regulation,3.0
cake,4.0
macaroni,3.0
twig,3.0
cognition,3.0
beast,4.0
grammar,3.0
duty,4.0
standard,3.0
talent,4.0
roof,2.0
lens,2.0
student,4.0
worry,6.0
instinct,5.0
guess,3.0
second,3.0
nation,4.0
uniform,3.0
cranberry,3.0
route,3.0
ignition,2.0
occupation,4.0
separation,5.0
linen,2.0
view,3.0
speech,4.0
obstruction,3.0
soul,5.0
grandmother,4.0
dove,4.0
sofa,2.0
regret,6.0
suit,3.0
frustration,6.0
disaster,5.0
skin,3.0
football,3.0
appeal,4.0
integrity,5.0
adversity,5.0
memory,4.0
skull,2.0
station,3.0
fate,5.0
consequence,4.0
attempt,4.0
raspberry,3.0
university,4.0
cloth,2.0
cup,2.0
context,3.0
poetry,4.0
candy,3.0
mileage,2.0
liar,3.0
trust,5.0
oven,2.0
key,3.0
traveler,4.0
mustard,2.0
admiration,6.0
sadness,6.0
accumulation,3.0
conscience,5.0
rabbit,3.0
fireplace,4.0
bridge,3.0
measure,3.0
costume,3.0
intention,5.0
menu,2.0
deduction,3.0
window,3.0
loafer,2.0
butter,2.0
convergence,3.0
fight,5.0
winter,4.0
verse,4.0
advice,4.0
form,3.0
immortality,5.0
engagement,5.0
mind,5.0
trumpet,3.0
margin,3.0
puddle,2.0
amplitude,3.0
orchid,3.0
scene,3.0
reflex,3.0
interior,3.0
empire,4.0
insight,5.0
aspect,3.0
denial,4.0
grasshopper,2.0
stapler,2.0
tallness,3.0
cause,4.0
article,3.0
opposition,4.0
introduction,3.0
retention,3.0
pretense,3.0
capacity,4.0
pigeon,3.0
silence,4.0
boy,5.0
mastery,5.0
definition,3.0
grief,7.0
replacement,4.0
quality,4.0
skill,5.0
affection,6.0
thorn,5.0
reality,4.0
banana,2.0
leader,5.0
danger,6.0
self,6.0
edge,5.0
lunch,3.0
laughter,6.0
myth,4.0
pawn,5.0
reputation,5.0
dozen,2.0
dagger,5.0
donor,5.0
duel,5.0
arc,4.0
temple,4.0
shame,6.0
victim,6.0
deceit,6.0
dad,6.0
paradigm,3.0
proof,3.0
charity,5.0
vocabulary,3.0
brother,6.0
pillow,3.0
propeller,2.0
significance,4.0
rule,4.0
friendship,6.0
weight,4.0
suspect,5.0
marriage,5.0
episode,3.0
determination,6.0
photo,3.0
landscape,3.0
shape,3.0
rhyme,4.0
situation,4.0
love,7.0
synagogue,3.0
moral,5.0
object,3.0
opinion,4.0
miracle,5.0
beaver,2.0
march,3.0
fat,2.0
income,3.0
requirement,3.0
sanctuary,4.0
lobster,2.0
palace,3.0
bank,3.0
pig,2.0
moonlight,4.0
coffee,3.0
core,3.0
competence,3.0
wood,2.0
salary,3.0
cow,2.0
protection,4.0
woman,5.0
brain,4.0
television,2.0
justice,5.0
brawl,3.0
unity,5.0
nose,2.0
wave,3.0
mankind,5.0
interruption,3.0
bottle,2.0
spelling,2.0
lizard,2.0
foundation,4.0
hurricane,3.0
professor,3.0
institute,3.0
sugar,2.0
helplessness,6.0
purpose,4.0
lane,2.0
territory,3.0
contract,3.0
coffin,2.0
bird,2.0
physics,2.0
proportion,3.0
line,4.0
salad,3.0
consistency,3.0
development,5.0
holiday,5.0
exclusion,4.0
event,4.0
jewel,4.0
promotion,4.0
acre,2.0
pest,2.0
availability,3.0
gender,4.0
fantasy,5.0
shock,6.0
performance,5.0
phenomenon,4.0
uncertainty,5.0
weather,3.0
reinforcement,4.0
time,5.0
necessity,4.0
towel,2.0
saloon,3.0
permission,3.0
category,3.0
bandit,4.0
doctor,5.0
diet,3.0
tide,3.0
heresy,3.0
length,3.0
policeman,4.0
magic,5.0
apple,3.0
unit,3.0
queen,4.0
mystery,5.0
emergence,4.0
republic,3.0
contempt,4.0
law,3.0
baby,6.0
starch,2.0
radio,3.0
kitten,6.0
description,3.0
eagle,4.0
preference,5.0
theory,4.0
variety,4.0
group,3.0
alley,3.0
burner,2.0
material,2.0
darkness,5.0
mile,3.0
toilet,2.0
medicine,4.0
security,5.0
lemon,3.0
bed,3.0
distance,3.0
file,2.0
kite,3.0
fear,7.0
suggestion,4.0
robin,3.0
ocean,4.0
cat,3.0
germ,4.0
art,5.0
eight,3.0
individual,4.0
nurse,5.0
correspondent,3.0
claim,4.0
butterfly,4.0
duck,3.0
lamb,3.0
horse,3.0
mansion,3.0
real,4.0
missile,2.0
effect,4.0
truth,5.0
incentive,4.0
border,3.0
diamond,4.0
beauty,6.0
guide,4.0
drum,3.0
logic,4.0
assumption,3.0
infection,5.0
lock,3.0
explanation,4.0
thing,3.0
benefactor,5.0
bag,3.0
reason,4.0
fog,3.0
establishment,3.0
gesture,5.0
vapor,3.0
increase,4.0
mercy,6.0
tendency,4.0
destiny,5.0
figure,4.0
pyramid,3.0
translation,3.0
autumn,4.0
entrance,3.0
atrocity,6.0
lamp,3.0
squeak,3.0
risk,4.0
occasion,4.0
road,3.0
ignorance,3.0
difference,4.0
mosquito,2.0
street,3.0
boredom,5.0
peace,6.0
grass,3.0
location,3.0
knife,4.0
calculation,3.0
opportunity,4.0
season,4.0
wolf,4.0
neck,3.0
extent,3.0
typewriter,3.0
shark,4.0
reduction,3.0
branch,3.0
empty,4.0
heart,6.0
chicken,3.0
malice,5.0
zoo,3.0
beetle,2.0
band,3.0
lisp,3.0
interaction,4.0
owner,4.0
cowardice,6.0
corporation,3.0
incident,4.0
parish,5.0
site,3.0
identification,3.0
bracelet,4.0
mud,3.0
christmas,6.0
evidence,3.0
produce,4.0
park,4.0
anxiety,6.0
cucumber,3.0
coupon,3.0
dentist,4.0
lettuce,3.0
prop,3.0
guilt,6.0
leopard,3.0
imagination,5.0
ankle,3.0
conference,4.0
impairment,4.0
lip,3.0
tension,5.0
father,5.0
pill,3.0
duration,3.0
teacher,5.0
faith,5.0
handkerchief,3.0
microscope,3.0
eyeball,3.0
construction,3.0
camera,3.0
want,5.0
boat,3.0
animal,3.0
future,4.0
alphabet,3.0
onion,3.0
ambition,5.0
degree,4.0
sword,4.0
church,5.0
exception,3.0
supply,3.0
accident,4.0
wage,3.0
calendar,3.0
laundry,2.0
industry,3.0
manner,4.0
hazard,3.0
peach,2.0
philosophy,4.0
behavior,5.0
misery,6.0
response,4.0
fallacy,3.0
specimen,3.0
state,4.0
thought,5.0
belief,5.0
ballot,3.0
opponent,3.0
show,3.0
independence,4.0
temperature,3.0
blade,2.0
satisfaction,5.0
corn,2.0
alligator,2.0
literature,4.0
metaphor,4.0
youth,4.0
bullet,3.0
charter,3.0
car,3.0
mold,2.0
principle,4.0
circumstance,3.0
property,3.0
wish,4.0
conclusion,3.0
cocktail,3.0
division,3.0
mountain,3.0
volcano,3.0
item,3.0
stupidity,3.0
steam,2.0
anger,6.0
writing,3.0
leadership,4.0
rent,2.0
stranger,3.0
magnitude,3.0
hospital,4.0
river,3.0
photograph,4.0
opera,5.0
name,4.0
flask,2.0
appointment,4.0
rocket,3.0
escape,5.0
distraction,3.0
city,3.0
meeting,4.0
latch,2.0
nerve,4.0
robbery,5.0
instance,3.0
lesson,4.0
paragraph,3.0
vision,4.0
frog,2.0
sole,3.0
jacket,3.0
tradition,4.0
past,4.0
sister,5.0
payment,3.0
gun,4.0
size,2.0
curfew,3.0
food,3.0
tragedy,6.0
legality,2.0
hotel,3.0
mother,6.0
outfit,3.0
diversity,4.0
example,4.0
girl,5.0
issue,4.0
despair,6.0
three,2.0
job,3.0
waste,3.0
prediction,3.0
tree,3.0
selection,3.0
responsibility,4.0
skunk,2.0
psalm,4.0
presence,5.0
resort,3.0
month,2.0
effort,4.0
knowledge,3.0
tip,3.0
lake,2.0
ring,4.0
possibility,3.0
comprehension,3.0
injury,4.0
attention,4.0
door,2.0
confidence,5.0
refrigerator,2.0
value,3.0
math,2.0
chocolate,3.0
chair,2.0
clean,3.0
apology,4.0
acquisition,3.0
scent,3.0
irony,4.0
expression,5.0
enemy,4.0
mattress,2.0
necklace,3.0
potato,2.0
truck,2.0
factory,2.0
jerk,3.0
tune,3.0
island,2.0
combination,3.0
underworld,3.0
idiom,3.0
lightning,2.0
drama,4.0
bubble,3.0
honesty,5.0
sandal,2.0
murder,4.0
drug,3.0
ownership,3.0
willingness,4.0
body,3.0
visitor,2.0
boulder,2.0
preparation,3.0
cliff,2.0
production,3.0
sneeze,4.0
origin,4.0
message,5.0
itch,3.0
topic,3.0
wallet,3.0
cottage,4.0
lion,4.0
advantage,4.0
water,3.0
awareness,5.0
pimple,3.0
dimension,3.0
sow,3.0
sedative,4.0
character,5.0
kindness,6.0
deputy,3.0
rebel,4.0
beverage,3.0
revenge,5.0
odor,4.0
poll,3.0
hat,3.0
chipmunk,4.0
ceremony,4.0
summer,4.0
spider,3.0
decision,4.0
composer,4.0
safety,4.0
volume,3.0
scholar,4.0
consideration,4.0
crisis,5.0
hierarchy,3.0
impossibility,3.0
personality,5.0
fact,3.0
assault,4.0
assistance,4.0
brevity,3.0
puppy,5.0
accomplishment,5.0
boundary,3.0
betrayal,5.0
smell,4.0
result,3.0
chief,4.0
story,5.0
amount,3.0
coincidence,4.0
forest,3.0
attitude,5.0
shirt,3.0
damage,4.0
tongue,4.0
genuine,5.0
clothing,3.0
moment,4.0
corpse,2.0
volt,3.0
inch,3.0
child,5.0
bell,4.0
fountain,4.0
loan,3.0
chance,4.0
tomato,3.0
gorilla,3.0
chlorine,3.0
improvement,5.0
ability,4.0
electricity,3.0
information,4.0
bet,4.0
arrangement,4.0
tool,3.0
number,3.0
addition,4.0
tennis,3.0
freedom,5.0
design,4.0
atom,3.0
instructor,4.0
shrimp,3.0
crocodile,3.0
fifteen,3.0
bedroom,3.0
flavor,3.0
brute,4.0
member,4.0
entree,3.0
witness,4.0
intelligence,4.0
hatred,5.0
fabric,3.0
dynasty,4.0
ball,3.0
inn,3.0
artist,5.0
importance,4.0
punishment,5.0
uncle,4.0
dilemma,5.0
snake,3.0
idea,4.0
stick,3.0
caterpillar,2.0
ceiling,2.0
spirit,5.0
wisdom,4.0
hog,2.0
circuit,2.0
crime,4.0
subtraction,2.0
recognition,4.0
square,2.0
money,3.0
helmet,2.0
envy,5.0
debt,3.0
distribution,3.0
pool,2.0
sky,3.0
originality,4.0
thief,3.0
record,3.0
play,4.0
disagreement,5.0
newspaper,3.0
perception,4.0
recital,4.0
heap,2.0
tax,3.0
master,3.0
pond,2.0
peacemaker,5.0
annoyance,5.0
orchestra,4.0
elephant,2.0
equality,4.0
desk,2.0
fisherman,3.0
disgust,5.0
complication,4.0
hobby,4.0
criticism,5.0
riddle,3.0
error,5.0
