word,rating
candidate,4.0
irrigation,5.0
democracy,6.0
snow,4.0
announcement,5.0
neighborhood,6.0
music,7.0
crown,5.0
identity,4.0
midnight,3.0
hurt,2.0
adventurer,6.0
comparison,4.0
arrow,4.0
method,5.0
segment,4.0
disappointment,1.0
specialist,5.0
majority,5.0
lily,6.0
rainbow,6.0
iron,4.0
relief,6.0
bolt,5.0
riot,2.0
stride,5.0
hope,7.0
shortness,2.0
ally,6.0
economy,5.0
ditch,3.0
stimulus,5.0
justification,4.0
pie,6.0
clearance,5.0
sight,5.0
ambulance,3.0
blood,2.0
pile,4.0
limitation,2.0
abundance,6.0
outcome,5.0
regulation,4.0
cake,6.0
macaroni,5.0
twig,4.0
cognition,5.0
beast,3.0
grammar,4.0
duty,5.0
standard,4.0
talent,5.0
roof,4.0
lens,4.0
student,5.0
worry,2.0
instinct,5.0
guess,4.0
second,4.0
nation,5.0
uniform,4.0
cranberry,4.0
route,4.0
ignition,4.0
occupation,4.0
separation,2.0
linen,4.0
view,4.0
speech,5.0
obstruction,2.0
soul,5.0
grandmother,5.0
dove,6.0
sofa,4.0
regret,2.0
suit,4.0
frustration,2.0
disaster,1.0
skin,4.0
football,5.0
appeal,5.0
integrity,6.0
adversity,2.0
memory,4.0
skull,2.0
station,4.0
fate,4.0
consequence,3.0
attempt,4.0
raspberry,4.0
university,5.0
cloth,4.0
cup,4.0
context,4.0
poetry,5.0
candy,5.0
mileage,4.0
liar,1.0
trust,6.0
oven,4.0
key,4.0
traveler,5.0
mustard,3.0
admiration,7.0
sadness,1.0
accumulation,4.0
conscience,5.0
rabbit,5.0
fireplace,6.0
bridge,5.0
measure,4.0
costume,5.0
intention,5.0
menu,4.0
deduction,4.0
window,4.0
loafer,3.0
butter,5.0
convergence,6.0
fight,2.0
winter,2.0
verse,6.0
advice,5.0
form,4.0
immortality,6.0
engagement,6.0
mind,5.0
trumpet,6.0
margin,4.0
puddle,3.0
amplitude,5.0
orchid,6.0
scene,5.0
reflex,4.0
interior,5.0
empire,5.0
insight,6.0
aspect,5.0
denial,2.0
grasshopper,4.0
stapler,3.0
tallness,5.0
cause,4.0
article,4.0
opposition,2.0
introduction,5.0
retention,4.0
pretense,3.0
capacity,5.0
pigeon,4.0
silence,4.0
boy,5.0
mastery,6.0
definition,4.0
grief,2.0
replacement,3.0
quality,6.0
skill,5.0
affection,6.0
thorn,2.0
reality,4.0
banana,5.0
leader,6.0
danger,2.0
self,5.0
edge,3.0
lunch,5.0
laughter,7.0
myth,4.0
pawn,3.0
reputation,5.0
dozen,4.0
dagger,2.0
donor,6.0
duel,3.0
arc,5.0
temple,4.0
shame,1.0
victim,2.0
deceit,1.0
dad,6.0
paradigm,4.0
proof,5.0
charity,6.0
vocabulary,4.0
brother,5.0
pillow,5.0
propeller,4.0
significance,5.0
rule,4.0
friendship,6.0
weight,4.0
suspect,3.0
marriage,6.0
episode,4.0
determination,6.0
photo,5.0
landscape,5.0
shape,4.0
rhyme,5.0
situation,4.0
love,7.0
synagogue,4.0
moral,5.0
object,4.0
opinion,4.0
miracle,6.0
beaver,4.0
march,4.0
fat,3.0
income,5.0
requirement,4.0
sanctuary,6.0
lobster,4.0
palace,5.0
bank,4.0
pig,3.0
moonlight,6.0
coffee,5.0
core,5.0
competence,6.0
wood,4.0
salary,5.0
cow,4.0
protection,6.0
woman,5.0
brain,5.0
television,4.0
justice,6.0
brawl,2.0
unity,6.0
nose,4.0
wave,4.0
mankind,5.0
interruption,3.0
bottle,4.0
spelling,4.0
lizard,3.0
foundation,5.0
hurricane,3.0
professor,5.0
institute,4.0
sugar,5.0
helplessness,2.0
purpose,6.0
lane,4.0
territory,4.0
contract,4.0
coffin,2.0
bird,4.0
physics,4.0
proportion,4.0
line,5.0
salad,6.0
consistency,5.0
development,6.0
holiday,7.0
exclusion,2.0
event,5.0
