word,rating
lake,4
ambition,3
chance,3
individual,3
apology,2
opponent,3
boredom,2
cowardice,2
beetle,2
silence,2
bet,3
animal,3
coupon,2
faith,2
liar,2
lip,2
tongue,2
originality,3
ankle,2
potato,2
accumulation,5
outfit,2
chair,2
cognition,3
station,2
disaster,3
real,3
dilemma,2
scene,2
ally,2
ownership,3
theory,3
reinforcement,3
puppy,2
guide,2
damage,3
circumstance,2
state,3
response,2
key,2
boat,2
degree,4
crown,2
myth,2
blood,2
deduction,3
forest,3
latch,2
tune,2
show,2
interior,2
starch,2
mankind,3
infection,2
fabric,2
wood,2
tragedy,2
germ,2
iron,2
spider,2
calendar,2
affection,2
photograph,2
territory,3
incident,2
vapor,2
dentist,2
sword,2
flavor,2
clean,2
consistency,3
appeal,2
identification,2
fact,2
route,2
linen,2
macaroni,2
skin,2
stride,2
writing,2
roof,2
menu,2
division,3
value,3
suit,2
lamp,2
personality,2
contract,2
cloth,2
amount,6
intention,2
magic,2
confidence,2
duration,3
sandal,2
thing,2
mattress,2
addition,5
newspaper,2
opposition,3
leopard,2
pigeon,2
clearance,2
opinion,2
play,2
heart,2
irrigation,2
clothing,2
distance,3
fate,2
calculation,3
number,4
wisdom,2
vocabulary,2
talent,2
character,2
nose,2
salad,2
tree,2
risk,3
definition,3
ditch,2
hobby,2
adversity,2
inn,2
butter,2
pyramid,3
tomato,2
riot,2
independence,3
itch,2
temple,2
teacher,2
brain,2
occupation,2
ignition,2
suspect,2
costume,2
door,2
necessity,2
equality,3
orchid,2
bag,2
dove,2
chlorine,2
reflex,2
conference,2
result,3
helmet,2
beauty,2
shortness,3
verse,2
exception,2
bird,2
circuit,2
queen,2
charter,2
principle,2
music,2
want,2
relief,2
moral,2
jerk,2
metaphor,2
scent,2
girl,2
tradition,2
development,3
crisis,2
bubble,2
camera,2
pond,2
decision,3
job,2
frustration,2
error,2
student,2
reputation,2
fear,2
tool,2
shrimp,2
refrigerator,2
empty,2
kindness,2
impairment,2
wish,2
alligator,2
moment,2
injury,2
master,2
file,2
factory,2
body,2
weight,4
tide,2
lemon,2
television,2
coffin,2
admiration,2
tip,2
complication,2
shock,2
past,2
park,2
line,2
nerve,2
income,2
specialist,2
lesson,2
cause,2
squeak,2
insight,2
hotel,2
peacemaker,2
law,2
conscience,2
misery,2
dimension,3
pill,2
alley,2
banana,2
pest,2
debt,2
march,2
justice,2
sanctuary,2
meeting,2
cucumber,2
expression,2
opera,2
significance,3
intelligence,2
object,2
tallness,4
grasshopper,2
purpose,2
mosquito,2
assault,2
pillow,2
anxiety,2
hope,2
fountain,2
benefactor,2
love,2
drum,2
stimulus,2
beverage,2
mountain,3
capacity,3
awareness,2
danger,2
raspberry,2
reality,3
acquisition,3
snow,2
appointment,2
ocean,5
wave,4
composer,2
guilt,2
payment,2
jacket,2
city,4
lamb,2
retention,2
requirement,3
miracle,2
segment,4
oven,3
kitten,2
trust,2
flask,2
preparation,3
imagination,2
bridge,4
towel,2
coincidence,2
context,3
hospital,2
article,2
mercy,2
rabbit,2
spirit,2
rebel,2
interruption,2
design,3
criticism,3
duty,3
fog,2
peach,2
professor,2
friendship,2
cup,2
length,5
form,3
lunch,2
square,2
empire,5
pimple,2
shirt,2
pile,6
abundance,6
visitor,2
responsibility,3
location,3
corporation,4
literature,3
laundry,2
landscape,3
eagle,2
presence,2
tendency,2
construction,4
regulation,3
rocket,4
church,3
doctor,2
topic,2
midnight,2
conclusion,2
neck,2
car,3
fat,4
volume,6
story,3
physics,3
security,2
hog,2
name,2
lens,2
cow,2
chipmunk,2
christmas,2
possibility,2
suggestion,3
fallacy,2
robbery,2
assistance,2
distribution,5
skill,2
stranger,2
record,3
instructor,3
mold,2
occasion,2
hurricane,5
medicine,2
cocktail,2
institute,3
pig,2
guess,2
uncle,2
owner,2
hazard,3
desk,2
apple,2
pie,2
convergence,2
ability,2
democracy,3
grief,2
bed,2
fantasy,3
bolt,3
material,2
issue,3
rent,3
belief,2
rhyme,2
hat,2
variety,3
consideration,2
wage,2
arrow,2
identity,2
advice,2
corpse,2
contempt,2
message,2
math,3
paradigm,3
lightning,2
necklace,2
idea,2
assumption,2
future,3
bracelet,2
despair,2
stupidity,2
skunk,2
cat,2
size,7
method,2
pawn,2
laughter,2
cottage,3
ambulance,3
puddle,3
industry,2
effect,3
crocodile,3
proof,2
waste,3
immortality,3
economy,3
property,2
chocolate,2
scholar,2
incentive,2
coffee,2
tension,2
consequence,3
lobster,2
opportunity,2
uncertainty,2
volt,3
cake,2
justification,2
self,2
safety,2
fireplace,2
grammar,2
leader,4
establishment,3
irony,2
poll,3
