word,rating
ability,2
abundance,3
accident,2
accomplishment,3
accumulation,3
acquisition,3
acre,3
addition,3
admiration,2
advantage,2
adventurer,2
adversity,2
advice,2
affection,3
alley,3
alligator,3
ally,2
alphabet,2
ambition,2
ambulance,3
amount,3
amplitude,3
anger,3
animal,3
ankle,4
announcement,2
annoyance,2
anxiety,2
apology,2
appeal,2
apple,4
appointment,2
arc,3
arrangement,2
arrow,3
art,2
article,2
artist,2
aspect,2
assault,3
assistance,2
assumption,2
atom,3
atrocity,2
attempt,2
attention,2
attitude,2
autumn,3
availability,2
awareness,2
baby,3
bag,4
ball,4
ballot,2
banana,4
band,3
bandit,2
bank,3
beast,3
beauty,3
beaver,3
bed,3
bedroom,3
beetle,3
behavior,2
belief,2
bell,3
benefactor,2
bet,2
betrayal,2
beverage,3
bird,3
blade,4
blood,4
boat,3
body,4
bolt,3
border,3
boredom,2
bottle,4
boulder,4
boundary,3
boy,3
bracelet,4
brain,3
branch,3
brawl,2
brevity,2
bridge,3
brother,2
brute,2
bubble,3
bullet,4
burner,3
butter,4
butterfly,3
cake,4
calculation,2
calendar,2
camera,3
candidate,2
candy,4
capacity,2
car,3
cat,3
category,2
caterpillar,3
cause,2
ceiling,3
ceremony,2
chair,3
chance,2
character,2
charity,2
charter,2
chicken,3
chief,2
child,3
chipmunk,3
chlorine,3
chocolate,4
christmas,3
church,2
circuit,2
circumstance,2
city,3
claim,2
clean,3
clearance,2
cliff,3
cloth,4
clothing,4
cocktail,3
coffee,3
coffin,3
cognition,2
coincidence,2
combination,2
comparison,2
competence,2
complication,2
composer,2
comprehension,2
conclusion,2
conference,2
confidence,2
conscience,2
consequence,2
consideration,2
consistency,2
construction,3
contempt,2
context,2
contract,2
convergence,2
core,3
corn,4
corporation,2
corpse,3
correspondent,2
costume,3
cottage,3
coupon,2
cow,3
cowardice,2
cranberry,4
crime,2
crisis,2
criticism,2
crocodile,3
crown,3
cucumber,4
cup,4
curfew,2
dad,2
dagger,4
damage,3
danger,2
darkness,2
debt,2
deceit,2
decision,2
deduction,2
definition,2
degree,2
democracy,2
denial,2
dentist,2
deputy,2
description,2
design,3
desk,3
despair,2
destiny,2
determination,2
development,2
diamond,4
diet,3
difference,2
dilemma,2
dimension,2
disagreement,2
disappointment,2
disaster,2
disgust,2
