word,rating
scholar,6
deputy,4
produce,3
woman,4
scent,2
ambulance,3
doctor,5
obstruction,4
three,3
flavor,3
volcano,3
cow,2
ankle,2
clearance,3
nerve,4
helmet,2
chief,4
cake,2
manner,4
pill,3
robbery,4
marriage,4
spirit,5
speech,6
scene,4
math,6
freedom,6
atom,5
kindness,5
cat,2
ballot,4
abundance,5
incentive,5
guess,5
effort,5
pond,2
impairment,4
grass,2
belief,6
door,3
conclusion,6
photograph,3
photo,3
explanation,6
chocolate,2
candy,2
sword,3
presence,5
admiration,5
lobster,2
jerk,3
knife,3
crime,4
betrayal,4
microscope,5
bracelet,2
emergence,5
mansion,3
escape,4
heresy,5
stimulus,6
deduction,6
reduction,5
pig,2
sugar,2
lamb,2
loan,3
frog,2
lane,2
gorilla,2
flask,3
music,4
willingness,5
hurt,3
combination,4
lightning,3
foundation,5
confidence,6
contempt,4
contract,4
skin,2
magic,4
conscience,5
evidence,5
response,5
addition,5
ceiling,3
brawl,3
pimple,2
temple,3
saloon,2
integrity,6
suit,3
industry,4
fountain,3
occasion,4
file,3
comparison,5
border,3
sandal,2
future,5
money,3
accomplishment,6
composer,4
correspondent,4
month,2
pie,2
conference,4
burner,2
fog,2
disappointment,4
forest,3
linen,2
student,5
kitten,2
thorn,2
zoo,2
enemy,3
hurricane,3
route,3
fabric,2
boredom,3
ignorance,4
sow,2
character,5
cranberry,2
cup,2
episode,3
assistance,4
duration,3
squeak,2
paradigm,5
circuit,4
disagreement,5
hazard,3
arc,3
toilet,2
bottle,2
tool,3
snow,2
permission,4
awareness,6
heart,4
poetry,5
importance,6
pool,2
stick,2
beauty,4
subtraction,5
translation,5
pile,3
performance,5
hospital,3
criticism,5
apology,4
park,2
medicine,3
mile,2
inn,2
grandmother,3
circumstance,4
trust,6
engagement,5
location,3
lettuce,2
tradition,4
cloth,2
alphabet,5
diamond,3
moment,4
child,3
arrangement,4
island,2
variety,4
information,6
latch,2
chicken,2
artist,4
beaver,2
refrigerator,2
destiny,5
tip,3
grammar,6
hotel,2
brevity,4
shortness,4
capacity,5
worry,4
owner,3
view,5
denial,4
issue,4
personality,5
boy,3
entrance,3
orchid,2
radio,3
hatred,4
opera,4
steam,2
phenomenon,5
lizard,2
visitor,3
ambition,5
mankind,5
brother,3
crocodile,2
error,4
miracle,4
bell,2
germ,3
property,3
bet,3
hog,2
bed,2
deceit,4
member,3
intention,5
hope,5
specialist,4
attitude,5
poll,4
salary,3
fireplace,2
rocket,3
past,4
misery,4
thought,6
entree,2
want,4
skull,3
margin,4
ceremony,4
extent,4
potato,2
reputation,4
determination,6
increase,5
independence,6
genuine,5
story,5
rule,4
eyeball,2
landscape,3
factory,3
injury,3
dad,3
advantage,4
electricity,3
bedroom,2
gesture,4
bridge,3
fact,5
unity,5
lisp,2
coupon,3
stranger,2
dove,2
material,3
prop,2
event,3
result,5
handkerchief,3
institute,5
announcement,3
assault,2
helplessness,4
robin,2
grasshopper,2
justification,6
thing,3
duel,3
adventurer,4
mosquito,3
revenge,3
elephant,3
segment,3
suspect,4
degree,5
anxiety,3
record,5
reflex,3
dilemma,5
replacement,3
tree,2
clean,3
lock,4
stride,4
wish,5
apple,2
reality,6
self,6
consequence,5
form,5
laughter,2
opponent,3
lily,2
lunch,2
sedative,2
menu,2
benefactor,4
duty,5
drama,3
equality,6
trumpet,2
art,5
alligator,2
lake,3
idiom,5
vocabulary,5
instance,5
cucumber,2
chance,4
nose,2
charter,3
branch,3
interruption,3
logic,7
comprehension,6
boundary,3
camera,3
tomato,2
volt,3
nation,5
volume,3
waste,2
key,4
significance,5
hat,3
figure,4
football,3
fear,4
separation,3
measure,4
puddle,3
sight,5
philosophy,6
irony,5
charity,4
advice,6
beast,3
moonlight,3
appeal,5
instructor,5
paragraph,5
economy,4
traveler,2
disaster,4
butter,2
law,5
convergence,4
state,4
instinct,5
season,2
vapor,2
diversity,5
definition,6
lesson,5
spider,2
impossibility,4
window,4
cliff,2
mountain,2
disgust,3
onion,3
republic,5
chipmunk,2
pest,2
safety,4
skunk,3
shame,3
beetle,2
possibility,5
crown,5
retention,4
immortality,5
proportion,4
raspberry,2
beverage,3
metaphor,5
effect,5
weight,2
physics,6
curfew,2
teacher,5
salad,2
bullet,2
lemon,3
second,2
fisherman,3
uncertainty,5
shock,2
leadership,6
winter,3
ring,4
food,2
payment,3
recital,4
bag,2
sadness,4
behavior,4
lip,2
guilt,3
incident,4
annoyance,3
wood,2
mastery,6
victim,4
autumn,3
gender,3
leader,6
peacemaker,4
ownership,4
distance,4
cowardice,3
ally,3
jewel,3
truck,2
intelligence,7
palace,2
job,2
situation,4
summer,3
mileage,3
shrimp,2
parish,4
perception,6
ditch,3
fantasy,5
uncle,3
regret,3
bank,2
midnight,3
policeman,2
calculation,5
outfit,2
witness,5
verse,2
dentist,2
satisfaction,5
preference,5
originality,6
resort,2
fat,2
attention,6
writing,5
legality,4
size,4
smell,3
thief,2
heap,2
dagger,4
underworld,4
fifteen,2
mold,2
frustration,4
shirt,2
brain,7
expression,6
edge,3
ignition,3
name,3
darkness,3
message,5
square,2
site,3
snake,2
consideration,6
occupation,3
claim,6
pretense,3
silence,2
mystery,4
wallet,2
corn,2
caterpillar,2
calendar,2
opposition,4
chlorine,2
candidate,3
road,2
method,5
leopard,2
shark,2
neighborhood,3
cognition,7
promotion,5
holiday,2
necklace,2
