word,rating
candidate,3.0
irrigation,3.0
democracy,4.0
snow,2.0
announcement,5.0
neighborhood,3.0
music,3.0
crown,3.0
identity,3.0
midnight,6.0
hurt,2.0
adventurer,3.0
comparison,4.0
arrow,3.0
method,5.0
segment,5.0
disappointment,2.0
specialist,3.0
majority,3.0
lily,2.0
rainbow,3.0
iron,3.0
relief,3.0
bolt,4.0
riot,2.0
stride,3.0
hope,3.0
shortness,5.0
ally,3.0
economy,3.0
ditch,3.0
stimulus,3.0
justification,3.0
pie,2.0
clearance,4.0
sight,3.0
ambulance,3.0
blood,2.0
pile,3.0
limitation,5.0
abundance,4.0
outcome,5.0
regulation,5.0
cake,2.0
macaroni,2.0
twig,2.0
cognition,3.0
beast,2.0
grammar,4.0
duty,4.0
standard,4.0
talent,3.0
roof,3.0
lens,3.0
student,3.0
worry,3.0
instinct,3.0
guess,3.0
second,7.0
nation,4.0
uniform,4.0
cranberry,3.0
route,4.0
ignition,5.0
occupation,4.0
separation,4.0
linen,3.0
view,3.0
speech,4.0
obstruction,3.0
soul,3.0
grandmother,3.0
dove,3.0
sofa,3.0
regret,3.0
suit,3.0
frustration,3.0
disaster,3.0
skin,3.0
football,3.0
appeal,3.0
integrity,3.0
adversity,3.0
memory,4.0
skull,3.0
station,5.0
fate,4.0
consequence,5.0
attempt,4.0
raspberry,3.0
university,4.0
cloth,3.0
cup,3.0
context,4.0
poetry,3.0
candy,3.0
mileage,6.0
liar,3.0
trust,3.0
oven,3.0
key,4.0
traveler,5.0
mustard,1.0
admiration,3.0
sadness,2.0
accumulation,6.0
conscience,3.0
rabbit,1.0
fireplace,2.0
bridge,4.0
measure,6.0
costume,2.0
intention,5.0
menu,3.0
deduction,4.0
window,3.0
loafer,1.0
butter,1.0
convergence,5.0
fight,2.0
winter,4.0
verse,3.0
advice,3.0
form,4.0
immortality,5.0
engagement,5.0
mind,3.0
trumpet,2.0
margin,4.0
puddle,1.0
amplitude,6.0
orchid,1.0
scene,3.0
reflex,2.0
interior,3.0
empire,4.0
insight,4.0
aspect,4.0
denial,2.0
grasshopper,1.0
stapler,1.0
tallness,5.0
cause,5.0
article,3.0
opposition,3.0
introduction,4.0
retention,5.0
pretense,2.0
capacity,5.0
pigeon,3.0
silence,3.0
boy,2.0
mastery,4.0
definition,3.0
grief,2.0
replacement,3.0
quality,3.0
skill,4.0
affection,2.0
thorn,2.0
reality,3.0
banana,2.0
leader,3.0
danger,2.0
self,3.0
edge,3.0
lunch,2.0
laughter,2.0
myth,3.0
pawn,2.0
reputation,3.0
dozen,4.0
dagger,2.0
donor,2.0
duel,3.0
arc,5.0
temple,2.0
shame,2.0
victim,2.0
deceit,2.0
dad,2.0
paradigm,3.0
proof,4.0
charity,3.0
vocabulary,3.0
brother,2.0
pillow,2.0
propeller,2.0
significance,3.0
rule,4.0
friendship,2.0
weight,3.0
suspect,2.0
marriage,3.0
episode,4.0
determination,4.0
photo,2.0
landscape,3.0
shape,3.0
rhyme,4.0
situation,3.0
love,2.0
synagogue,2.0
moral,3.0
object,3.0
opinion,3.0
miracle,4.0
beaver,2.0
march,5.0
fat,2.0
income,4.0
requirement,4.0
sanctuary,3.0
lobster,2.0
palace,3.0
bank,3.0
pig,2.0
moonlight,3.0
coffee,2.0
core,3.0
competence,3.0
wood,2.0
salary,4.0
cow,2.0
protection,3.0
woman,2.0
brain,3.0
television,2.0
justice,3.0
brawl,2.0
unity,4.0
nose,2.0
wave,3.0
mankind,3.0
interruption,5.0
bottle,3.0
spelling,2.0
lizard,2.0
foundation,4.0
hurricane,4.0
professor,3.0
institute,3.0
sugar,2.0
helplessness,3.0
purpose,5.0
lane,4.0
territory,3.0
contract,4.0
coffin,3.0
bird,2.0
physics,4.0
proportion,5.0
line,4.0
salad,1.0
consistency,5.0
development,6.0
holiday,3.0
exclusion,2.0
event,6.0
jewel,2.0
promotion,4.0
acre,2.0
pest,1.0
availability,3.0
gender,2.0
fantasy,3.0
shock,2.0
performance,5.0
phenomenon,5.0
uncertainty,4.0
weather,3.0
reinforcement,4.0
time,7.0
necessity,4.0
towel,1.0
saloon,2.0
permission,3.0
category,3.0
bandit,2.0
doctor,2.0
diet,3.0
tide,5.0
heresy,2.0
length,6.0
policeman,2.0
magic,3.0
apple,2.0
unit,5.0
queen,3.0
mystery,4.0
emergence,5.0
republic,3.0
contempt,2.0
law,4.0
baby,3.0
starch,1.0
radio,3.0
kitten,2.0
description,4.0
eagle,2.0
preference,3.0
theory,5.0
variety,4.0
group,4.0
alley,2.0
burner,2.0
material,3.0
darkness,2.0
mile,6.0
toilet,2.0
medicine,4.0
security,3.0
lemon,2.0
bed,3.0
distance,6.0
file,4.0
kite,3.0
fear,2.0
suggestion,3.0
robin,2.0
ocean,3.0
cat,2.0
germ,2.0
art,3.0
eight,5.0
individual,3.0
nurse,3.0
correspondent,3.0
claim,3.0
butterfly,2.0
duck,2.0
lamb,2.0
horse,3.0
mansion,2.0
real,4.0
missile,4.0
effect,4.0
truth,5.0
incentive,3.0
border,3.0
diamond,2.0
beauty,3.0
guide,3.0
drum,2.0
logic,5.0
assumption,4.0
infection,3.0
lock,3.0
explanation,4.0
thing,3.0
benefactor,3.0
bag,3.0
reason,4.0
fog,3.0
establishment,4.0
gesture,3.0
vapor,3.0
increase,6.0
mercy,3.0
tendency,5.0
destiny,4.0
figure,4.0
pyramid,3.0
translation,4.0
autumn,4.0
entrance,3.0
atrocity,3.0
lamp,3.0
squeak,3.0
risk,4.0
occasion,5.0
road,3.0
ignorance,3.0
difference,3.0
mosquito,3.0
street,3.0
boredom,3.0
peace,3.0
grass,3.0
location,4.0
knife,3.0
calculation,5.0
opportunity,4.0
season,4.0
wolf,3.0
neck,3.0
extent,5.0
typewriter,3.0
shark,3.0
reduction,5.0
branch,3.0
empty,3.0
heart,3.0
chicken,3.0
malice,3.0
zoo,3.0
beetle,3.0
band,3.0
lisp,3.0
interaction,3.0
owner,2.0
cowardice,2.0
corporation,3.0
incident,4.0
parish,3.0
site,3.0
identification,3.0
bracelet,2.0
mud,2.0
christmas,5.0
evidence,3.0
produce,3.0
park,3.0
anxiety,3.0
cucumber,2.0
coupon,2.0
dentist,2.0
lettuce,2.0
prop,3.0
guilt,2.0
leopard,2.0
imagination,4.0
ankle,2.0
conference,4.0
impairment,3.0
lip,2.0
tension,3.0
father,3.0
pill,2.0
duration,7.0
teacher,3.0
faith,3.0
handkerchief,2.0
microscope,3.0
eyeball,2.0
construction,4.0
camera,3.0
want,3.0
boat,2.0
animal,2.0
future,6.0
alphabet,3.0
onion,2.0
ambition,4.0
degree,4.0
sword,2.0
church,3.0
exception,3.0
supply,3.0
accident,4.0
wage,3.0
calendar,6.0
laundry,2.0
industry,4.0
manner,5.0
hazard,2.0
peach,1.0
philosophy,4.0
behavior,3.0
misery,2.0
response,3.0
fallacy,3.0
specimen,2.0
state,4.0
thought,3.0
belief,3.0
ballot,4.0
opponent,2.0
show,2.0
independence,5.0
temperature,3.0
blade,2.0
satisfaction,3.0
corn,2.0
alligator,2.0
literature,3.0
metaphor,3.0
youth,4.0
bullet,3.0
charter,5.0
car,2.0
mold,2.0
principle,5.0
circumstance,4.0
property,3.0
wish,3.0
conclusion,5.0
cocktail,2.0
division,5.0
mountain,2.0
volcano,3.0
item,3.0
stupidity,2.0
steam,3.0
anger,2.0
writing,3.0
leadership,4.0
rent,3.0
stranger,2.0
magnitude,5.0
hospital,3.0
river,4.0
photograph,3.0
opera,4.0
name,3.0
flask,3.0
appointment,6.0
rocket,4.0
escape,4.0
distraction,3.0
city,4.0
meeting,5.0
latch,3.0
nerve,3.0
robbery,3.0
instance,5.0
lesson,4.0
paragraph,4.0
vision,3.0
frog,3.0
sole,3.0
jacket,3.0
tradition,5.0
past,6.0
sister,3.0
payment,4.0
gun,3.0
size,3.0
curfew,5.0
food,3.0
tragedy,3.0
legality,3.0
hotel,3.0
mother,3.0
outfit,3.0
diversity,3.0
example,5.0
girl,3.0
issue,4.0
despair,3.0
three,6.0
job,4.0
waste,3.0
prediction,5.0
tree,3.0
selection,4.0
responsibility,4.0
skunk,3.0
psalm,4.0
presence,4.0
resort,3.0
month,6.0
effort,4.0
knowledge,3.0
tip,3.0
lake,2.0
ring,3.0
possibility,4.0
comprehension,3.0
injury,2.0
attention,4.0
door,3.0
confidence,3.0
refrigerator,2.0
value,3.0
math,5.0
chocolate,2.0
chair,2.0
clean,2.0
apology,3.0
acquisition,4.0
scent,2.0
irony,3.0
expression,3.0
enemy,2.0
mattress,2.0
necklace,2.0
potato,2.0
truck,2.0
factory,3.0
jerk,2.0
tune,4.0
island,2.0
combination,3.0
underworld,2.0
idiom,3.0
lightning,2.0
drama,3.0
bubble,3.0
honesty,3.0
sandal,2.0
murder,2.0
drug,2.0
ownership,4.0
willingness,3.0
body,2.0
visitor,3.0
boulder,2.0
preparation,5.0
cliff,2.0
production,4.0
sneeze,3.0
origin,5.0
message,3.0
itch,3.0
topic,4.0
wallet,3.0
cottage,3.0
lion,3.0
advantage,4.0
water,3.0
awareness,4.0
pimple,3.0
dimension,4.0
sow,3.0
sedative,3.0
character,3.0
kindness,3.0
deputy,3.0
rebel,3.0
beverage,3.0
revenge,3.0
odor,3.0
poll,3.0
hat,3.0
chipmunk,3.0
ceremony,4.0
summer,4.0
spider,3.0
decision,5.0
composer,4.0
safety,4.0
volume,5.0
scholar,3.0
consideration,4.0
crisis,4.0
hierarchy,5.0
impossibility,4.0
personality,4.0
fact,4.0
assault,3.0
assistance,4.0
brevity,6.0
puppy,3.0
accomplishment,4.0
boundary,4.0
betrayal,3.0
smell,3.0
result,4.0
chief,4.0
story,4.0
amount,5.0
coincidence,3.0
forest,3.0
attitude,3.0
shirt,2.0
damage,3.0
tongue,2.0
genuine,3.0
clothing,2.0
moment,6.0
corpse,2.0
volt,4.0
inch,5.0
child,3.0
bell,3.0
fountain,3.0
loan,4.0
chance,4.0
tomato,2.0
gorilla,2.0
chlorine,3.0
improvement,4.0
ability,3.0
electricity,4.0
information,3.0
bet,3.0
arrangement,4.0
tool,3.0
number,6.0
addition,5.0
tennis,2.0
freedom,3.0
design,3.0
atom,3.0
instructor,3.0
shrimp,2.0
crocodile,2.0
fifteen,6.0
bedroom,2.0
flavor,2.0
brute,2.0
member,3.0
entree,2.0
witness,3.0
intelligence,3.0
hatred,2.0
fabric,3.0
dynasty,4.0
ball,2.0
inn,4.0
artist,3.0
importance,4.0
punishment,4.0
uncle,3.0
dilemma,3.0
snake,3.0
idea,4.0
stick,3.0
caterpillar,3.0
ceiling,3.0
spirit,3.0
wisdom,4.0
hog,3.0
circuit,4.0
crime,4.0
subtraction,5.0
recognition,4.0
square,4.0
money,4.0
helmet,3.0
envy,3.0
debt,4.0
distribution,4.0
pool,3.0
sky,3.0
originality,4.0
thief,4.0
record,5.0
play,4.0
disagreement,3.0
newspaper,3.0
perception,4.0
recital,4.0
heap,3.0
tax,4.0
master,4.0
pond,3.0
peacemaker,3.0
annoyance,3.0
orchestra,4.0
elephant,3.0
equality,4.0
desk,3.0
fisherman,3.0
disgust,3.0
complication,3.0
hobby,3.0
criticism,3.0
riddle,3.0
error,4.0
