word,rating
admiration,2
robbery,1
peach,5
property,3
liar,2
figure,3
pie,5
lily,3
marriage,2
banana,4
tongue,3
steam,2
form,2
visitor,2
impossibility,1
situation,2
interaction,3
hog,2
vapor,2
acquisition,2
brawl,1
establishment,2
instructor,2
bird,2
opera,3
logic,2
fate,3
grammar,2
laughter,4
ignition,2
location,2
magnitude,2
soul,3
empty,2
rabbit,2
stimulus,2
rule,2
advice,2
queen,2
girl,2
decision,2
safety,3
hatred,2
confidence,3
boy,2
rent,2
crisis,2
extent,2
orchid,3
stranger,2
lock,2
betrayal,2
photo,2
macaroni,3
majority,2
electricity,2
fat,2
inn,2
road,2
capacity,2
view,2
personality,2
dove,2
brute,2
ambulance,2
pig,2
boundary,2
idea,2
baby,2
weather,2
vocabulary,2
flavor,4
toilet,2
show,2
murder,2
teacher,2
genuine,3
rainbow,5
foundation,2
fifteen,2
pond,2
acre,2
intention,2
skull,2
assistance,2
adversity,2
evidence,2
bag,2
square,2
menu,2
individual,2
punishment,2
reality,2
production,2
witness,2
dimension,2
advantage,3
hierarchy,2
crocodile,2
volume,2
degree,2
damage,2
rhyme,2
idiom,2
bottle,2
fisherman,2
mustard,2
behavior,2
body,2
faith,2
winter,2
purpose,2
determination,2
cloth,2
meeting,2
dagger,2
frustration,2
fog,2
philosophy,2
standard,2
eyeball,2
annoyance,2
democracy,2
cranberry,3
sword,2
loan,2
chicken,2
tide,2
law,2
cup,2
sofa,2
originality,2
weight,2
roof,2
candidate,2
job,2
subtraction,2
robin,2
necklace,2
ballot,2
memory,2
station,2
chair,2
refrigerator,2
result,2
thief,2
pimple,2
skunk,2
reputation,2
accident,2
method,2
parish,2
eight,2
justification,2
animal,2
sole,2
play,2
tendency,2
chipmunk,2
shirt,2
reinforcement,2
corporation,2
pawn,2
volt,2
money,2
cognition,2
talent,2
alligator,2
republic,2
orchestra,3
dad,2
door,2
beverage,2
suit,2
grief,2
misery,2
margin,2
response,2
site,2
ball,2
car,2
mile,2
season,2
disagreement,2
ability,2
tradition,2
speech,2
recital,2
requirement,2
theory,2
opinion,2
sadness,2
security,2
month,2
lake,2
band,2
stick,2
retention,2
revenge,2
atom,2
permission,2
frog,2
sneeze,2
ownership,2
trust,2
reduction,2
cow,2
character,2
accomplishment,2
policeman,2
increase,2
sandal,2
independence,2
window,2
wood,2
duel,2
christmas,2
bridge,2
deduction,2
territory,2
comprehension,2
equality,2
irrigation,2
bolt,2
moment,2
beast,2
bell,2
division,2
information,2
palace,2
crime,2
chlorine,2
river,2
paradigm,2
separation,2
state,2
cake,2
potato,2
lemon,2
mercy,2
suggestion,2
writing,2
bedroom,2
literature,2
heap,2
city,2
duration,2
fight,2
time,2
gun,2
smell,2
appeal,2
clean,2
perception,2
diet,2
stupidity,2
envy,2
owner,2
sky,2
ceremony,2
sow,2
helplessness,2
article,2
necessity,2
key,2
length,2
drug,2
belief,2
lamp,2
gorilla,2
onion,2
intelligence,2
bubble,2
effort,2
produce,2
rocket,2
lunch,2
topic,2
uncertainty,2
twig,2
puppy,2
ring,2
germ,2
file,2
conscience,2
economy,2
past,2
street,2
lettuce,2
translation,2
spirit,2
regret,2
story,2
mattress,2
preparation,2
traveler,2
gesture,2
comparison,2
newspaper,2
mileage,2
object,2
mosquito,2
heart,2
identity,2
nerve,2
consistency,2
sight,2
candy,2
radio,2
stride,2
protection,2
fallacy,2
linen,2
instinct,2
expression,2
raspberry,2
pretense,2
victim,2
father,2
opponent,2
beaver,2
lamb,2
arrangement,2
desk,2
ally,2
danger,2
message,2
preference,2
appointment,2
camera,2
music,2
brevity,2
destiny,2
propeller,2
anxiety,2
wolf,2
microscope,2
lobster,2
significance,2
improvement,2
occasion,2
freedom,2
kitten,2
shrimp,2
water,2
contempt,2
convergence,2
uniform,2
unity,2
hotel,2
peacemaker,2
wish,2
grandmother,2
