word,rating
scholar,5
deputy,4
produce,3
woman,2
scent,1
ambulance,3
doctor,5
obstruction,2
three,4
flavor,3
volcano,2
cow,3
ankle,4
clearance,2
nerve,4
helmet,3
chief,5
cake,4
manner,3
pill,4
robbery,2
marriage,3
spirit,4
speech,5
scene,3
math,4
freedom,5
atom,3
kindness,5
cat,4
ballot,3
abundance,5
incentive,4
guess,3
effort,5
pond,3
impairment,2
grass,3
belief,5
door,4
conclusion,4
photograph,3
photo,4
explanation,4
chocolate,5
candy,4
sword,3
presence,5
admiration,5
lobster,3
jerk,2
knife,4
crime,2
betrayal,2
microscope,3
bracelet,4
emergence,4
mansion,4
escape,5
heresy,2
stimulus,3
deduction,5
reduction,3
pig,3
sugar,4
lamb,3
loan,3
frog,3
lane,3
gorilla,3
flask,3
music,4
willingness,5
hurt,2
combination,3
lightning,3
foundation,5
confidence,5
contempt,2
contract,3
skin,4
magic,4
conscience,5
evidence,4
response,4
addition,4
ceiling,3
brawl,2
pimple,3
temple,4
saloon,3
integrity,5
suit,4
industry,4
fountain,3
occasion,3
file,3
comparison,4
border,3
sandal,3
future,4
money,4
accomplishment,5
composer,4
correspondent,3
month,3
pie,4
conference,3
burner,3
fog,3
disappointment,2
forest,3
linen,3
student,4
kitten,3
thorn,2
zoo,3
enemy,2
hurricane,3
route,3
fabric,3
boredom,2
ignorance,2
sow,3
character,5
cranberry,3
cup,4
episode,3
assistance,4
duration,3
squeak,3
paradigm,4
circuit,3
disagreement,2
hazard,3
arc,3
toilet,3
bottle,3
tool,4
snow,3
permission,4
awareness,5
heart,5
poetry,4
importance,5
pool,4
stick,3
beauty,5
subtraction,3
translation,4
pile,3
performance,5
hospital,4
criticism,2
apology,4
park,4
medicine,4
mile,3
inn,3
grandmother,4
circumstance,3
trust,5
engagement,4
location,3
lettuce,3
tradition,4
cloth,3
alphabet,3
diamond,4
moment,4
child,4
arrangement,3
island,3
variety,4
information,4
latch,3
chicken,3
artist,4
beaver,3
refrigerator,4
destiny,5
tip,4
grammar,3
hotel,3
brevity,3
shortness,3
capacity,4
worry,2
owner,4
view,3
denial,2
issue,3
personality,5
boy,4
entrance,3
orchid,3
radio,3
hatred,2
opera,4
steam,3
phenomenon,4
lizard,3
visitor,3
ambition,5
mankind,4
brother,4
crocodile,3
error,2
miracle,5
bell,3
germ,3
property,4
bet,3
hog,3
bed,4
deceit,2
member,3
intention,4
hope,5
specialist,4
attitude,4
poll,3
salary,4
fireplace,3
rocket,4
past,3
misery,2
thought,4
entree,3
want,4
skull,3
margin,3
ceremony,4
extent,3
potato,4
reputation,5
determination,5
increase,4
independence,5
genuine,5
story,4
rule,4
eyeball,3
landscape,4
factory,3
injury,3
dad,4
advantage,5
electricity,4
bedroom,4
gesture,3
bridge,3
fact,4
unity,5
lisp,3
coupon,3
stranger,3
dove,4
material,4
prop,3
event,4
result,4
handkerchief,3
institute,4
announcement,3
assault,2
helplessness,2
robin,3
grasshopper,3
justification,4
thing,3
duel,3
adventurer,4
mosquito,3
revenge,2
elephant,3
segment,3
suspect,3
degree,4
anxiety,2
record,3
reflex,4
dilemma,3
replacement,3
tree,4
clean,4
lock,4
stride,3
wish,4
apple,4
reality,5
self,7
consequence,4
form,3
laughter,4
opponent,3
lily,2
lunch,3
sedative,2
menu,2
benefactor,3
duty,4
drama,4
equality,4
trumpet,2
art,4
alligator,3
lake,3
idiom,2
vocabulary,3
instance,3
cucumber,2
chance,3
nose,2
charter,3
branch,3
interruption,2
logic,4
comprehension,5
boundary,3
camera,3
tomato,2
volt,2
nation,4
volume,3
waste,2
key,2
significance,5
hat,2
figure,4
football,3
fear,4
separation,4
measure,5
puddle,2
sight,3
philosophy,4
irony,3
charity,4
advice,4
beast,3
moonlight,2
appeal,4
instructor,3
paragraph,3
economy,4
traveler,3
disaster,3
butter,2
law,4
convergence,3
state,4
instinct,4
season,3
vapor,2
diversity,4
definition,3
lesson,3
spider,2
impossibility,2
window,3
cliff,3
mountain,4
disgust,3
onion,2
republic,4
chipmunk,2
pest,2
safety,4
skunk,2
shame,3
beetle,2
possibility,4
crown,4
retention,4
immortality,3
proportion,4
raspberry,2
beverage,2
metaphor,3
effect,3
weight,3
physics,3
curfew,2
teacher,3
salad,2
bullet,2
lemon,2
second,3
fisherman,3
uncertainty,3
shock,3
leadership,5
winter,3
ring,2
food,3
payment,3
recital,3
bag,2
sadness,4
behavior,4
lip,2
guilt,4
incident,3
annoyance,3
wood,3
mastery,5
victim,3
autumn,3
gender,3
leader,5
peacemaker,5
ownership,4
distance,3
cowardice,2
ally,4
jewel,3
truck,3
intelligence,5
palace,3
job,3
situation,4
summer,3
mileage,2
shrimp,2
parish,2
perception,5
ditch,2
fantasy,3
uncle,2
regret,4
bank,3
midnight,2
policeman,3
calculation,4
outfit,3
witness,4
verse,2
dentist,2
satisfaction,5
preference,3
originality,4
resort,3
fat,2
attention,4
writing,3
legality,3
size,3
smell,2
thief,2
heap,2
dagger,2
underworld,3
fifteen,2
mold,2
frustration,4
shirt,2
brain,5
expression,4
edge,3
ignition,2
name,2
darkness,2
message,3
square,3
site,3
snake,2
consideration,4
occupation,3
claim,2
pretense,3
silence,2
mystery,3
wallet,3
corn,2
caterpillar,2
calendar,3
opposition,4
chlorine,2
candidate,3
road,3
method,3
leopard,3
shark,3
neighborhood,3
cognition,4
promotion,4
holiday,3
necklace,3
tendency,3
lion,4
car,3
bandit,3
oven,3
atrocity,3
pyramid,3
interaction,5
talent,5
master,4
eight,2
clothing,3
duck,2
donor,3
protection,5
guide,4
peach,2
description,3
bubble,2
production,4
risk,3
university,4
tide,3
limitation,3
amplitude,3
principle,4
magnitude,3
bird,3
value,4
consistency,4
corpse,2
show,4
irrigation,2
jacket,3
church,3
truth,5
girl,3
wage,3
uniform,3
tragedy,4
selection,4
lamp,2
literature,3
development,4
temperature,3
drug,2
memory,4
riot,3
difference,4
knowledge,5
identification,4
affection,5
chair,2
boulder,3
typewriter,2
eagle,4
availability,3
acre,2
roof,3
competence,5
context,4
ocean,3
rent,2
twig,2
alley,3
exception,3
regulation,4
kite,2
fallacy,2
drum,2
group,4
outcome,4
baby,4
sole,2
distribution,3
responsibility,5
play,3
meeting,3
dynasty,3
prediction,4
preparation,4
debt,2
empty,2
professor,4
empire,3
relief,4
shape,3
youth,5
reinforcement,3
construction,4
security,4
blood,2
odor,2
towel,2
punishment,4
insight,4
arrow,2
tax,3
mother,4
appointment,3
diet,3
ball,3
tension,4
acquisition,3
identity,5
missile,2
individual,5
inch,2
territory,4
loafer,2
hobby,3
despair,4
cocktail,2
boat,3
sofa,3
decision,4
hierarchy,4
ability,4
river,3
wisdom,5
sanctuary,4
gun,2
recognition,4
item,2
banana,2
newspaper,3
lens,2
propeller,2
origin,3
mustard,2
malice,3
city,3
fate,3
grief,4
rebel,4
specimen,2
vision,4
myth,2
synagogue,3
nurse,3
accumulation,3
soul,5
peace,5
itch,2
democracy,4
animal,4
desk,3
purpose,5
tennis,3
tune,3
liar,2
coffin,2
mud,2
damage,2
division,3
accident,2
pawn,2
costume,3
weather,3
wave,3
street,3
bolt,2
fight,3
honesty,5
tongue,3
love,6
stupidity,2
spelling,3
psalm,3
line,3
corporation,3
body,4
blade,2
idea,5
pillow,2
theory,4
improvement,4
example,3
band,2
stapler,2
television,3
danger,3
cause,3
butterfly,3
coffee,3
aspect,3
topic,3
exclusion,3
opportunity,4
envy,3
establishment,3
sneeze,2
station,3
mind,5
justice,5
neck,3
rabbit,3
complication,3
christmas,3
dimension,3
wolf,4
core,5
cottage,3
supply,3
real,4
attempt,3
quality,5
suggestion,3
puppy,4
interior,3
anger,4
riddle,3
macaroni,2
pigeon,3
proof,3
introduction,3
starch,2
rainbow,3
imagination,5
water,3
length,3
tallness,3
design,3
crisis,4
murder,3
rhyme,2
necessity,4
moral,4
horse,3
assumption,3
dozen,3
majority,4
brute,3
queen,3
adversity,3
object,3
iron,3
orchestra,3
time,3
opinion,3
distraction,2
mercy,4
father,5
skill,4
coincidence,3
requirement,4
laundry,2
sky,3
friendship,6
number,3
standard,4
mattress,3
infection,2
march,3
sister,3
reason,4
article,2
category,3
amount,3
faith,4
unit,2
income,3
