word,rating
suit,4
performance,3
cognition,2
hat,1
disappointment,3
city,2
independence,4
hotel,2
guilt,4
bubble,2
marriage,5
neighborhood,3
adversity,3
crown,3
fisherman,2
peach,1
lion,2
vapor,1
fantasy,4
advice,4
metaphor,3
blade,2
arc,1
lamp,2
square,2
accident,2
attitude,3
material,2
outcome,3
error,2
puddle,1
comparison,3
regulation,3
cowardice,2
engagement,4
site,2
professor,3
mosquito,1
mold,1
irony,3
contempt,2
purpose,4
knife,2
opportunity,4
curfew,2
despair,4
anxiety,3
cloth,1
truck,1
stride,2
three,1
mind,4
sword,2
spider,2
baby,2
inn,2
bullet,2
trumpet,2
costume,2
leopard,2
diversity,4
river,2
duty,4
math,2
bell,2
ceiling,2
blood,2
landscape,3
photograph,2
consideration,4
chief,3
witness,3
insight,4
fear,3
bird,2
butter,1
equality,4
perception,3
availability,2
weather,2
hierarchy,3
toilet,2
principle,4
propeller,2
future,3
riddle,2
promotion,3
annoyance,3
advantage,4
spelling,1
key,2
typewriter,1
sight,2
occasion,2
gun,2
odor,1
ambulance,2
past,2
lane,2
decision,3
volt,1
band,2
ocean,2
sedative,1
rabbit,2
opposition,4
clean,2
boy,2
riot,3
nerve,2
confidence,4
frustration,3
specialist,2
recognition,4
kitten,2
pawn,2
selection,3
mile,2
genuine,4
beetle,2
job,2
towel,1
issue,3
dynasty,4
sandal,2
establishment,3
dagger,2
neck,2
stapler,1
fight,3
lightning,2
lunch,2
second,2
child,2
exclusion,3
description,2
art,3
suggestion,3
development,4
magnitude,2
institute,3
sow,2
alley,2
time,2
honesty,4
produce,2
arrangement,3
bag,2
intention,4
group,3
body,2
rebel,3
midnight,2
drama,4
distraction,2
bracelet,2
proportion,3
horse,2
crime,3
core,2
personality,4
park,2
disaster,3
cocktail,2
suspect,3
philosophy,4
literature,3
limitation,2
magic,3
conscience,4
teacher,3
destiny,4
murder,3
assistance,4
escape,3
affection,4
ability,3
cake,2
football,2
brain,4
psalm,2
fountain,2
imagination,4
state,3
majority,4
tool,2
incentive,3
stranger,2
interaction,5
enemy,3
stick,2
leader,4
competence,4
bedroom,2
cottage,2
pest,1
subtraction,2
lake,2
jacket,2
volume,2
spirit,3
orchestra,4
improvement,4
darkness,1
chicken,2
mileage,2
steam,2
thought,4
criticism,3
reality,3
segment,2
robin,2
student,2
dozen,2
diet,2
rent,2
charity,4
security,4
helplessness,3
sadness,4
sole,2
apple,1
file,2
proof,2
island,2
reflex,2
intelligence,4
accomplishment,4
lettuce,2
physics,2
vocabulary,3
saloon,2
disagreement,3
revenge,3
protection,4
visitor,2
alphabet,1
brevity,1
synagogue,2
wolf,2
shrimp,2
duration,2
lamb,2
circuit,2
cup,2
conclusion,3
want,2
preference,3
grammar,2
reinforcement,3
idiom,2
forest,2
worry,3
branch,2
orchid,2
oven,2
effect,3
salary,2
atom,1
variety,3
beauty,4
assumption,2
republic,4
object,2
belief,3
combination,3
guide,3
factory,2
real,2
effort,3
chocolate,2
flavor,2
composer,2
cucumber,2
hobby,2
empire,4
topic,2
pool,2
ally,3
mercy,4
scent,2
beaver,2
theory,4
drum,2
opinion,3
border,2
nose,2
safety,4
appeal,3
correspondent,2
number,2
tree,2
traveler,3
television,3
refrigerator,3
disgust,4
crisis,4
cause,4
lobster,3
shark,3
temperature,3
satisfaction,5
ditch,3
shame,4
flask,3
supply,4
menu,4
calculation,4
outfit,3
deputy,4
miracle,4
increase,4
lemon,3
attention,4
month,3
rule,4
snow,2
coupon,3
tension,5
phenomenon,4
truth,6
station,3
diamond,3
property,4
aspect,3
kite,3
construction,4
distribution,5
photo,2
paradigm,4
reduction,4
myth,3
punishment,5
brute,3
industry,4
necessity,5
faith,5
loan,3
income,4
summer,3
bed,3
ignorance,3
bolt,3
helmet,3
ceremony,5
paragraph,3
music,4
reason,4
heap,3
addition,4
adventurer,4
hazard,4
justification,5
rhyme,3
betrayal,5
chipmunk,3
sky,3
hurt,3
animal,3
corn,3
mud,3
candy,3
street,3
desk,3
rocket,3
gender,4
possibility,4
foundation,4
woman,4
entrance,3
attempt,3
idea,3
verse,3
grief,4
entree,3
wave,4
permission,4
fallacy,4
wisdom,5
expression,3
territory,4
abundance,4
infection,3
method,3
charter,4
volcano,3
deceit,4
grass,3
moment,3
ignition,3
thief,3
holiday,4
peace,5
introduction,3
fat,2
economy,4
roof,3
palace,4
scene,3
hurricane,3
camera,3
regret,4
boat,3
identification,5
preparation,4
starch,2
definition,3
evidence,5
distance,4
tennis,3
benefactor,5
nation,5
grandmother,3
resort,3
occupation,4
immortality,4
bridge,3
burner,3
claim,3
friendship,7
announcement,3
payment,4
form,3
mankind,5
soul,5
butterfly,3
boredom,3
youth,4
pillow,3
memory,4
weight,3
injury,3
legality,4
owner,5
uncle,4
member,5
hatred,4
category,3
shock,3
amplitude,3
march,3
frog,3
skill,4
uniform,3
design,3
anger,4
information,3
speech,3
tune,3
boundary,4
silence,3
girl,3
calendar,3
margin,4
temple,4
envy,4
snake,3
jerk,3
clothing,3
